Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Zapdos (Galarian),Zapdos (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
(Boss weights),,,,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,7.142857142857143,0.0,17.5,0.0,17.5,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Manectric,Thunder Fang,Wild Charge,35,1.341247221524325,1.2381191660012194,1.3055241347282254,1.2796502877976494,1.1860687133798995,1.2290855538528207,1.3519274115791557,1.3836731392618986,1.2565140890625404,1.2704957693999532,1.256947053471603,1.246803155879251,1.230069953568541,1.2199593996525053,1.2888626702027812,1.2603522346431544,1.3354452837450985,1.2779625442036133,1.182873261424922,1.2411226227646892,1.2341893262404562,1.2213111617137717,1.184635746980643,1.2375117189654221,1.2120442297243719,1.2495190825122249,1.161834461786378,1.2265916386177858,1.1665868400045616,1.235682517960999,1.2275498115239634,1.2625201938610662,1.1585200841489793,1.2206046479471402,1.1728171394525977,1.2264995197159636,1.1885015031668662,1.225745016199177,1.1892421602787457,1.2384843205574914,1.1591069917165018,1.2111806413120396,1.2213562633516901,1.2483119169538286
Vikavolt,Spark,Discharge,40,1.2987679490728812,1.3263518714403906,1.2978912824386588,1.3380962383006931,1.307204561189708,1.3558232705018605,1.3670393570399317,1.435324066092413,1.3124162289440318,1.3578492509121018,1.284531574635277,1.347262143481154,1.2667071220599833,1.3201675406744717,1.307275958032835,1.3452271653760666,1.3343868026654477,1.362998869349756,1.3453945500993472,1.3882202668180528,1.3017662029506878,1.3486098088367553,1.2859317266861523,1.3399216897369437,1.318271927634767,1.3977591447745195,1.3057349673160143,1.385930941272791,1.305941384422397,1.3750484661877067,1.342950996230479,1.417458266020463,1.2991832018094005,1.3679740046815276,1.3219362134163393,1.3580000729545372,1.3123084556784683,1.3575785878987772,1.3193728222996515,1.3860975609756097,1.3109295000763137,1.379500770073955,1.3331830429508442,1.397120865672603
Glaceon,Frost Breath or Ice Shard,Avalanche,45,1.253821054164473,1.2941751627878693,1.2331922126022035,1.2871251259777123,1.2441910081205514,1.2851673338325318,1.349424362584526,1.4079650594793405,1.2696832871891737,1.314838150438585,1.2530904712544304,1.3026579637064835,1.260480681231926,1.2790374515474188,1.2844111735224895,1.316608356217884,1.2608644663090283,1.3204280834275541,1.2581251774056201,1.3164596934430883,1.2633230639698425,1.3005032625959163,1.2685711134395852,1.313902829096123,1.2892553488303793,1.352442767147829,1.2452923364826054,1.327541618474574,1.253700535979017,1.3285665412247691,1.320495422724825,1.3737102854065697,1.2588371243172771,1.3313711740362868,1.2775798548204709,1.3333171212139634,1.2548086745862643,1.3313680277866964,1.2782926829268293,1.344581881533101,1.2699976412149132,1.3133576611952102,1.2977789228473586,1.3525705022919283
Mamoswine,Powder Snow,Avalanche,40,1.2230973942738996,1.284133443645552,1.2287947955547933,1.3083972937193247,1.2211957848178396,1.2976810521020292,1.3055614087738678,1.3841413967268805,1.2393432866716692,1.3050637824410691,1.2484734362057026,1.3085062081015386,1.2385062867285883,1.2692708343628374,1.2655643912982133,1.3047608726323947,1.2266592893742934,1.320476196203902,1.2119606869145614,1.3054640931024695,1.2213590003635737,1.2980921946458983,1.2219268736557658,1.3067887277339656,1.2796369990748764,1.3812097093936768,1.2274103627077675,1.304240470961286,1.234279849469723,1.285061010377466,1.314248788368336,1.382186322024771,1.232268960681093,1.3103240525832354,1.26368201549068,1.3166470094719307,1.2163611686757538,1.3044496658007647,1.2266463414634146,1.3211411149825785,1.250752729946858,1.2961107796478473,1.244973323457108,1.3281053750281795
Mewtwo,Psycho Cut or Confusion,Thunderbolt,45,1.269628560409542,1.3247483969255536,1.398507730165857,1.468444389631962,1.4769441755672847,1.5661706228966012,1.165673747996603,1.2110053274928858,1.3672497218412811,1.4534556369187774,1.3283866178407666,1.3954015236215662,1.2644359536436538,1.3262002700101005,1.460649137407499,1.5267611220961497,1.29587853929611,1.3700894897640068,1.3057479420948055,1.3823587851263128,1.280650222928108,1.3626839396084884,1.3977830474824904,1.496178238570562,1.337449889131999,1.4153511798998517,1.311089162952085,1.371700736851681,1.3019842627437566,1.3873075607252823,1.1617662897145933,1.225094238018309,1.3134648243439442,1.375223458997126,1.3123670099582943,1.386306433374269,1.2984953737485772,1.3892983275444384,1.3302787456445992,1.4022299651567944,1.3154944429798394,1.405211527521472,1.4261591145749466,1.5377926636823291
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam or Thunderbolt,50,1.0272030571633863,1.0773188369848918,1.1411605558242652,1.2238886501548345,1.1571694457404047,1.2363294642694078,0.9433451036232486,0.9902559878423335,1.1445390327839158,1.2142650141020002,1.055080775480828,1.1065403470018695,1.034583431342124,1.081153255440229,1.1740909397626822,1.2534040556263277,1.0447839736341986,1.126873391229041,1.0605627306273062,1.1298786545557762,1.0436479840792972,1.1032740771924452,1.1275574918656592,1.2066729167815584,1.0850966974551757,1.1308829791920587,1.0508128760607676,1.111723349231309,1.0589576918690844,1.1304937849241647,0.9263435648896068,0.9939364566505116,1.0672401702732865,1.1341149048385664,1.0758119232031904,1.1354765755140255,1.0534791745716705,1.1267913954642306,1.0739285714285713,1.1448170731707317,1.0652828460823356,1.1406529672128873,1.1505909632540015,1.229761789743755
Calyrex (Ice Rider),Confusion,Avalanche,45,1.1868063812524705,1.2601085305804354,1.3377647940710022,1.4440042316949326,1.440674814336401,1.5459066012063776,1.1136248023208544,1.1642029938679557,1.3683144875410769,1.4610551918648278,1.1973488260509413,1.280681782175529,1.1866943924476236,1.2598343173745372,1.4340219487208847,1.5425938914096542,1.2169555437946546,1.2982871851620197,1.2140682656826567,1.2834445075219982,1.2157618783367456,1.303392717043954,1.3489990624827661,1.4257100314344013,1.2657160898104232,1.3268183086388934,1.2188722400551013,1.2799776475327813,1.2196487626867374,1.3010035351807505,1.0926871297792138,1.162154011847065,1.2207132909954665,1.2969905875613585,1.233819291611444,1.2935082621013338,1.2161422608797174,1.3109877119757158,1.2350783972125436,1.3196428571428571,1.2386396747651622,1.3211277767756797,1.3949738602084742,1.478481637735768
Calyrex (Ice Rider),Confusion,Glaciate,45,1.1331715989777449,1.1941452376646882,1.3054913757055233,1.4073969873261123,1.4505536286794434,1.5118321630950742,1.0347532176737395,1.0794441358202063,1.3605933190157062,1.419023468833286,1.1686326786498342,1.2252320965412977,1.1436509081708692,1.2207026192561083,1.4868551004091615,1.5870291116023139,1.2011384685703288,1.2492662801606966,1.1825645756457563,1.228863894408175,1.1791653112382554,1.2423218967067873,1.3968786190922626,1.4413169359730877,1.2082996813462754,1.2830878573841027,1.1834851654992267,1.251946094166266,1.1724027825293648,1.2266392975253735,1.0113624124932687,1.0787291330102315,1.1695819217967585,1.2230836847771336,1.156791459455516,1.2228031564996413,1.1595545956043316,1.214726657132016,1.1804006968641114,1.2695557491289198,1.1264447558657436,1.2017038753451459,1.354996618466394,1.407780747802003
Shadow Zapdos,Thunder Shock or Charge Beam,Thunderbolt,50,0.9651972417677906,0.98666811758173,0.9719563495657503,1.0221142673251873,0.9606640555604443,1.011060951454344,1.0334974362903793,1.0955777339318515,1.0051634020751934,1.037077910316454,0.9626970727092491,1.008584516637169,0.9718110245558966,1.0141448922430407,0.9648849092831188,1.005242828428235,0.9673765305876976,1.0161839351439774,0.9712070678399092,1.0193194720408743,0.9715455710978013,1.0082952218756578,0.9873710913803563,1.0341807753819003,0.9999265774827825,1.0394132072423972,0.9871343357288593,1.0317353052021467,0.9631656973429126,1.039240506329114,1.0385891222401722,1.105126548196015,0.9741133245760452,1.0384793923890607,0.9970818185134297,1.0321486327103826,0.9878871019526576,1.0437888561337965,0.9754006968641115,1.03044425087108,0.9963924463376393,1.0428050117245495,0.9942889654654171,1.0529236846907775
Shadow Ampharos,Volt Switch,Zap Cannon or Thunder Punch,30,1.5898657850223958,1.5703888505712178,1.5979119013529477,1.5997579686322723,1.538543148834715,1.5249352896152908,1.6842646335778915,1.712611237753471,1.5731958496131653,1.58323026366859,1.6665097478284094,1.5939317674643878,1.5530008479819413,1.5195954987774432,1.6759220446212955,1.5916871315553247,1.7949854458851549,1.6513477591474415,1.51267740562021,1.5671835083735453,1.5453606077422068,1.5712413172850608,1.5264986488722219,1.5590911597639663,1.5671008384851466,1.6267492914727089,1.435782141418342,1.5020468102249542,1.5101493898962253,1.576530961341088,1.5577705977382874,1.595379644588045,1.4769034755898824,1.5492004859307251,1.4802232408837226,1.5251145994187953,1.5466784390414758,1.5959035054435073,1.4935365853658538,1.575801393728223,1.4497786904580205,1.5287424900445394,1.5150022006806008,1.5803033718720814
Electivire,Thunder Shock,Wild Charge,40,1.1880289905631845,1.2181749515517057,1.194648331891294,1.2479183568074212,1.1961118979111705,1.2435053021837992,1.2678900957160828,1.3338462881017907,1.191168784122959,1.2368191580200274,1.2083595493411672,1.2513975584032302,1.1951979316356562,1.2396290227255207,1.218456637269476,1.2620125999644207,1.2032975294089345,1.2424041954340974,1.1899091683224525,1.2372835651433438,1.20653858665493,1.2610937828890716,1.1759113218992996,1.2408316329344289,1.232367582490198,1.2814431929984287,1.2181054984470232,1.2688274051644595,1.1996122704983465,1.2546470521154065,1.243338718362951,1.3034894991922454,1.1729992394986617,1.2435678377070392,1.2190216796566273,1.286954512846078,1.2158211961121976,1.2744155161845832,1.2235801393728223,1.2963937282229965,1.2061023157719473,1.2720234213483925,1.2179961998003284,1.2968557104977831
Mamoswine,Powder Snow,Avalanche,30,1.3349725473000977,1.3754866833201844,1.338998074925666,1.4171244900672717,1.3264126289434317,1.3968211801779515,1.5475334538032086,1.5442003120297472,1.3888878826299582,1.459260744689109,1.3742536924964128,1.4480017743899403,1.4190434210240221,1.413224169659641,1.4398454960545874,1.4356087017865284,1.4074550746950854,1.45096706680459,1.3505464093102468,1.4344734601192166,1.3225760156145352,1.412723167301326,1.3524072133678928,1.428290961230905,1.3748072658923038,1.492327346950763,1.3602515952124135,1.4376275195259196,1.3314060896339377,1.4415782871479075,1.400732364028002,1.4984275713516424,1.3470552795583166,1.4423154796590583,1.3537443916199554,1.451600744136279,1.347713143224074,1.4454262864481482,1.3638675958188153,1.454198606271777,1.3690527396595025,1.4202522512522375,1.3745451032172877,1.4448487971401887
Shadow Electivire,Thunder Shock,Wild Charge,35,1.0885431585887504,1.0704728649544801,1.0841502213161034,1.102593551097331,1.050191018082381,1.0794804573808026,1.133947176301064,1.1804174728144616,1.0748428079799208,1.1231026987864516,1.119461255380883,1.0803975176646856,1.0798664576690973,1.0753774903292501,1.1064412768454694,1.0794092207529307,1.163267699487599,1.095173085712911,1.0388269940391712,1.0877803008799318,1.035563252262768,1.0718727874624465,1.0603871394694755,1.0980091545800474,1.1031439521872568,1.1236875725047357,1.0454846716656487,1.0946471039259769,1.069700079826662,1.1104230813091573,1.0858912224017232,1.1602154011847063,1.0514079151399025,1.0865490029531155,1.0539377211434406,1.0926157849300244,1.0589153848399055,1.104491987974665,1.037465156794425,1.0924216027874565,1.0400854712713852,1.106395082626854,1.0773995469818471,1.136774983092332
Aurorus,Rock Throw,Weather Ball Ice,30,1.5711873872807025,1.6382420670418776,1.5672051350731586,1.6513322323732371,1.6151645611232959,1.7038082414216196,2.0025009205516073,2.042894512235355,1.6040184231635055,1.6819313271405283,1.5839123487581535,1.6612476858243446,1.6640113696786167,1.6488010642272195,1.6872256154291287,1.6894298935280512,1.5970524910389954,1.6798365368423585,1.5978285552086289,1.6790342038035764,1.6037715991503854,1.6738073824604374,1.6117796283019907,1.6920200738984172,1.6841510154334132,1.7933743520462857,1.6546413858529674,1.7648312518681204,1.6333219295244612,1.7341658113810012,1.6936456650511575,1.8052773290253095,1.6295963416922636,1.729834368734506,1.638485950172051,1.7301654852084676,1.585483494352179,1.682525320335075,1.66352787456446,1.7679878048780489,1.6219700018037768,1.7082182847469858,1.662608826339463,1.7482099341942825
Shadow Magneton,Spark or Thunder Shock,Discharge,35,1.316681415858395,1.3376994141397007,1.3035913523888072,1.3358377927355904,1.2731898940559423,1.3235004540933988,1.4533562353802572,1.4830309880019668,1.3060418661215618,1.3536302947188654,1.3113194309277978,1.3385191991707444,1.3893996327388234,1.3200034789002721,1.352009716817742,1.349345362121178,1.4640868195049195,1.374103899540523,1.2789135679818335,1.3221863468634687,1.3577756941388086,1.3328804607818747,1.301042298571665,1.336998841890476,1.3526630346994817,1.4009750510286496,1.2600683569637032,1.3164563542086316,1.4743528338465048,1.3817196943779222,1.3799461497038232,1.41504577275175,1.2865015950774823,1.3420379460537881,1.2807655362766435,1.3491482557786072,1.3162269052275182,1.355323837599603,1.301698606271777,1.3558275261324042,1.2800016650247674,1.3445074995490558,1.3353300484149733,1.3836806114671563
