Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Groudon,Groudon,Claydol,Claydol,Donphan,Donphan,Golurk,Golurk,Hippowdon,Hippowdon,Marowak,Marowak,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,25.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Glaceon,Frost Breath or Ice Shard,Avalanche,45,1.3461137586999006,1.3852967394658346,1.418840891359556,1.366124569257372,1.3769467997124725,1.431406951669127,1.3109650517686136,1.3679281953425915,1.3645025648746598,1.4037123468871993,1.355640808315118,1.409733684257483,1.351333567687912,1.3928954508170863,1.3629063438717546,1.4426236009081086
Shadow Cacturne,Sucker Punch,Grass Knot,50,1.3188432132204204,1.275820276339699,1.4212738430150829,1.2946430634220203,1.1835614744278438,1.2302305629197936,1.263251351637867,1.3175995618219725,1.1568928990073881,1.202716508759289,1.26697595574787,1.338216532096177,1.2590158910431484,1.320002163273032,1.2673071012897916,1.352883442881361
Shadow Weavile,Snarl or Ice Shard,Avalanche,30,1.3321682037919567,1.298601158843899,1.4926540499137182,1.3278477885731244,1.21012683665819,1.2512772551959745,1.287872362981024,1.3279621188027844,1.2692634454278555,1.2587028294277696,1.3174019717178926,1.3426863541062586,1.288508513380745,1.319794849607456,1.2785097502701523,1.3359406755296475
Darmanitan (Galarian Standard),Ice Fang,Avalanche,40,1.2736997291459526,1.302840538965269,1.5681395295108682,1.3127133719927988,1.2753924516343456,1.359355073079866,1.2171631506413654,1.2876603413548182,1.258089840515341,1.3341004656564897,1.2750680287281972,1.3366373734219565,1.2245477407317271,1.3000549831895658,1.255886347639017,1.3445558100110044
Frosmoth,Powder Snow,Ice Beam,35,1.720538622415744,1.787809853601673,1.7433493693696895,1.737027960283708,1.690498458018689,1.7884123389421775,1.6172391250574225,1.7244955652143183,1.6870422747265748,1.772269241937045,1.7192666280055313,1.7999018601953873,1.6590411292285228,1.7355939536518754,1.687525404237179,1.8053019262607937
Darmanitan (Galarian Standard),Ice Fang,Avalanche,45,1.1966228957383345,1.2469331779065382,1.4520704969512575,1.2635851648595764,1.2447924315383485,1.319735042008363,1.1755009010919113,1.2449733206120357,1.2209233548775635,1.2829535311387614,1.218441361466744,1.285916938038096,1.19519933659627,1.2512821899533995,1.1997937919479722,1.288958946752719
Roserade,Razor Leaf,Grass Knot,45,1.3359481605924504,1.3300562279288237,1.3858920793117357,1.2894323882912646,1.3591231961910355,1.4136142650662007,1.2704070815223152,1.3230767871656242,1.315786077623754,1.355522815017153,1.3112280858277199,1.367542490074497,1.3126650622391678,1.3508648585309573,1.3010439282633912,1.3806223914185727
Mamoswine,Powder Snow or Mud-Slap,Avalanche,40,1.3080536222443173,1.3754551376555697,1.6052949131939198,1.41348981945686,1.387644053517186,1.4652918943568893,1.2753012473939007,1.3594208275910808,1.3388000473184425,1.4129071805736286,1.3668109024401123,1.4338760761921756,1.3210567588761797,1.3887221365926647,1.2726506657149372,1.3523778365999466
Mega Glalie,Frost Breath,Avalanche,50,1.218819213494703,1.2631638495560051,1.2458542965855148,1.2365205770129608,1.2523670765734778,1.3142782058912186,1.1976659952648503,1.2560602848157179,1.23004290922387,1.2919440351877145,1.2428246420127582,1.2975331221840567,1.2315693644484105,1.276664593530011,1.237912540027164,1.3260664822690817
Mega Glalie,Ice Shard,Avalanche,50,1.2235728734528748,1.2710991874378579,1.2766527276960178,1.2722204549210845,1.2849303209949063,1.3480472101345657,1.20938902434715,1.2674476129898582,1.2609074386742234,1.3162377536644907,1.2553597716019091,1.306222955792479,1.2341202238987588,1.2856602038884832,1.2353944224687465,1.3187599758102093
