Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,4.166666666666667,0.0,4.166666666666667,0.0,8.333333333333334,0.0,17.5,0.0,17.5,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Omastar,Rock Throw,Rock Slide,30,1.3595604826495076,1.346666269488295,1.3919064317614438,1.3880558908917644,1.4016437436062004,1.3741480451137777,1.3863363324674223,1.3996390402603676,1.6627082906285695,1.4222653901091484,1.4634169219787196,1.346455963062559,1.49614749445961,1.3871443539978054,1.570061715413412,1.408397112127899,1.3744513421351754,1.3891402082368265,1.3965479148814741,1.3747797839299976,1.431019606798647,1.3815586510766045,1.4377761346715199,1.4371241736018454,1.4418511424427716,1.4611450707246738,1.4184789459428875,1.4111556447219535,1.4126442680549651,1.4598787431425873,1.3970425361294048,1.4187594269415533,1.3976059616028924,1.4090643790100794,1.3464379559237534,1.3379966591354573,1.3927805026138607,1.415597497044057,1.3323640894075712,1.4055790697061488,1.3654708297875644,1.409575923853252
Shadow Luxray,Snarl or Spark,Wild Charge,50,1.0150817142937456,1.0031057256709612,0.995483139662978,0.9992441417005827,0.989754471515854,1.0009079629989113,0.9865323692784206,1.0094181671744384,1.0270496739309618,1.0029397130952542,1.0156398671665028,1.0074787805475998,1.0355780411274296,1.0218828136736995,1.076831528913991,1.0156045446131101,1.0081369144983368,1.0100746258373705,0.9965384908775806,0.9930074550131499,1.0260434637028806,1.0151539664481368,1.024573294583243,1.0709089255384168,0.9910733761176834,1.0461995791298457,0.9880786720567178,1.0403281913228186,1.0610344473131381,1.0936591116186605,0.9822272800674575,1.0535332745462138,0.9893476535057726,1.0565448624138682,0.9937914967981647,0.985277655032901,0.996396557644231,1.047372417510572,1.0066021421281273,1.0365959918173375,0.9992970631960315,1.046849421006878
Weavile,Snarl or Ice Shard,Avalanche,40,1.3201547457614984,1.2784001908577611,1.2042709439757278,1.1838843461523538,1.2967015154285624,1.3073206348115156,1.1869784137675454,1.1849185615093896,1.275063562504677,1.2917736981665755,1.3766987231557406,1.3093085519265002,1.377280899519157,1.307264064676126,1.4244553509203481,1.3637142441123262,1.402513984045649,1.4009804302278361,1.3396668021504523,1.3310067686425167,1.192473565256433,1.215964625575971,1.186171789336767,1.2208336965755595,1.285389538879114,1.3577013888012213,1.3379010120082064,1.3378927803482705,1.322127450304251,1.386615555101626,1.274581422116394,1.3390911208592804,1.3798040827258171,1.3599471901577338,1.3664636754138155,1.3683387028860166,1.3457944552018146,1.3510265916611768,1.3343362200692306,1.3540140528636246,1.198453374409067,1.2372048235053565
