Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,4.166666666666667,0.0,4.166666666666667,0.0,8.333333333333334,0.0,17.5,0.0,17.5,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Zapdos,Thunder Shock,Thunderbolt,40,1.2214119568750184,1.202053240944254,1.2520669063056724,1.2563109606350389,1.2472418860422596,1.2473863022087923,1.223220360999336,1.238888923518291,1.235601569900697,1.237274970366346,1.2301449681277126,1.2369505974270063,1.211806431608843,1.2153073732198247,1.2410650024325802,1.2307383120033757,1.2158986981912654,1.2487815398145907,1.2177642213425728,1.2369070849333044,1.2320898647087657,1.2530943251491427,1.3161520486264082,1.3524718218175003,1.282627404359035,1.3422505385399008,1.2249794335421222,1.3057396634579619,1.2891940523382388,1.3597471237255592,1.2193049451556341,1.2942230879906524,1.2521841816529045,1.3007085989344738,1.1998297542266145,1.213544146749045,1.2259076016988661,1.3039691229673822,1.2662074822787284,1.3372912369114285,1.2652852058933481,1.316475378721464
Weavile,Ice Shard or Snarl,Avalanche,50,1.187161835993825,1.1795954843851646,1.1024376434514058,1.0874308272316922,1.1897456068132495,1.197146524407741,1.1061293253406763,1.1163548623370219,1.191903362373408,1.2086219258346265,1.298017964511422,1.2135083992714335,1.2702423234605618,1.202553221876511,1.2609825977454248,1.2367701065032077,1.233189137770933,1.2744648586201361,1.2428209728240902,1.2310854289665574,1.1171895629508204,1.1197677312047063,1.1227966685644468,1.1715460614312396,1.2045598651332892,1.2590390677498104,1.2020754516735352,1.229820897742996,1.245066178046347,1.3064763727901534,1.1702764491728184,1.2440029087358446,1.2680235511873674,1.271661514510998,1.25476785026836,1.2502721853100043,1.2291774332603578,1.2627555952172187,1.2216752260215256,1.2750578747139052,1.0956333190533376,1.1562869673589389
Shadow Golem,Rock Throw,Stone Edge,50,1.188771095199305,1.1590015458736562,1.1661154227341801,1.159745789330966,1.148200856352644,1.19708763079056,1.302624122941733,1.2187777072532096,1.4046844710524788,1.2078266730206875,1.2181359029137664,1.195177183575691,1.218286278730952,1.1858370111354728,1.1647142615743553,1.1651172760634427,1.1823234733445989,1.183075183658433,1.1767834921769278,1.18950358503593,1.2049772384845971,1.20193709292293,1.2502145184604567,1.273295212750621,1.2335059080468112,1.257537304824795,1.1972468818036195,1.2208593377273247,1.2290265305258787,1.2932266131953494,1.1541608233536702,1.211553945897966,1.1991538684639842,1.2543791665035553,1.144273570072285,1.16631609223229,1.1679179235754642,1.234568510363731,1.1810892901259105,1.253510350567159,1.2000053292689175,1.2319950518636291
