Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,4.166666666666667,0.0,4.166666666666667,0.0,8.333333333333334,0.0,17.5,0.0,17.5,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Omastar,Rock Throw,Rock Slide,30,1.3421651815358424,1.3830389472825226,1.3715063024319565,1.423746546282702,1.371613273907181,1.411287537113669,1.373274076910043,1.4319493181674139,1.5449732815184156,1.4397131016750826,1.4015190764521397,1.3697948594231386,1.44077968070141,1.4194862924068439,1.4982807540636722,1.4503522650764644,1.345969831410825,1.4075989352262643,1.3638781015055574,1.4140761004725193,1.3834149461796366,1.4123103052761603,1.4002320696796557,1.4528590103256318,1.3889069425849139,1.4450741573617918,1.3903674381994273,1.4383020955727175,1.418255250403877,1.489294561120086,1.3747087167739642,1.4359176902721278,1.3541241124404242,1.4100403657231788,1.3513286672456704,1.4106716684790939,1.3759571409904612,1.4368047388823555,1.331607943270285,1.4055869332926272,1.3688667095943337,1.4385275810259714
Shadow Luxray,Snarl or Spark,Wild Charge,50,0.9996079830648684,1.0363071684696779,0.9887168934463185,1.0370342539392607,0.9797012308121501,1.0237195369011165,0.9927399671727002,1.0377177654154437,1.0012199289770478,1.032664220773195,0.9965295767072307,1.0271879486337803,1.0156888965223934,1.052526008440475,1.0456201308069635,1.060762720015389,0.9951943212067436,1.0403052351375333,0.9877087597803837,1.0261702982419223,1.0093523910358215,1.0437841891653432,1.0112215971681624,1.0823259844601443,0.9917718474997076,1.046938165368967,0.9867329827403292,1.0649775841023945,1.0734302638664512,1.115702746365105,0.9876969864528615,1.0634010031991785,0.9865407061569886,1.0572779885225174,1.0019267682112438,1.0452717545997943,0.997952872511869,1.0630602378152358,1.0066055147722068,1.036593996752751,1.0075230736209488,1.0689847606782572
Weavile,Snarl or Ice Shard,Avalanche,40,1.3187689708195394,1.33391202499948,1.2103578764021996,1.2388508032662435,1.2736398296922637,1.3316583749028568,1.1968241074997057,1.2307779863077306,1.267411147751732,1.33328504919324,1.328302043495972,1.318041059754559,1.353921304020676,1.3470859096411163,1.3596410022121765,1.3889132682504568,1.3202555456965395,1.3778278615794144,1.2887915367398084,1.3500851299906262,1.188040409387683,1.2438018351861655,1.1974207952058515,1.2341994330449597,1.2862955115623091,1.358659058117014,1.3018788286695337,1.3674838297532539,1.3487668282175551,1.4145611200861603,1.281300604289269,1.3516331608673329,1.306670071004766,1.3503428654800118,1.3290248655276353,1.38741907938431,1.308454200966941,1.3700335380460822,1.2997321713548244,1.3540195112474154,1.2175574157544538,1.2633719682335265
