Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,4.166666666666667,0.0,4.166666666666667,0.0,8.333333333333334,0.0,17.5,0.0,17.5,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Zapdos,Thunder Shock,Thunderbolt,40,1.2446930914572574,1.2879468965086822,1.2592279276449538,1.318045789405732,1.2496683540899123,1.3041479398106257,1.2505239734002638,1.3111962118663802,1.2609575368570667,1.3192928693967527,1.241726246128241,1.2969320448224673,1.2315289469971311,1.282026954354267,1.2489385118718275,1.302539151771753,1.232291370990633,1.2991058756741414,1.2239805583727204,1.276937943703477,1.2430265262229085,1.2929796503612199,1.314057475146478,1.3670832170810145,1.283538447543178,1.343201341148033,1.2534610559927015,1.336104458889269,1.315175013462574,1.3871513193322562,1.2311430236348013,1.3067882151922487,1.253054971243753,1.3016183748160937,1.2260879717463005,1.2871851376200345,1.2443466898954705,1.3235888501742161,1.2662097098694345,1.3372923922243345,1.291906862902966,1.344336736336994
Weavile,Ice Shard or Snarl,Avalanche,50,1.1932794894485936,1.23634126162399,1.1151113517721667,1.1488280941378692,1.176739459969218,1.2340714495624268,1.1276308639739177,1.1714014024374466,1.1883071324138494,1.256659620407295,1.2531492942378737,1.2305562089474942,1.2575202075865608,1.2517784516479944,1.2256579422165557,1.275514806706921,1.190714589838206,1.2651965654271926,1.206854321743623,1.2589697468378651,1.1162631666023273,1.151436607290575,1.134935902142469,1.1842024111954654,1.2054087772420694,1.2599254051384683,1.1968867601778994,1.2584217128520927,1.2701561658589122,1.3328056004308022,1.18060425288151,1.2560815415460893,1.2148632710382645,1.2681687195262819,1.229933452030005,1.286922448264791,1.2118205574912893,1.281733449477352,1.201190492708579,1.275062091548612,1.1181175056090518,1.1807563900250126
Shadow Golem,Rock Throw,Stone Edge,50,1.1852285111211038,1.209098197611431,1.183444746127209,1.2195085761194433,1.177254154498015,1.2399339862759196,1.2873910005951301,1.2644125029109632,1.335167322255467,1.245734900711114,1.2031045231633481,1.2308606127213104,1.211410308578486,1.231643454950322,1.1778729341576655,1.2321110683441987,1.1721863468634686,1.2171728640363326,1.1817007596777587,1.228831397462638,1.2011250206805273,1.2397948491700215,1.2338360328345497,1.2870526733138519,1.2069812473196533,1.2578850927237522,1.1953472459801575,1.248876724826092,1.250716208939149,1.3192891760904684,1.1652065699414316,1.2233108475145433,1.1994212273384968,1.2552557664482082,1.18844312775459,1.2370917369603924,1.1828745644599303,1.2531445993031358,1.184498619416964,1.2535138960192034,1.214110119910255,1.258059321760974
