Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Swampert,Water Gun or Mud Shot,Hydro Cannon,40,1.0,1.0274831911174567,1.0005033547826947,1.0,0.9128493215712005,0.9968747719317839,1.0,1.0422989278128865,0.9998734911472412,1.0,1.0669513104980468,1.0003132215485329,1.0,1.0754122198733165,1.000749145154082,1.0,1.0711258838885775,1.0046971067615322,0.9999999999999999,1.071815877045737,1.005955388385881,1.0,1.0903898153918032,1.0196329963652817,1.0,1.0676579934615396,0.99405906052515,1.0,1.0673708527550199,0.9913388832278195,1.0,1.070617467491221,0.9688930869787264,1.0,1.082610549220159,0.9667617271890658
Mega Mewtwo Y,Psycho Cut,Ice Beam,50,0.9685892328235676,0.9938906037609734,0.96870343181456,0.8591488586643278,0.8662257956755964,0.8703332112158185,0.9373520114639372,0.9740030118941567,0.9397453980281427,0.9556985516268565,1.0043406097801517,0.9552775323590543,1.0636668007858423,1.129323121927437,1.0654434386234393,0.9633333750692554,1.0101345357452522,0.9636713264823817,0.9635554808428518,1.0301600154745352,0.9598541063521578,0.971129752115527,1.0393922864086678,0.9678837148955659,0.9583225889648782,0.9968685985470126,0.958080723769,0.8959203464348983,0.936354652991895,0.8933327970874331,0.8865309646490842,0.9445229078643731,0.8862560570994719,0.9576022386210533,1.0401491760567,0.9492760914702307
Mega Abomasnow,Razor Leaf,Weather Ball Ice,45,1.3125383098649244,1.316914089487848,1.2074544565331964,1.2739197493971781,1.158344858718816,1.1896230754651056,1.5026593680744225,1.5365450548538808,1.4224717094019235,1.5445193911061297,1.5927724741173444,1.441709601408775,1.2786839632347449,1.3530868161724137,1.1718431775497606,1.2881549540017967,1.3181012242189383,1.175766913221627,1.283397500997646,1.3253501516965984,1.1874920802762152,1.284774061287875,1.3316608204219775,1.2026762980234948,1.2531685677828603,1.313085839250356,1.139452815471804,1.6086554974664262,1.6589464797774531,1.495143078048962,1.5564808663007432,1.6328080641761011,1.4391583828417311,1.2530703586558822,1.3321786431173719,1.170629046526612
