Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Swampert,Water Gun or Mud Shot,Hydro Cannon,40,1.0,1.0758011705767867,1.0005269703421091,1.0,0.9781544879647718,0.9926712578220707,1.0,1.0917007230430682,0.999104055328513,1.0,1.0670403341026486,0.9982815294387996,1.0,1.075411960475356,1.0007510271400593,1.0,1.0737486007421577,1.0028381796867425,1.0,1.0829392971246006,0.9991906283280085,1.0,1.0903865298878934,1.0086395706185345,1.0,1.0676532402341374,0.9940597154916366,1.0,1.0678010858313793,0.9786424995246847,1.0,1.0706231623419258,0.9685992406725471,1.0,1.0826109660574412,0.9667600284832661
Mega Mewtwo Y,Psycho Cut,Ice Beam,50,0.9698766186772342,1.0414374345678492,0.9696974487609171,0.8924146607952853,0.9467486673509254,0.8975283912194153,0.9397579377554228,1.0185570575290788,0.9418767683118516,0.9557793563728282,1.0044260608058828,0.955359729840442,1.0636679576479597,1.129323928313723,1.065442443341629,0.9656862313028303,1.0126043383603784,0.9643905405762739,0.9674760383386581,1.0408519701810437,0.9609158679446219,0.9711292905683245,1.039388823962256,0.9678829589230836,0.9583224775502406,0.9968648498428082,0.9580793080089625,0.8962017026850033,0.9367302532902381,0.8935821872953503,0.8865385896301371,0.9445253251881667,0.8862626435633201,0.9575979112271541,1.0401424163304058,0.9492713031094232
Mega Abomasnow,Razor Leaf,Weather Ball Ice,45,1.2913935203726734,1.3386891085769694,1.1873625485691,1.2788630268516372,1.240868456775817,1.1842449425553754,1.4463784973278841,1.5486073561773026,1.3659383841559258,1.482720378862812,1.5923627971105716,1.3824995753779137,1.278682610040202,1.353085837984302,1.1718453178611925,1.2607952191656457,1.3209170317223873,1.1500973971600577,1.2744621938232161,1.3385623003194889,1.1751863684771033,1.2668224905856382,1.3296022161624033,1.1762628230099987,1.249761172771959,1.3130894690219372,1.1357407117919858,1.5738745590130343,1.6596214377759468,1.4589644464161227,1.5494371651775094,1.6328204542643183,1.426936142273986,1.2530643247092335,1.3321718490386898,1.170624258248279
