Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Arceus (Flying),Arceus (Flying),Arceus (Grass),Arceus (Grass),Arceus (Ground),Arceus (Ground),Articuno (Galarian),Articuno (Galarian),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Moltres (Galarian),Moltres (Galarian),Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Shaymin,Shaymin,Shaymin (Sky),Shaymin (Sky),Zapdos (Galarian),Zapdos (Galarian),Zapdos,Zapdos,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Groudon,Groudon,Landorus,Landorus,Landorus (Therian),Landorus (Therian),Latias,Latias,Latios,Latios,Lugia,Lugia,Rayquaza,Rayquaza,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zekrom,Zekrom,Naganadel,Naganadel,Mega Garchomp,Mega Garchomp,Mega Salamence,Mega Salamence,Mega Sceptile,Mega Sceptile,Mega Aerodactyl,Mega Aerodactyl,Mega Altaria,Mega Altaria,Mega Ampharos,Mega Ampharos,Mega Pidgeot,Mega Pidgeot,Mega Venusaur,Mega Venusaur,Mega Rayquaza,Mega Rayquaza,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Aerodactyl,Aerodactyl,Amoonguss,Amoonguss,Bellossom,Bellossom,Braviary (Hisuian),Braviary (Hisuian),Claydol,Claydol,Dartrix,Dartrix,Donphan,Donphan,Dragonite,Dragonite,Drifblim,Drifblim,Druddigon,Druddigon,Exeggutor (Alola),Exeggutor (Alola),Farfetch'd,Farfetch'd,Fearow,Fearow,Flygon,Flygon,Gligar,Gligar,Gloom,Gloom,Golbat,Golbat,Golurk,Golurk,Grotle,Grotle,Hippowdon,Hippowdon,Marowak,Marowak,Meganium,Meganium,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Noctowl,Noctowl,Salamence,Salamence,Stunfisk,Stunfisk,Swellow,Swellow,Tangela,Tangela,Togekiss,Togekiss,Togetic,Togetic,Torterra,Torterra,Tranquill,Tranquill,Venusaur,Venusaur,Vibrava,Vibrava,Vileplume,Vileplume,Xatu,Xatu
(Boss weights),,,,0.5952380952380952,0.0,0.5952380952380952,0.0,0.5952380952380952,0.0,0.5952380952380952,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Glaceon,Frost Breath,Avalanche,40,1.0585066974262491,1.0315918687049466,1.0560504906308414,1.0213539316512543,1.0582491648902828,1.0239191534482055,1.0557436371206834,1.0207710176839044,1.1190714215065576,1.0932441560361947,1.164137308750018,1.1359848342095724,1.1377296289566912,1.0975329779714655,1.0682327231876543,1.0751272531964486,1.1009564420246742,1.0977925447459431,1.0835707419406886,1.0288402201622995,1.0569316741062629,0.9709079545808176,0.9855439355284525,0.9050861688510786,1.3648097795760992,1.2551234775139655,1.1163989247090214,1.0857246794628506,1.0892980204580007,1.0955922013352486,1.0892980204580007,1.0955922013352486,1.1235454294959033,1.0975499424063857,1.1656520257178986,0.9162246384946667,1.069161692308041,0.9680031644904017,1.196572711989907,1.0100726786219345,1.1264577778919134,1.0883509273505458,1.1129433111588742,1.0301531932521777,1.1340708822781123,1.1393454297894487,1.0899131205073447,1.065310318366249,1.1073683090235662,1.1140165793361303,1.0998240819090697,1.0008270216096615,1.0603675130284473,1.0380571581947504,1.075572419657273,0.9939079360944476,1.0614526043096457,0.9670177345330164,1.18444205057422,1.1387316997836119,1.1413728301239447,1.1227280671375788,1.0756750726322826,0.8942986343279733,0.9649510920179247,0.8417969638230546,1.0160806175068842,0.9827216563282498,1.1264472484762091,1.031020796358953,1.071169347159668,1.0297476618317296,1.2015323664895607,1.1123126543237047,1.1236126201849155,1.0659805493632775,1.1494793486443988,1.082562675118147,1.2038034219410245,1.0034993438535365,1.0751579549997128,1.0487322174434532,1.0879250461830565,1.0465758634617663,1.095866085456079,1.078492942898676,1.123510462953168,1.1253080765831622,1.040914901521141,1.0406012248549894,1.1378373609268497,1.124902376850416,1.1230762301908235,1.1098694511005347,1.0318989675414052,1.044236972434954,1.0764501035614067,1.0467813320674022,1.0777612198371458,1.056484032914654,1.133719157549034,1.1588486993404987,1.0516041263623002,1.0458185571615262,1.0594432812963155,1.004829200658198,1.0467766239892375,1.09099989677133,1.0691626039942523,1.0675018949101995,1.079419942474579,1.079632946642776,1.0617279970014355,1.132283977462295,1.1671236677720056,1.1570184691609944,1.098946672801838,1.1393844684781627,1.0759257117279515,1.0486018882862747,1.009113163851016,1.0278579256362745,1.0792720231100654,1.065002044080846,1.0802770263849966,1.0881776761013982,0.9926533015044086,0.9944822813711133,1.1370896050082595,1.1131895703988919,1.1442733993050236,1.1527090809706788,1.0781583791300078,1.0984098498307031,1.0195268396017374,0.9561177563680859,1.1225792517514164,1.1903538847229431,1.079241225377132,1.0724478333437772,0.9846261743578445,0.9786613636827621,1.0657791242507508,1.0354465926913494,1.0997640618039541,1.0972761554182286,1.0338170881158726,1.0166498657722434,1.0730491899973034,1.082907150636398,1.1474907768083564,1.1013862163799497,1.0158520192130986,1.0578313869296325,1.1438076870907057,1.103095234563264,1.1015350375515776,1.1230606674718109
Kyurem (White),Steel Wing,Blizzard,45,1.148662417812161,1.177666247022436,1.1435550865453548,1.1591471474742394,1.145885679298352,1.1621159061072788,1.1479896375885297,1.1637818423336024,1.2546858986192593,1.2561080212159885,1.2497503864245354,1.3398818046574832,1.2904296997455715,1.339124015710857,1.1846903477080986,1.246138830407199,1.1804973798744418,1.2912789756118805,1.2009240802993035,1.2372113090858492,1.084685712872291,1.0916551523592124,1.176684420657916,1.204184976030466,1.3993733496672565,1.4228185896216587,1.4363583139252463,1.4805623935585315,1.2381059813607276,1.321590009159092,1.2381059813607276,1.321590009159092,1.2454766869544869,1.2544184683123722,1.0865105388134293,1.0545131108217438,1.3313559699066906,1.3472727967904097,1.3655333473161029,1.3278230893657863,1.2767011308211367,1.3084980318221076,1.2116038338717499,1.2455902022451872,1.2263464645876274,1.2788164210140478,1.4348422256124986,1.5155750308339955,1.4032818028510787,1.4874970173253346,1.3269692139301554,1.3414292816891462,1.156632818834238,1.1889419555257685,1.1528705153189993,1.167079449415477,1.1065943527800655,1.1231211070248677,1.5215080264786545,1.568328893722915,1.295150737743348,1.3362412268227861,1.253797473805209,1.2019459086610627,1.4900196871022788,1.1227622151318484,1.3104552490143353,1.3307529193468002,0.9515134753668276,0.9496150218083538,1.0022081338855424,1.0014965085084877,1.4891679471860442,1.522884933441912,1.162541792307274,1.1784434142632654,1.2176872022042056,1.2526683315733935,1.5117173911958761,1.3780256781011744,1.1845450162996891,1.2347196798496456,1.2206978530387556,1.2236799031365395,1.0085446507312354,1.036769083655271,1.310130793208971,1.4082628828928212,1.2167099984110317,1.2881693184812988,1.256755324069661,1.2948888109286325,1.2429908812396462,1.3156068801091965,1.4801981147018006,1.5666562090610325,1.2141317695615088,1.2482743829940355,1.4090468323193677,1.4403413401137601,1.3015687755764924,1.4345377940760866,1.2130626891978764,1.2884802751310616,1.3433718875169907,1.392460341127211,1.2362557215098264,1.2983589294015367,1.1951480325676165,1.2770648499614996,1.4668865770797066,1.5646506840090806,1.446956594204742,1.6244278984515927,1.2970447171336847,1.3632689237164193,1.2923895333089914,1.407737939057419,1.205857775843944,1.249485025941748,1.1620793146693198,1.256160038243656,1.2185291113855372,1.2868910561594311,1.2590242367376816,1.3468664289587882,1.1175667447049438,1.151511317918432,1.280090084533988,1.3323410386153072,1.2998240372067198,1.3802546860699265,1.2449815476513306,1.338603640868517,1.3168391796936314,1.3420157139418512,1.6007739886366887,1.7398114178693795,1.1993623224499854,1.2941082494277778,1.117725105977583,1.202685552455673,0.9801558588578151,0.9967225833375123,1.0454931753470167,1.0824333247660385,1.3608378201776115,1.405206533349254,1.1901484546297991,1.3131139288295144,1.2776316664620353,1.3412520600781772,1.3822912012104736,1.4420439990783385,1.2772270399193997,1.35798147704484,1.2699627770652082,1.3728155806825562
Kyurem (White),Dragon Breath,Blizzard,45,0.9143751477992804,0.9239794752166216,1.1037406547665896,1.1166030813008625,1.106935775915496,1.1138176322602225,1.1065286091896882,1.1148135034712319,1.1818572948055273,1.1821774899981747,0.9680735926921366,1.011550738402316,0.9334047754033814,0.9440192416360722,1.137356509165852,1.1873095529812223,0.9215947035957855,0.9663949288001545,0.9464401631569324,0.9421732240584854,1.0780739919286515,1.0985074358978595,1.1289063243264899,1.155749424576233,1.3026715541666838,1.3185465761170114,1.1886905100024752,1.2203560632071093,0.9907834469525325,1.0362844808635032,0.9907834469525325,1.0362844808635032,0.9888740625816029,0.9873326811845315,1.0383090995716258,1.0043667112160017,1.2983558833507787,1.2925825180045287,1.3310151331699893,1.2837323189469703,0.9647535955720608,0.9716445449526867,0.9269007740935934,0.9336832885323803,1.133642074752078,1.188436834287063,1.1591533260261062,1.2117722805772262,1.1726586961976693,1.2193392667250615,1.1125178710991148,1.10723490414351,1.1162138890902402,1.1319236386971807,1.0726242218852677,1.0873372440792008,1.075840440872531,1.0831645194167556,1.0189208939911458,1.0179535356054894,1.005495202846369,1.0119423554775644,1.04714384295331,0.9907808550717078,1.131390234353631,0.9254869212917956,1.0897257047635749,1.1053150726902439,1.1340978280870193,1.149999766565356,1.3469040517225186,1.3699591425265902,0.9834811077056052,0.9940031775286648,1.1374082931268534,1.1511510209757048,1.1197681471948064,1.1442828330075472,1.2024758034853817,1.0891251653731446,0.9572804960914515,0.9758820889782154,0.9206348470450325,0.9165228939522199,1.182891602438685,1.219160566125148,1.2442669569393376,1.3252489454767997,1.1458056055607833,1.2095969968774156,1.2327259397252042,1.2825631688324992,1.1895995502253383,1.263984414225627,1.3999156530394903,1.4873977181421567,1.1450583704821267,1.1877934510822734,1.1808965874983886,1.208600167711616,1.250503594417356,1.3812950401170143,0.9429353097940743,0.9827137049433651,1.1062812329069405,1.1301345363376913,1.1578943296513635,1.2347299045057436,1.171630127077533,1.263468728148317,1.1844036139625045,1.253112887575404,1.4055782031303092,1.5488144386137184,1.2837309147566545,1.3455702080723828,1.2593697713175576,1.3917298550666997,1.1449557854439767,1.1868095030135875,1.1123331698930772,1.1788808138642801,1.1461012282378467,1.2218111143634893,1.1927833535598193,1.2657586124546258,1.0511014233653686,1.106370061720557,1.227119058687157,1.2757592747451774,1.2827412942221108,1.3459538878658979,1.1982924585865062,1.288618566217582,1.0708272930690081,1.074293027141209,1.262202253524921,1.3475544982379979,1.1605076755740389,1.2453382892215636,1.0518465482940464,1.1165777306458402,1.445659613246389,1.4987335891401423,1.5881099752568726,1.7442188390160305,1.268447920272893,1.3180456041442263,1.150375633608763,1.252734617979391,1.2074198017679267,1.2707849137714,1.221950191095518,1.3281885556624191,1.2035103749381542,1.2554547933390996,1.1976469905677662,1.288083795483529
