Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Arceus (Flying),Arceus (Flying),Arceus (Grass),Arceus (Grass),Arceus (Ground),Arceus (Ground),Articuno (Galarian),Articuno (Galarian),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Moltres (Galarian),Moltres (Galarian),Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Shaymin,Shaymin,Shaymin (Sky),Shaymin (Sky),Zapdos (Galarian),Zapdos (Galarian),Zapdos,Zapdos,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Groudon,Groudon,Landorus,Landorus,Landorus (Therian),Landorus (Therian),Latias,Latias,Latios,Latios,Lugia,Lugia,Rayquaza,Rayquaza,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zekrom,Zekrom,Naganadel,Naganadel,Mega Garchomp,Mega Garchomp,Mega Salamence,Mega Salamence,Mega Sceptile,Mega Sceptile,Mega Aerodactyl,Mega Aerodactyl,Mega Altaria,Mega Altaria,Mega Ampharos,Mega Ampharos,Mega Pidgeot,Mega Pidgeot,Mega Venusaur,Mega Venusaur,Mega Rayquaza,Mega Rayquaza,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Aerodactyl,Aerodactyl,Amoonguss,Amoonguss,Bellossom,Bellossom,Braviary (Hisuian),Braviary (Hisuian),Claydol,Claydol,Dartrix,Dartrix,Donphan,Donphan,Dragonite,Dragonite,Drifblim,Drifblim,Druddigon,Druddigon,Exeggutor (Alola),Exeggutor (Alola),Farfetch'd,Farfetch'd,Fearow,Fearow,Flygon,Flygon,Gligar,Gligar,Gloom,Gloom,Golbat,Golbat,Golurk,Golurk,Grotle,Grotle,Hippowdon,Hippowdon,Marowak,Marowak,Meganium,Meganium,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Noctowl,Noctowl,Salamence,Salamence,Stunfisk,Stunfisk,Swellow,Swellow,Tangela,Tangela,Togekiss,Togekiss,Togetic,Togetic,Torterra,Torterra,Tranquill,Tranquill,Venusaur,Venusaur,Vibrava,Vibrava,Vileplume,Vileplume,Xatu,Xatu
(Boss weights),,,,0.5952380952380952,0.0,0.5952380952380952,0.0,0.5952380952380952,0.0,0.5952380952380952,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Glaceon,Frost Breath,Avalanche,40,1.052017383551802,1.0741619574724917,1.0505746143532955,1.0659058078347896,1.0532882245208082,1.0680805721256892,1.0504180095772202,1.0651706592136405,1.0935142745078719,1.1199088978113116,1.1404134384545497,1.1773489317066421,1.1131874851983663,1.1311343647706518,1.0526319239271325,1.0998710379397532,1.102095905014328,1.155159564583802,1.0739171468639297,1.0896024830684772,1.0119795956705828,0.9948298756119452,0.9963392895692883,0.9834142369870533,1.2547842735099282,1.2270813864055508,1.068490631334355,1.0918752162950511,1.079607090715216,1.1368746972650734,1.079607090715216,1.1368746972650734,1.1024288190639382,1.1391121560501305,1.1099904679638504,0.9614853825288304,1.0538718556352022,1.0255317269903885,1.1611117448918937,1.0656983830584392,1.1211520194895972,1.1311524297304718,1.092427137874594,1.0745871646114162,1.1219418827214198,1.1650793650793652,1.084914728256392,1.1261808969324143,1.0730972723697851,1.1261193829764415,1.0517950600450994,1.0265268236404634,1.0592928640479977,1.099723856301235,1.0503817761876728,1.0339169421674743,1.0514805729149321,1.0231104796368036,1.144150093225606,1.1714629761164876,1.1084478436251224,1.158943112418005,1.0603862904752888,0.9603029729217951,0.965965965965966,0.9000433554573682,1.023968938062654,1.0527139925977558,1.0906274681633097,1.077356947696567,1.0685214264708331,1.0885690346851922,1.1495190942427125,1.1362278221574704,1.1117630679321115,1.116895969833298,1.136832085951965,1.131243643570553,1.1500298516654492,1.0627723216042233,1.0682622779233395,1.1002329367821202,1.0777313814506406,1.0968324391250517,1.0808887791161608,1.1197514914313942,1.1311774988081995,1.1693945653901159,1.0527504121760458,1.0925467200532784,1.1070865273258699,1.145811503887939,1.102306816287984,1.1407213488139547,1.0641903227971277,1.1026944500369102,1.0703059709364122,1.1021850430436442,1.0764278221868557,1.1023980902087027,1.1192675369682374,1.1713681551858324,1.0361593498498103,1.0797975286586272,1.0610036461612804,1.0522909314550966,1.0568602128966735,1.1015083315571046,1.0425589915819775,1.0998495223971736,1.0789782693785244,1.1207723865992085,1.0577990812861993,1.1360628453498436,1.1470540571825443,1.1705174209978007,1.1026470526249237,1.1606672427237665,1.0637130122921732,1.0876822771274732,1.0096908939014202,1.0547447048995038,1.0474399427164067,1.0838716784564904,1.0582510740169875,1.0987685698357001,1.022388492546836,1.0440302186648107,1.1159231947130883,1.1549202127659575,1.126902850816496,1.1633914567764554,1.0617653014976036,1.1106953779689293,1.0216696763439366,0.9830784578666228,1.1199924998828106,1.191609243894436,1.0665712912039589,1.1068048829109842,0.9816922233482299,1.0234911036166996,1.0580395168609928,1.0987293164839769,1.0758239599613963,1.1117801293055591,1.0322907510499073,1.054289969723606,1.064008983717013,1.1166680035293175,1.1282230493288647,1.1410731427994005,1.0090845562543675,1.0578922082459818,1.1368314028069442,1.1521299138152206,1.0865814965014393,1.143073270156122
Kyurem (White),Steel Wing,Blizzard,45,1.181508606757649,1.2514073967411201,1.1764690612239912,1.23626682384703,1.1780478259407268,1.2375443724565143,1.1800942432711772,1.2406643508467217,1.2771435446861161,1.3336106063563102,1.2818637823180552,1.423488615099509,1.3181564544855844,1.4129063758138871,1.2201760897457956,1.3193982207496187,1.2424344968556535,1.4012362220896457,1.2177337347715989,1.3266936507620017,1.1097832561828747,1.1698080792024521,1.2817297550685574,1.3638043015660564,1.3703759603695096,1.4448361272608483,1.4504414890987294,1.5616868542047757,1.2587183379916715,1.385720667446004,1.2587183379916715,1.385720667446004,1.2562971965968637,1.3341210225348183,1.1251883694738345,1.1373838959061273,1.3719454216282252,1.4583523454863923,1.4190238308245622,1.4569105788686814,1.305545825483532,1.386042974309454,1.2434593334647321,1.3328700093407488,1.257972919848681,1.350674425948482,1.4634059264548376,1.6191641721363248,1.434407732456297,1.5666468558967575,1.359645497928575,1.4393434369919764,1.2193218222883078,1.3033462373795393,1.1964095828993253,1.25008106516915,1.1646593923786477,1.2194348551617473,1.541535336943976,1.6650241202758294,1.2989260536831786,1.4043886187137147,1.309119484946033,1.3265858738875214,1.5590399316513968,1.2508304482826775,1.3830023267001108,1.474789173481509,0.9789820631682356,1.0269847870437299,1.019279107318237,1.078434255719367,1.522912473917499,1.620331386663045,1.2184402016928513,1.2898546348762232,1.2811119513912432,1.3661929225232743,1.5204761896615728,1.4941725101230505,1.2236885761781948,1.3194791246228887,1.2666622158562146,1.3161086968836235,1.0356708591404797,1.0981684842497246,1.3614560395904747,1.4634401035163787,1.2717600526285866,1.3524734623600023,1.2776043677273479,1.3361054431147632,1.277547080717738,1.3521818232320426,1.563418562512583,1.6547379370512045,1.2575965337898691,1.3305232581726127,1.4536960007716329,1.5434103760504456,1.3144539567394529,1.4500359770334366,1.22774522940038,1.3309688323743967,1.3917792974184007,1.464175367178691,1.2481663051518987,1.3108692653936331,1.2327495965455577,1.3172351376106775,1.5231005639233992,1.637740827184297,1.451794154849877,1.6298515411756873,1.3121773353397383,1.3791758305359416,1.316539863853822,1.434044974604312,1.2464490854206687,1.3137011837959063,1.1924713745147182,1.2890166592952972,1.2487744615893048,1.319584221832288,1.2713655593086939,1.3600744433148593,1.1733295632503915,1.2089640972101388,1.3322856221792392,1.388015796260477,1.313294584371252,1.3945566934219025,1.2589128149741078,1.353581037425626,1.3703418404071273,1.4305648511788254,1.602456288379506,1.7416490882670042,1.2499149829379552,1.3492500908803078,1.1689232967288556,1.2577791437542571,1.0217552188787264,1.074495566571249,1.0449751039825088,1.0967400309171813,1.4176066998730346,1.4638270338900283,1.2272532819978075,1.354054704419668,1.3273405527392763,1.3934351684995874,1.382359364081062,1.4421296296296295,1.3366622639895855,1.4213837075608853,1.29355340295434,1.3983106049463134
Kyurem (White),Dragon Breath,Blizzard,45,0.9396753375071423,0.9858548010802679,1.1353848221184533,1.1979510562337181,1.1383105903791648,1.1936825240551456,1.1374416713044222,1.1938653195770368,1.2032670215003438,1.2611627655805016,0.9923264988497771,1.0790234236330198,0.9529316156409067,0.999407934648962,1.171453993973031,1.2634185269484823,0.9698436139935646,1.0622296986708657,0.9596999847134435,1.018250819160037,1.103052460706252,1.1772357175313781,1.23049831305088,1.3169552264582705,1.2760013066814426,1.349977670633575,1.2003717802936669,1.2875740347060858,1.007746590969385,1.0929881884170836,1.007746590969385,1.0929881884170836,0.9975572336567773,1.0575424893901053,1.0746527151882397,1.08714242246388,1.337903118974374,1.4147161424218784,1.382181820365178,1.4162648830074034,0.9864525840441545,1.0346180184103482,0.9514898065865133,1.005014868072635,1.1624989527547385,1.262994541435467,1.182002306868426,1.3036552879466123,1.199154095020198,1.2894241768848531,1.1393256070061355,1.1904662016886045,1.1776683414471316,1.248967170545828,1.1117322585027853,1.1729668040396721,1.1317511941894496,1.1841160778045414,1.0295639853206664,1.083172408180177,1.0075279914046595,1.0688357649098996,1.093451997727703,1.096515811399356,1.1866803108841326,1.0350190955286498,1.1506661038081307,1.2280018849216088,1.1693547261751596,1.250590963766316,1.3701538666415125,1.4892992492550814,1.0055807291988197,1.0612244268023163,1.1930474340522752,1.2617712872848292,1.1767804521866119,1.2534409471405847,1.2108861924500092,1.1844542106244558,0.9886840953091115,1.04677462938766,0.9526160649980174,0.9892755699060475,1.2193829083862144,1.2922065584983091,1.2930126444348595,1.3771651040839026,1.197941962364063,1.269981401317339,1.248453096564275,1.3233772679644846,1.2226681851008279,1.2991222709849453,1.4786255955976109,1.571018723575599,1.1866252322571746,1.2662133763905004,1.2208678458181117,1.2969339651077272,1.263748366348992,1.3962172719129502,0.9549606354377391,1.0151152913152754,1.1442649836728118,1.188326426615513,1.1690509923893826,1.2466241207668292,1.2084769049592183,1.3032123696951192,1.2238732404575172,1.3117815050521158,1.4102789428133946,1.5539844218094667,1.298703553652043,1.3612686653547865,1.2829037492887099,1.4177327235558177,1.1836445016417951,1.247802265393605,1.1414320114010517,1.2097203793798221,1.1740461258822696,1.2528504095619535,1.2044731577739154,1.2781703997638802,1.1035467780291166,1.1615698045357,1.2771196002578982,1.3290719696969697,1.2960328443583355,1.3598948242457791,1.2116992449300379,1.3030308874723961,1.1120862746088471,1.145159049868037,1.2635353677401209,1.3489710776730885,1.2094937673698654,1.2984040245318198,1.1000282424866679,1.1677271443523334,1.5035537247783286,1.6156740906234728,1.6024750826308642,1.767275615567911,1.3213692743431977,1.3730344760230493,1.1862383358733724,1.2917970107751129,1.254399851794466,1.3202250029472693,1.222025681341719,1.3282669461914745,1.2595995781031746,1.3140755803456894,1.219894517871026,1.3120127755247841
