Attacker,Fast Move,Charged Move,Level,Arceus (Ghost),Arceus (Ghost),Arceus (Psychic),Arceus (Psychic),Articuno (Galarian),Articuno (Galarian),Calyrex (Ice Rider),Calyrex (Ice Rider),Calyrex (Shadow Rider),Calyrex (Shadow Rider),Cosmoem,Cosmoem,Cosmog,Cosmog,Hoopa,Hoopa,Jirachi,Jirachi,Lunala,Lunala,Mew,Mew,Necrozma,Necrozma,Necrozma (Dawn Wings),Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Dusk Mane),Necrozma (Ultra),Necrozma (Ultra),Solgaleo,Solgaleo,Spectrier,Spectrier,Victini,Victini,Azelf,Azelf,Cresselia,Cresselia,Deoxys,Deoxys,Deoxys (Attack),Deoxys (Attack),Deoxys (Defense),Deoxys (Defense),Deoxys (Speed),Deoxys (Speed),Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Lugia,Lugia,Mesprit,Mesprit,Mewtwo,Mewtwo,Mewtwo (Armored),Mewtwo (Armored),Uxie,Uxie,Blacephalon,Blacephalon,Mega Banette,Mega Banette,Mega Metagross,Mega Metagross,Mega Alakazam,Mega Alakazam,Mega Gengar,Mega Gengar,Mega Slowbro,Mega Slowbro,Mega Mewtwo Y,Mega Mewtwo Y,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Braviary (Hisuian),Braviary (Hisuian),Alakazam,Alakazam,Banette,Banette,Claydol,Claydol,Drifblim,Drifblim,Dusclops,Dusclops,Espeon,Espeon,Gengar,Gengar,Golurk,Golurk,Gothorita,Gothorita,Grumpig,Grumpig,Haunter,Haunter,Hypno,Hypno,Jynx,Jynx,Kadabra,Kadabra,Lampent,Lampent,Marowak (Alola),Marowak (Alola),Metagross,Metagross,Metang,Metang,Raichu (Alola),Raichu (Alola),Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Wobbuffet,Wobbuffet,Xatu,Xatu
(Boss weights),,,,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Gyarados,Bite,Crunch,50,1.1124435359478004,1.1340547470922266,1.0693246600250979,1.0936694938733509,1.0692912320688492,1.1156210430172229,1.0951371924271307,1.1481835945595955,1.0205168231171202,1.0552212618442647,1.30866261347386,1.389221289829868,1.3264038690661255,1.4306118323700592,1.006124346304184,1.0588192371615244,1.1754111650544599,1.218974494349132,0.9945434360361457,1.012193862034624,1.2092017687743624,1.2513988721969922,1.3802739343468493,1.4433347861550287,1.3398519157583422,1.3809350160329676,1.3750522176085682,1.415948831550569,1.339843379896715,1.3740071712767523,1.149865206791295,1.1993555065664676,1.032830533451183,1.0783539737302466,1.1795458311040836,1.2061836249147988,1.0199482950076575,1.0639798982896953,1.2238959411580428,1.2639700868088493,1.1119544355686402,1.1355408205088693,0.9793997632393536,0.9974283353705916,1.3111280533650802,1.3830519749820682,1.2129543212962777,1.2809384102057035,1.221678790928745,1.3037477015401215,1.221678790928745,1.3037477015401215,1.1388871915884622,1.184942838716196,1.207006020038678,1.2517658325280565,1.1572784717393647,1.1926942399772398,1.1199673248274227,1.1655368107891444,1.0353664779887963,1.0895925267557212,1.0933013249729693,1.1277130465181957,1.1712398574011977,1.2098413892348263,1.2236717315579169,1.2740668541078515,0.9883243970343438,1.020848946666764,1.0545842876954632,1.0424309962838163,1.0002032278046904,1.0279096557663256,0.9492274051497769,0.9745120885860628,0.9937190721653639,1.0072922288474844,1.1613260335925983,1.2271722953047264,1.0566271440820207,1.0313977311270561,1.1518834479519895,1.1758371845261422,1.0260557367058034,1.0218077084192358,1.1901707477125834,1.2415486551888884,1.1435343999969692,1.19703744343757,1.2394080449539453,1.3036214180115757,1.1871753289228553,1.2520432463522644,1.2180860499760564,1.3061768649499534,1.2973424336340682,1.3613430625283127,1.1468657357420717,1.1932721289706991,1.1834787744004738,1.2439029914432287,1.2190783322670882,1.286072156894756,1.1858523676930997,1.2460477495572717,1.123241995498725,1.1882178839663413,1.1867327071769924,1.2811104381430762,1.2734644600991538,1.3314658738618146,1.1910564820933796,1.2494360811407872,1.204910198115273,1.2629228552859955,1.2932775588046683,1.3496492771392716,1.234755255798316,1.2968066005457437,1.1738937018428126,1.223739442211653,1.2375480115345068,1.3173454025522875,1.2308914253843364,1.2840814066084945,1.2272290423931775,1.2929780410672131,1.222532124499921,1.267806407993025,1.1988790876327156,1.2548658663252417,1.3510534978582456,1.4202622969570655,1.2283210065774568,1.2990907733797874
Mega Gyarados,Dragon Tail,Crunch,50,1.3025850132947938,1.3573082568393717,1.2487640768584247,1.3008283257705748,1.2284003756499304,1.2955633121081112,1.2401195139514425,1.310967022280022,1.260554964664493,1.3601275294650845,1.5703800395485348,1.6564259339650786,1.5472937510759235,1.6668880661607268,1.2726716915021206,1.363560476333963,1.4938957312601795,1.5905600187270008,1.2410484714930063,1.304917365678969,1.4149508886688396,1.495643235192677,1.586352625628942,1.6725644571566538,1.6922783603807554,1.7901224228226222,1.6918342049448485,1.7811316962977364,1.3486261530705748,1.3825069155151566,1.4508212109792529,1.5617256912511295,1.1757816914811474,1.2436071950669283,1.3893512743570413,1.4422586713188281,1.1697713190236785,1.231092153406415,1.4289764184081628,1.4953844283347768,1.2651527276586805,1.3295209654728561,1.1137705030266412,1.1578933287603035,1.4975714598822312,1.596253986305013,1.37846831679339,1.4829598047297798,1.24863094614062,1.3288800069095963,1.24863094614062,1.3288800069095963,1.1654023675771847,1.2133027290067988,1.210564008033334,1.2551593331687632,1.2022783723765553,1.2458363895349966,1.304218112213495,1.3598170867573518,1.224410245864275,1.2999982261172471,1.2603192505847844,1.3271750608284378,1.3758482849633933,1.435441117189101,1.4388182127269677,1.506378511751284,1.12871110911909,1.1813161427709267,1.188262144994086,1.2091622429534326,1.2407772208159513,1.3077854902098025,1.09112892484515,1.1389424615909558,1.124528050126882,1.177398119339482,1.3531657782806394,1.4496207350956827,1.2145315008828894,1.2028323791140245,1.180937432973628,1.2123330259530318,1.069014917602267,1.0797524853936815,1.3688063990423165,1.439745599247486,1.3293450114937302,1.4212999340976764,1.4448272336277703,1.5137731309259428,1.4176315250753644,1.511212591284935,1.4316556591281957,1.5037041546861638,1.5572919067197637,1.6387615665210016,1.3327124361295093,1.4189747655106362,1.3559222383109146,1.444606070259845,1.4133550822250363,1.5209777411994159,1.40471230688331,1.4831644515086742,1.3272613845455128,1.4121564809454232,1.3753870564843407,1.4536336890241965,1.473520444654061,1.5415628199788636,1.396890342370359,1.4747999539104826,1.3981029604025457,1.4570681648072565,1.4967242950955892,1.5776429251253092,1.4542316371805386,1.528360102628366,1.5243458819529623,1.60758333745214,1.6130238169448066,1.7244223680008017,1.427172450224261,1.5142025909501835,1.4313009871069646,1.5259289461151293,1.4244881217968506,1.4982875957231012,1.398477548426795,1.4704142828150428,1.5846779545299985,1.6762586391358132,1.426215408939426,1.4998359628867115
Mega Gyarados,Waterfall,Crunch,50,1.3040065979095785,1.3556611498005855,1.2493176288715,1.2987905950171938,1.214142548997662,1.2827546229178688,1.234483227148798,1.302274814061039,1.2847523690190554,1.3811148502830464,1.5635152260937817,1.6528390461747988,1.5591399569370652,1.6787181569111933,1.3076966284467002,1.395413219047899,1.360818763608636,1.4364304666964527,1.2870708690880954,1.3493945541247507,1.3999535522861455,1.4751422527768092,1.5686716988810365,1.6513002238573478,1.7388838287735806,1.8423996323610559,1.5734252301218767,1.6326126915692325,1.660480062531306,1.7610030776791037,1.3446769830540886,1.4262725347973861,1.1713136440502439,1.232332866665442,1.1778576426261416,1.193535989893738,1.1772825454235443,1.2410196707344372,1.4221745207422998,1.4856337653920613,1.25510795164949,1.3183691778354616,1.1144143165081728,1.153133023989131,1.5016906230255678,1.6023636443841114,1.3791887856060943,1.4931724318266464,1.602779400889802,1.7511641645092006,1.602779400889802,1.7511641645092006,1.470711045401484,1.5917658756713386,1.5002070357418862,1.6044669604945039,1.4992882366896223,1.6022278825964975,1.3162744602659044,1.3744216975199504,1.2089112547085243,1.2793969499942452,1.2588272407703296,1.3181043356715538,1.3941819148145562,1.4604746837581044,1.428387666422505,1.4894399517268095,0.9755357088878998,0.996796639089915,1.1912258682718615,1.2088766724201578,1.1316618320122047,1.1811462036341418,1.1036893260321743,1.1477291921104256,1.1154406028453083,1.1688585037515071,1.5253390960649145,1.6512725725190658,1.200439916209209,1.205451350828082,1.4638572769652862,1.5512941601090477,1.316249666991672,1.3715491106218185,1.3708851494373002,1.4492918465203568,1.3304905960466527,1.4156844602940652,1.4226701629685015,1.50667990229324,1.171377919177711,1.2280605944250316,1.4289133991999072,1.518155872979853,1.5534344015202586,1.6366461558121386,1.334857137825907,1.412203164656649,1.3690548465160643,1.4557170735798461,1.2060995497202767,1.262780726434909,1.3918460245461381,1.4692278566839247,1.3441836932401832,1.4311841651623114,1.3906686766887206,1.4738157689381168,1.457651479108067,1.5431113572321793,1.3831466532495136,1.4619159152654666,1.4018344624646586,1.4854871590836685,1.2625773607773294,1.3011210590453333,1.2190185101227498,1.2755122333895377,1.3855076460390863,1.4542795166218645,1.4575302356815998,1.5367053141670888,1.4191994459155786,1.4977094180688255,1.6295149265237459,1.7660792906260812,1.6234190162601363,1.7334949000744213,1.5802716896908742,1.6909512729397849,1.5358989938769125,1.6231156582989266,1.4119364208740395,1.4860603328874127
Mega Gyarados,Dragon Breath,Crunch,50,1.314351266026387,1.3733372316817696,1.260643932603366,1.3208249731675348,1.2308293074033883,1.310388044799554,1.2479993404075052,1.3341430544737958,1.273747009133171,1.3747111306930304,1.5968598569232233,1.7090676177614155,1.6276071839803805,1.787384907419089,1.301816122099512,1.4123854249674617,1.5538186272492118,1.6784961533075438,1.2711958834983281,1.3394362625537333,1.4511502994558745,1.5503037493607084,1.5926697634103657,1.6953153777321175,1.7223127831781537,1.8508650235370905,1.7512398096193285,1.8789391304725371,1.3828609538485312,1.4244615002981253,1.47444840962912,1.590687923416222,1.2115524306873213,1.3026582451106574,1.4297304695723008,1.4987842847536248,1.2125203569650982,1.29442481408993,1.4934374921866151,1.5773962639887162,1.2771248764809715,1.3451122763167924,1.1386632727872152,1.1988501953840316,1.4813398955163588,1.5843984665786564,1.4169845039725293,1.541047778938812,1.2723059978246483,1.362764279954412,1.2723059978246483,1.362764279954412,1.214143154235628,1.2765138684007806,1.2562579995310994,1.3105455745334873,1.239686898244512,1.2912069078372332,1.3239216948405117,1.3973681388020704,1.2677244920816761,1.3639207099161283,1.2843429436048428,1.3585280425100656,1.4330141900671782,1.512039960093955,1.505216640623928,1.601381952501998,1.1625411201782812,1.2355969930674193,1.2035986570345745,1.2226552215833904,1.2350742293701722,1.311899432081321,1.1346145328025339,1.1988516575680468,1.1145039145914355,1.1761475901609781,1.4137574425852073,1.5237765578206262,1.2377014305283218,1.2336933309459652,1.2041800688737299,1.2394742140493216,1.1052364001454913,1.1147821772143744,1.4250225186854002,1.5350587300768703,1.3928828934478075,1.4923670919579362,1.4682827225789952,1.5764539485817521,1.4404514079561923,1.5382317278397108,1.4722702484028334,1.5779524447906637,1.582176591493703,1.689548797096174,1.3773327872268477,1.4747116228395558,1.3877722164519206,1.5086811265659223,1.4454144754816778,1.5511744579832374,1.4362843922431934,1.5421898698983554,1.3665085935497225,1.473015886865357,1.4437645681483757,1.5270216286380982,1.4923522846008694,1.5837814576225906,1.4252299189973408,1.5236919854996012,1.4278435119941015,1.5153799153910326,1.5266920474949146,1.6337987827551779,1.489978791722489,1.5871488026407614,1.5662671483647082,1.66249748088568,1.6431946918422924,1.7802082189054416,1.44922408226573,1.5544398658472438,1.486640478580704,1.5780701904660748,1.4784343815023901,1.5411078332003307,1.4311295770906909,1.5205289287572912,1.6257605854647537,1.7391946185223426,1.4694920891765921,1.5815914080459614
