Attacker,Fast Move,Charged Move,Level,Arceus (Ghost),Arceus (Ghost),Arceus (Psychic),Arceus (Psychic),Articuno (Galarian),Articuno (Galarian),Calyrex (Ice Rider),Calyrex (Ice Rider),Calyrex (Shadow Rider),Calyrex (Shadow Rider),Cosmoem,Cosmoem,Cosmog,Cosmog,Hoopa,Hoopa,Jirachi,Jirachi,Lunala,Lunala,Marshadow,Marshadow,Meloetta,Meloetta,Mew,Mew,Necrozma,Necrozma,Necrozma (Dawn Wings),Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Dusk Mane),Necrozma (Ultra),Necrozma (Ultra),Solgaleo,Solgaleo,Spectrier,Spectrier,Victini,Victini,Azelf,Azelf,Cresselia,Cresselia,Deoxys,Deoxys,Deoxys (Attack),Deoxys (Attack),Deoxys (Defense),Deoxys (Defense),Deoxys (Speed),Deoxys (Speed),Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Lugia,Lugia,Mesprit,Mesprit,Mewtwo,Mewtwo,Mewtwo (Armored),Mewtwo (Armored),Tapu Lele,Tapu Lele,Uxie,Uxie,Blacephalon,Blacephalon,Mega Banette,Mega Banette,Mega Gallade,Mega Gallade,Mega Gardevoir,Mega Gardevoir,Mega Medicham,Mega Medicham,Mega Metagross,Mega Metagross,Mega Alakazam,Mega Alakazam,Mega Gengar,Mega Gengar,Mega Slowbro,Mega Slowbro,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Mega Mewtwo X,Mega Mewtwo X,Mega Mewtwo Y,Mega Mewtwo Y,Braviary (Hisuian),Braviary (Hisuian),Alakazam,Alakazam,Banette,Banette,Claydol,Claydol,Drifblim,Drifblim,Dusclops,Dusclops,Espeon,Espeon,Gallade,Gallade,Gardevoir,Gardevoir,Gengar,Gengar,Girafarig,Girafarig,Golurk,Golurk,Gothorita,Gothorita,Grumpig,Grumpig,Haunter,Haunter,Hypno,Hypno,Jynx,Jynx,Kadabra,Kadabra,Kirlia,Kirlia,Lampent,Lampent,Marowak (Alola),Marowak (Alola),Medicham,Medicham,Metagross,Metagross,Metang,Metang,Mr. Mime,Mr. Mime,Oranguru,Oranguru,Raichu (Alola),Raichu (Alola),Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Wobbuffet,Wobbuffet,Xatu,Xatu
(Boss weights),,,,0.925925925925926,0.0,0.925925925925926,0.0,1.851851851851852,0.0,0.925925925925926,0.0,0.925925925925926,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.617283950617284,0.0,0.617283950617284,0.0,0.617283950617284,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,0.925925925925926,0.0,0.925925925925926,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Guzzlord,Snarl,Brutal Swing,35,1.4785183917001457,1.479849339773342,1.4266225593965018,1.4231785160452834,1.3713728999904236,1.4091515416743277,1.4097368536606223,1.4422115362088537,1.2700259513488177,1.3227103111156424,1.7040809376772557,1.826680143756651,1.6925790440919846,1.8173812061085879,1.2656795759999693,1.3398509786002164,1.5406210379733436,1.5782832460642218,1.394707487730245,1.2984774014446478,2.677106191786109,2.805657978711939,1.274437789979998,1.3141920558997673,1.5348446354270857,1.5908830141834844,1.7100260159469811,1.7802653471944458,1.663283676011117,1.7618843283563712,1.649893647787305,1.7430325014196615,1.603018386676782,1.755296462079079,1.4530460098938602,1.528295094243612,1.2559370258858933,1.3331675698775123,1.4915555068500421,1.535345856077534,1.3086408921506172,1.3461576169966263,1.5563497397855506,1.6067793711286071,1.3802429024828804,1.4327570869819024,1.2133512565331859,1.2469703383991775,1.5859302061116172,1.6968156307498512,1.516940314644689,1.6120057692993721,1.542802836357603,1.6587547599148809,1.542802836357603,1.6587547599148809,1.4717329975152502,1.523000355492357,1.5194656358459835,1.5483314527861098,1.4800034258305717,1.543075133055409,1.426562780354395,1.4941457147672925,1.3859452636227076,1.4354169245943313,1.447696527060185,1.434798828068828,1.5105090667319419,1.5781817949172308,2.466786023720077,2.302074129004723,1.5370301983190222,1.6320499320249897,1.2665591190065395,1.283422853588939,1.4924252011808758,1.268062921706442,2.115883354117132,2.120522026746131,2.0723631626043666,1.7511341177440594,2.5560423586847816,2.6392597448971977,1.1599522939798335,1.1804169385631051,1.2557727893774002,1.206753202942841,1.3338460454261687,1.2351049506930623,1.4481388858969715,1.5290443467447394,1.4554965856825464,1.4881175992045794,1.3063728581204856,1.3578905487936,2.107021154149788,2.0524789957204934,1.3379827538963076,1.298695095437034,1.5381926078651662,1.578233824367933,1.4456748668966213,1.5290856295823356,1.5885362119420734,1.6548769848492226,1.5182788232702813,1.6305317685865166,1.5287869451053604,1.6635222664108895,1.6667336714622012,1.787277594296552,1.4328660174534549,1.5230592882129077,2.4611551907097873,2.5691648725131397,2.520405724611471,2.5301513807859584,1.5189386469517472,1.5767565416066303,1.3209025897137063,1.4127545630948963,1.5609359112034678,1.6333204661651577,1.5358456432915584,1.6087324340655305,1.41748423665806,1.523282563174985,1.482012300788677,1.6029416195747173,1.5887925573185875,1.7038930873217533,1.5839323420795968,1.609459838993812,1.5284645326135353,1.6048713791573517,2.6726451894194083,2.829370576145304,1.6137671410889587,1.7218989465330499,1.5675924642890238,1.6749266993052057,2.522022405936794,2.7030870177670856,1.458121432662656,1.5338121295059806,1.559850247013157,1.6786105319205469,2.3214510156351813,2.463212784284702,1.3695697407817502,1.453956695753747,1.5198650278028565,1.6454934195644777,1.566321581160161,1.6582247939088532,1.5560761178789395,1.639429688639632,1.5072998971920255,1.5786901495756047,1.6876081323019216,1.7945775683272258,1.5088521784017608,1.620102243794847
Shadow Gardevoir,Confusion or Charm,Shadow Ball,50,1.371837970613711,1.372541651371887,1.3933933050296528,1.3728206725289402,1.3245790886457536,1.3516713844268553,1.3858437698239547,1.3793608508876987,2.092333351543058,1.5465179048366413,1.5532450116059549,1.6432773045328335,1.530061553328224,1.65004288264667,1.8643685536576058,1.5662283996469,1.7874054064790355,1.8217692910622247,1.5230136048335152,1.4970367909464048,1.3494846851548412,1.4074565881804968,1.992751623682269,1.99928244303349,1.5224256726898786,1.5554172180550396,1.6472075912297928,1.7625708479399178,1.8768822700141155,1.994776667156256,1.8776860921998502,1.978021740997932,1.3820360607296887,1.391316831244849,1.7897611941375007,1.7995295809155272,1.4749788426606414,1.3101139274914648,1.59451407508945,1.6410983883845127,1.2901837827434055,1.3103399283751966,1.476958787882649,1.495564212898766,1.6593328650414398,1.404983013538474,1.5157966875615716,1.2734189450015425,1.5148541787661165,1.5617176445265135,1.4734998663512147,1.5086088359007632,1.252855554680074,1.2596485095977221,1.252855554680074,1.2596485095977221,1.2416210697917136,1.2300923355971072,1.1904052947636845,1.2106870250973303,1.2138631419973658,1.2270554520404204,1.4235143887099366,1.421789328066004,1.3277210336915433,1.3541886421036993,1.3948202990737228,1.3870365824537545,1.4667997851613652,1.5015250326161937,1.3481072950798223,1.3440210385552855,1.5212089991107678,1.5268377825791226,1.9646253720310323,1.3058339078604826,1.6285276473809573,1.2681437768491806,1.078718306904452,1.0902681731436665,1.2827825321496038,1.108018849622547,1.1979346524399415,1.2279203116621868,1.5972730729670872,1.4359944957279551,1.4688520232689386,1.217564953975286,1.4133245483651378,1.1391925144954658,1.4575471716588169,1.5054435359895033,1.178968775792129,1.180521658069356,1.1652633207241514,1.0729200596799822,1.0962735788184512,1.0546805070191823,1.3345158387095855,1.3016100902271635,1.4919162422900307,1.4953443208497046,1.4213653068111571,1.4437957502551644,1.524425606967692,1.5156038175108875,1.444710921173506,1.4817535443180778,1.501766351583824,1.5159210161540797,1.4858284713964993,1.5710293015557852,1.3846876987308874,1.406633157669355,1.2748716912287457,1.2817142837167061,1.5653625198432617,1.5393803026065391,1.3526115976296549,1.3228877407868782,2.004367883949842,2.076420294714978,1.4821018945040094,1.4930984708733923,1.4209845200914297,1.4785912087115365,1.4139492404148495,1.4174910075713756,1.3013589964708507,1.2824985814827299,1.486936332364969,1.549184375815058,1.4374164021324378,1.4786344411988348,1.497847705482322,1.4946313409638787,1.539368875366181,1.6451016286000437,1.4751308989612937,1.5340961622340759,1.4881859427587245,1.4930175573122597,1.216605444214934,1.2946950539711122,1.8225518633741302,1.7247936387260991,1.7098654261027377,1.8050031541990306,1.4286444656342345,1.4386960778188602,2.011999421714616,2.0613843753077763,1.5217442530600844,1.544207938221994,1.4499856704491085,1.5180868396479572,1.4489770984963648,1.4895687412174898,1.4895825926543282,1.5081646922186782,1.524966065418416,1.6570219880202435,1.495067047231701,1.532683299196696
Incineroar,Snarl,Dark Pulse,35,1.6008011804426077,1.5998061613416652,1.5436796669075772,1.5427570122937895,1.5657891420878922,1.5618885255759434,1.548445298946881,1.569559341594675,1.4507807737849034,1.4634526668086916,1.8430791585815267,1.9509433194713373,1.795047669318853,1.9207623050955605,1.4349667070546197,1.455104906628954,1.690092377397968,1.7068909972880695,1.4347090030430039,1.4477116160436727,3.060827150235607,3.232173814860075,1.4428892184170063,1.4665698952362358,1.7672800175908931,1.7896460541297858,1.9308983831591555,2.039558368580103,1.9094531350586763,2.011771806631477,1.9332666671873022,2.0414900689383484,1.9391761952455064,1.983590841036575,1.6681742941941686,1.6882638216772308,1.5205322493212372,1.5028382162534049,1.692348345416069,1.7091888295659041,1.4638741653136547,1.4677530112084325,1.6729036619679656,1.714497151105706,1.6089277949547836,1.6267702203454129,1.4946759994806988,1.4233114157634512,1.7726722228604572,1.825641580273485,1.661876575473467,1.7249994350288536,1.7657560074855367,1.8116515248088925,1.7657560074855367,1.8116515248088925,1.6540172176592831,1.6971423220120005,1.7396360663605697,1.7502267645751834,1.6801416937892284,1.7030437977060517,1.6553005088420136,1.6955977514946408,1.5094159073276217,1.507255711550207,1.638219474674012,1.5990649635134928,1.7405664442903876,1.7807430351242064,2.6277827584169082,2.5058489518188574,1.7412963266452164,1.7772467498144675,1.4217271856257152,1.4330860792603801,1.4470910507028147,1.437184147392285,2.5679619662138675,2.4923025121717983,1.9200176298412346,1.9067607531118973,2.8748264811818913,2.8841376530955527,1.4087342325085477,1.314679536316175,1.4255635293156474,1.371084604978854,1.5183481683195612,1.3969000472912874,1.7069708891869926,1.6997103606294124,1.6898973983427128,1.7136892945625575,1.5195418070938915,1.546138065333367,2.3685873066860976,2.2817550994522118,1.5465707014907661,1.4855033614513955,1.6874450012614621,1.7198608603781138,1.6548292351677067,1.6573366217731225,1.7439150848588403,1.7917682666606662,1.672484863787518,1.728640480705694,1.676570044951809,1.775209209494759,1.7776013557294064,1.871239194436496,1.5701625325757043,1.6331378033903257,2.7977208593303695,2.8677694691503284,2.6852227915232563,2.748958467085597,1.8173229312967674,1.7568687165437211,1.4461239400518688,1.5222282471031985,1.8191813629004883,1.8408710907806773,1.6277009002435403,1.7104896720805864,1.5717784673061723,1.6529479931333178,1.6914580768903877,1.7389420919283918,1.720759851645044,1.791855240732326,1.688111471913178,1.742927169263236,1.680235572052775,1.7462339491039898,2.830590687167118,2.9868763815474457,1.7512941756218132,1.8170611961702603,1.7405418088120654,1.822530283026968,2.8740543050793192,2.9675878889990925,1.6834085231469824,1.6871214185054397,1.6751801102891077,1.7765611706787343,2.51052385929213,2.6102236904931186,1.4666163125652167,1.5222762807595207,1.733669682002986,1.785178825376032,1.7042185409827726,1.7644292067938347,1.6640169881341709,1.725311450942501,1.7694678652273825,1.8060481223626466,1.7997085825756893,1.8967116636145942,1.6802388829067474,1.7558688280393653
