Attacker,Fast Move,Charged Move,Level,Arceus (Ghost),Arceus (Ghost),Arceus (Psychic),Arceus (Psychic),Articuno (Galarian),Articuno (Galarian),Calyrex (Ice Rider),Calyrex (Ice Rider),Calyrex (Shadow Rider),Calyrex (Shadow Rider),Cosmoem,Cosmoem,Cosmog,Cosmog,Hoopa,Hoopa,Jirachi,Jirachi,Lunala,Lunala,Mew,Mew,Necrozma,Necrozma,Necrozma (Dawn Wings),Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Dusk Mane),Necrozma (Ultra),Necrozma (Ultra),Solgaleo,Solgaleo,Spectrier,Spectrier,Victini,Victini,Azelf,Azelf,Cresselia,Cresselia,Deoxys,Deoxys,Deoxys (Attack),Deoxys (Attack),Deoxys (Defense),Deoxys (Defense),Deoxys (Speed),Deoxys (Speed),Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Lugia,Lugia,Mesprit,Mesprit,Mewtwo,Mewtwo,Mewtwo (Armored),Mewtwo (Armored),Uxie,Uxie,Blacephalon,Blacephalon,Mega Banette,Mega Banette,Mega Metagross,Mega Metagross,Mega Alakazam,Mega Alakazam,Mega Gengar,Mega Gengar,Mega Slowbro,Mega Slowbro,Mega Mewtwo Y,Mega Mewtwo Y,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Braviary (Hisuian),Braviary (Hisuian),Alakazam,Alakazam,Banette,Banette,Claydol,Claydol,Drifblim,Drifblim,Dusclops,Dusclops,Espeon,Espeon,Gengar,Gengar,Golurk,Golurk,Gothorita,Gothorita,Grumpig,Grumpig,Haunter,Haunter,Hypno,Hypno,Jynx,Jynx,Kadabra,Kadabra,Lampent,Lampent,Marowak (Alola),Marowak (Alola),Metagross,Metagross,Metang,Metang,Raichu (Alola),Raichu (Alola),Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Wobbuffet,Wobbuffet,Xatu,Xatu
(Boss weights),,,,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,0.6944444444444444,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Gyarados,Bite,Crunch,50,1.1893242144256915,1.2514124394988662,1.1268576322219541,1.1893026211602704,1.1760265246857808,1.2455179908085623,1.208955557427409,1.2969519543008026,1.0451003701720212,1.1139029313622213,1.3086614782230386,1.3892222168511625,1.3264047770807474,1.4306082055754974,1.0728939147660892,1.1449052674353635,1.2584451047091691,1.3334233694321815,1.0519559920793042,1.1033188445031161,1.257557006018479,1.3363079596507585,1.3425521774623561,1.4433350163504324,1.2862137052630882,1.3813514756028589,1.3150266876504042,1.4161732990265876,1.324855475114603,1.4234152521968018,1.2392803858535593,1.3112760721898926,1.1431146132405643,1.2327079447576337,1.2523322390542413,1.317111186996026,1.1357156129334416,1.1993977697627478,1.2847264624346424,1.3480454082885918,1.195683215798797,1.2685613638047513,0.9859370223173342,1.0407661736001694,1.355174868929211,1.4527332484699418,1.2758468787238406,1.3738751083529739,1.2981767819002776,1.3890780036194612,1.2981767819002776,1.3890780036194612,1.24124236087471,1.328910224791176,1.2757305352038222,1.3534992007154638,1.2317274218470429,1.3057340782677584,1.2125657739731408,1.2771852666300165,1.1511032941995993,1.2116723850282196,1.1906500897726888,1.2655351920232167,1.2378662308100985,1.300518446188665,1.2856954671119263,1.3537212930774916,1.019246988301716,1.0849548680893577,1.1330735444410638,1.1792621371342087,1.1002109254438082,1.1619790602024793,1.0720330124796627,1.1356735351772573,1.0781083737693664,1.144418267205467,1.2609143422627267,1.3324070238424008,1.1532173016964091,1.1928303969686573,1.2258327546558132,1.2934347477982386,1.0880118317919305,1.1357264520616017,1.2482465275599444,1.3108445526292676,1.2191434207400829,1.2778667107315107,1.2786694225193858,1.3552414376673279,1.243298105934948,1.3112253763644695,1.2695945499040941,1.361416098948343,1.2973485306810573,1.3613484016165331,1.2524082465564326,1.3030839560263683,1.242075959894654,1.308725684978977,1.2643541920864563,1.3426645749811166,1.2647441557837988,1.3289492029558023,1.2090155239685278,1.2789517862248991,1.2443700358199659,1.3434667497274568,1.3069730466384009,1.366501362810418,1.2457693458890704,1.3089701379135679,1.2527432913728713,1.323167654395755,1.310080467288298,1.367183340685417,1.2563796433806045,1.3195208836861674,1.248710279782251,1.3017312318014937,1.2819069757957628,1.3645623050100937,1.2509646302250805,1.3351171336701884,1.276904897807953,1.345309980873414,1.2722377065498705,1.3193509854668524,1.2476822607918212,1.3059415754795825,1.3510629442807438,1.420266693302702,1.2781229265938838,1.3517582483865132
Mega Gyarados,Dragon Tail,Crunch,50,1.3926313111952624,1.4977698323702113,1.3158544003751795,1.4145769543157558,1.3513491820114552,1.4387522201664171,1.36902480071925,1.480826587498732,1.2924123563302947,1.4329511949670728,1.5703794653647218,1.6564257746410789,1.5472910865845886,1.666885839847026,1.3565550871133234,1.4744247472951693,1.6007229617374714,1.7357834406732449,1.316624031585447,1.416764255883489,1.47024243451725,1.5922840552682884,1.5409468622741491,1.672564304622949,1.622137846410298,1.7906638311101997,1.616976010258716,1.7814152365250262,1.3335421629291624,1.4284528765887219,1.5680441602178765,1.701929953230564,1.3004353794245238,1.4216159859169688,1.4765225807668054,1.5746578370145665,1.3033575735670306,1.3877792569099938,1.5007439379583816,1.5948538442643085,1.3612149501235966,1.4762371436076704,1.1210580156621124,1.2062472073936459,1.5480938100066883,1.6762533531827368,1.451012275605305,1.5841235234052573,1.3267399282146874,1.4158535627940307,1.3267399282146874,1.4158535627940307,1.270393193507525,1.3607149225492852,1.2790652625328358,1.351641746730899,1.2798034101228064,1.3612028719000997,1.4122330665486247,1.4900751804545098,1.361519114978515,1.4456531151440044,1.3721896631548043,1.4810506227627405,1.4534576347740753,1.541112571548336,1.512091807407002,1.6005580570990612,1.1636481918193329,1.255501213972886,1.277732269213066,1.3558600728657133,1.3676324910542004,1.478093180077317,1.2323871331315501,1.320587050115586,1.2225266409748334,1.3289875649446898,1.4692045245328178,1.5739292782840835,1.3247619714285388,1.3880339075243078,1.2575436270392235,1.3256944622036695,1.133764503980243,1.1906985629910907,1.4385751389603383,1.5201069022196012,1.417992915199273,1.5172834023567805,1.4912538667480475,1.5737213721927064,1.4846452774750014,1.5826501113691296,1.4922117864938156,1.5672994245651166,1.5572925489436875,1.6387725963749,1.4553611619602078,1.549560363712751,1.4216143787829782,1.5225823591923486,1.4667247690430538,1.5879030852361862,1.4981642422270762,1.5818422642561694,1.428620183926282,1.5199929897705995,1.4423298551627473,1.5243887244977419,1.5122936856450635,1.582128255602665,1.4628508277116476,1.545069417263371,1.4511831119955012,1.5265821689665615,1.5161619080938835,1.5981351059460611,1.4797084146258603,1.5551284664589462,1.6214948094695532,1.7100344980377262,1.6708366468872984,1.7862298892763198,1.4541111621497476,1.5743798805695912,1.4892300297413403,1.58768688476983,1.4824109098148517,1.5592076448337646,1.4554041709587762,1.5302715204757924,1.5846776207361535,1.6762556393480832,1.4840340189396224,1.5606490138126545
Mega Gyarados,Waterfall,Crunch,50,1.3941127157172184,1.495953454878962,1.3160837901304632,1.4123612191980532,1.3356274195440503,1.4223986235482735,1.3627210482072898,1.47100909892611,1.3174239793786524,1.4564709482641933,1.5635152511238943,1.6528389810025619,1.5591398570901405,1.6787144822033613,1.3937973027886421,1.508866891857571,1.4576394223058806,1.569508571717973,1.3650120605063283,1.4632086117794494,1.4554611341866575,1.5709926252437059,1.5243345397577397,1.6513016642994323,1.6670492242459922,1.8429573575083265,1.5042904249206863,1.6328720241812593,1.6412276375061072,1.8207190127658779,1.4516574932770363,1.5556149598221527,1.2961837500261961,1.4087248779261061,1.249380408982446,1.3033010636225177,1.311276163034874,1.3989711688000956,1.4934624697336563,1.5844545039828755,1.3511386368687992,1.461129409228987,1.12160477859041,1.1993744561766575,1.552408897710846,1.6830927671938265,1.4515482041319279,1.5918315560400567,1.702827729341592,1.865777972819818,1.702827729341592,1.865777972819818,1.6018947578058602,1.7851619760874247,1.5858565560341005,1.7276204855811967,1.5969183543871768,1.7454612022513512,1.4252557777571522,1.5060794071239372,1.3443582574359545,1.4227424659063137,1.3715550436442066,1.4693745271407117,1.472656878307308,1.5661266659409612,1.5010829250266882,1.5825589193332057,1.006015264692557,1.0591582346859354,1.2807514374205227,1.3579196604801025,1.246183013201372,1.3352029848533518,1.2454394240994737,1.3309579860448348,1.212244706910271,1.3176789977064578,1.6561406839731196,1.7928748964374481,1.3108377159814513,1.3884883335303277,1.557224157704542,1.6959188972799861,1.3962255038224716,1.512265931973636,1.4387131582579455,1.5301823109449302,1.4200274716762886,1.5112830099042622,1.4645785071231394,1.5663554772572792,1.2267507069175239,1.2861159818649985,1.4893511475626695,1.5823632515378,1.5534448128161071,1.6366510982584355,1.4577018875851515,1.5421680721023519,1.4377512359654392,1.5321928568128262,1.25036313985242,1.317808378362675,1.4844425338104754,1.5669819212715526,1.4468283323955615,1.5404794627950522,1.4583553963557079,1.5455536520791155,1.4960062083585706,1.5837182010902482,1.4490479589252412,1.531577372044298,1.4522501477988783,1.5563438162391314,1.2789735477099526,1.3180207176647754,1.2403735088281258,1.2978558186036129,1.4738099759463223,1.5469600582352196,1.5097673375339002,1.5917803470565446,1.444407441433165,1.557234726688103,1.6954666987112084,1.8375642142578184,1.689428628309775,1.8039816842524388,1.6445938854444033,1.7597811509980368,1.5359003812282543,1.6231167490719007,1.4691839073526751,1.5463055672839134
Mega Gyarados,Dragon Breath,Crunch,50,1.4053996926130399,1.5154571216686312,1.3284385524317013,1.4363214039332697,1.3537468588375485,1.4624593784151458,1.377994798157867,1.5070059840094066,1.3060216218124894,1.4511625990901653,1.596859863682506,1.7090675303330594,1.627609111342212,1.7873863598242141,1.387876517498857,1.527219738914004,1.6648736821669436,1.8360906888605648,1.3475920050857924,1.459050550707357,1.5096549970331439,1.6553763668729335,1.547843300097678,1.6953157072682743,1.6506676015624224,1.8514243379383564,1.6737799039078045,1.8792373410606777,1.3674684008873699,1.4756826507021117,1.5926649439429355,1.7405678590930795,1.341031498208186,1.4891181339983655,1.5178356318780888,1.6366232237168759,1.3520119733348945,1.4591738297108734,1.5683826367687828,1.6823191914938416,1.375177648905144,1.5036371718967851,1.1468910942313573,1.2512405051383957,1.531407365854711,1.6642228886635455,1.4916311918522625,1.6527548553297484,1.3518788788929843,1.4519555760439167,1.3518788788929843,1.4519555760439167,1.32275492505031,1.431607394696438,1.3277790752196448,1.4170454895187818,1.319195851424056,1.4145183610063645,1.4336791301057383,1.5312238064299637,1.4094609858929976,1.5167365506252994,1.3991124360581322,1.524340255428707,1.5139148617449751,1.6253653575264055,1.5815837735745764,1.7015010401554758,1.1985966705777116,1.3131887408371186,1.2926759816197408,1.3844641561541882,1.360073767748399,1.4830102812114623,1.2804454988077818,1.3960528030006938,1.2132432558937793,1.3369821977439034,1.5349926355518733,1.654446285556476,1.35148015500976,1.4273945439043227,1.2822975825377747,1.36239114141436,1.1730023923316593,1.2389498211385952,1.498262211571036,1.6207355173841578,1.4843070631125614,1.5931506707839755,1.5160287977361318,1.6388908155197048,1.508546198442412,1.610942609355007,1.5345426284807195,1.6446854950724255,1.5821858690479071,1.689559486645855,1.5040862667426902,1.6104292330622494,1.455470590953195,1.590687520214388,1.4995526117018185,1.6194294346638778,1.5318469117442022,1.644792489659339,1.4708568160644941,1.585501738721371,1.514047656128329,1.6013549291387634,1.531619094488189,1.6254542701393095,1.4924366265282158,1.5962977459535375,1.4809447592680711,1.587662759008522,1.546523478498958,1.6550250224365313,1.5160789338303098,1.614950059695408,1.6660890619065705,1.768451702747183,1.7020962052160438,1.8440182704267858,1.4780431786862656,1.616226458429031,1.5468100659917283,1.6419422997967172,1.5385526577742383,1.6037726458291857,1.489387961361295,1.582427941147888,1.6257637050725,1.7391999200918944,1.529066891851137,1.645720489776223
