Attacker,Fast Move,Charged Move,Level,Arceus (Ghost),Arceus (Ghost),Arceus (Psychic),Arceus (Psychic),Articuno (Galarian),Articuno (Galarian),Calyrex (Ice Rider),Calyrex (Ice Rider),Calyrex (Shadow Rider),Calyrex (Shadow Rider),Cosmoem,Cosmoem,Cosmog,Cosmog,Hoopa,Hoopa,Jirachi,Jirachi,Lunala,Lunala,Marshadow,Marshadow,Meloetta,Meloetta,Mew,Mew,Necrozma,Necrozma,Necrozma (Dawn Wings),Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Dusk Mane),Necrozma (Ultra),Necrozma (Ultra),Solgaleo,Solgaleo,Spectrier,Spectrier,Victini,Victini,Azelf,Azelf,Cresselia,Cresselia,Deoxys,Deoxys,Deoxys (Attack),Deoxys (Attack),Deoxys (Defense),Deoxys (Defense),Deoxys (Speed),Deoxys (Speed),Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Lugia,Lugia,Mesprit,Mesprit,Mewtwo,Mewtwo,Mewtwo (Armored),Mewtwo (Armored),Tapu Lele,Tapu Lele,Uxie,Uxie,Blacephalon,Blacephalon,Mega Banette,Mega Banette,Mega Gallade,Mega Gallade,Mega Gardevoir,Mega Gardevoir,Mega Medicham,Mega Medicham,Mega Metagross,Mega Metagross,Mega Alakazam,Mega Alakazam,Mega Gengar,Mega Gengar,Mega Slowbro,Mega Slowbro,Mega Mewtwo X,Mega Mewtwo X,Mega Mewtwo Y,Mega Mewtwo Y,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Braviary (Hisuian),Braviary (Hisuian),Alakazam,Alakazam,Banette,Banette,Claydol,Claydol,Drifblim,Drifblim,Dusclops,Dusclops,Espeon,Espeon,Gallade,Gallade,Gardevoir,Gardevoir,Gengar,Gengar,Girafarig,Girafarig,Golurk,Golurk,Gothorita,Gothorita,Grumpig,Grumpig,Haunter,Haunter,Hypno,Hypno,Jynx,Jynx,Kadabra,Kadabra,Kirlia,Kirlia,Lampent,Lampent,Marowak (Alola),Marowak (Alola),Medicham,Medicham,Metagross,Metagross,Metang,Metang,Mr. Mime,Mr. Mime,Oranguru,Oranguru,Raichu (Alola),Raichu (Alola),Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Wobbuffet,Wobbuffet,Xatu,Xatu
(Boss weights),,,,0.925925925925926,0.0,0.925925925925926,0.0,1.851851851851852,0.0,0.925925925925926,0.0,0.925925925925926,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.617283950617284,0.0,0.617283950617284,0.0,0.617283950617284,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,0.925925925925926,0.0,0.925925925925926,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Hoopa (Unbound),Astonish,Shadow Ball,50,1.2508815886325662,1.2960418506107991,1.195204798599842,1.2324568185486955,1.2117930625653524,1.2517578237565559,1.228446594098649,1.2917124298941731,1.085445672413641,1.1191097435776753,1.3506530671436168,1.4239454730023686,1.3268857762236825,1.4232836902756432,1.123430456923791,1.1591190850080424,1.3545765927175,1.3804879591083943,1.1024559473048767,1.14475264774655,1.3727669215790999,1.4373085462327169,2.7582196192508674,2.8717647381683813,1.3366046660464486,1.3828031457350114,1.3651962229702475,1.4346296920961192,1.3454478719921699,1.4272185279364062,1.3376081710767183,1.423679064736229,1.3573332523472341,1.4540773775455138,1.3027240592461165,1.3629030414164924,1.2266257370086282,1.2379808384299131,1.3299371414558283,1.3619449049785897,1.1844372296018066,1.2048145134923471,1.3483007281340469,1.369548205982981,1.2269762719613788,1.276886510183087,1.0984176675159911,1.0661708024644136,1.3253820334273856,1.392287138423661,1.2983844612739597,1.3632252315524314,1.3110986253589654,1.383471683522432,1.3110986253589654,1.383471683522432,1.291060397083879,1.3594153849720094,1.3055415192858346,1.3521093343910342,1.3049643044641122,1.3510460631565022,1.2699364336280532,1.3193456848130496,1.191375969917062,1.240524160836825,1.2452856981855065,1.289584131635298,1.2822618138075654,1.3377294081310858,1.330382685686178,1.2731234628627643,1.3195790128541909,1.3692131785794248,1.130346625246186,1.1239986885581348,1.2058731877565965,1.2356013804601014,1.1911934847213086,1.220043783035775,1.1828510945943838,1.1170037916811868,1.319084137078542,1.3729404876144624,1.1230178942054188,1.154078644752342,1.1582945497322192,1.177591092321603,1.184136680051472,1.1870389606362692,1.3198203379303206,1.3683302469490803,1.2499651723273244,1.2064352251725132,1.2059307959270162,1.2134284765253645,1.301686227827678,1.3305429574901373,1.1613972449384762,1.183336490598307,1.3130453314612376,1.3620750175508975,1.2735096535853963,1.294447253552375,1.371202772963605,1.3944402079722704,1.2890653422122396,1.3329194413248762,1.3166958359475613,1.346498035201268,1.3248696184879776,1.399044003256515,1.2425005747643467,1.296948251217001,1.3380242930347315,1.384114632757639,1.338855252831035,1.3763968307358823,1.3105238210846368,1.3452872287540898,2.6956123816476176,2.8121833494949935,1.3292704181820294,1.3654067369252758,1.274835937046286,1.325268598641036,1.2581630299395672,1.3040549891590163,1.2870083098174334,1.359005940038353,1.3120756753685767,1.3759528070524294,1.2955990023332529,1.3350229302437846,1.316211623754392,1.3522694545245089,1.319269064967764,1.3713615381680846,1.365141824037921,1.4043998116102763,1.3193398197917983,1.3566061760674955,1.3120639274852406,1.383875007454231,1.3042085784778894,1.326311127981274,1.2879793359741905,1.339220811042594,1.2599883197636468,1.305627125631248,2.726172716724681,2.8075663217383755,1.3057559742647058,1.3503102022058824,1.31134712689745,1.3618055207654927,1.3005524861878452,1.3406002687770644,1.296962814128884,1.337041243217534,1.3696821353047937,1.4377175017067119,1.3257128364914315,1.3800224629542408
Hoopa (Unbound),Astonish,Dark Pulse,50,1.2531721967809704,1.3275283102332338,1.1950909507990586,1.2633129710027953,1.2177190281334134,1.277760853635443,1.231677950632435,1.319914609684788,1.0866870423919024,1.1435635554954156,1.3807260598443467,1.4672770338860153,1.3533896655637363,1.4465391920642698,1.1230680712818915,1.1831732266944708,1.3625167307793644,1.4150413658639405,1.1116592545046078,1.1767426222242598,1.9467078933439355,2.0813308776156867,1.218260009072374,1.3251929493771217,1.3392875685824908,1.4142053967453383,1.373112605589117,1.470331256737535,1.354127882176715,1.4544026664991287,1.352319437510401,1.4551776501913796,1.3700254872598743,1.4902734916144345,1.3131273407383357,1.39782605713345,1.2193976222066947,1.2682515132720436,1.3236449990882473,1.3963106499015936,1.1900283102314748,1.2359481646504813,1.3556417229581543,1.4058005088165628,1.2154854195942901,1.30656841057777,1.0598391187426077,1.0862485950841185,1.3513269423807595,1.434210866920349,1.3131514473676198,1.3983229575380642,1.3192224195776594,1.4157795741150219,1.3192224195776594,1.4157795741150219,1.2905643319927214,1.3871509869145446,1.3093231620183974,1.3723469186312915,1.2992741012041817,1.3808054334930364,1.2724756609774455,1.3392296344112433,1.2033347013180373,1.270406673220268,1.2446861264510312,1.316555843570382,1.303904611733342,1.3760196368483508,1.8431047712739792,1.829365469749139,1.3463572955780283,1.4126535418671307,1.1254101162393242,1.1511460002185736,1.1770292062354417,1.250344725505013,1.7067642521721378,1.7745400512692544,1.5782391827860796,1.5983886655258683,1.8932591122749378,1.9736471870273082,1.1248555561788298,1.180609188309867,1.1562654038181812,1.2078770779089214,1.1621463233128169,1.2130013488162974,1.3285216411129386,1.4043029180708757,1.7323783585485684,1.7347106516954112,1.1968559222055506,1.247923992348838,1.2911094277253632,1.357665253278503,1.155570753237802,1.2132716435865245,1.3125062681777153,1.3661117239995988,1.2697534749811676,1.3355072388991507,1.3434870017331024,1.3920000000000001,1.3097863051834042,1.378647917622309,1.3186606346795233,1.4222666182346533,1.3552906278464278,1.4342852997364157,1.2882618126568106,1.3576233744164892,1.9204972480546594,1.997988233061302,1.9051556602010689,1.9910957880180888,1.3232869744158893,1.3844784332766853,1.2479925038951416,1.3196740066026738,1.3178834109896238,1.4064696791885014,1.328102677275103,1.3736221615657123,1.271974904276422,1.3412741615537205,1.3097706615113576,1.3580393196239533,1.3412493253415902,1.391424973250386,1.311207659505994,1.3703090698021907,1.2964546973100628,1.3442486031910605,1.941345897073971,2.04341357341777,1.3374910742772064,1.404415004329925,1.314168796959594,1.395320807534919,1.905742739578985,2.0002266086230542,1.3154219649522363,1.3605601948503827,1.3248968840609303,1.399079103197615,1.824839396750146,1.9166065478030847,1.2575911849904888,1.3023766111782025,1.3110409007352941,1.4060891544117646,1.3181303541906717,1.3703922649165872,1.3075506445672191,1.3486536260016924,1.3095716490492415,1.368752608640789,1.3491349884276602,1.4220490533992707,1.300810357112665,1.3804089223820393
Hoopa (Unbound),Confusion,Dark Pulse,50,1.2773946168022108,1.3571486137253814,1.3778421593699288,1.465535551949431,1.397342269280486,1.4898791341791744,1.4333902258340079,1.5681567001662087,1.3622299946756407,1.4621190950354026,1.5964499444095326,1.7053821240392517,1.580360678402921,1.6918125868306075,1.4046385362163123,1.5021329891729343,1.6898371713126414,1.8064204036465192,1.368156740482631,1.4907921079577582,1.5179736018336452,1.6100678036735172,1.2383225471093513,1.3393810445498764,1.53468170730932,1.6471877205288665,1.5789267593075287,1.7090988863753769,1.6387462427955917,1.8283937186486299,1.6462327342319854,1.8336932101847228,1.592379052322471,1.7258659477592937,1.6275991055464352,1.7668133033962712,1.2386612547400155,1.3101939448182371,1.5272970406809432,1.6285435220486981,1.3689226144764888,1.4416218695904521,1.5665847881393105,1.6273374857443637,1.3926960135012472,1.5292751148076678,1.232830603922584,1.2857201701787113,1.5710152180603374,1.7085386232703155,1.4961057783064349,1.641108447527976,1.3469991904399414,1.4667073460526898,1.3469991904399414,1.4667073460526898,1.3286616673814022,1.4536098007626421,1.525027121695364,1.6222939430326673,1.4848371481602434,1.5986040089786568,1.475860916606804,1.5726257581621592,1.3872032984338167,1.4802466190098973,1.4300101431308463,1.5364206018257636,1.5156038168311199,1.6136628899328642,2.1948903098868664,2.136216428922774,1.54467177461669,1.6351963165333847,1.1324719051483394,1.1682412494971643,1.1841496381355998,1.2648154063086714,1.626171139493206,1.7170578026814274,1.8284823392956524,1.9049193032460745,1.8222598116552542,1.925707106029309,1.4419790205867504,1.5398889325180904,1.3262812196648734,1.405203201877338,1.0064681167733833,1.0595401621680285,1.5178454354102207,1.617269182549085,1.67308540674078,1.6982228599556064,1.3864913466274182,1.4818823232959557,1.4781488878176432,1.5518234674904325,1.3081158833973883,1.397981276883576,1.523229866613178,1.6003284525122856,1.480904372233172,1.575324795938374,1.3861906412478338,1.449358752166378,1.5176128185254898,1.6118141123993608,1.334709242809497,1.428953538288809,1.3648425346004724,1.452365406782257,1.5124398996411472,1.5781229695824712,1.868637312583033,1.9511102676029606,2.1633964943753035,2.302257353215981,1.1350767060890878,1.193181424062706,1.2624508340506204,1.331822490493675,1.3617350080754795,1.4523662898109524,1.5326790173645393,1.5804169812416518,1.4866171518199012,1.60406882871246,1.1251929343165836,1.1914064327029512,1.546070884110256,1.6289426090579402,1.5077296185189015,1.5877153661367998,1.5085392546512297,1.5929093946201256,2.2404913592492277,2.363502842101248,1.3976542440862338,1.455158687956731,1.355556419552687,1.4242377115307976,1.8614228636173893,1.9677261613691932,1.6432355918264059,1.7122161067881316,1.6521011148772817,1.77289990607261,2.1023137174069872,2.2171579236662198,1.276558294459836,1.3470278547354628,1.526803768382353,1.6526769301470587,1.5138920895746706,1.6151796002204297,1.4986610920312577,1.587934896222189,1.5184764567135496,1.5844520155693391,1.601128927518857,1.7071448790315866,1.5102955206936945,1.6290110261705493
