Attacker,Fast Move,Charged Move,Level,Arceus (Ghost),Arceus (Ghost),Arceus (Psychic),Arceus (Psychic),Articuno (Galarian),Articuno (Galarian),Calyrex (Ice Rider),Calyrex (Ice Rider),Calyrex (Shadow Rider),Calyrex (Shadow Rider),Cosmoem,Cosmoem,Cosmog,Cosmog,Hoopa,Hoopa,Jirachi,Jirachi,Lunala,Lunala,Marshadow,Marshadow,Meloetta,Meloetta,Mew,Mew,Necrozma,Necrozma,Necrozma (Dawn Wings),Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Dusk Mane),Necrozma (Ultra),Necrozma (Ultra),Solgaleo,Solgaleo,Spectrier,Spectrier,Victini,Victini,Azelf,Azelf,Cresselia,Cresselia,Deoxys,Deoxys,Deoxys (Attack),Deoxys (Attack),Deoxys (Defense),Deoxys (Defense),Deoxys (Speed),Deoxys (Speed),Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Lugia,Lugia,Mesprit,Mesprit,Mewtwo,Mewtwo,Mewtwo (Armored),Mewtwo (Armored),Tapu Lele,Tapu Lele,Uxie,Uxie,Blacephalon,Blacephalon,Mega Banette,Mega Banette,Mega Gallade,Mega Gallade,Mega Gardevoir,Mega Gardevoir,Mega Medicham,Mega Medicham,Mega Metagross,Mega Metagross,Mega Alakazam,Mega Alakazam,Mega Gengar,Mega Gengar,Mega Slowbro,Mega Slowbro,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Mega Mewtwo X,Mega Mewtwo X,Mega Mewtwo Y,Mega Mewtwo Y,Braviary (Hisuian),Braviary (Hisuian),Alakazam,Alakazam,Banette,Banette,Claydol,Claydol,Drifblim,Drifblim,Dusclops,Dusclops,Espeon,Espeon,Gallade,Gallade,Gardevoir,Gardevoir,Gengar,Gengar,Girafarig,Girafarig,Golurk,Golurk,Gothorita,Gothorita,Grumpig,Grumpig,Haunter,Haunter,Hypno,Hypno,Jynx,Jynx,Kadabra,Kadabra,Kirlia,Kirlia,Lampent,Lampent,Marowak (Alola),Marowak (Alola),Medicham,Medicham,Metagross,Metagross,Metang,Metang,Mr. Mime,Mr. Mime,Oranguru,Oranguru,Raichu (Alola),Raichu (Alola),Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Wobbuffet,Wobbuffet,Xatu,Xatu
(Boss weights),,,,0.925925925925926,0.0,0.925925925925926,0.0,1.851851851851852,0.0,0.925925925925926,0.0,0.925925925925926,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.462962962962963,0.0,0.617283950617284,0.0,0.617283950617284,0.0,0.617283950617284,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,0.925925925925926,0.0,0.925925925925926,0.0,1.851851851851852,0.0,1.851851851851852,0.0,1.851851851851852,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0,0.46875,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Guzzlord,Snarl,Brutal Swing,35,1.5401465344477736,1.6027594753987968,1.4597191187840375,1.518350736187458,1.46095120083651,1.5596733823493087,1.5118365621116572,1.6095129073786651,1.2831529620793831,1.3959528985400667,1.7040808237057088,1.8266814907913183,1.6925844144512978,1.8173855849446634,1.3406583974925457,1.4505375387021509,1.59894820045318,1.6892174737840542,1.417260403771797,1.4032430119358732,2.554208210687162,2.789255357112919,1.2874150675665859,1.3706048625987348,1.567995473396669,1.6801369848498655,1.6314282277068672,1.7779662256357756,1.5875821294296986,1.7405189488755668,1.5744175403561325,1.7253078715260441,1.5805628689637128,1.746893521189935,1.537611863856485,1.6630594336041997,1.3735564052036147,1.5185949926593547,1.5670997667170403,1.6702284412380557,1.413897104854305,1.5192456349779626,1.5990700938678832,1.6940012281779104,1.4812308396401974,1.57974243092175,1.2202496189809284,1.3002724507028993,1.6439086053514882,1.7831002160038427,1.583365979705797,1.7302137610041957,1.5874425554709746,1.7432788390667102,1.5874425554709746,1.7432788390667102,1.5520740852351094,1.671108844562408,1.5510784382974638,1.6421874122733142,1.537877815634664,1.6643531647298935,1.5074955763460547,1.6119266566030621,1.472874772135106,1.5610811533065463,1.5197002141327622,1.5876569367744844,1.5608628509192581,1.6815725734349856,2.586943433349729,2.525231677324151,1.6346271840246385,1.7336186402005807,1.2709685370214923,1.3509688160516764,1.5794894167322358,1.4629527200205665,2.168323654182074,2.269495360813049,2.3118592760957646,2.1281993935390586,2.5211562545744353,2.7093261551973717,1.3449800863858192,1.4153048746283725,1.399294183820661,1.4176865317329994,1.4400489914885042,1.432591742763678,1.5243354688811952,1.6544754488676228,1.502988774877763,1.5918128424842837,1.34372019996725,1.4423970383784286,2.282483770304533,2.3330013095204927,1.4486719277950222,1.4751967196215652,1.5806965199077323,1.6617189850566643,1.5414985501563354,1.6329160948125523,1.616998266897747,1.7149809358752168,1.5905711709716706,1.7090840068964426,1.5936168807581812,1.734058712809167,1.6667392127939127,1.787286694234195,1.5656580801871234,1.6642076748533101,2.499363940153414,2.6429330903015114,2.546072055910603,2.6366464850319544,1.5482837951883839,1.6589902773442469,1.3334568156808053,1.426188426798575,1.5729175139142257,1.7021484261529345,1.637992914803415,1.7157210058656136,1.5265211975826913,1.6404576279005396,1.5375500849690524,1.680064233485602,1.6324650361238153,1.750731471749567,1.5760835833247129,1.667597669045895,1.5736420713092565,1.6757963250964807,2.678613664975394,2.8625300423454014,1.6349949104389176,1.7445496118260129,1.5951925039608867,1.704415781339606,2.5411771721629197,2.7480708450116285,1.5485386221294362,1.6317691529069398,1.6163168211704169,1.7393821211254952,2.5107183345357105,2.6640386134872376,1.3666974497407118,1.4539556250147996,1.5801930147058822,1.7108111213235293,1.604879515054356,1.7264064926606884,1.617390871534518,1.7062565327758699,1.545053046407113,1.6437300408646613,1.6875967830560965,1.7945784837737482,1.56985858000314,1.6856031786287935
Shadow Gardevoir,Confusion or Charm,Shadow Ball,50,1.4086649103546593,1.4628891034033171,1.4012013491814004,1.4411942124535901,1.3907802761471137,1.4520406398972476,1.4437099410621193,1.5026925106437103,1.8900681576834037,1.5440318637905321,1.553245999903321,1.6432774206023106,1.530064363712021,1.650046645234468,1.7910465315879485,1.6016746031241456,1.7999114717816302,1.8957959635348052,1.5149939632906941,1.5542310454969204,1.27722146246129,1.3440790939072496,2.037513136377798,2.0854675743345448,1.5307548365357921,1.6101378113364289,1.566731378455456,1.6846279229402896,1.7686785552495048,1.9043644744543167,1.7696788151106673,1.8867032784157096,1.3070478931544163,1.3757326711162299,1.7876930323164792,1.8694788298937721,1.4961909771563309,1.427699224587105,1.6266131212756996,1.735229080513013,1.3549221025099034,1.4195971684699549,1.5029406088253356,1.5920852706377753,1.6456927679421731,1.5120085609581273,1.4083641777343636,1.2741160063316839,1.5415972779489127,1.6407505198760928,1.4930833669946189,1.5899913326418391,1.264577115630148,1.3254209913687203,1.264577115630148,1.3254209913687203,1.2705919169206874,1.3246282409392784,1.2254496586922543,1.2785121916322097,1.25164456661685,1.3032295189875513,1.464844268815346,1.509593509403567,1.3854739112591505,1.4469015146453899,1.4456621210413614,1.4974867575791726,1.5030755726059464,1.564858494399922,1.4103433349729462,1.454028529267093,1.540816030052931,1.6065773259659444,1.732224033334806,1.294867472288815,1.6429461760787765,1.4009605571699009,1.1153841791247932,1.164858442412831,1.4235656366539584,1.3235932030603914,1.2252858513735503,1.285156059398533,1.7374342289785156,1.6555449598922982,1.53595761474049,1.3836113958769933,1.4052836390133487,1.223199640315654,1.5044944272552652,1.5838212120863575,1.2254714846478498,1.2658701191378003,1.1632413017349974,1.1318677202299345,1.1523652633436423,1.1689304653905808,1.4011350750798905,1.4382077038496341,1.5016673352722896,1.5709432353826096,1.4722672252778437,1.5351316210387278,1.4955979202772964,1.553844020797227,1.4857484063839546,1.5531389886271965,1.5006604365485587,1.5690486411518014,1.4854303194447804,1.5710347495949508,1.4869103667496326,1.536989834167991,1.2885813017391965,1.3314631275157591,1.5697200732518592,1.621360765407183,1.305517982866854,1.3250326593371022,2.0195901112430676,2.096163694010743,1.4832738807617676,1.552316326412047,1.515488704338231,1.5769324583309134,1.478913133736218,1.5265304239516537,1.2695467797508613,1.3009151712633105,1.5143122271776082,1.5917677470670115,1.471156167028723,1.547348941990506,1.5127728817464432,1.5638068083635734,1.5574142600999505,1.6643840842330142,1.4781908509442274,1.5542759909451391,1.4876993808380556,1.5186088782185243,1.2368537181704335,1.316238296857296,1.8228316568608842,1.8185693047384068,1.7416486298852452,1.8703495732429452,1.4997165825002576,1.5545879281321926,2.0119975057816926,2.061384606884358,1.5270220588235295,1.6049862132352941,1.5072591553529382,1.5805019788587746,1.508038425165497,1.55028619780001,1.5294060549586017,1.5702998359589608,1.5249512962685448,1.6570091746174467,1.5262973563759765,1.594652367667838
Overqwil,Poison Jab,Shadow Ball,45,2.0423144634263846,2.154267712812541,1.6883306004197076,1.7559256081086823,1.7391628312900862,1.812054883621364,1.735465341122965,1.827839167822564,1.881257960799772,2.025539275239964,1.9400841107942186,2.0652661091506745,1.9491734732914088,2.106082672805493,1.9738319420691584,2.1146664462683815,2.2953153817779417,2.4792559414027506,1.9129185579142023,2.0387908242018553,2.1700624387767076,2.3731716838830357,2.6566606883704114,2.7277464513619054,1.86398362285087,1.955204428272622,1.9472862329011087,2.0835466148972355,2.2879680178824744,2.506092540481914,2.316583458146114,2.5257904809452487,1.9557558923227514,2.072436614749905,2.2119640023596014,2.353720716477426,1.900606879008895,2.005568945799607,1.8423673714061746,1.92558210700834,1.6871630714953731,1.767384687130123,1.9283375734713573,2.0222282656373367,1.7790842063110146,1.8383277864337082,1.5347271668069131,1.5461136054701983,1.9482942599351702,2.067076239864933,1.8800677150042728,2.0161574170866716,2.1050877426162886,2.2649496743635287,2.1050877426162886,2.2649496743635287,2.1221293709941005,2.2724092768808166,1.8404230078911001,1.9079582932620471,1.8395528103563192,1.9124291563342206,1.8508568107133114,1.929298656266022,1.6947402578810236,1.7550244805634825,1.7409692325030992,1.8286329313648144,1.8529560934375864,1.9481622966009395,1.4860167240531232,1.5286827348745695,1.9112067831024044,1.9999606905474439,1.8674583373056381,1.787290640165,1.8987091295778378,1.9863473119201014,1.6686554297770015,1.7391052834554572,1.312995740210025,1.3466917711676194,1.8772994160987588,1.977485646438853,2.1059763280417343,2.011932461995849,1.612693199790735,1.6657080388652508,1.9298398474442258,2.098863583510333,1.8976978640687363,2.006337631267181,1.8196021525475419,1.857422255452694,1.6087977456057827,1.6673601947015741,1.7765201118200478,1.743246914268201,1.7555029951779353,1.7487165977527575,1.8584896198977032,1.9330307892889378,1.8319729224926993,1.9157439607045932,2.1310225303292896,2.2056845753899483,2.0495800446054315,2.1620980370446525,2.1534194102301623,2.2693425354159102,2.220790107932516,2.3675428626701813,1.829140052578443,1.9098269709419138,1.9377420824789247,2.013129414445204,1.5898456478678478,1.6502504017640245,2.288766344119585,2.405079827512457,2.7097220557631756,2.798869046970506,2.349790269918548,2.484215051764405,1.8772286427783262,1.9367326790173645,1.8328735526133688,1.9295843520782394,2.274800829422678,2.372507444536256,1.925830184927421,2.010699845657094,1.864498925324414,1.925508315805202,1.8442918034675422,1.9060825989286332,1.6267119368252396,1.694521802159234,2.1815529998024945,2.281824949484207,2.1749496991669988,2.2894314790874892,1.9297632536227562,2.0229232512374025,2.3459701398114756,2.3777993926741314,2.3050904561604115,2.455833707681627,1.5471074238208113,1.6107561235356762,2.702769687354471,2.7625756750570276,1.872219669117647,1.9736557904411764,1.8709283102048995,1.9591804017834777,1.8489174257130059,1.9253795231695785,1.905953039612514,1.9783446414878232,1.9690793745941355,2.0570125047871186,1.9109090250353247,2.012584085117689
