Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
(Boss weights),,,,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,4.166666666666667,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,15.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyurem (Black),Dragon Tail,Outrage,35,1.0402254555426487,1.0180058076681675,1.0463850479136252,1.0445356787996927,1.0760740159562496,1.0780331828336567,1.0473717649623988,0.9875638783051749,1.114970340830934,0.9930426792622308,1.0976276315527513,0.9662553014807357,1.0388876321310188,1.0832059714150213,1.1506762539957194,1.0622312939708949,1.065275104610966,1.0884654007394674,1.065275104610966,1.0884654007394674,1.0388971555195878,1.0338783385872194,1.0240291589512436,1.0131790866293617,1.0423904833443312,1.0452486334777424,1.0926839282575875,1.0217626369293518,1.0789725716120477,0.9858578240336333,1.0340119874007336,1.028848184007894,1.042858894263857,1.0264551012215883,1.0835723263763852,1.0425629229888598,1.0816606237516873,1.0904670667421708,1.118041589478421,1.0881716891402555,1.0770748985362262,1.0555292764197164,1.0679915917887208,1.0884069051820244
Zekrom,Dragon Breath,Outrage,50,1.0799665314681581,1.0433498036280504,1.074643016031633,1.0691722951390008,1.1238765376291222,1.1275201350372628,1.1060430535456633,1.0119179055105645,1.0942947322972512,1.0256048995124787,1.013733716854835,1.0194658225269542,1.1008201814608343,1.112203691849592,1.1611900179711045,1.1138672398787954,1.0881003347394458,1.1299533263118973,1.0881003347394458,1.1299533263118973,1.081364834778266,1.0772884593126841,1.0568613959031652,1.0691811763160135,1.0895213285018215,1.0984990243741801,1.1440697621642613,1.0629167214014177,1.07905977827778,1.010825461048255,1.0502610061721402,1.050137264280187,1.0863896595452265,1.0543001315218592,1.0800713249986615,1.0951177516793724,1.1064625116303513,1.100136292936869,1.1082707280251183,1.1048170977937362,1.0940380013528708,1.0913876419217718,1.1223540616859422,1.149262458066018
Tyrantrum,Rock Throw or Dragon Tail,Outrage,40,1.3517163030576465,1.3169755054332062,1.3709091309941581,1.3527234824614747,1.3537349837154433,1.3592870288950423,1.6656302342981457,1.330959491452633,1.5687694048422336,1.340085115523223,1.669942180353785,1.3340991067803842,1.3562517470373188,1.3485887313961442,1.4823280029674415,1.3867158705710578,1.436551816033855,1.4283200992562304,1.436551816033855,1.4283200992562304,1.3596131877555744,1.3713460884748967,1.3531462591807528,1.3454125479830021,1.4250077012121436,1.408779402686066,1.4600885693245864,1.3704410951109023,1.3636613510048894,1.268807174809593,1.408772443425851,1.3686162478021366,1.342216554169159,1.3360489483223243,1.4442078637778548,1.3570152949751748,1.3793551842937413,1.3632483294949438,1.5738839776004216,1.4129140210829212,1.5261208767433014,1.4257633697189096,1.4220658298316788,1.43825006753115
