Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Arceus (Water),Arceus (Water),Articuno (Galarian),Articuno (Galarian),Keldeo,Keldeo,Manaphy,Manaphy,Moltres (Galarian),Moltres (Galarian),Phione,Phione,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Volcanion,Volcanion,Zapdos (Galarian),Zapdos (Galarian),Kyogre,Kyogre,Lugia,Lugia,Suicune,Suicune,Tapu Fini,Tapu Fini,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Celesteela,Celesteela,Mega Gyarados,Mega Gyarados,Mega Sharpedo,Mega Sharpedo,Mega Aerodactyl,Mega Aerodactyl,Mega Blastoise,Mega Blastoise,Mega Pidgeot,Mega Pidgeot,Mega Slowbro,Mega Slowbro,Braviary (Hisuian),Braviary (Hisuian),Sharpedo,Sharpedo,Aerodactyl,Aerodactyl,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Brionne,Brionne,Cloyster,Cloyster,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Feraligatr,Feraligatr,Floatzel,Floatzel,Golbat,Golbat,Lapras,Lapras,Lumineon,Lumineon,Mareanie,Mareanie,Noctowl,Noctowl,Octillery,Octillery,Pelipper,Pelipper,Politoed,Politoed,Poliwrath,Poliwrath,Skarmory,Skarmory,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Vaporeon,Vaporeon,Walrein,Walrein,Xatu,Xatu
(Boss weights),,,,1.5625,0.0,1.5625,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,1.5625,0.0,1.5625,0.0,3.125,0.0,3.125,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Electivire,Thunder Shock,Wild Charge,30,1.1969209790565833,1.0758430162416075,1.1956459825013226,1.073417948857145,1.2099571031926108,1.1231876145237205,1.3189455535224315,1.2324742993717845,1.2139644302460166,1.1618285633726981,1.1014274197796574,1.1012450708888954,1.1307183792767308,1.14265345823858,1.2570455523466435,1.232238930579929,1.4297835065555937,1.1152048889631676,1.243138351180752,1.244489883539314,1.2454020681280373,1.1425727581697451,1.183786124240668,1.148089718627289,1.1121362696899861,1.1068817359271017,1.1370208403276034,1.1284469935241361,1.250748607556504,1.1249959145063606,1.2057464181985997,1.1157109878899976,1.2649366896205119,1.1229585829936617,1.1034031638148647,1.1122436037091583,1.2367944866667422,1.1567412810770585,1.262247235463981,1.1749310547304386,1.3176923950157724,1.12897357469539,1.2302389535141451,1.1222765549650493,1.0991649542822801,1.1103449226038997,1.1685031186601882,1.1238669985215435,1.133788314175338,1.1088831602030034,1.1944450745012343,1.1408214728768287,1.1549837887530883,1.1069201914158369,1.1412265659125451,1.1212557975263484,1.1239530990070488,1.115212418477582,1.1402434297200827,1.1396096171530614,1.1479709079481235,1.1355591970503893,1.142764042197874,1.0918926842762684,1.1520598131329622,1.136662862501118,1.1525586864252257,1.136548778278697,1.132190115595186,1.1394267883519928,1.073765282781589,1.1416255144785246,1.1113806184951054,1.1241061648095723,1.1589903694336785,1.1082421278156416,1.191338480704792,1.1412485929863094,1.1325616585174099,1.1663559843057183,1.1171353243047069,1.1048893093628924,1.14135788604543,1.1202159698994858,1.1559284714126092,1.1915341539356787,1.135888517513496,1.1334858837212989,1.1390051277221178,1.1463329282100476,1.1181410827378113,1.120213468644536,1.1523835189946714,1.1315964282237172,1.2545236177150176,1.2167340057788067,1.078938231839676,1.111705219648864,1.1589515768124576,1.138384129116036,1.158659383808323,1.1271350262497302,1.1631899023406105,1.111712357825557,1.1458574829157515,1.143734298768238,1.1231172560269151,1.0914401179060065,1.1334427478054174,1.1524111600308171,1.1117866131100698,1.1396589730585982,1.1439432714662403,1.1352021206675813,1.1987054433560227,1.1067262122314179,1.1375621310712087,1.132893788696692
Heliolisk,Volt Switch,Thunderbolt,35,1.5635862142245225,1.5311201772697187,1.5662875082835641,1.530954825384728,1.6266233062675224,1.607773135679002,2.04178725864622,1.8009029315786398,1.6357841177313368,1.640553797838786,1.595613796619608,1.5838540098883236,1.5612986956713264,1.6206301932716716,2.225907926900429,2.0103251401888675,1.7796203072477834,1.5992399338671606,1.925160674606117,1.8693902616957,1.7669450420714012,1.6610456158310607,1.5775126691242984,1.5816810212884775,1.5305070112621741,1.5655004867561477,1.6203556981350486,1.610097307438054,1.7266311972206276,1.5906855287966415,1.7310398189394987,1.563756716874631,1.7837821693588214,1.6002426526669862,1.549540858293928,1.5921055481266797,1.7650692502531518,1.6654256500691398,1.8862298695118591,1.7148512470443744,1.9498249164530708,1.616685898231602,1.6530000627194197,1.60721570853097,1.56490137642889,1.586101592761718,1.6221451316084627,1.578077152000532,1.5727335859631022,1.5551652637313025,1.622558308371966,1.6164763008892116,1.5858263631811802,1.5628075417183098,1.6050525945921714,1.5627143951526419,1.55240466631338,1.571810556622217,1.5770689561973479,1.5871843185675412,1.5697552653583473,1.5954776562491233,1.5507790755298494,1.5233495665485453,1.6168826178938176,1.621657814394296,1.532729967604861,1.5684955481268743,1.473954863311698,1.5397822528316636,1.5230957809301395,1.603830119028054,1.6006817074610518,1.576500648315107,1.5776140664892826,1.5585579781050116,1.6041540938422263,1.5965419739273532,1.559021696510936,1.6509819702173347,1.5467905809985631,1.5514403244163337,1.5475560915255788,1.594681855677394,1.5837934235968973,1.635848953671394,1.5111624719081955,1.5701085615829633,1.5636039727474629,1.5687876789684214,1.555649851506992,1.529681228261786,1.5875026496951572,1.5779513346181062,1.7517821632947979,1.7620170321226027,1.5217303086225606,1.5704623788856544,1.621175903261144,1.6014256852357922,1.5801179106134988,1.576868857448523,1.6266195577070504,1.589831723553354,1.5709738316366355,1.5925259859042507,1.5798216284057427,1.569843527500826,1.5732921456105395,1.6229182813121366,1.5239018410476515,1.5963310243194593,1.6034388883196353,1.5735716822919195,1.6196808253993529,1.5293632671474702,1.5447245577807982,1.5886643167876655
Vikavolt,Bug Bite or Spark,Discharge,40,1.3053890171580618,1.2823550220148272,1.3053077952333962,1.2805144448619499,1.3302310832708812,1.307623329314655,1.3279211781293405,1.3693044882549394,1.3104267908372809,1.3381224973448078,1.3416545163450828,1.3436196231299478,1.2911755544197043,1.3192710531168026,1.368457966566376,1.4087618176820964,1.3889198823445226,1.284072153137662,1.390462494109993,1.4179055613625111,1.3030617516455552,1.2799078484545483,1.3182985882444487,1.3234732682478587,1.2991461916208178,1.3093389250239478,1.2937880916258337,1.2912509493896738,1.3061094124851926,1.3162582203602327,1.2983213119229324,1.3050367855435683,1.345667270464666,1.3093383985717406,1.279315743336956,1.337222128348677,1.309676811220982,1.2771713384248409,1.315588796776339,1.3077047324329865,1.3542971673002513,1.3071331926854275,1.286669312494239,1.3127795041607495,1.3968648774034649,1.365388000041082,1.2451017453700188,1.2455371915698166,1.3115934325857395,1.301161761788239,1.2706844437431637,1.2775832658721376,1.3215633387781234,1.303309819501104,1.2911697489984926,1.3051693441541095,1.2847946286715262,1.321042061795707,1.3024153080288827,1.3424870953108046,1.2953477409325842,1.3575323759444347,1.2528384790843552,1.2673507867975506,1.3022060055210107,1.3074562715351616,1.2984424589309649,1.346475526137068,1.3005202695941298,1.3424875590578933,1.3056821514661245,1.3843157181650205,1.3151592698928212,1.3434503551237473,1.2791804177068746,1.2841172830502883,1.2969029048811556,1.3121944124750675,1.3279777573257787,1.3905425191248832,1.3041652674419246,1.3250328871294117,1.2791875174323937,1.3342530430455664,1.3529302403817984,1.4125942322107976,1.3075501822474593,1.3542017714484378,1.305488742645485,1.3510768809153155,1.3184351975365542,1.2954367264351812,1.3134321298066494,1.324046016085442,1.3767204518443066,1.4117555499098438,1.3283590204949403,1.364883941984336,1.2777174596138536,1.2779290712397302,1.2751315633503926,1.2604234274101642,1.2767421156968877,1.2450742356015199,1.383546048288816,1.3557274565622734,1.3349742415063717,1.2889842517147232,1.3212406242589627,1.3663754510050279,1.3424619744000894,1.3838895101882192,1.3288217680852454,1.318187533864973,1.2800879100731095,1.29078415833463,1.3348340183772078,1.3645617884402328
