Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Arceus (Water),Arceus (Water),Articuno (Galarian),Articuno (Galarian),Keldeo,Keldeo,Manaphy,Manaphy,Moltres (Galarian),Moltres (Galarian),Phione,Phione,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Volcanion,Volcanion,Zapdos (Galarian),Zapdos (Galarian),Kyogre,Kyogre,Lugia,Lugia,Suicune,Suicune,Tapu Fini,Tapu Fini,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Celesteela,Celesteela,Mega Gyarados,Mega Gyarados,Mega Sharpedo,Mega Sharpedo,Mega Aerodactyl,Mega Aerodactyl,Mega Blastoise,Mega Blastoise,Mega Pidgeot,Mega Pidgeot,Mega Slowbro,Mega Slowbro,Braviary (Hisuian),Braviary (Hisuian),Sharpedo,Sharpedo,Aerodactyl,Aerodactyl,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Brionne,Brionne,Cloyster,Cloyster,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Feraligatr,Feraligatr,Floatzel,Floatzel,Golbat,Golbat,Lapras,Lapras,Lumineon,Lumineon,Mareanie,Mareanie,Noctowl,Noctowl,Octillery,Octillery,Pelipper,Pelipper,Politoed,Politoed,Poliwrath,Poliwrath,Skarmory,Skarmory,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Vaporeon,Vaporeon,Walrein,Walrein,Xatu,Xatu
(Boss weights),,,,1.5625,0.0,1.5625,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,1.5625,0.0,1.5625,0.0,3.125,0.0,3.125,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Electivire,Thunder Shock,Wild Charge,30,1.1468477892298932,1.1019014350332368,1.145728940398727,1.0989880778273802,1.1502315599231898,1.1353424195953874,1.2397100006223163,1.239230817101251,1.1652223977867828,1.1868763140516845,1.075504097697246,1.122370206211545,1.1022622027607412,1.1642424058620844,1.1735438643945542,1.2146943467676494,1.33169713353708,1.1466163007701902,1.1734880489042165,1.2337721298826418,1.1841654244289177,1.149921301809642,1.1580576837523362,1.1796323461699592,1.0803504478616504,1.1209855406767506,1.1170947376250973,1.1665819512845228,1.1910471202993274,1.1570349435793714,1.1475927669061183,1.131897944017835,1.2015725737886613,1.146731214032701,1.0727457192354444,1.1294537658285397,1.1795520043280585,1.1792528897073358,1.19371314814971,1.1866443411585081,1.2399336009560509,1.1589523971306552,1.1682039828369921,1.14692640669173,1.075766010748774,1.1345381096146572,1.1345371795127994,1.1576282448392317,1.0960459450819582,1.131882668077648,1.1437729864696156,1.146759118669231,1.1220105352199323,1.1468778837280837,1.1016712294246345,1.1354623658377339,1.0853652415703832,1.1152089460845822,1.1126230523876177,1.1437695526132616,1.098057983961883,1.1491927764660839,1.1216169964632956,1.1572565821998555,1.1044059660552032,1.1586447797016972,1.1118638726957617,1.1389282775764578,1.1055503292568203,1.1659309646139373,1.070434081090928,1.1426247853016187,1.0869970765888228,1.1492987225716917,1.1320131461209744,1.1439048662390554,1.1473279388800703,1.1567488740046719,1.136995602690119,1.1897740989825831,1.0713964142898758,1.1135827970657557,1.0949196270916626,1.1205181925473227,1.148064589363755,1.1915403825415745,1.1118232066089506,1.147978287140678,1.0889927733579225,1.1512984367293546,1.0805611781950164,1.138898583094856,1.105612019443217,1.1566807898590281,1.1729372640661515,1.22192162502247,1.0740548720679315,1.1117058543283915,1.10738568941474,1.1624557179111845,1.112407037598127,1.1448147638066384,1.1303797683345223,1.1498607289649785,1.106719319562576,1.1454921020656137,1.1003321289098142,1.1454213657432755,1.1132223208226757,1.1638739538201877,1.1078034320070143,1.13966013945138,1.0870085925024713,1.1578682229488253,1.1524964486768032,1.1381771627996702,1.1147910209247203,1.1544310857044797
Heliolisk,Volt Switch,Thunderbolt,35,1.5407493778110466,1.5721995099262331,1.5428160878203314,1.571647318510136,1.5799738478003242,1.6258780419162706,1.903277532308586,1.7928246935092416,1.6001843121313066,1.6742439431759444,1.566496840158935,1.6122582141683035,1.5518029735007104,1.6489794775727686,1.97486250112704,1.9086872238752142,1.7075682023768137,1.638811489374214,1.8046815385730304,1.8094005908406905,1.692327551028906,1.6677354075233806,1.5746377742066442,1.6250789562086494,1.5176800390766028,1.5892104794561948,1.607249673794123,1.6560953234009714,1.6609603035276876,1.6329497384995744,1.65994748575675,1.5874639583849393,1.698799673029212,1.6349993956367017,1.540870414150212,1.61664066463117,1.703208069332168,1.6903201306740743,1.7831023458654227,1.7204615812870625,1.8415184758021974,1.6604082289515327,1.6137591378380358,1.6397990963128808,1.5474701839282272,1.621255593859067,1.5888946064227332,1.6240507783617433,1.5457191044677403,1.5941554504668363,1.5844383709552248,1.6321152613287444,1.5581647954475546,1.6188961088895726,1.5490315116665332,1.5832121052450718,1.5323883998032504,1.5718085907306838,1.5589848321439224,1.5946748051431499,1.5524323059579266,1.614627868887329,1.5449630484110184,1.6141379441479584,1.5680931767529573,1.6477477284416253,1.5231605482905308,1.5717836948339547,1.503712280193936,1.575685650191765,1.5237079061052412,1.605228230885338,1.583021464890628,1.6090477869663637,1.5516771339449233,1.6188377557932412,1.5524281492379368,1.6194329371378424,1.5903280738058285,1.6841373512674598,1.5223555167147762,1.5663956639566397,1.5434251575894533,1.5951163280056357,1.5838015778421024,1.6358618536806857,1.5163143609960974,1.5901796857974921,1.520232453412819,1.5760620161688075,1.5377259719410903,1.561750540936693,1.5501373328827777,1.6134924141994405,1.649847204745641,1.7305051231349993,1.5217260320040356,1.5704607235938681,1.5587035417009518,1.6298407144032636,1.54045586007437,1.5971629252169124,1.5772189952104352,1.6139559767655152,1.5524179829890645,1.595321992709599,1.5495602029271143,1.6285119894886675,1.5475631187903465,1.6390701397226428,1.5239029685608116,1.5963286153674863,1.5307771272146604,1.6087274731959547,1.5674751407376228,1.5756037249434418,1.553180536041785,1.6201053207348854
Vikavolt,Bug Bite or Spark,Discharge,40,1.2925647620327185,1.3269738904563573,1.2930306677471586,1.3245023903484587,1.2968064067145675,1.334353766893153,1.33827245005912,1.4222747733731618,1.3023381152704991,1.3756435749195703,1.3085496771738823,1.3662395137833152,1.3034599081308191,1.3800836574105395,1.3641759083941936,1.4431025155531512,1.361402980789354,1.3390254406583542,1.368977027124959,1.4373585243476668,1.2808251234603887,1.3199460355266117,1.3199960570533997,1.3644903936072383,1.3001236663393947,1.364518379235817,1.315603023719274,1.3610347467371664,1.2895087079299348,1.360429997557351,1.2697428783750309,1.3299123111221205,1.3186551584968358,1.3477240087929738,1.292275002632108,1.3720498856229482,1.290219212002039,1.324292268797403,1.2912171338433895,1.3541910939780175,1.3214184600070928,1.3518463881363862,1.2904700853542515,1.3642178932218045,1.34600204126787,1.3853357029170146,1.245543654203553,1.3013803680981595,1.2780625461600361,1.3420637807687643,1.2536693997368153,1.3139656510443027,1.3075784374038757,1.35049792371578,1.298690736646774,1.3238450876851355,1.2833596000762906,1.3210431744948252,1.3039078455219255,1.3488224450614592,1.3059472911747814,1.3738327696594559,1.2919555820350628,1.3479724162409523,1.280248157037545,1.3575347162695013,1.2988025838979045,1.349298881361273,1.3019465952673854,1.3737897098198133,1.3068235049185448,1.385520220683912,1.2992003276040542,1.3745720103286279,1.2932203815051138,1.348363843149717,1.2817892033502394,1.3459289945410198,1.3439062769443006,1.4184665459561994,1.2971407889974664,1.3382413954432704,1.277924668124388,1.3346111268675152,1.3529428457914752,1.4126085475906691,1.3035045664361988,1.3715157398419082,1.2986082816889326,1.3573435121051616,1.2908913240734279,1.3228868569833183,1.302383613631047,1.3572561149957112,1.3690814308826174,1.4250853855833185,1.31295014432643,1.3648796345598744,1.2544585242479622,1.3109403826665396,1.2530212780608732,1.288665473075334,1.26474234858521,1.298456129623968,1.325577156743621,1.3574726609963548,1.3035366254242857,1.360903682616154,1.314558646969776,1.3799742478815402,1.317453690172992,1.3838948965248492,1.2998156033761692,1.3524161660710212,1.2810894231949632,1.3361831605899581,1.3328006520876456,1.3934297879642639
