Attacker,Fast Move,Charged Move,Level,Arceus,Arceus,Arceus (Dark),Arceus (Dark),Arceus (Ice),Arceus (Ice),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Melmetal,Melmetal,Meloetta (Pirouette),Meloetta (Pirouette),Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Darkrai,Darkrai,Dialga,Dialga,Regice,Regice,Regigigas,Regigigas,Regirock,Regirock,Registeel,Registeel,Terrakion,Terrakion,Stakataka,Stakataka,Mega Gyarados,Mega Gyarados,Mega Glalie,Mega Glalie,Mega Houndoom,Mega Houndoom,Mega Lucario,Mega Lucario,Mega Sharpedo,Mega Sharpedo,Mega Tyranitar,Mega Tyranitar,Mega Absol,Mega Absol,Mega Aggron,Mega Aggron,Mega Kangaskhan,Mega Kangaskhan,Mega Lopunny,Mega Lopunny,Mega Steelix,Mega Steelix,Sharpedo,Sharpedo,Snorlax,Snorlax,Absol,Absol,Aggron,Aggron,Boldore,Boldore,Chansey,Chansey,Cinccino,Cinccino,Cloyster,Cloyster,Crawdaunt,Crawdaunt,Cryogonal,Cryogonal,Delcatty,Delcatty,Dewgong,Dewgong,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Herdier,Herdier,Kangaskhan,Kangaskhan,Lairon,Lairon,Lapras,Lapras,Lickitung,Lickitung,Lopunny,Lopunny,Mightyena,Mightyena,Miltank,Miltank,Nosepass,Nosepass,Piloswine,Piloswine,Porygon,Porygon,Porygon2,Porygon2,Raticate,Raticate,Slaking,Slaking,Spinda,Spinda,Stantler,Stantler,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Tauros,Tauros,Tyranitar,Tyranitar,Umbreon,Umbreon,Ursaring,Ursaring,Walrein,Walrein,Zangoose,Zangoose
(Boss weights),,,,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,3.125,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Poliwrath,Rock Smash,Dynamic Punch,35,1.5774323903823573,1.5478754328746327,1.5515123573828915,1.544882383113704,1.5485991531569465,1.54889250707652,1.550606515142455,1.5471626852281535,1.5843764722589913,1.553240505542643,1.4452168710679103,1.491609960677855,1.4353076940047829,1.4804924739680763,1.3686878112422207,1.380253549089992,1.4939525138828902,1.510186355415948,1.4890081377001638,1.5241456255422765,1.579995972178617,1.5194646958213147,1.4740688440565037,1.5097693967670243,1.5978892550780237,1.5223426871198962,1.432487142907626,1.4716532506010467,1.4580120492953434,1.480465612258822,1.6254438655808614,1.5434224753699302,1.4275351036337427,1.4073860776810474,1.6015424090006742,1.4785995543424493,1.4524376835069213,1.4568377735500178,1.4017379635523606,1.4160076235630428,1.4886476720625816,1.5184475927736014,1.3923763537448257,1.4458183453632072,1.3367708474557718,1.3624291775365633,1.3327220415660308,1.332984611935311,1.2404765560522795,1.3054074921032675,1.3932745533208404,1.4162333008057064,1.3077810760684123,1.3668047664986536,1.2769043182388566,1.2995484390627787,1.5458304857558545,1.4483322325925576,1.3816679387491988,1.4383209558665784,1.3853145282613457,1.4112019878891418,1.4948706945332817,1.291706758969792,1.3788406540834761,1.441953973897514,1.4409838201050411,1.4809544912524946,1.4579081119451303,1.4843900250119615,1.4871849905928562,1.5428714409733502,1.429209906250427,1.495426615155341,1.4460568730440906,1.522192872182593,1.4458695792844076,1.5258176915475068,1.4856051753117272,1.513054404106515,1.4232054618824808,1.4954895825835919,1.4159587280742894,1.494331544883219,1.5018976467947882,1.5001182460372178,1.5164487123046306,1.5266130185688929,1.4352601805910292,1.511134543109797,1.40076469326623,1.4102877821898616,1.412171936102929,1.4602847754793402,1.4438052275962296,1.518209662283724,1.492493944023402,1.5192346379281298,1.4483546056504897,1.4983220463184994,1.4244887279867904,1.5081636286230509,1.4368968408679537,1.5007625185404736,1.441499920448943,1.4917357254958192,1.4756822289063127,1.5303694029263533,1.4097736940444179,1.4794325238738912,1.4393712967439316,1.518162723291462,1.4522657123888048,1.5442274918491643,1.4248551984472517,1.482903814253956,1.4744067790087703,1.480915857291276,1.59357744890855,1.4918128300073317,1.4372340816181177,1.501942534740996,1.4278121897992682,1.4594578577775843,1.4147874341726867,1.5244809539822448,1.5135121292655311,1.5310397388602537,1.4250668963771396,1.48078343702029,1.428632499730357,1.5008651373166704,1.4276919823424212,1.4866219163578738,1.4518395160419706,1.512707605537764,1.4709699746793423,1.5600569792529413,1.4578614216153427,1.4690113316745212,1.3802019107705217,1.4465164057242699,1.4014117235702475,1.460619405943891
Virizion,Double Kick,Sacred Sword,40,1.343247062423986,1.3423858151012422,1.340907690300704,1.342684673403841,1.3464409198306315,1.3438498608089458,1.3484493992399365,1.3460361495695436,1.3369330204348673,1.3436909826333878,1.3563183106159804,1.3532652262196907,1.3785719211338434,1.3352139701855683,1.2652843504663949,1.2373211561917925,1.329065452327348,1.3356685532966315,1.3027544230006383,1.3416589188042123,1.3160172721504408,1.3706746230229019,1.2840504203724799,1.3543640679219886,1.2689565511163394,1.3095044999122163,1.2756605049154968,1.299257456118064,1.265199060855213,1.2588459139959802,1.281795936772538,1.2991358734853855,1.2880944785756414,1.300374857714977,1.206648301760469,1.2173356672847524,1.2700946159032585,1.3017456773824545,1.2769676522601654,1.2950864680767251,1.2996265753894782,1.3154916409860349,1.2620449855317921,1.2772257929251338,1.1647701129054102,1.1844070525112056,1.1921520093417408,1.204356010610987,1.1930998826835897,1.1768868874683067,1.1885126723665007,1.209190425696795,1.1751327852177522,1.2051199951742284,1.8327406110194342,1.1404117981075823,1.959610245127786,1.2261029836353792,1.234461005111512,1.2616029812039298,2.0268437837327227,1.2653677503496652,1.1328847605833055,1.1427486017550397,1.2229005366035843,1.2533695142938606,1.3099379496434582,1.3788204957128114,1.3021777486132249,1.365322650101258,1.3507707305942005,1.4043017222048697,1.3025811806361398,1.366967878243915,1.3292959272932912,1.4032801020744088,1.321166822339194,1.38117908980865,1.3117556008545317,1.37091860111125,1.3675406199854696,1.404529828907642,1.2915894381390112,1.3656041647125032,1.315609901254614,1.365098979568137,1.313379787980675,1.3960904934701035,1.3112387510042334,1.373942972464472,1.209449967112381,1.2738774096689123,1.3826070914713293,1.351149653418583,1.3390937478386278,1.3973262427516648,1.325673349771721,1.3975009180378617,1.3142399254389647,1.3881792610105386,1.3104608966990243,1.3911494454916669,1.3096224266582561,1.3599172217725641,1.3056117869131636,1.3681899875664645,1.3106346005497072,1.371525379387433,1.3000268453708639,1.3620211836056308,1.3161146305777291,1.390638325078387,1.3333394450483085,1.412646520062568,1.3097874700225225,1.351880703017449,1.2967003375907213,1.3607241667810455,1.2941358043707296,1.3514534185216904,1.3311414551349026,1.4048771292113384,1.2814139463569647,1.303692446682119,1.3171997984559967,1.4041197530994776,1.3190106446914367,1.3923780072456167,1.3245272256762959,1.3837772158028894,1.309844783123714,1.374708101647385,1.2938088789154945,1.3622113518215997,1.3281350288476392,1.3817637084314645,1.3282452451717475,1.4017422391956702,1.2810356663876232,1.3111657329814874,1.2669599660725572,1.322721827590628,1.2608216010564512,1.333253343295666
Shadow Terrakion,Double Kick,Sacred Sword,30,1.0254913532373633,0.9634507555099815,1.0259781145481723,0.9618378336928227,1.0314456219149881,0.9619043675579573,1.0358008959769005,0.9635469553152273,1.0184654007312333,0.9589695652752775,0.9812588080306267,0.9532986854997467,1.0111021258119255,0.9392892814441738,0.9814384593749169,0.8802100354049787,0.9792240444571684,0.9373062330609789,0.9314326896074303,0.9394763232204453,1.0175638721793234,0.9712118473073528,0.954322923115034,0.9378776514777045,1.0782646116820223,0.9751709376919371,0.922357613508134,0.9271070106686395,0.9760721993532239,0.9001613538639348,1.0045966249795892,0.9329395554042765,0.9504511064642231,0.9265078964998303,0.9358096034246248,0.8702501143131254,0.9384293552088926,0.9261613637362479,0.9281180584434936,0.9260277878793811,1.1337407295431472,0.9835814894325033,0.939279286585788,0.9244080252837715,0.8833592902497251,0.8565117549085006,0.8613609735278349,0.834237098797669,0.7897609841958568,0.8144900085281312,1.1136191976932805,0.9414879048587366,0.91071322414442,0.8625794842631322,0.8145663845289944,0.8088761947912247,0.8511850265987307,0.8590002696372298,0.876340367580357,0.891978685348284,0.9417531746591901,0.8968573322065861,0.8451915422163395,0.7886567663501136,0.9281381008414676,0.9092667561033726,0.9847778759470774,0.9642621127736145,0.9294726514181874,0.9343882717993407,0.9370423442907309,0.9472187783647555,0.9267092661118671,0.9422691000195563,0.9333443132042739,0.9388301408206841,0.9031590893614513,0.9538316827641207,0.9484517476525767,0.9442337976353771,0.9601109234461901,0.9622076553082879,0.9230922802738953,0.9493343213582215,0.975419760600215,0.9430170357700999,0.9403439324817733,0.9583688642379385,0.9518704260890254,0.9427087371356646,0.9378966731677632,0.9043833440092706,0.93444447097729,0.920675811055331,0.9716579955615554,0.9581780347373607,0.9344107353680687,0.9573260616510819,0.9355113780906587,0.9343847690385367,0.90583637497342,0.9555484775016039,0.9350654347305662,0.9464701218129702,0.9198587723209463,0.9402801375742231,0.9086813593136007,0.9357093923087462,0.9081443631151093,0.9456032502569058,0.9185082471350554,0.9516543550913552,0.9202629791235774,0.9706427757071021,0.924585938678121,0.9369945566252049,0.9165761060208334,0.922609224111672,0.9567461662158748,0.9318107660174854,0.9289123483792338,0.9454955152640134,0.9696933589421818,0.9080184002917718,0.9048826779384449,0.9448467959208311,0.9201137832162308,0.9600910432868286,0.9361923805787176,0.9324558626346912,0.9070785134323083,0.9383219590639506,0.9163237947578197,0.9195309699521792,0.9434136614165909,0.9560345430218437,0.9008968420569262,0.9564562176481183,0.9157904436790865,0.937572307496227,0.9250998591161417,0.9206275363077505,0.9181578287387625,0.928968742487926
