Attacker,Fast Move,Charged Move,Level,Arceus,Arceus,Arceus (Dark),Arceus (Dark),Arceus (Ice),Arceus (Ice),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Melmetal,Melmetal,Meloetta (Pirouette),Meloetta (Pirouette),Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Darkrai,Darkrai,Dialga,Dialga,Regice,Regice,Regigigas,Regigigas,Regirock,Regirock,Registeel,Registeel,Terrakion,Terrakion,Stakataka,Stakataka,Mega Gyarados,Mega Gyarados,Mega Glalie,Mega Glalie,Mega Houndoom,Mega Houndoom,Mega Lucario,Mega Lucario,Mega Sharpedo,Mega Sharpedo,Mega Tyranitar,Mega Tyranitar,Mega Absol,Mega Absol,Mega Aggron,Mega Aggron,Mega Kangaskhan,Mega Kangaskhan,Mega Lopunny,Mega Lopunny,Mega Steelix,Mega Steelix,Sharpedo,Sharpedo,Snorlax,Snorlax,Absol,Absol,Aggron,Aggron,Boldore,Boldore,Chansey,Chansey,Cinccino,Cinccino,Cloyster,Cloyster,Crawdaunt,Crawdaunt,Cryogonal,Cryogonal,Delcatty,Delcatty,Dewgong,Dewgong,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Herdier,Herdier,Kangaskhan,Kangaskhan,Lairon,Lairon,Lapras,Lapras,Lickitung,Lickitung,Lopunny,Lopunny,Mightyena,Mightyena,Miltank,Miltank,Nosepass,Nosepass,Piloswine,Piloswine,Porygon,Porygon,Porygon2,Porygon2,Raticate,Raticate,Slaking,Slaking,Spinda,Spinda,Stantler,Stantler,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Tauros,Tauros,Tyranitar,Tyranitar,Umbreon,Umbreon,Ursaring,Ursaring,Walrein,Walrein,Zangoose,Zangoose
(Boss weights),,,,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,3.125,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Machamp,Counter or Karate Chop,Dynamic Punch,40,1.2387566004103185,1.3150354824605657,1.2448088315574517,1.3119385079897827,1.2457372792391723,1.312789931570673,1.2486939405582858,1.3129436389006857,1.2582363255687818,1.310183414998964,1.2329056123406774,1.308556267331282,1.253475360766474,1.3137085967946451,1.193430313278212,1.2470524360851944,1.2133181134932922,1.2922503136266543,1.240423401516235,1.2974988250199235,1.2312845624027287,1.3058006887645286,1.2152407380712122,1.2841285858440248,1.2566583062952903,1.2863790791548846,1.2208019934474643,1.283621908097013,1.2130798801460598,1.2818937693293382,1.2640921535395675,1.314687203173598,1.2212889688860786,1.2520000713855943,1.1966164877580008,1.2219312279664254,1.2168240838703472,1.2570856977974416,1.2044546641463842,1.2639893769538915,1.2367278880374688,1.3031413903206772,1.1914766516688273,1.2625723412728675,1.1728350959252642,1.2310867246630086,1.231058828871097,1.2910341591875654,1.1962726087128348,1.2604793771653646,1.2321013994864933,1.3001988934292843,1.178483315473372,1.2489470929797892,1.2015807127246236,1.2663648919378339,1.245634481005616,1.301727982964764,1.2102933743183433,1.265549167628965,1.205166848735985,1.2732525213763821,1.1710502352192904,1.19838554669222,1.1985594641239337,1.2576054473081164,1.2341310412948168,1.2773147105203875,1.2306086113519208,1.2881978429672716,1.2205927206181375,1.263623424156161,1.2010296886894507,1.2520233182419167,1.218108476424094,1.2841755246661217,1.219537152715807,1.2863109048723897,1.2140853665692593,1.2652888779354294,1.2316201801617883,1.2882524816903564,1.2204471095451213,1.296836530359898,1.2231780627202464,1.2805235571085907,1.2413730519794792,1.3085132126609236,1.1966764643388343,1.2497521070897373,1.177060018594401,1.2415779989210656,1.202808840225827,1.275354993234521,1.2265715368838515,1.2920866666018642,1.2142623010525548,1.278641754986585,1.216472490370441,1.2705597032669171,1.2140342342111665,1.2725166114020152,1.2190739524018104,1.2731511899547379,1.1899770246984491,1.249580258913975,1.2244672646832,1.2681820026788977,1.191112431851691,1.2526602128170254,1.21959918200409,1.2901104294478527,1.210491744543636,1.28057355268265,1.2118948762759219,1.270334049445106,1.2162742335815389,1.2533708995773798,1.224401137533367,1.269518641938692,1.2152192662376435,1.26483336650523,1.2114401126593537,1.2504076489771716,1.2014675938376427,1.2776774623176712,1.2109841417910447,1.2709538246268657,1.2203282130622168,1.2738516226470697,1.1931988074912199,1.2425269154893444,1.2266823269310487,1.2823770208649994,1.223746265339885,1.27434010716314,1.194714106241896,1.2560984621999476,1.2172611782685756,1.2724494019506916,1.1994464517736683,1.2488831141092502,1.2167277092494824,1.2737239242010363
Sawk,Low Kick,Focus Blast,45,1.609810648101436,1.5161218175091649,1.625211454605498,1.5085660176442441,1.6114558882753485,1.5134423776537216,1.6053273743318033,1.5172922270082982,1.6133175897493772,1.517730902622789,1.5897776053464825,1.5599932775633312,1.622696587827611,1.5083880718971543,1.457638222466197,1.431453236660583,1.5949164227348243,1.539528260304472,1.5517931217688048,1.5285939064511513,1.7883332229544024,1.5742739825822047,1.4229890442554418,1.4770722214213636,1.6069198863360037,1.4754809529433834,1.4863147028713914,1.492489536280778,1.5448768221363676,1.4682223271318875,1.7279831635408713,1.4857709571080029,1.5556068285420002,1.48643673706646,1.6392645120184735,1.427738675424655,1.5327049469398224,1.4921817190856337,1.4128359023325603,1.4202380720396193,1.577730854871838,1.5684355962555796,1.4562033435860935,1.475626392807816,1.416399172459876,1.4352090052813506,1.5823520954096226,1.5704675132050914,1.6103496199496778,1.5389172847149952,1.5489169348714424,1.5401077640762304,1.4519068623786147,1.4462207491215393,1.6162389205925205,1.537867289946576,1.5281210882983467,1.5262986249994004,1.5002691696015056,1.533307169774103,1.4606312492843592,1.4903709572100996,1.770460155617384,1.378267362657992,1.4907107162915014,1.5261768407416667,1.4854350425424991,1.5278389103574956,1.4533683827847534,1.4823028235316051,1.4935059983733225,1.5233707808052053,1.445710965984214,1.4627689410633438,1.437961297356228,1.4741891523575907,1.3750490808495448,1.4521268368136118,1.4989144339212994,1.5224096046192304,1.486558042207875,1.5284341745987189,1.4598684714456105,1.4994036350903301,1.481321626343688,1.512067280642009,1.450416223018101,1.489884812699642,1.4131223882711241,1.4413998866775268,1.4912939177943825,1.495908083973233,1.4778527769569343,1.4802790176835623,1.5024543872780116,1.551094996938091,1.46808949751733,1.4914108120576415,1.4724428170621522,1.5037234295496695,1.4730824872933976,1.5358409402245579,1.4367152138998394,1.4691104540808877,1.4113462643043344,1.4492223744090487,1.4418070381945853,1.4618094735560336,1.461259757923491,1.4839358577257609,1.4422249488752554,1.4851124744376276,1.424618577016093,1.5070238557310482,1.4559702572436746,1.4777652860180104,1.436741128328973,1.450146463630062,1.430579060313694,1.4286860791737181,1.428857338729295,1.4711625644087662,1.449859175807886,1.4418544322561517,1.3745693905515644,1.4173421952437666,1.487978078358209,1.5234025186567164,1.4250653847570636,1.4529874387593473,1.3951114217217067,1.432956767133467,1.4667161807378748,1.5077207406383861,1.4437146596212254,1.4909627398207363,1.3795121230240042,1.4337147041632796,1.5071160969190114,1.518832981331522,1.4091807130270724,1.4453749354787035,1.431409777429352,1.471281404265223
Cobalion,Double Kick,Sacred Sword,45,1.3059058958060068,1.3774879763226044,1.3053404503393382,1.3800487946245037,1.3092109143175856,1.382823413243375,1.3083918110915624,1.3832551382906295,1.3054266516866802,1.381349579993296,1.2957782740143853,1.3862951686062208,1.282275289639858,1.3530229870215094,1.2160652000136234,1.2914266710208138,1.2767984086979125,1.345432352708491,1.2705437603449332,1.349181600833725,1.2690010430808967,1.343653763369648,1.2988503675940608,1.373089952429004,1.2976926764536278,1.3560267624519742,1.2745040735442654,1.3338494694223548,1.2528552021812644,1.331854749356893,1.313884491460712,1.3874937142644292,1.2779844277424814,1.3337404011870404,1.1818866636041867,1.2318614069454932,1.2859619762110865,1.3448097207527814,1.2753821484943724,1.3361375651065226,1.3213762163918112,1.389901249442305,1.2785975749256464,1.3527076607607378,1.24327366649105,1.3100165765024865,1.2790852541885491,1.3680209767983897,1.2775124817220165,1.3522480272951218,1.2710266517195241,1.3411637073735219,1.2254383997474685,1.2757038070791904,1.262828587906751,1.329183614618747,1.2949465011102637,1.3677922775515685,1.3115360748907912,1.3799421388093251,1.2557800561371801,1.3321996552545823,1.1986685383341598,1.2541937400007284,1.2808163583220258,1.3543394401013376,1.2918536745975358,1.3597310551579531,1.281644714151216,1.3449108382971187,1.2883667141114274,1.3493671207808051,1.279518410192716,1.3416703393565448,1.2866721177432543,1.3407686017988554,1.3013980605627937,1.3522041763341068,1.272635519722095,1.3419826544144398,1.2788041952688392,1.3472452599076223,1.2851718515762636,1.3616597546697013,1.291628416595102,1.3755589445941545,1.310606427257768,1.3913101345465106,1.2830051703378427,1.3500779092003683,1.2432997027191441,1.308437496413117,1.265129010684791,1.3407935051402087,1.303197021686091,1.3848090438095977,1.3057143897730996,1.3791261487659492,1.286623234580817,1.3554710162157022,1.3118206608713465,1.3759745995979977,1.3081197985107316,1.3703369104978829,1.2792161887509388,1.3245924093138337,1.2759264520842635,1.337719689897309,1.256729109757352,1.3258203513423932,1.2909938650306747,1.3679509202453985,1.2983907085062552,1.3800570268414296,1.2955241158987945,1.3629350935583333,1.2879184275843565,1.337906129111603,1.2750929043739205,1.340352774918436,1.2834870297883634,1.3565094318759814,1.2609879928846723,1.3078398310109693,1.2777671059203195,1.3698951169849014,1.2812733208955225,1.3521338619402985,1.307704350388625,1.3663756584521312,1.286670971965428,1.3451198259007953,1.2923431670581733,1.3434606881304407,1.3098841946714734,1.3706758191560287,1.3129480211489495,1.3856189829961907,1.2823620559735947,1.3405219532385935,1.289242297492124,1.3474093587028104,1.2985778507294488,1.368546124918848
