Attacker,Fast Move,Charged Move,Level,Arceus,Arceus,Arceus (Dark),Arceus (Dark),Arceus (Ice),Arceus (Ice),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Melmetal,Melmetal,Meloetta (Pirouette),Meloetta (Pirouette),Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Darkrai,Darkrai,Dialga,Dialga,Regice,Regice,Regigigas,Regigigas,Regirock,Regirock,Registeel,Registeel,Terrakion,Terrakion,Stakataka,Stakataka,Mega Gyarados,Mega Gyarados,Mega Glalie,Mega Glalie,Mega Houndoom,Mega Houndoom,Mega Lucario,Mega Lucario,Mega Sharpedo,Mega Sharpedo,Mega Tyranitar,Mega Tyranitar,Mega Absol,Mega Absol,Mega Aggron,Mega Aggron,Mega Kangaskhan,Mega Kangaskhan,Mega Lopunny,Mega Lopunny,Mega Steelix,Mega Steelix,Sharpedo,Sharpedo,Snorlax,Snorlax,Absol,Absol,Aggron,Aggron,Boldore,Boldore,Chansey,Chansey,Cinccino,Cinccino,Cloyster,Cloyster,Crawdaunt,Crawdaunt,Cryogonal,Cryogonal,Delcatty,Delcatty,Dewgong,Dewgong,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Herdier,Herdier,Kangaskhan,Kangaskhan,Lairon,Lairon,Lapras,Lapras,Lickitung,Lickitung,Lopunny,Lopunny,Mightyena,Mightyena,Miltank,Miltank,Nosepass,Nosepass,Piloswine,Piloswine,Porygon,Porygon,Porygon2,Porygon2,Raticate,Raticate,Slaking,Slaking,Spinda,Spinda,Stantler,Stantler,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Tauros,Tauros,Tyranitar,Tyranitar,Umbreon,Umbreon,Ursaring,Ursaring,Walrein,Walrein,Zangoose,Zangoose
(Boss weights),,,,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,3.125,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,1.0416666666666665,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.125,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Poliwrath,Rock Smash,Dynamic Punch,35,1.516073050146302,1.5755490532405072,1.5061970521037626,1.5732306893925607,1.5008585260312843,1.576702013112953,1.5017627589368172,1.573973521540712,1.528686281016236,1.577940004817402,1.4504104083343912,1.5600075806200733,1.4228964197486436,1.5340931462308185,1.3902284124125248,1.4718366153050941,1.473889309569286,1.5571569037420463,1.4665937838445346,1.5569487299997955,1.5392003874300473,1.5643978277426405,1.4404569698717025,1.5386406227475853,1.5788762827148743,1.580692405494223,1.452624005113507,1.5359133301544818,1.4459741986453807,1.5366797375545556,1.59311828357514,1.594150075428827,1.4398614609571787,1.4729346617852517,1.5629190009275442,1.5286790679500921,1.4391023051521272,1.4940514892116317,1.410072963846567,1.4849938338450916,1.4767783016055447,1.5600861060453106,1.429372463289187,1.5294830405788997,1.428467894270184,1.4961822644273397,1.4930077338701133,1.5643795498917863,1.417788594538341,1.5180770902767715,1.4762231945900988,1.5782808375221495,1.3924414982430784,1.4871823626652048,1.4603076432734337,1.530965426177756,1.5960893774369451,1.5871209396237091,1.4525566759930093,1.5428669888494138,1.4437777165722279,1.5266218353206225,1.5409763491836672,1.4421954547619649,1.433269322108849,1.5236889300162144,1.4482991664789366,1.5149981804633752,1.448660943165823,1.5242503052844505,1.4474125660837738,1.5378329605530703,1.4458912616691373,1.524730558115309,1.460103570455165,1.5388607249931863,1.4462014397049199,1.526170503896722,1.458003262566161,1.5297679822553956,1.4448477811519125,1.5183287825044018,1.4488384562355696,1.5514898180266339,1.5065296573780687,1.5405475436050815,1.4543727615913271,1.5423482721904946,1.4455343862879808,1.5219562291947022,1.4232292276436762,1.5004304259495196,1.435564645317822,1.5354915470395198,1.4441323133450625,1.5381863779075984,1.4437241262094669,1.5369122628109406,1.458718911978696,1.5354890864995958,1.4441741668693748,1.5290043400888502,1.4741203095342386,1.53964082347788,1.4146821013564264,1.4931957760791763,1.4744002922433739,1.5316312862767383,1.4030493868080876,1.4971140548386728,1.4180286298568505,1.5205807770961144,1.4522661451646612,1.5442256590929448,1.437102752763338,1.5100014470652403,1.4501241027705105,1.493403546432325,1.5176038522602369,1.503890643264651,1.442690019681992,1.5182666578208275,1.4535928698487992,1.5081529795434332,1.414793755682764,1.5244791066374683,1.4611007462686567,1.5281133395522388,1.4432257708034038,1.4996500534129003,1.4308247595962456,1.5031626252886172,1.455316429459721,1.5372650960342684,1.460517543643053,1.5288649102446974,1.470973940033188,1.5600575079442924,1.4374728038801567,1.507551234836505,1.4408895929373655,1.510181015609704,1.4420667099476954,1.530176268113723
Virizion,Double Kick,Sacred Sword,40,1.3572881982981873,1.4141089025661722,1.3582563335287814,1.41796403755299,1.3599321941364104,1.4187871445205145,1.36087012207864,1.4206724773672539,1.3545776267052507,1.4171971142751747,1.3527616520745689,1.4168679523922756,1.375959203805274,1.3971553587342849,1.2835912096982618,1.3311809689045782,1.3347181880855776,1.407352991037624,1.3412101273065369,1.4279747430369658,1.32455958806583,1.4096327692969965,1.3232881649127863,1.3991999423381865,1.3071345695566687,1.3725636233525322,1.323803615345307,1.388324044592791,1.3002765119035002,1.3653560452053606,1.3288640977408601,1.3983573277708454,1.30786057373622,1.3624667292140444,1.2646193812734636,1.3135486573489836,1.3135853291013433,1.3730422237183804,1.2933419446076069,1.3582647354399404,1.3421605051225696,1.4088968022747788,1.3013548895498106,1.377653219451435,1.2753395613009342,1.3469449120417367,1.3325147942427316,1.4187603105655866,1.3351062428370064,1.3847960111182833,1.3033522583444834,1.380663942429393,1.27633098246401,1.3434429021191052,1.2973151408450703,1.3603539339485187,1.3260818477859468,1.3939062582430495,1.3260725977830108,1.3994724189141512,1.3375348536379306,1.4165972946459242,1.2272366846828673,1.2858944076928895,1.2985918895458342,1.3732413973827735,1.3409118477827646,1.4114232242188989,1.337127250016313,1.401978056806212,1.3524425579503863,1.406033956893046,1.3280479987178972,1.3940362193998157,1.3438539111474517,1.4186426819296811,1.3214706407281813,1.3814980070200489,1.3376286542501379,1.4044760529990965,1.3452739428892233,1.4259831066425088,1.3409894186262816,1.4178384234081434,1.3301992952115846,1.4018922680565016,1.3256945116639243,1.4114558126028458,1.317223245272328,1.383782491677881,1.2914959310400238,1.362143176887848,1.3414933822728898,1.4125697933029535,1.3235514254886902,1.4157100226484054,1.3374488594286824,1.415000424906824,1.3468353226496743,1.422616386894289,1.3285664904172374,1.4103752448501452,1.3403599065557015,1.3951489268506352,1.3068859629744178,1.3695267971545972,1.311718147501725,1.3726590088078905,1.3068816933926144,1.3833449533105506,1.317357873210634,1.3928588957055212,1.333338309497507,1.412645926014391,1.3076794639179847,1.3765820319022228,1.3076407057087276,1.372196507233738,1.304612942059075,1.3623968456129945,1.3456069351378845,1.420144187177956,1.312935443225615,1.3640675956122146,1.3171974848566341,1.404126166967613,1.3234724813432837,1.3970965485074627,1.3414097321987697,1.4014071536449701,1.311848123214112,1.3768168508213978,1.3405502970844272,1.4114273870388283,1.3283537865132473,1.3965283093409715,1.3282521212772676,1.4017494239128243,1.3106778599704956,1.3676490878023413,1.319536158624495,1.3809337344036452,1.320859414236192,1.3967441233754303
Shadow Terrakion,Double Kick,Sacred Sword,30,0.9788416910503481,0.9772727272727273,0.9827028447805253,0.9775015669544471,0.9841454927804617,0.978259660734777,0.987733152675821,0.9796372693751813,0.9743010135072538,0.9748147574202307,0.9482443891790224,0.9815007839862976,0.9614646155669913,0.9580374134467408,0.9518472736160725,0.9173339797772574,0.9367480023959945,0.9600637424983894,0.9150438318654596,0.9719803012035882,0.9736063280241067,0.9828574621676215,0.9197816058815049,0.9545985296237566,1.0212890719987773,0.9867327159164334,0.8988151087731172,0.9376517858821398,0.94890984941181,0.9342845856656999,0.9637718138304807,0.9558825172741325,0.9144456398698741,0.9470548343344313,0.9194638196164155,0.8961872125625037,0.919937161360649,0.9505113654579846,0.9065500432883561,0.9460705029522379,1.0625070675628165,0.9899522386954975,0.9179143682689782,0.9543964005185693,0.912532606879891,0.9270222690533403,0.9244131490926702,0.9597679838965992,0.8988255983981241,0.9495066591139624,1.08176328065671,0.9970961559324486,0.9210589711000906,0.9188410131166879,0.9123702343370568,0.9443221830985915,0.9104499086370372,0.9500453217846712,0.9072651115468874,0.948741353988037,0.9500583343906763,0.956835645562099,0.8871703917893197,0.8727910541018378,0.9329806574184778,0.9531032477848568,0.9486370804235188,0.9666591574678981,0.9114628485136609,0.9560110741351827,0.9067456283041887,0.9463958926392843,0.9087503505749429,0.9451199967947433,0.9040501499046062,0.9487925865358409,0.9033255993812839,0.9540484264382176,0.9066530530812473,0.9557558473870131,0.9288348176691249,0.9688289483757369,0.9039031809776008,0.95740094324138,0.9448902839882732,0.9673072936717108,0.9133796341109284,0.967718517084503,0.9095987676181033,0.9489960337134359,0.9037223236114459,0.9194472183005635,0.9091559481779865,0.9536681338165077,0.9175423078044654,0.970654276466071,0.9078559201660779,0.9681562685896735,0.9045793903656855,0.954034904179942,0.9005492324828125,0.9625523307173309,0.9166757920864359,0.9611804643013578,0.901062607696726,0.9408938275968718,0.8926979745910623,0.9364776555587125,0.9044494988170483,0.9543849222223493,0.8988875255623721,0.9531697341513291,0.920259457200012,0.9706431194577971,0.9067756047063014,0.9532041363803333,0.8964133181279489,0.9294850294045304,0.9279620356962158,0.9369646003803409,0.9205090780424158,0.9557708043079237,0.9484509338867476,0.9346464571597983,0.8957316838910446,0.9448435719133786,0.9026002798507463,0.9631646455223881,0.9036449699782666,0.9433270711312485,0.8951069984695548,0.9394368315360185,0.899820367555617,0.9448666574547464,0.9121459789130596,0.9579372330180993,0.9008995693622396,0.9564592304953342,0.8987720620230729,0.9476136399817454,0.9120641475179325,0.9465318690707154,0.9149527787645308,0.9618432818452417
