Attacker,Fast Move,Charged Move,Level,Arceus (Bug),Arceus (Bug),Arceus (Fighting),Arceus (Fighting),Arceus (Grass),Arceus (Grass),Keldeo,Keldeo,Kubfu,Kubfu,Marshadow,Marshadow,Meloetta (Pirouette),Meloetta (Pirouette),Shaymin,Shaymin,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Zapdos (Galarian),Zapdos (Galarian),Virizion,Virizion,Zamazenta (Hero),Zamazenta (Hero),Buzzwole,Buzzwole,Pheromosa,Pheromosa,Mega Blaziken,Mega Blaziken,Mega Gallade,Mega Gallade,Mega Heracross,Mega Heracross,Mega Medicham,Mega Medicham,Mega Beedrill,Mega Beedrill,Mega Lopunny,Mega Lopunny,Mega Venusaur,Mega Venusaur,Mega Mewtwo X,Mega Mewtwo X,Amoonguss,Amoonguss,Ariados,Ariados,Bellossom,Bellossom,Blaziken,Blaziken,Breloom,Breloom,Combusken,Combusken,Gallade,Gallade,Gloom,Gloom,Grotle,Grotle,Hariyama,Hariyama,Heracross,Heracross,Hitmonchan,Hitmonchan,Hitmonlee,Hitmonlee,Hitmontop,Hitmontop,Ludicolo,Ludicolo,Machamp,Machamp,Machoke,Machoke,Medicham,Medicham,Meganium,Meganium,Monferno,Monferno,Parasect,Parasect,Pinsir,Pinsir,Poliwrath,Poliwrath,Primeape,Primeape,Tangela,Tangela,Venomoth,Venomoth,Venusaur,Venusaur,Vileplume,Vileplume
(Boss weights),,,,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0,0.5357142857142857,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Toucannon,Peck,Drill Peck,50,1.3920139147132202,1.4450882685039317,1.3619185615727858,1.4044884988391813,1.3969711343000406,1.4447469169264129,1.3201311659062,1.3903547158655511,1.3972362682933355,1.4691287422746608,1.3844239511733631,1.4945266779970363,1.3762286081576904,1.4224290131786315,1.4295394849318477,1.5033687695248754,1.407899666827457,1.477410452867864,1.391975120434173,1.4494134419466285,1.3303420602482188,1.3785310433397102,1.4059769879126702,1.459730556837804,1.3753122344397808,1.4601337779723431,1.441056472679288,1.4748875663156762,1.5220508637382408,1.447924131306509,1.4496873123507958,1.4979744870311515,1.3877736277244574,1.4456999669046382,1.373031017594776,1.4606965354616361,1.4280490702524795,1.4947022431863983,1.400983196955336,1.3688379898955643,1.4302923690761729,1.4928669675233883,1.5305521266791409,1.3929846119473845,1.4224356864036118,1.5008230259135587,1.4362172464313034,1.5081875818434052,1.4324346517038458,1.5013822362118519,1.4150262137116156,1.4440904568675454,1.372392350315263,1.4453978565597263,1.3611320604929942,1.4393813096230434,1.3640459693814049,1.431572833257271,1.4158995516550608,1.4747448249546886,1.4282133455419481,1.5042691999542177,1.386398201860052,1.4482832877966056,1.3518971256509067,1.3912070608710065,1.3708893763191659,1.4530977113768986,1.3108575292675713,1.3638138709268417,1.3804567345036507,1.4353037129097403,1.3569596955049454,1.4071727884349061,1.4051625567911603,1.458953524846449,1.3957971539585963,1.4664484451718494,1.379899705319754,1.4474486894483793,1.4033330555787018,1.4560953253895508,1.4075182045033343,1.471332467494564,1.4158408757557328,1.5169391478553287,1.423293549068791,1.4928654777327564,1.3795270614258377,1.436660639362393,1.3830345128977724,1.455935965406599,1.4299938816192,1.4959638423431425,1.4309178633755746,1.4940402185443304,1.4330525324403516,1.4769516534114693,1.414938208438287,1.4704718986146095
Toucannon,Peck,Drill Peck,35,1.5858513465088133,1.6152105124373737,1.5478487807287635,1.5737556188563053,1.590434001897276,1.6196334191624882,1.4917457279668895,1.5663492545093143,1.5618361559247667,1.6349927763062846,1.5457017154626056,1.6420300896662006,1.635627421936643,1.6153846153846154,1.590570165213472,1.6526126420167546,1.5855243821724645,1.6537630548668993,1.6550651742852278,1.6766371372518512,1.4880180329004513,1.5565899486829693,1.5533500880477338,1.615679335282351,1.5625788633378828,1.632049416733191,1.6899859962836292,1.6493550211402257,1.7631466601613126,1.6433248967020904,1.6291187627235313,1.6945005052798077,1.6097063968606686,1.6100468062975746,1.5547687284600036,1.6254997279158354,1.6055107231174042,1.6720538927952266,1.6836697130699687,1.5194943724148327,1.611889145286515,1.6533431471735003,1.808816153266121,1.5704147233781105,1.5955650660772234,1.6742816159525937,1.5872110360564768,1.6605816229952417,1.6264221522740752,1.7039733588796133,1.621527661334496,1.6080016097119287,1.5634607701794307,1.6179847492661237,1.5223408618796226,1.5900580849177681,1.5362817906484671,1.5887648840393314,1.6035128302966708,1.660283315844701,1.5834954789973676,1.6500629506695663,1.548742244175561,1.6127269546023502,1.4793850743794803,1.5326869155651321,1.5339651533336094,1.6199478541571826,1.4438696589324205,1.509885465534001,1.5089638030138262,1.5779944073326082,1.5218051696255461,1.5589914494786594,1.5725763202363727,1.63392595141004,1.5548781249609576,1.6352494346647344,1.5155249961226283,1.5877992038463526,1.6096241979835013,1.651645696191984,1.5538400922264217,1.6451909466341732,1.6149787142703824,1.6715558258505347,1.57663294651635,1.6536655732884955,1.5445552376103786,1.632989835507259,1.5676744908168783,1.6377583292123332,1.6280715258452247,1.6947421398543432,1.5742948067205804,1.6391737290552177,1.5726506906655504,1.635054764894656,1.5568718513853903,1.6180435295969773
Shadow Zapdos,Thunder Shock or Charge Beam,Drill Peck,30,1.291610604390775,1.3387519354162583,1.2567368646370176,1.303948430013337,1.3367546415503455,1.3912979401002845,1.10073751648326,1.165943153660937,1.270166144955454,1.3366575701634695,1.2518230453019432,1.357727116700016,1.3288518706981975,1.3209471639263546,1.3539772462349047,1.441866383798822,1.1614013439081028,1.2267255981961567,1.1804483452523389,1.2288743426323305,1.2856541455954213,1.3773826715763333,1.2606999367424048,1.332025439811253,1.3106861432286974,1.4192729122138388,1.351190315891525,1.4055624377238576,1.3196555719883514,1.2943876073002272,1.2656424376455424,1.3220638849426616,1.2854191291191905,1.3563708571698738,1.2271286051151824,1.318882641030292,1.264830638986914,1.3455422280499503,1.2524688620480757,1.220219306254837,1.3631878687294676,1.4335718589080493,1.4055732119417992,1.2500684223755132,1.3790857357851667,1.4560151436768094,1.325649236992571,1.3936392277872136,1.362191505861959,1.4423064641211625,1.2890103625205407,1.2993169902858357,1.3517222212572304,1.4396310642510988,1.2341391127164953,1.3208430913348947,1.2573538563664275,1.3163755549101772,1.3405275207478775,1.4046432318992657,1.3870321620693602,1.473595055511045,1.2426950564610562,1.3300717371700832,1.2686639318222628,1.3332228345695383,1.2672184745271697,1.3364896742954104,1.201589112886184,1.2568361438654325,1.2351328258505514,1.2764331210191082,1.2133967102382888,1.266147261956881,1.264634158681332,1.3456747649933722,1.2678627203558177,1.3534313664247073,1.2482034844646641,1.3302796877423357,1.375802016498625,1.4373385551204065,1.2627431523341164,1.3279145446320428,1.3960397810610667,1.5003219690194254,1.3086634140963092,1.385861425801887,1.1666344820321963,1.2207134455699313,1.2756431635481238,1.3277747748783826,1.3734778060670654,1.4377504095367795,1.2701007174550307,1.3572332926509336,1.360811706432259,1.4249860471605973,1.343307226070529,1.3994607997481108
