Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Arceus (Flying),Arceus (Flying),Arceus (Grass),Arceus (Grass),Arceus (Ground),Arceus (Ground),Articuno (Galarian),Articuno (Galarian),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Moltres (Galarian),Moltres (Galarian),Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Shaymin,Shaymin,Shaymin (Sky),Shaymin (Sky),Zapdos (Galarian),Zapdos (Galarian),Zapdos,Zapdos,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Groudon,Groudon,Landorus,Landorus,Landorus (Therian),Landorus (Therian),Latias,Latias,Latios,Latios,Lugia,Lugia,Rayquaza,Rayquaza,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zekrom,Zekrom,Naganadel,Naganadel,Mega Garchomp,Mega Garchomp,Mega Salamence,Mega Salamence,Mega Sceptile,Mega Sceptile,Mega Aerodactyl,Mega Aerodactyl,Mega Altaria,Mega Altaria,Mega Ampharos,Mega Ampharos,Mega Pidgeot,Mega Pidgeot,Mega Venusaur,Mega Venusaur,Mega Rayquaza,Mega Rayquaza,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Braviary (Hisuian),Braviary (Hisuian),Druddigon,Druddigon,Salamence,Salamence,Aerodactyl,Aerodactyl,Amoonguss,Amoonguss,Bellossom,Bellossom,Claydol,Claydol,Dartrix,Dartrix,Donphan,Donphan,Dragonite,Dragonite,Drifblim,Drifblim,Exeggutor (Alola),Exeggutor (Alola),Farfetch'd,Farfetch'd,Fearow,Fearow,Flygon,Flygon,Gligar,Gligar,Gloom,Gloom,Golbat,Golbat,Golurk,Golurk,Grotle,Grotle,Hippowdon,Hippowdon,Marowak,Marowak,Meganium,Meganium,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Noctowl,Noctowl,Stunfisk,Stunfisk,Swellow,Swellow,Tangela,Tangela,Togekiss,Togekiss,Togetic,Togetic,Torterra,Torterra,Tranquill,Tranquill,Venusaur,Venusaur,Vibrava,Vibrava,Vileplume,Vileplume,Xatu,Xatu
(Boss weights),,,,0.5952380952380952,0.0,0.5952380952380952,0.0,0.5952380952380952,0.0,0.5952380952380952,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyurem (Black),Dragon Tail or Shadow Claw,Blizzard,40,0.9183625811937901,0.9112106898560912,1.1576108269840188,1.140311277653069,1.1550474836432918,1.1386720671053263,1.1562237915575249,1.1368101013620915,1.0521729730446485,1.039477480368764,0.970633038926158,1.0176875506566931,0.9887197646591476,1.0283879548678911,1.1191665521634202,1.1757460390439853,0.9074001329466092,0.986157699941008,0.9453702386532334,0.9341464221159318,1.0424985183424904,1.0499454130889767,1.1528550237361623,1.1795265614179473,1.31707155579315,1.3639788511052364,1.1533546798609355,1.17706815737394,0.9624449542201421,0.9881754696712207,0.9624449542201421,0.9881754696712207,0.9676018684193496,0.9777752899984627,1.0468952872216906,1.004116471812707,1.2987512405670094,1.291569371882978,1.3247999865927815,1.27116834581011,0.9686981461367492,0.9700843965444197,0.917005624213827,0.9343844826854265,1.0598154302560532,1.1025803662142262,1.206312282764677,1.223515432130761,1.1669739825083671,1.219237046868478,1.0778819444604315,1.089459978000758,1.1435472235966224,1.1478689224540712,1.086410413854812,1.1134441324250532,1.085833182087325,1.072345884015538,1.011937570030917,1.014903666001372,1.0007767071894862,0.9990506269531338,1.0698802494613828,0.9936977030231816,1.1107052167068276,0.9218020957927049,1.079576037783769,1.1004278793427722,1.1046632942022252,1.1272635407605498,1.2545719479091224,1.2844614843632398,0.9628337005117519,0.9530429964762134,1.1189060845568646,1.133441007970796,1.1588674658586524,1.1658708101121031,1.4825735153993727,1.1219263690786074,0.9341375675131246,0.9432442623351325,0.9034419986424183,0.905794357327813,1.0979484031591769,1.1198314038054242,0.9272257946355859,0.9532202394342307,1.032661218276104,1.0296030827163185,1.169509256418645,1.1841148163800994,1.2317273817299164,1.2925547117943519,1.1479609366923136,1.181024214840636,1.0463272918921398,1.100542842440968,1.3924088369231449,1.463864669559623,1.18527348442159,1.1900141161664497,1.1698282274303529,1.1891860974225636,1.1042602270353519,1.1430485310480762,1.0993723487101137,1.1115987098663853,1.149924759502723,1.2138941908662977,1.1378842261574578,1.216087919672761,1.2102979840509167,1.2394924603524078,1.4061437140687396,1.5440986309241314,1.278025400251726,1.3139561354734686,1.2322731703963767,1.3224392700739234,1.0290311100205651,1.0642514798808747,1.08712274321026,1.138762681776174,1.149873244590497,1.2054868380911568,1.173310825608442,1.2478826210990732,1.0876594042737666,1.101918287553068,1.1983712975990808,1.2466948283941983,1.2397016012648974,1.3067223064733136,1.1815002015134157,1.2579356935078683,1.2411986496215157,1.3264280746166695,1.1378163670115715,1.2109754061542253,1.0553353622045067,1.109797134903169,1.2471076958271377,1.270675465991004,1.2696050616242145,1.3384597226603303,1.3171086592194317,1.3404934982380463,1.1472556052809486,1.264159468590127,1.2007155167741177,1.2405415726166995,1.1799995996966246,1.237199376537209,1.202743127643366,1.2540404385701758,1.0708137658780543,1.143294096773657
Mamoswine,Mud-Slap or Powder Snow,Avalanche,35,1.2335470735424903,1.2131126779591341,1.2210971143480882,1.2099203894581894,1.2176140814483845,1.2067845387953804,1.218163464130008,1.2068322564975018,1.253323410452858,1.283433599800106,1.2806540630480516,1.2536982710158997,1.2253730246636907,1.2314424057577005,1.24515551238331,1.2773648588127229,1.2663558715595455,1.3269630367947172,1.2389655889735076,1.2286095890530162,1.336645291192226,1.1992245992366957,1.3008851731786386,1.1261159609382057,1.5032480771034447,1.4651398852115296,1.2257876179304106,1.237794787494066,1.2418803319882612,1.2985116177813494,1.2418803319882612,1.2985116177813494,1.2897581250493193,1.308969084578823,1.3804536951131456,1.1269526802676948,1.279785467732774,1.1572982791228958,1.1736174715029415,1.1475265183872572,1.245063669916495,1.268883607474918,1.333489164099816,1.2411000664191363,1.3237689642575827,1.3632262497288783,1.2556425648688554,1.2780885179793466,1.2332720951216891,1.2784386505597674,1.2393468508807752,1.139100717668872,1.2486664118391266,1.2491590027466777,1.2588080047899073,1.1825179232978325,1.1922475068075495,1.139666160245232,1.246711321221779,1.2551126441998224,1.2218573769736487,1.2385380426194856,1.2104808680877142,1.0820957658506631,1.2961951728775465,1.0642106864315417,1.2057135084127164,1.2135321140274353,1.1761699971981674,1.1727069379579362,1.2238058053188523,1.246261250672062,1.224584106666084,1.181095092072171,1.1823966154130428,1.227594161665524,1.4466227908841671,1.315520526135746,1.189179895507337,1.1336096994070073,1.2363934519932533,1.234905570360004,1.28117772258675,1.2253906057665616,1.3103189868977652,1.327741985294538,1.2005480769115102,1.2612497939956189,1.2371619758385604,1.143942443843811,1.2415997666641632,1.2469884178608208,1.3068060009943168,1.3641136835538052,1.2280108769460472,1.2618794777499684,1.277223313585502,1.3377854822147865,1.2323933005379069,1.2724333131122127,1.23084585489781,1.243887869115217,1.2475280328485243,1.2249887150518168,1.3220576381569904,1.3752575928606994,1.2462514583022049,1.225762992619185,1.2401887785607273,1.3130630140073143,1.2308140887539105,1.263769413181525,1.2510624228792857,1.296663289105088,1.2405593745408752,1.341534673130954,1.3604868777376433,1.381473407857553,1.2935500541025795,1.3729201782987444,1.2242442989272146,1.2513091755221142,1.264760521115708,1.2279641187841588,1.2379788666158682,1.2638861664270498,1.235810109380647,1.3143082421594319,1.2481311667470025,1.2108017143166017,1.2287851228867792,1.2494227313153403,1.2518017659021523,1.2804971158857665,1.2316309600078736,1.3203112434627127,1.2519896449351797,1.3297755550926567,1.2495323313471163,1.257978530570385,1.2511379813534507,1.1979847105143504,1.234701411057617,1.242432939235443,1.2365507245334861,1.3263276473638472,1.2534429786084405,1.2110796495895602,1.2221436533078562,1.3002701373873498,1.3985187910846153,1.3328034544560463,1.1907954319555192,1.2151308069008417,1.3845848054351935,1.3459587990714474,1.2883239538919597,1.3543013286463847
Mew,Steel Wing or Snarl or Frost Breath or Volt Switch or Dragon Tail or Shadow Claw or Waterfall,Ice Beam or Blizzard,30,1.7145932084404247,1.743428037665133,1.7303363782863486,1.7600634003628612,1.7273876304095257,1.7577433921478456,1.7291530870601164,1.7586493055588581,1.7745500906391733,1.760987364591581,1.824137383068315,1.8885583144491802,1.7798879505692742,1.8362906783208521,1.9137630052878218,1.9135771781131872,1.7532860203344942,1.8523035866443442,1.744515484169583,1.7460774441600675,1.6784028823606882,1.6828734886377625,1.5725679416281102,1.5883192789827074,2.0533132655599915,2.0960459745022604,1.8807407091882173,1.9197811467154353,1.767455702010587,1.8240731184527694,1.767455702010587,1.8240731184527694,1.8034020260778127,1.8106831493575022,1.5670509400196595,1.5699123592989288,1.6695990081705772,1.6966301830733606,1.628125814729632,1.6564310142481737,1.7237094466881127,1.7329984112568733,1.6491242418103917,1.6664704802052754,1.704711597735134,1.7298004614778706,1.878031298176815,1.9248144567839616,1.8880568615541509,1.9326712732798936,1.7791121616028045,1.7828873245597274,1.8415068122119373,1.8269511693219347,1.7236615655073375,1.7714666476543983,1.6882078454940792,1.711396434795072,1.8977918606235054,1.905632631535216,1.8809638880315571,1.9144374810473999,1.5937921290398278,1.574712536842687,1.4575277392885078,1.4491094917449174,1.7182079126350607,1.7674710056699716,1.6538619796468923,1.6806504613225164,1.6988243422321088,1.7135685675552155,1.8209088472110622,1.848398938854086,1.7586522298952816,1.7956004838265498,1.8585240249418553,1.8840775803394298,1.714114543144544,1.7216947016636706,1.6782892726214198,1.6915723199991888,1.7135240480533194,1.6814278238033489,1.8028684610354826,1.8673650839644886,1.7623351513846504,1.8149978407132021,1.6272966226244194,1.6268341325522573,1.7447325994223253,1.7747145995929035,1.9902650536638626,2.0949748008929356,1.83995062303386,1.9353164491311805,1.82028436344806,1.89214967712822,1.8073195897525844,1.9105197893595762,1.7482109102395664,1.8166884550381952,1.813411405427347,1.8372097105408296,1.9970987989980205,2.013584120308026,1.7506063271762222,1.7983582411514822,1.8669073575624127,2.011823358846178,1.8257316071250034,1.9425492864658231,1.8832126448780961,1.944707107029451,1.9260653401865249,2.0363548856340326,2.055852425012427,2.1415778651439727,2.0385304979904295,2.127374408421948,1.7526076175911738,1.7835724227434373,1.7898719339002238,1.8604106618723208,1.806680645596422,1.8649763431482091,1.8623416898131986,1.9382499139840226,1.745011998079871,1.7824281928742736,1.9549786656649741,2.0094914295395165,1.9637587027824395,2.023397546137144,1.943093495255723,2.0190309915904905,1.9799635871782866,2.1107069239560463,1.8263212186018039,1.9139616881387465,1.7518334390673416,1.8137986112724174,1.6716237965341108,1.7164219007973232,1.7491425812042776,1.839925025844635,1.733833091675668,1.8015427240567663,1.8732319084307825,1.9597208021618442,1.9763315287335896,2.0360688889271583,1.8273006902124078,1.9193452824538677,1.9851698587179611,2.0380476845432405,1.7920987216237243,1.8823136078598794
