Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Arceus (Flying),Arceus (Flying),Arceus (Grass),Arceus (Grass),Arceus (Ground),Arceus (Ground),Articuno (Galarian),Articuno (Galarian),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Moltres (Galarian),Moltres (Galarian),Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Shaymin,Shaymin,Shaymin (Sky),Shaymin (Sky),Zapdos (Galarian),Zapdos (Galarian),Zapdos,Zapdos,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Groudon,Groudon,Landorus,Landorus,Landorus (Therian),Landorus (Therian),Latias,Latias,Latios,Latios,Lugia,Lugia,Rayquaza,Rayquaza,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zekrom,Zekrom,Naganadel,Naganadel,Mega Garchomp,Mega Garchomp,Mega Salamence,Mega Salamence,Mega Sceptile,Mega Sceptile,Mega Aerodactyl,Mega Aerodactyl,Mega Altaria,Mega Altaria,Mega Ampharos,Mega Ampharos,Mega Pidgeot,Mega Pidgeot,Mega Venusaur,Mega Venusaur,Mega Rayquaza,Mega Rayquaza,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Braviary (Hisuian),Braviary (Hisuian),Druddigon,Druddigon,Salamence,Salamence,Aerodactyl,Aerodactyl,Amoonguss,Amoonguss,Bellossom,Bellossom,Claydol,Claydol,Dartrix,Dartrix,Donphan,Donphan,Dragonite,Dragonite,Drifblim,Drifblim,Exeggutor (Alola),Exeggutor (Alola),Farfetch'd,Farfetch'd,Fearow,Fearow,Flygon,Flygon,Gligar,Gligar,Gloom,Gloom,Golbat,Golbat,Golurk,Golurk,Grotle,Grotle,Hippowdon,Hippowdon,Marowak,Marowak,Meganium,Meganium,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Noctowl,Noctowl,Stunfisk,Stunfisk,Swellow,Swellow,Tangela,Tangela,Togekiss,Togekiss,Togetic,Togetic,Torterra,Torterra,Tranquill,Tranquill,Venusaur,Venusaur,Vibrava,Vibrava,Vileplume,Vileplume,Xatu,Xatu
(Boss weights),,,,0.5952380952380952,0.0,0.5952380952380952,0.0,0.5952380952380952,0.0,0.5952380952380952,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,0.7936507936507936,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,1.1904761904761905,0.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Abomasnow,Powder Snow,Weather Ball Ice,40,1.6222464805097911,1.6833834807177193,1.6090452429948028,1.6802695145595523,1.6066617604709947,1.6764303007863626,1.6092773927621815,1.6798616079532713,1.8268453327276857,1.814096449390567,1.8105415674674745,1.8657003262551202,1.712383559738776,1.7783857120795477,1.7420021704010331,1.8046311709526357,1.6978778878858272,1.81980180551063,1.6460518774242565,1.7270070511709743,1.498905377383796,1.5691298754073715,1.455375532272956,1.5394955025058128,1.9394128553001047,1.9207856523668698,1.6452734707820516,1.7078403762395509,1.6667454563205573,1.7814734692968708,1.6667454563205573,1.7814734692968708,1.65928755055428,1.7545795058773395,1.5435043096791905,1.4696520799135204,1.661146886555722,1.6175495471113086,1.514496348270957,1.599514098901493,1.6990436887672842,1.7815873798757904,1.629652805952291,1.6887339004146524,1.734049187606345,1.7946572702238668,1.6958616770282606,1.7865844627757592,1.6576260100380877,1.7558333036699532,1.7017184155965757,1.6477979534510432,1.7471342020120482,1.73641565348396,1.7677603284420156,1.682370466250992,1.6256054096821182,1.6000488024904058,1.7307183413882052,1.8344390251134106,1.883821948011304,1.807937841342002,1.516590544519014,1.5129228990478671,1.5067310899605235,1.4117898513881557,1.5961288916624568,1.6579249749883609,1.5908149899541555,1.674428607901251,1.6355271361827886,1.694303792159571,1.7505098739192972,1.7602595833294996,1.7978852948809232,1.7171631809743082,1.7281670951089587,1.810917040845413,1.670896620382677,1.663490956251725,1.692774136550714,1.7647055305354697,1.6073357263292596,1.698636434972616,1.7650707845005207,1.82008108647008,1.6319135022016829,1.7127523215764922,1.5085295799865714,1.506925621067814,1.6901540649442997,1.7809149087461484,1.785627353071647,1.883230774480476,1.6712198992728862,1.7617285550031578,1.7276403491647379,1.8164584321053072,1.6477589263104584,1.7467882164260995,1.6153301483694014,1.6911588765270327,1.6590065469397561,1.7190341762268004,1.74048835052912,1.8396449965412183,1.5668166957439635,1.6396956413376536,1.6433899321563776,1.7522770718542675,1.6445943876993068,1.7255637453249055,1.6834029469776075,1.752886065668871,1.6768278129889416,1.78283698851733,1.7740104468949507,1.857028438769588,1.752427543505595,1.8644802045581819,1.6069502980597636,1.6873884648972928,1.5795041875387508,1.6576748580370235,1.6415149296617306,1.7313054499366285,1.6976440971225677,1.776373730001886,1.6024886927421653,1.6615056371886394,1.717967591985722,1.8041099896141088,1.7555040663164987,1.8421844566090335,1.6405042033028019,1.748815257361812,1.7628573841404485,1.8759441884905184,1.6840578701286648,1.7439815298226073,1.5618584233279365,1.6423194405034136,1.6303525876227418,1.7179788237760771,1.6653437012937238,1.764642756764583,1.604708828439556,1.6587326917411371,1.677818250245299,1.7633570343687415,1.7750252780586453,1.8224974721941356,1.6139569413511505,1.6782610594349097,1.772161172161172,1.8309785452642595,1.7247048368668276,1.8134865219415175
Beartic,Powder Snow or Charm,Ice Punch,40,1.438066451399846,1.4834269010139558,1.4505582343959034,1.5047540305911533,1.4415835127446812,1.5019053408967977,1.453758720056626,1.5031585177772455,1.525605647664471,1.5940911499735029,1.590784294864087,1.6570693953458544,1.503404369203254,1.5664990018539886,1.483236680104821,1.5620978579156621,1.514352927338489,1.6069593515060623,1.4580528637884382,1.5381116457619664,1.3658625513781966,1.4394006318775308,1.4017576201107311,1.4226347627120213,1.6187810816303674,1.658022223236098,1.5123046459944112,1.5964103918698573,1.4873174349514329,1.5984776468613455,1.4873174349514329,1.5984776468613455,1.5015542143003646,1.5886001716505735,1.4413660567722304,1.3800553652217182,1.493800175919089,1.4737901149946018,1.4041615367145197,1.4788875076202201,1.4983385126371371,1.5722009517848698,1.4432139345220496,1.5055149460539254,1.5638391791628918,1.6319347313365036,1.5165240153615651,1.6079528820156028,1.4955438187448828,1.590749919908874,1.4989382691278759,1.4867638944622792,1.4591773524796627,1.5429831926424915,1.4492558170645946,1.4598622091015752,1.4207329246740954,1.4367453175489318,1.570049589349779,1.6320177454265128,1.5331606181040385,1.6268339227769972,1.4536854477169099,1.3800147777782032,1.390837168181715,1.2959866058272425,1.4247323011698514,1.5104405020157896,1.4514025331068856,1.5307785807053182,1.4410066571790447,1.5323590347230183,1.5389267652371794,1.5385434013880839,1.4257723863961513,1.5246405067839581,1.5323319203018884,1.5870609556137272,1.4626948558231987,1.4991018050248126,1.4894825925992379,1.5640789034110765,1.4785213860597255,1.4789207776163666,1.5325010523517293,1.6239005693776725,1.4429088372498584,1.5123948205955444,1.370439907492602,1.3760475468132196,1.5305617444892154,1.6092628584972741,1.586689718711967,1.6874324647110344,1.4834496607342391,1.5664118799695552,1.546413531528014,1.6315363806230303,1.4862496834641683,1.5721279648856252,1.4873645915568612,1.5763373999951167,1.4874767253288486,1.5679260015616554,1.5724651546148978,1.6658964131698628,1.4390183113665354,1.5034966060197335,1.491685095643265,1.5866411784549646,1.4747927648126682,1.5666761444412853,1.5400278454577097,1.6024335769810882,1.5115224482219098,1.6037550717335383,1.5963435867672664,1.6714335461404528,1.57526705620067,1.683843496085289,1.463957550214527,1.5330808368455024,1.4292940724921515,1.5126019820688705,1.480898062647112,1.5669650237347377,1.5052767960376878,1.5844738374238412,1.4428353268692595,1.4894599551363081,1.5656680749800853,1.6397104050497617,1.582078667762095,1.6553646761255065,1.4981420532965282,1.5799592699475913,1.5823520028525049,1.6870314244696125,1.4765352174770574,1.5538152750223337,1.3958788870157401,1.4655572432441455,1.4919942691407206,1.586581402662753,1.5381261018796897,1.6438554504186078,1.4334061671413139,1.5015344201119514,1.508057904004086,1.5995510692348016,1.5643158072126728,1.6434614088304687,1.4473557797283723,1.4949342766059652,1.588240331097474,1.6591694020265448,1.5557424569421523,1.6385679827345436
Shadow Weavile,Ice Shard or Snarl,Avalanche,40,1.0251547230274343,1.0596020010029477,1.0410205796973224,1.0587904184126586,1.038312512474993,1.0545090528452126,1.039503973127047,1.0556710687093935,1.0,1.0309296691649632,1.12653207640943,1.1986689272058293,1.1554730662285444,1.1672632364510471,1.0705363967741883,1.1162310314970039,0.9999999999999999,1.0775330569196537,1.0678258667342015,1.0881429694893565,1.0180777366770053,1.0059493502133832,0.9999999999999999,0.9881271094066024,1.2343477160834344,1.262460648945039,1.108025874413367,1.1021153544425224,0.9999999999999999,1.0429934587459084,0.9999999999999999,1.0429934587459084,1.0,1.0356981419124103,1.0787267142914339,0.9601704997168823,1.0616128662161803,1.055535126452877,1.3376833335325549,1.091583093271495,1.0,1.0269958529150558,1.0,0.9936598749853874,0.9999999999999999,1.0329820788346493,1.0796045946923383,1.1230922899409304,1.0646446623714092,1.138114921866657,1.0516256186463349,1.044701377742108,1.07893867807446,1.0970281173040024,1.0525583152703482,1.0401838899263682,1.0449204741235887,1.031350054348228,1.2049174252082901,1.188682287188306,1.2505970911366968,1.1700868517590364,1.1117368483516652,0.9740048927462549,1.0,0.9326729082129984,1.0644705952274822,1.0611918417481403,1.1979614150765372,1.0912340293272058,1.2652023295932717,1.131015855885075,1.1421114454043875,1.1242773591444546,1.1179324066249228,1.1115643361436243,1.1374920566014546,1.1232161676599728,1.1502449083942712,1.0530332916263847,1.0,1.0282998958469505,0.9999999999999999,0.9864418135797153,1.0,1.0427919445244478,1.0330644809696123,1.0827309587129965,1.0174694750453832,0.9773705020764429,1.0864091016828632,1.1151836928182033,1.1139711318630072,1.1634154941592638,1.0357160207931855,1.0763631358196628,1.0,1.0340937613297265,1.0662446188908585,1.0927829830336795,1.0703432110621882,1.1087499694796896,1.14674755240555,1.1116823833263259,1.0,1.0253153378567328,1.0485566420853554,1.0406691199108622,1.0330597098841785,1.092369778977223,1.0380459744974957,1.0982043262395838,1.096748462698689,1.1334116486831418,1.0478267787530828,1.1029860245564718,1.1238537434706906,1.1753801508995938,1.1014443751783016,1.1662352207770252,1.0701199832934654,1.02766070547139,1.0,1.0343073092480146,1.05698698722339,1.0874839603555093,1.0382782966649993,1.0818456895915505,1.0178139545079241,1.0423866899509715,1.1502929224688172,1.1684531071965152,1.1105059586998864,1.148972112730663,1.04890501790385,1.0941037940719436,1.1073442616797875,1.1728205080085952,1.0377640875709164,1.0978733771884028,1.0293435262305755,1.038765835990052,1.1244714680085264,1.115434881364224,1.0772231354279338,1.1242366688526824,1.0470514583128745,1.051814298340371,1.0584416457210446,1.1111977311523005,1.160835861139198,1.161712167172228,1.006987204681427,1.0189746277130005,1.1821702107416392,1.1514295228580942,1.0,1.0423172950784987
