Attacker,Fast Move,Charged Move,Level,IV,Arceus (Fighting),Arceus (Fighting),Arceus (Poison),Arceus (Poison),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Keldeo,Keldeo,Kubfu,Kubfu,Marshadow,Marshadow,Meloetta (Pirouette),Meloetta (Pirouette),Urshifu (Rapid Strike),Urshifu (Rapid Strike),Zapdos (Galarian),Zapdos (Galarian),Terrakion,Terrakion,Zamazenta (Hero),Zamazenta (Hero),Naganadel,Naganadel,Poipole,Poipole,Mega Blaziken,Mega Blaziken,Mega Beedrill,Mega Beedrill,Mega Gengar,Mega Gengar,Mega Lopunny,Mega Lopunny,Mega Venusaur,Mega Venusaur,Tentacruel,Tentacruel,Amoonguss,Amoonguss,Ariados,Ariados,Blaziken,Blaziken,Combusken,Combusken,Garbodor,Garbodor,Gengar,Gengar,Gloom,Gloom,Golbat,Golbat,Hariyama,Hariyama,Haunter,Haunter,Hitmonchan,Hitmonchan,Hitmonlee,Hitmonlee,Hitmontop,Hitmontop,Machamp,Machamp,Machoke,Machoke,Mareanie,Mareanie,Monferno,Monferno,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidorino,Nidorino,Poliwrath,Poliwrath,Primeape,Primeape,Seviper,Seviper,Swalot,Swalot,Toxicroak,Toxicroak,Venomoth,Venomoth,Venusaur,Venusaur,Vileplume,Vileplume,Weezing (Galarian),Weezing (Galarian)
(Boss weights),,,,,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
(Raid tier),,,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Deoxys,Zen Headbutt,Psycho Boost,35,15/15/15,2.4743137613399258,2.05098972833186,2.4673940739180247,2.046745233083574,2.676901729073378,2.1889497411163434,2.423544832706481,2.0822887859960924,2.483566659524678,2.120433541537562,2.0498325015849925,1.9603031915228344,2.3294734314020706,2.111942297674081,2.307585684787351,2.01117574948739,2.264347210557393,2.075734876304976,2.3386459267820205,2.130478520553828,2.6001716134067783,2.0927183814479906,2.5934992190952184,2.1051170522105913,2.794421526397443,2.0642337725695956,2.1905101199776675,2.004814560938018,2.5719393593590847,2.1321663787750973,3.2970599042015696,2.531450238771125,2.5353592915464844,2.0480768218663408,2.2565330980683704,1.8324233465424518,2.4498109673708974,2.0673497565924417,2.0445613532551374,1.9076545617697929,2.106729995952745,2.0520897281539447,2.1225896868018186,1.9854549257601335,2.1567160755665373,2.0186153170037486,2.130664889297785,1.926751343499717,1.9983071625224218,1.9000987011208477,2.5390321668082607,2.1645550044809942,2.117025812776451,1.9730581712528563,2.1256225519277834,1.9379366173550299,2.13877715590724,2.041321432053658,2.636911998981678,2.2291193764870054,2.0511598926807295,1.929030272778482,2.0645697485033976,1.969780172152162,2.035873053047364,1.8864592987471815,2.1272133570452545,2.0665419838745995,1.9931770721672983,1.9055967162924827,1.8933586824504463,1.8020539120070531,2.0009837070651626,1.9074425843369314,2.107995560911441,1.919092735709105,2.061698977304431,1.9093057391016945,2.0699541322310537,1.933916363137136,2.0849528759874336,1.9673402579574024,2.0783360588877033,1.955241497926748,2.1829146841802753,2.04801562369037,2.0381815406323556,1.9482634718758354,2.135166910082092,2.0521303701015094,2.2539285045260207,1.9858840074288207,2.064145312741046,1.9607852317711405,2.126442832210508,2.024191943387673,2.0689142700276952,1.8770413436833622
Shadow Latias,Zen Headbutt or Dragon Breath,Psychic,45,15/15/15,1.3997674761609464,1.4267019783728563,1.4011242996665234,1.424947554062714,1.356333764981333,1.3780308411724618,1.3784666607194758,1.3934489774189003,1.3769645847037069,1.4316313741616127,1.4152005452960066,1.456811102119085,1.4081682913963285,1.4621127290473137,1.4214965065280436,1.453589530366611,1.4114435192538124,1.4571754043144134,1.4433289894738246,1.4715660019928882,1.4191094498236219,1.4335333231168765,1.384966827277788,1.4309805197806669,1.4042583483789142,1.4084884995596534,1.431632148021886,1.4587206890817876,1.2998850939478699,1.3193923947591597,1.3400431425267414,1.3888629174313654,1.3064867646869034,1.217122052210114,1.3541100827616015,1.3713325506356835,1.3368988231621697,1.3348526893601942,1.4189901684072983,1.4698238306662315,1.3982620515675337,1.4842338014560432,1.4583265736620468,1.5208607801828191,1.3589479689654669,1.4075751178587237,1.42241433391231,1.5122826773746734,1.420113688104545,1.492902900808845,1.3905675178282861,1.4127369790486566,1.440075299807375,1.4954576709092635,1.43344319461205,1.488677443615218,1.4050773856088001,1.4974515661106464,1.4252337924260832,1.4427345307948134,1.4424530410825522,1.5230228293539094,1.422968495070332,1.4899296405535454,1.4461756045245988,1.4956032465038038,1.4153430341878375,1.481519013641125,1.4543709457399683,1.527898154229004,1.3959078587335356,1.4406308625914916,1.4136129258767751,1.508455210477155,1.41745650945982,1.4440021744057872,1.402796915030733,1.46442362885296,1.4587443342124964,1.5159262220898353,1.4156016219382104,1.4794006611735098,1.4392169164598203,1.503539785413705,1.4182122851298893,1.503163436497305,1.4378693914660132,1.5047378198387025,1.3884512068105046,1.4862411753502582,1.424907336655345,1.457416556621706,1.3455238714632018,1.4095526820595201,1.3754013610073714,1.423789855878685,1.4283439808145095,1.4739052062888038
Mega Latias,Zen Headbutt or Dragon Breath,Psychic,35,15/15/15,1.473302462881948,1.453146234381391,1.47371718561419,1.4522396254139036,1.4379286952272126,1.462269492748412,1.3993136749898563,1.4164623902527462,1.4190952732849076,1.4635106289303321,1.4514002263676207,1.498228174946572,1.4610259742882348,1.474254888552122,1.4256952617596286,1.4498923852474743,1.4207479890116645,1.4566943906145777,1.4788935920481934,1.4871618056280302,1.4536262486626939,1.4729573369705071,1.4480489259574774,1.466383222361622,1.4450852626453903,1.428110859562279,1.4604992349032468,1.4771573111520409,1.3254087856380354,1.3131928626867517,1.397037215364011,1.4311161221309765,1.1818115001595817,1.2019310725590597,1.3734501456122576,1.3890593379807978,1.3280828575151575,1.34747138557664,1.4442494456962314,1.490635442518197,1.4327905258581273,1.5205733313783498,1.4737525781304066,1.54810365321061,1.3895256924912325,1.449399216401978,1.4502087340477745,1.5289023344777206,1.4395257763926237,1.5180515957874505,1.421826996220302,1.4270528431766356,1.460977844424052,1.5162513136243392,1.4311280832882016,1.5247303281549747,1.4588441144950826,1.5671876300248628,1.462866502568501,1.480801987091112,1.4632260798087422,1.541745728242209,1.488434712933905,1.5410805663266538,1.476641655754069,1.5233735350105175,1.466551441561272,1.5474828885886749,1.4854980628201682,1.557389348269926,1.4511770600841774,1.4878605595666468,1.4360842589839087,1.5433234600183143,1.4157533689228008,1.463968904163488,1.433362980674823,1.4939094962111146,1.4974936127917373,1.5780991941462932,1.4513092936824785,1.5178846358803475,1.4755778103731199,1.5591764323976636,1.4594449368059492,1.5207997143099294,1.4914742013220266,1.565036897932328,1.4327059756023552,1.508830104871056,1.4178586862526183,1.481088955293367,1.4005601613326089,1.4593711572695736,1.4213843259974661,1.4614728720144936,1.4582474562732395,1.498687314297115
