Attacker,Fast Move,Charged Move,Level,IV,Arceus (Fighting),Arceus (Fighting),Arceus (Poison),Arceus (Poison),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Keldeo,Keldeo,Kubfu,Kubfu,Marshadow,Marshadow,Meloetta (Pirouette),Meloetta (Pirouette),Urshifu (Rapid Strike),Urshifu (Rapid Strike),Zapdos (Galarian),Zapdos (Galarian),Terrakion,Terrakion,Zamazenta (Hero),Zamazenta (Hero),Naganadel,Naganadel,Poipole,Poipole,Mega Blaziken,Mega Blaziken,Mega Beedrill,Mega Beedrill,Mega Gengar,Mega Gengar,Mega Lopunny,Mega Lopunny,Mega Venusaur,Mega Venusaur,Tentacruel,Tentacruel,Amoonguss,Amoonguss,Ariados,Ariados,Blaziken,Blaziken,Combusken,Combusken,Garbodor,Garbodor,Gengar,Gengar,Gloom,Gloom,Golbat,Golbat,Hariyama,Hariyama,Haunter,Haunter,Hitmonchan,Hitmonchan,Hitmonlee,Hitmonlee,Hitmontop,Hitmontop,Machamp,Machamp,Machoke,Machoke,Mareanie,Mareanie,Monferno,Monferno,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidorino,Nidorino,Poliwrath,Poliwrath,Primeape,Primeape,Seviper,Seviper,Swalot,Swalot,Toxicroak,Toxicroak,Venomoth,Venomoth,Venusaur,Venusaur,Vileplume,Vileplume,Weezing (Galarian),Weezing (Galarian)
(Boss weights),,,,,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
(Raid tier),,,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Deoxys,Zen Headbutt,Psycho Boost,35,15/15/15,2.2947789104742364,2.0147143681477204,2.2889349334653497,2.009062625365962,2.4469211111600173,2.140479562537057,2.233707293858594,2.0481193592069613,2.3028422305506577,2.071215937118286,1.9497283595997417,1.923667124031306,2.1370078657384415,2.023155703777289,2.1515080991735536,1.9684469421487603,2.1107979209182237,2.012577091765979,2.183427003076002,2.0641283636256738,2.399720367037937,2.0552865319741667,2.3580458716769463,2.044776246638052,2.540456172985854,2.0493103301539826,2.043946554343826,1.9591943070975453,2.4351037178539725,2.1124094240789026,2.9171117374737943,2.425651168681387,2.3799156204156366,2.062269075501163,2.113595853419288,1.846938347092928,2.29831266896616,2.044160929030883,1.9352037937213513,1.855527725252205,2.014046500773068,1.9935383179205928,2.0041246488364917,1.9534921485523133,2.064166010572489,1.9724440445394218,1.9798005409060175,1.8839587559161595,1.8894098586017283,1.852415553809898,2.354647347911673,2.111319415616589,1.978837533984863,1.92106694099493,1.9527028836113418,1.9139869876034166,1.9945203111495249,1.9565082108902336,2.390678211723788,2.152651981740454,1.895121951219512,1.8887615643397813,1.9219694887300716,1.8975398570643212,1.889186397504939,1.8604751446593861,2.0019375120292553,1.9618656572785014,1.8780813214739516,1.873951715374841,1.824798925275224,1.8013503847026189,1.9060147587792486,1.8838951310861423,2.0030742713076584,1.8907154433896733,1.9408912572465888,1.8662528547168706,1.9467028966203137,1.888521853410766,1.9416410609102706,1.9011747218493826,1.9499344118933102,1.904868095029879,2.0287817938420347,1.971251673360107,1.925739831742228,1.904495033432536,2.0234315769522366,1.975265352539803,2.059995842283972,1.916582357424988,1.9740379560790877,1.9103987641208846,2.0218634050833324,1.9526715896592983,1.936523934705583,1.8489521098076702
Shadow Latias,Zen Headbutt or Dragon Breath,Psychic,45,15/15/15,1.4163022803530592,1.4840375285845568,1.4160720230118558,1.4825469242128084,1.384095363607412,1.4627641257602393,1.4013497457145467,1.4692614533508843,1.4169689992941954,1.4993137288095864,1.4243531709902586,1.5001902123967188,1.4115991390524847,1.5149943102827514,1.4323834710743801,1.5133302479338844,1.4379037804561803,1.5239646871793715,1.4473431733331197,1.5280407924380057,1.4409019605785727,1.508916251764101,1.4015817672658146,1.4852287403403934,1.4155617967282477,1.4987112383661907,1.4303781786647332,1.5171927548852784,1.3747554043439258,1.442879651965364,1.3903832369537217,1.4861628339378392,1.3578087517427404,1.3540338756001762,1.3917381364051007,1.468532322642453,1.392960353713593,1.4483845836274287,1.435713649278777,1.4892732330782403,1.4488754047667667,1.5438023279558912,1.4766242834640555,1.5594420356928274,1.4102603756607806,1.4773647508716679,1.4333164300202839,1.5238674780256931,1.4278647879025923,1.503326296150825,1.4315117104329311,1.520494931505015,1.45212726871923,1.5126754353736498,1.4358483493533964,1.5154220996546093,1.4162316335350045,1.5093344857389803,1.4304941670893414,1.5250887616839361,1.441074432296047,1.5230235492010091,1.4290017408832691,1.4962548103353492,1.446172668652286,1.4956025552313046,1.441958041958042,1.512670815423109,1.4545425667090215,1.5280813214739517,1.3959209309628906,1.440637158260202,1.4245003152000593,1.5200615567174693,1.4489207892773532,1.500077178359188,1.4307079697839198,1.496351818235053,1.4631750936828458,1.5222618857335677,1.4292781949882971,1.4937381446272282,1.444920565515231,1.5177816644803965,1.4214692101740296,1.5288152610441768,1.443886161893351,1.5154536904623868,1.4097090598938589,1.5221758908263836,1.429062435035687,1.4921349871803757,1.397787862208061,1.4717367749133705,1.4201665437932827,1.4756166833855042,1.4285595536205984,1.4970438794276868
Mega Latias,Zen Headbutt or Dragon Breath,Psychic,35,15/15/15,1.4938556560022225,1.546594430552884,1.49389494439086,1.5457889840129055,1.478873822907254,1.5711278600408567,1.4352373138295358,1.5099565807982702,1.4744881614964096,1.559010206818957,1.4880422656219945,1.543627029822739,1.4649694752582711,1.5494111865360003,1.4623947107438016,1.5356138842975207,1.4678131306867508,1.538658631459078,1.4891805434181307,1.5596666907188117,1.5043387703494624,1.5704328802195093,1.476827599728913,1.5440665612439315,1.4736624538750995,1.53441054352914,1.4710818482257046,1.543911939281537,1.4123336633341235,1.4569860237693526,1.4619215202289397,1.5483182521247527,1.2823694719177607,1.3641972836908605,1.4364444139099768,1.4971660197176324,1.4025456458336107,1.47036183728642,1.4633646506746922,1.510360462929046,1.4903001837859913,1.581595145716036,1.509848817005245,1.5873727286013544,1.4584130019120458,1.521257451355303,1.4613083164300202,1.5406186612576065,1.4495777690494895,1.5286601531814612,1.4763715735768712,1.545013859689061,1.4778014549195386,1.5337056359761922,1.4542825778467965,1.5521299097700074,1.4704235090751947,1.5796197061365602,1.504003333091805,1.5694152597637854,1.4632253994953741,1.5417472666105971,1.4947429906542056,1.54762231995602,1.4766388880531907,1.5233711403271257,1.4973888496824277,1.580021813049336,1.4856734434561625,1.5575762388818297,1.451192490884031,1.4878657291902926,1.4471390959320651,1.5552156339229428,1.4688842581873376,1.520812430861053,1.4646132224629618,1.5264742050711482,1.503738433942494,1.584687516649795,1.465373991946666,1.5325849427059646,1.4895496283340621,1.5739396589418453,1.482848058902276,1.5467536813922356,1.502093559566601,1.576186243059045,1.4636561789234268,1.5455126990144048,1.4389439401288893,1.516859538493521,1.4623389441386931,1.5237466876937766,1.470576860323177,1.5146783335951945,1.4613418397564448,1.5226670545817271
