Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Victini,Victini,Entei,Entei,Groudon,Groudon,Regirock,Regirock,Terrakion,Terrakion,Blacephalon,Blacephalon,Mega Blaziken,Mega Blaziken,Mega Camerupt,Mega Camerupt,Mega Houndoom,Mega Houndoom,Mega Aerodactyl,Mega Aerodactyl,Mega Steelix,Mega Steelix,Aerodactyl,Aerodactyl,Arcanine,Arcanine,Blaziken,Blaziken,Boldore,Boldore,Camerupt,Camerupt,Claydol,Claydol,Combusken,Combusken,Donphan,Donphan,Excadrill,Excadrill,Flareon,Flareon,Golem,Golem,Golurk,Golurk,Graveler,Graveler,Hippowdon,Hippowdon,Lampent,Lampent,Magcargo,Magcargo,Magmar,Magmar,Marowak,Marowak,Marowak (Alola),Marowak (Alola),Monferno,Monferno,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Ninetales,Ninetales,Nosepass,Nosepass,Onix,Onix,Piloswine,Piloswine,Rhydon,Rhydon,Shuckle,Shuckle,Stunfisk,Stunfisk,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Torracat,Torracat,Typhlosion,Typhlosion
(Boss weights),,,,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyogre,Waterfall,Surf,40,1.1222102014839261,1.1493194887828768,1.1187101429582185,1.1462647030801694,1.1219954321959742,1.1504322820705082,1.1414067103548025,1.192673606771066,1.1293770936691685,1.1845630326930416,1.2042229484156832,1.147932771621989,1.1563408450494792,1.1870085228610443,1.166482426668196,1.203899296196614,1.1683199290579238,1.2063453746012587,1.1703809625597499,1.2049502651664523,1.1106794146737338,1.138520453450331,1.1600968323663166,1.2139263499032984,1.15381918758894,1.2026541652926446,1.1358771829562477,1.183818501563086,1.136261676935745,1.1931154585119774,1.1404033687943262,1.1957834663120568,1.1424475693386962,1.1721889079089696,1.1654178795489654,1.2116667892684876,1.1408873108345685,1.1807714847116413,1.1026686997102253,1.1546565278520367,1.1432096578254707,1.2039886616724034,1.1510757446667716,1.1918473360740491,1.1690213586438811,1.211715692463073,1.1296988330417352,1.1691579895024715,1.1230250760979852,1.1628376093153596,1.1393965399543602,1.1900684597530766,1.106466483038148,1.156574233969373,1.1448494091357642,1.192901473694512,1.1383099515542996,1.1891148566814695,1.1421131902075408,1.1775457585581905,1.1256186683164489,1.1808444822519526,1.1364771631345978,1.1823569656354838,1.138002773925104,1.1954956739977545,1.1473448838772515,1.2013663113708384,1.1438427242678146,1.1880717195787531,1.1158167675021609,1.154779602420052,1.1379926576423591,1.1836398039881617,1.1338492322477463,1.2011288575875152,1.138724797739823,1.1838855357219298,1.1419285516713122,1.194014766271623,1.1540490970654627,1.1951890519187358,1.117632475488236,1.1680115481198319,1.1140160649537654,1.1762460748425598,1.1073415145269367,1.1499952568624578,1.1406571722717913,1.184943376801647,1.1302976843684451,1.1824167581158234,1.1119870438128208,1.1451658511923635
Kyogre,Waterfall,Hydro Pump,40,1.1554865972247228,1.180773464054948,1.1521576491939955,1.1734787749294424,1.1551425364618146,1.181170253232919,1.1603306965698266,1.2192650393728908,1.1481957342153246,1.2097421871687233,1.2800903247011826,1.1759403819047198,1.184695033246345,1.2177976371922885,1.2170597669281622,1.2398745454149946,1.2062517704728242,1.2537977411845849,1.201438053505025,1.2469899277287821,1.1493900737998022,1.1708959955365068,1.18545488996916,1.248490669593853,1.184211073579261,1.236881430052614,1.1630582342242621,1.2167886856242218,1.1535818734205967,1.2092431168782003,1.1720227541371158,1.225214243498818,1.1649005996576385,1.1900526144442927,1.1890730251473849,1.2355531268718671,1.1537798614223171,1.2117791030369884,1.1193158940441064,1.170980283437956,1.1489420935412027,1.2176047782952013,1.1703076274060533,1.2237433101999289,1.2045999701598742,1.252883589078514,1.161684020995057,1.1957330434339488,1.1408779050103879,1.1811977581291975,1.1659027520430651,1.2085194359384446,1.133496981546761,1.181777961723444,1.161755710872065,1.2155002976748737,1.1495887161889382,1.1962429350020185,1.1485461925305696,1.1811579404181451,1.1369480318614182,1.1877465006573351,1.1605710658852428,1.2084703710114824,1.1525741364506967,1.2163826695726834,1.1686214796219323,1.2351537100292194,1.157631255284803,1.2154469982319933,1.1320916162489196,1.1719965427830596,1.1529280481296396,1.2078663496838258,1.143760802679423,1.218305566114191,1.1366914943709603,1.1940627541629212,1.1521096193536033,1.2158875720760016,1.1711625282167042,1.2247178329571105,1.1248820396346828,1.1656483421570352,1.1232456064259815,1.1931003972866536,1.1187164207421718,1.1585242805522737,1.162971859986273,1.20476149622512,1.1464807123310505,1.2182833488449625,1.134574682307778,1.1614210675144172
Kyogre,Waterfall,Origin Pulse,40,1.073778281570225,1.083624675322642,1.0700296912021268,1.078643419751756,1.0721534581782948,1.0834414755979394,1.0789047015338464,1.120389979108262,1.0572001017682229,1.1119344443030996,1.223168064624195,1.077948510495743,1.0975160035984863,1.117302721417189,1.1269970594109724,1.1370152329235228,1.1218257731577845,1.1449780153461506,1.1234138844766142,1.149455109659872,1.0682711572113313,1.0765184753113033,1.1106090899587058,1.147133579007893,1.1098296806623829,1.135352329004792,1.07760285385999,1.112393797386368,1.0732085900602895,1.1161021039779664,1.0797779994089833,1.1238918439716312,1.0771363459741023,1.0951260751304859,1.0972162380857302,1.1315062159123153,1.0835602743976007,1.121789789375711,1.0361261279101237,1.0721664455401756,1.0711555982992509,1.1103335695484915,1.087928995061749,1.1235886279602625,1.124731725792198,1.1502220793976885,1.0767100949533726,1.0944437838664198,1.0662173261825385,1.0929965695511428,1.0788847496635525,1.1109984201595442,1.0473675947994119,1.085401532774836,1.0774525555184027,1.121663390883809,1.0752674606378683,1.0940527856277755,1.0584331044341766,1.0791616674750466,1.0508468022581394,1.0925295800788801,1.0696687191407634,1.1070748534830237,1.0667228056271052,1.1211941087114456,1.0884535714775643,1.1397451198266046,1.0855465446998231,1.1174379275885926,1.0543301642178047,1.0750129645635265,1.0816877719017353,1.115625960247764,1.0613484612681359,1.1234786600015778,1.0409871152775996,1.106727023671932,1.0666503542628567,1.1268005702248984,1.1068566591422122,1.1310948081264107,1.0289342780825643,1.068740903056573,1.043337207890217,1.0898232161135302,1.0385660201626465,1.0602033512422708,1.072812285518188,1.103894989704873,1.073316756726722,1.1213518732028505,1.057865828056315,1.0682684809898801
