Attacker,Fast Move,Charged Move,Level,Arceus (Ghost),Arceus (Ghost),Arceus (Psychic),Arceus (Psychic),Articuno (Galarian),Articuno (Galarian),Calyrex (Ice Rider),Calyrex (Ice Rider),Calyrex (Shadow Rider),Calyrex (Shadow Rider),Cosmoem,Cosmoem,Cosmog,Cosmog,Deoxys,Deoxys,Deoxys (Attack),Deoxys (Attack),Deoxys (Defense),Deoxys (Defense),Deoxys (Speed),Deoxys (Speed),Jirachi,Jirachi,Lunala,Lunala,Mew,Mew,Necrozma,Necrozma,Necrozma (Dawn Wings),Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Dusk Mane),Necrozma (Ultra),Necrozma (Ultra),Solgaleo,Solgaleo,Spectrier,Spectrier,Victini,Victini,Azelf,Azelf,Cresselia,Cresselia,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Lugia,Lugia,Mesprit,Mesprit,Mewtwo,Mewtwo,Mewtwo (Armored),Mewtwo (Armored),Uxie,Uxie,Blacephalon,Blacephalon,Hoopa,Hoopa,Mega Banette,Mega Banette,Mega Metagross,Mega Metagross,Mega Alakazam,Mega Alakazam,Mega Gengar,Mega Gengar,Mega Slowbro,Mega Slowbro,Mega Mewtwo Y,Mega Mewtwo Y,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Alakazam,Alakazam,Banette,Banette,Braviary (Hisuian),Braviary (Hisuian),Claydol,Claydol,Drifblim,Drifblim,Dusclops,Dusclops,Espeon,Espeon,Gengar,Gengar,Golurk,Golurk,Gothorita,Gothorita,Grumpig,Grumpig,Haunter,Haunter,Hypno,Hypno,Jynx,Jynx,Kadabra,Kadabra,Lampent,Lampent,Marowak (Alola),Marowak (Alola),Metagross,Metagross,Metang,Metang,Raichu (Alola),Raichu (Alola),Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Wobbuffet,Wobbuffet,Xatu,Xatu
(Boss weights),,,,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Elite Tier,Elite Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Gardevoir,Charm or Confusion or Charge Beam,Shadow Ball,40,1.576675720480158,1.5929671848759914,1.5112184009656087,1.5075582680244122,1.3870843783278861,1.4166712656646983,1.5856655160116473,1.608267750613702,1.9964791524124708,1.5194498198465394,1.6189928541468948,1.7015712372164224,1.5966590147038155,1.7158757035678671,1.7066393162393163,1.6344512820512822,1.4453017311870664,1.3679239772913114,1.645953811194135,1.7456513058291894,1.5837814876691503,1.6869138933941439,1.7003431153525153,1.748632175283892,1.6939673407225655,1.5038920382435064,1.639185945117381,1.7020030445770844,1.6576117326668474,1.7623545500630726,1.7635749708429285,1.8568544723478628,1.6933593343083697,1.757890920909534,1.4239197954098484,1.5018740814188167,1.7832352579768715,1.7067182756941506,1.8278241234397543,1.5543890735746095,1.6588177864188323,1.6870364628290329,1.4484082954235973,1.4956727423113003,1.6188825333839898,1.6899422376067654,1.3678735058045401,1.442622286435674,1.4246243615768934,1.426709954302346,1.3382406252718888,1.3784674893419564,1.426575767657835,1.375264255321787,1.4642798465615647,1.5118214742376295,1.4638961823986099,1.5203517255709402,1.5708131665322846,1.628121523867823,1.6192201414342402,1.6716742355533047,1.6086582510087184,1.6857680255064074,1.7734249505024469,1.403561489035825,1.7202680977781162,1.5182541020301266,1.7356943550118051,1.5281039630041562,1.6205028732038214,1.5109277253367233,1.6706207528441628,1.5238054516301442,1.5998357502539386,1.3353813094903626,1.5034269537361247,1.5585418827615058,1.5139117564480742,1.5800638019343933,1.2972053419976606,1.3438206264284893,1.2816108020463504,1.2342626063657065,1.58938799183851,1.632846889208812,1.6206221358144703,1.695250659630607,1.5027818154478472,1.5497719412560773,1.5940172636962098,1.6619603109688792,1.5342723004694838,1.5741701672020427,1.5887789939953145,1.666360169186609,1.5646505069362382,1.6239337457672562,1.496445224135543,1.4200521674899589,1.600856284313504,1.6208626104245272,1.5816877987944293,1.6183976535254856,1.5518338340759208,1.606853507213484,1.3601191869081606,1.416717367903777,1.6136389467702215,1.6720969880659216,1.6106337147357206,1.6686315838235974,1.5991345227655016,1.6530471411935534,1.5981120890145468,1.64415462021372,1.5846211170379667,1.6372372136805773,1.656949340515705,1.6584861567711016,1.6072355629752537,1.6729032849130163,1.6162296040637074,1.7041313595762002,1.5002195389681667,1.5527392475800819,1.498734352443293,1.5290901180611862,1.502800874419331,1.5422180583206466,1.6553082792126483,1.7378833664457318,1.4824422114207445,1.5630856131589472
Shadow Darkrai,Snarl,Brutal Swing,40,0.9120484118027168,0.9320298001861161,0.8619196572769154,0.8814511330601975,0.8568301252767063,0.900297810672537,0.901572254095097,0.9403748342398925,0.7728598150600658,0.805099502852797,0.9698799488946832,1.0235985178684985,0.9417067669676141,1.0078772830400824,0.9640410256410257,0.9342529914529915,0.7849157769315236,0.7556713314487303,0.9616812173758162,1.012837086640639,0.9328703421419541,0.9853176103313293,0.9503641912341193,0.9882438732412177,0.8269704954492162,0.8175727944109364,0.9487679175050514,0.9837151019046553,0.9857821581410702,1.0386852622519835,0.9525590492647131,1.0115901424318814,0.9567442112412549,1.0164735344242075,0.9934436451176604,1.0342632246389551,0.9636825362150649,0.9742705787583797,0.8292327876392984,0.8791109996027515,1.0011271547931315,0.9835829275855422,0.8339578773237576,0.8682002037543248,0.9497780263694823,0.9894659265200445,0.9485423298810722,1.009065984725214,0.9286565075127684,0.9818947378178211,0.943109973608654,0.9792875061628143,0.9824284418286985,0.977162967264371,0.8993478152166925,0.9366416412483659,0.8495230359470334,0.8798957290466386,0.9297475828390135,0.9407478637847271,0.942257183657718,0.9796462352862634,0.9433564547732346,0.9785369999931728,0.8401625947924838,0.8085191826366319,0.7788048334447991,0.8049947529538423,0.9437686589006614,0.8685945091611543,0.8200762700879812,0.8515689489326964,0.8421837061922578,0.8507505535618843,0.8674794765002455,0.8491989737478273,0.9288018842514857,0.9752863913260248,0.8910237079299497,0.9030827588039622,0.9049985217867033,0.9521225866080751,0.8663861787481479,0.8681893153671969,0.9436981491646901,0.9587575478244658,0.9668657130954035,0.9980419386196362,0.9288632148764473,0.9659039647135482,0.9306911037171739,0.9687601743839782,0.9253274030145788,0.983428053702331,0.9390896225283644,0.9839768447816805,0.9078081089937738,0.9460790641788229,0.9757398088730899,0.9670259914131388,0.9370890851991595,0.9770226610334154,0.9263608859327005,0.94999884523892,0.8947138325876456,0.9421246988568187,0.9291430710909346,0.9719037144506326,0.9437488160636484,0.983633263875734,0.962361606522444,0.9783550284893685,0.9188579150912201,0.9510760958638239,0.9534406493684162,0.987155517047441,0.9453835895826795,0.9930185127078757,0.9291163306531469,0.9605814552224027,0.9284689068273664,0.9749483392204567,0.9381385375698019,0.9891068787194275,0.9242889931144596,0.9783853906795729,0.9215891787133902,0.9584412759309431,0.9385369090838116,0.97496779482375,0.9448720303187138,1.0161276858607275,0.9428356707354028,0.9829088837440453
Shadow Darkrai,Snarl,Dark Pulse,40,1.076871016457061,1.1004613304965918,1.0209186882681944,1.0430851877666898,1.021862614642801,1.067411091148053,1.0763188964791341,1.115026261940787,0.9281382967789678,0.957230070798695,1.1335657942295834,1.1983655576452124,1.0950628107912754,1.1738490265498571,1.1239179487179487,1.114242735042735,0.8998084246431326,0.9006086022007804,1.1324143260565425,1.1891031994323356,1.1085366795523741,1.1660345759707977,1.1188447887775146,1.1789995700520153,0.966295190552742,0.9714412628576264,1.1223763747574578,1.1691788298436117,1.1675654008936256,1.244594036994683,1.1556739826412177,1.2145068407610904,1.16720002000075,1.2196915717672745,1.1824480965005426,1.2576973294046774,1.1376832370784011,1.155810111546496,0.9852939639131072,1.04766721026992,1.1761336495512331,1.1630100480193082,0.9865315365295192,1.0246875598906586,1.1194559359477676,1.165477647853434,1.1218760955069271,1.186886136176197,1.109917688607102,1.1643562933919152,1.1167400162408283,1.1596440793480467,1.1463421690531446,1.1536762229106006,1.073426148823853,1.1179604403140202,0.9977086835792138,1.0325280039290505,1.1098383534297076,1.1180246090172152,1.1227690238497272,1.1668096857867218,1.1100936691403875,1.1521372539648946,0.9691200642534274,0.9710252530912622,0.9283084936899513,0.9530248903920151,1.0876036605592303,1.0366172998497531,0.9750223420874901,1.0091005632707453,0.998136977933878,1.0153561884401008,1.0244120816185391,1.0140476756499752,1.100378798732371,1.1527917065427309,1.0719210251753053,1.0948490510011082,1.0936872925713153,1.1403310608464023,1.0259363515353004,1.036075634968593,1.1066897287443942,1.1258816583981521,1.1365365921399806,1.1866685182613526,1.1064107062302642,1.156408200090221,1.092790381881854,1.139959818627957,1.086352030310518,1.159278477884853,1.0945158272633506,1.1483101328066907,1.065132121188048,1.1095399342621373,1.161996214394534,1.1528553621716449,1.1076681502903232,1.1525044621675966,1.0947135037760687,1.1397491858934385,1.0592240505269426,1.098086636219037,1.0847412676869317,1.133648461022449,1.1055029361621518,1.1572646334533054,1.1488974845972113,1.152614999768379,1.0874822088359186,1.1358166683439481,1.1330506027026617,1.179017131044127,1.1188617822403513,1.15621077816128,1.0946013387729236,1.1326890323602805,1.0930403004977758,1.1431639809847614,1.1133687264221255,1.1683044570065702,1.0931543758107973,1.145125237002295,1.0938062372693653,1.1219372317914846,1.1170316586641684,1.1641488074325643,1.110656627210044,1.176152394944655,1.1186923477860338,1.1660262548636953
