Attacker,Fast Move,Charged Move,Level,IV,Regice,Regice,Arceus (Bug),Arceus (Bug),Arceus (Fire),Arceus (Fire),Arceus (Flying),Arceus (Flying),Arceus (Ice),Arceus (Ice),Articuno (Galarian),Articuno (Galarian),Articuno,Articuno,Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Moltres (Galarian),Moltres (Galarian),Moltres,Moltres,Victini,Victini,Volcanion,Volcanion,Entei,Entei,Ho-Oh,Ho-Oh,Lugia,Lugia,Reshiram,Reshiram,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Blacephalon,Blacephalon,Mega Aerodactyl,Mega Aerodactyl,Mega Glalie,Mega Glalie,Mega Pinsir,Mega Pinsir,Mega Beedrill,Mega Beedrill,Mega Charizard X,Mega Charizard X,Mega Charizard Y,Mega Charizard Y,Mega Houndoom,Mega Houndoom,Mega Pidgeot,Mega Pidgeot,Togetic,Togetic,Aerodactyl,Aerodactyl,Arcanine,Arcanine,Ariados,Ariados,Braviary (Hisuian),Braviary (Hisuian),Butterfree,Butterfree,Charizard,Charizard,Cloyster,Cloyster,Cryogonal,Cryogonal,Delibird,Delibird,Dewgong,Dewgong,Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Galvantula,Galvantula,Glaceon,Glaceon,Glalie,Glalie,Golbat,Golbat,Jynx,Jynx,Lampent,Lampent,Lapras,Lapras,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Noctowl,Noctowl,Pinsir,Pinsir,Scyther,Scyther,Swellow,Swellow,Togekiss,Togekiss,Torracat,Torracat,Tranquill,Tranquill,Typhlosion,Typhlosion,Venomoth,Venomoth,Walrein,Walrein,Xatu,Xatu
(Boss weights),,,,,2.5,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,0.8333333333333333,0.0,0.8333333333333333,0.0,0.8333333333333333,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,2.5,0.0,2.5,0.0,2.5,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0
(Raid tier),,,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Landorus (Therian),Mud Shot or Extrasensory,Stone Edge,40,15/15/15,1.674633860085915,1.571005483876278,1.6973262775002562,1.6850177341762609,1.3403906048213632,1.3128876075725286,1.706628703251483,1.6902153934636108,1.6806524313419835,1.664386007105039,1.9983286636134656,2.0056169674004467,2.177660262212686,2.0686052048329064,2.112135614889087,1.698223842074792,2.21717875344723,1.6210791897027963,1.6684726588671854,1.5419565868085428,1.5325967013760653,1.4054201210409165,1.9436898621389325,1.593047781691883,1.9988087821763636,2.055535926259968,1.9633389942008972,1.9548724644573616,1.3351957222299495,1.3315371309419237,1.4935091495367165,1.3311169531847873,1.3664014188547664,1.3884094707839452,2.0236988509241867,1.982414120055687,1.908677311171949,1.9439041302715856,1.3276385059216067,1.3055561723669056,1.5019271695803236,1.5542558686921046,1.4989670839260296,1.5239705866244122,1.689607125374851,1.6616023182537536,1.6853232493533021,1.6858970635072705,2.132845417994278,2.1373441693389963,1.4701997012654406,1.5094642841280341,1.5521857890046125,1.3601182622431969,1.6163982221041082,1.6502289501191176,2.0978315728338535,1.6443085495426304,1.8133833697739563,1.8690710411997722,1.3130021770534406,1.3462053454802678,1.354067511399818,1.3542343671537358,2.1483147378006366,1.9770839457480813,1.3699775863663954,1.3907059271402162,1.7082639075797297,1.7047270059725876,1.5772603717621296,1.6621642911681305,1.5623149992093455,1.6197728783281609,1.3374566616417964,1.3896479523628862,1.3068825704882434,1.3853281978824847,1.8910737181244341,1.9263884667283686,1.9310557575144534,2.051453911816178,1.9637746936878677,1.9908239001866386,1.6880197828907892,1.6527900016562551,1.6002453851428238,1.5859192074594008,1.9793940053827979,2.079697518200378,1.7016379407778484,1.5961392143083666,1.6662765628799594,1.710420726170743,1.5925672384634633,1.6800705639118985,1.6102908376191076,1.687402228915776,1.5572734951427005,1.6409956510323176,1.8764621357383544,1.7135072308234958,1.5971992205349392,1.6626539467671784,1.292634727536249,1.3623754003637205,1.7281593955595265,1.7092243829560052,1.3131633736850157,1.3804028274184619,1.6375254952918838,1.6162853314793235,1.3286356916759743,1.3797719117919112,1.3474560692357338,1.4292566742757757,1.334539315745898,1.3974348143314563,1.6098257572987058,1.694367389724651,1.568072475086015,1.6389151805503543,1.9143728875208224,2.038269996846396,1.633726160940029,1.682820628318453,1.6069195996835857,1.6630261531773616,1.3276770184061328,1.4261874714500282,1.596344647806324,1.6546953665730373,1.3667610363012868,1.3628274781496117,1.3281407818575544,1.3928170627955503,1.5894487807683542,1.599532230842801,1.8952918961938796,2.0013945891397866
Tyranitar,Smack Down,Stone Edge,40,15/15/15,1.3474516467988318,1.2801852781457048,1.2135558230529893,1.2114207332723983,1.216403466939852,1.2151728599197635,1.2155139619677324,1.2140716292959879,1.2166111461381932,1.2137682485454833,1.179426127433157,1.2056270269379679,1.1702350492813736,1.1949926996508902,1.168106697034119,1.1689721024544348,1.232282278730257,1.21058400133602,1.1997146059887647,1.1754957599736757,1.2149937751314728,1.080205073779586,1.2021163589401915,1.1782084167798128,1.1752295409977027,1.196639494113204,1.2085738206499066,1.2182728693940084,1.293556253329057,1.2419174137608668,1.1875026323409983,1.1690509923554195,1.1924429787863746,1.2121338282335972,1.2846140069390848,1.2623568976306876,1.2158368701719464,1.2320181488935267,1.2096485176717073,1.2060817360666516,1.1776375595357693,1.2038091414311214,1.3221601030524546,1.1895998734153765,1.2142130863951108,1.207035196775926,1.3296682405232936,1.2127791359526046,1.3255763069611435,1.2115604160345341,1.157619237288542,1.1632078749607284,1.180260577504746,1.1599068016172218,1.237095771180145,1.237366449608712,1.1735957242491701,1.168075087511678,1.4406809085531027,1.36561316741799,1.2518339215922,1.2718106862267315,1.2179394318394248,1.235792997508638,1.2118159662623142,1.212607909851889,1.1816884351028654,1.1930559170521362,1.2160214719958118,1.2435577288597042,1.2501830630168322,1.2905048283880556,1.21603297461505,1.2349864600423,1.2089747277872667,1.2597271896016677,1.255937557053833,1.3067611922453641,1.1995609450699611,1.2391195677827223,1.2855626253493366,1.301346681845379,1.2307457611488664,1.2779521792359674,1.1616915344501992,1.2064739279688663,1.2113113698243074,1.2537450117563298,1.1958116021649337,1.2607966300927282,1.166331498786741,1.2162070858040517,1.215320734237402,1.2702890858103477,1.2202573094172404,1.278670131487673,1.251552743678444,1.2993977680777622,1.2585448472222671,1.2732272598086243,1.1693671247063768,1.1735246371454944,1.1891490195035503,1.2418769961099279,1.2363609102222233,1.305381902246762,1.2483175073246253,1.2271610081829956,1.2182763174619589,1.26170855873615,1.206737950530988,1.2238515319002408,1.2027340378979665,1.2636722504881268,1.205239049087414,1.273010022086211,1.2269345259000792,1.2594898178554557,1.2276101761319198,1.3018761482702086,1.3060588685571173,1.3103510817003912,1.2311163466951975,1.2870552306290375,1.2353150508931294,1.289299638885004,1.2090085418930832,1.2382031531909778,1.2341255244351528,1.2848007649366349,1.2251891500984922,1.2804628851045856,1.2454519086462974,1.2644213606297854,1.2658646853645332,1.2975963492125004,1.1956914683251123,1.218266371387978,1.2068479996670878,1.271565241213811
Tyranitar,Iron Tail,Stone Edge,40,15/15/15,1.5074426767474778,1.4294509764357186,1.7568893060418183,1.7631214691538843,2.127653406188393,2.1471252834095353,1.7608027879612766,1.766880002341256,1.3695688414759744,1.3679173264548974,1.7019056632330862,1.7652223162908938,1.7057526804546677,1.7630424780694942,1.3070481152657836,1.3125966754719312,1.366729231778809,1.353815294879021,1.3390296504505648,1.3117229096214307,1.375844222178556,1.210302238695076,1.3624186441201953,1.3357636181760006,1.7449694026510176,1.8065360241112691,2.4316839164571546,2.5563158231774885,2.2277768512201246,2.1540856456903046,2.4548095862825017,2.5006754521466186,2.1272336386779087,2.186304280950433,2.624245156829225,2.5847652803562724,1.7570139786759982,1.7844866973065803,2.0317118834999066,2.074722672805505,2.0602938180363304,2.1946800550641634,2.659349836094362,2.143897616943528,1.7346517272843924,1.7535175983879632,2.0863293150829727,1.808861526400212,2.0803657055688163,1.797570034924714,2.088338968257947,2.141297015237627,2.0890983822445905,2.1015768194450857,1.3624268812592946,1.3726143099226482,1.293174895517658,1.2968627916573765,2.8025225401353415,2.5077996830270206,1.800626727004097,1.8363505083074128,2.045995613303264,2.124755592974592,2.421182067158877,2.5088783318973835,2.0659428109872633,2.147990104379918,1.7542591598904542,1.8127803113140128,1.4056570068401009,1.4491653055681728,1.3607518506256053,1.4017080607222627,2.15089162146984,2.2580489889678064,1.7996141141286697,1.904280350215613,1.7322739885388436,1.804499585049412,2.2655585496935715,2.3461661477451834,2.5137414854476106,2.6492679262755563,1.719415166764775,1.7978631555376914,1.3494591611113445,1.3970250867407596,1.8065428671640458,1.888779553953412,1.6954571521959008,1.779218307991351,1.768739453606554,1.8762255127876506,1.7874891391584025,1.878259325897038,1.7977689421199694,1.8845708369426535,2.199507254955976,2.267741640905167,1.3152560009831218,1.339406510555426,1.3126029787218612,1.3827696576784803,1.7615996862187593,1.8856393226911612,1.4218242983089942,1.367328880542881,2.1927830165306172,2.303222102294639,1.7228144258611195,1.7739363053201835,2.251093730575091,2.3421187919845963,2.2295459799636492,2.3413749999701046,2.2020203262898534,2.271546923203601,1.7983623163854128,1.8958932289714956,1.90618834104893,1.922430144476177,2.1801140617835464,2.3135355138342595,1.7564019465184322,1.8543549602917773,1.3867794836419691,1.422445719640378,2.2106144826337513,2.3334033168166592,1.7602716062895796,1.890185637624726,2.1730643037160178,2.2226967332561607,1.813193824008635,1.9194733079182287,1.728623737651654,1.7713592925808033,1.7745150668684944,1.8655824486023762
