Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Fire), Tier 5","Arceus (Fire), Tier 5","Arceus (Flying), Tier 5","Arceus (Flying), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Articuno (Galarian), Tier 5","Articuno (Galarian), Tier 5","Articuno, Tier 5","Articuno, Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Moltres (Galarian), Tier 5","Moltres (Galarian), Tier 5","Moltres, Tier 5","Moltres, Tier 5","Victini, Tier 5","Victini, Tier 5","Volcanion, Tier 5","Volcanion, Tier 5","Yveltal, Tier 5","Yveltal, Tier 5","Entei, Tier 5","Entei, Tier 5","Ho-Oh, Tier 5","Ho-Oh, Tier 5","Lugia, Tier 5","Lugia, Tier 5","Regice, Tier 5","Regice, Tier 5","Reshiram, Tier 5","Reshiram, Tier 5","Thundurus, Tier 5","Thundurus, Tier 5","Thundurus (Therian), Tier 5","Thundurus (Therian), Tier 5","Tornadus, Tier 5","Tornadus, Tier 5","Tornadus (Therian), Tier 5","Tornadus (Therian), Tier 5","Zapdos, Tier 5","Zapdos, Tier 5","Blacephalon, Ultra Beast Tier","Blacephalon, Ultra Beast Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Mega Pinsir, Mega Tier","Mega Pinsir, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Charizard X, Mega Tier","Mega Charizard X, Mega Tier","Mega Charizard Y, Mega Tier","Mega Charizard Y, Mega Tier","Mega Houndoom, Mega Tier","Mega Houndoom, Mega Tier","Mega Pidgeot, Mega Tier","Mega Pidgeot, Mega Tier","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Arcanine, Tier 3","Arcanine, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Braviary (Hisuian), Tier 3","Braviary (Hisuian), Tier 3","Butterfree, Tier 3","Butterfree, Tier 3","Charizard, Tier 3","Charizard, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Delibird, Tier 3","Delibird, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Farfetch'd, Tier 3","Farfetch'd, Tier 3","Fearow, Tier 3","Fearow, Tier 3","Flareon, Tier 3","Flareon, Tier 3","Galvantula, Tier 3","Galvantula, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Golbat, Tier 3","Golbat, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Magmar, Tier 3","Magmar, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Ninetales, Tier 3","Ninetales, Tier 3","Noctowl, Tier 3","Noctowl, Tier 3","Pinsir, Tier 3","Pinsir, Tier 3","Scyther, Tier 3","Scyther, Tier 3","Shuckle, Tier 3","Shuckle, Tier 3","Swellow, Tier 3","Swellow, Tier 3","Togekiss, Tier 3","Togekiss, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Torracat, Tier 3","Torracat, Tier 3","Tranquill, Tier 3","Tranquill, Tier 3","Typhlosion, Tier 3","Typhlosion, Tier 3","Venomoth, Tier 3","Venomoth, Tier 3","Walrein, Tier 3","Walrein, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
(Boss weights),,,,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,0.8333333333333333,0.0,0.8333333333333333,0.0,0.8333333333333333,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,1.25,0.0,1.25,0.0,1.25,0.0,1.25,0.0,2.5,0.0,2.5,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Terrakion,Double Kick or Smack Down,Rock Slide,30,1.2545661848125094,1.255923461336617,1.2529773359708638,1.2553918487063576,1.2516856787203028,1.2543286489045846,1.255065843250387,1.2529799556557626,1.3871900777352095,1.325847341232149,1.1993919617466156,1.2190472343610608,1.3165816823473466,1.290431915249846,1.2274392222973887,1.2114969557589303,1.217882823384929,1.1924008453866064,1.1694752216455049,1.0864725066880794,1.1892733286913992,1.2015936015200313,1.2357827235755054,1.251515924726056,1.243477774168632,1.2418382577934013,1.2948243969564932,1.2758327803023353,1.3665978345979872,1.254686454532377,1.334512896512244,1.2732912455660716,1.235308558500227,1.2362457752997342,1.3925537055434882,1.3187370841394142,1.269901785485326,1.271930084560196,1.2736051988021364,1.2539565598540818,1.215740064247878,1.2140952902629836,1.2128197684824826,1.2268967324328621,1.3280818757004567,1.2165881128289953,1.258162991315863,1.2581877851288492,1.3543228773825107,1.297865176589348,1.194817138454274,1.201855569810555,1.2728001270034925,1.2543076184595077,1.2407504208085542,1.2066611549732513,1.3132008373125748,1.331529610978525,1.2271594171473312,1.2344031870924541,1.232855765083506,1.2639966042470323,1.2757482534414464,1.2876613697447434,1.2529414338663434,1.2652103780330508,1.213006250067803,1.2378050620260581,1.3100238343728043,1.3436887441013543,1.2246182124864544,1.2420151255076277,1.236394046512199,1.2816345702423801,1.2361765353368612,1.2945110465167382,1.3259150657734964,1.3183025166185567,1.2776975432832243,1.3154782368895483,1.2417135400495267,1.271826272822967,1.2005030844193818,1.212695490227184,1.2435287721573625,1.228526792264078,1.244573637706033,1.3032756745380032,1.1950733426773525,1.2258414010911105,1.2485554603785294,1.2922117458705866,1.2457127106203933,1.3149149556886495,1.2966730555341475,1.3114906199684004,1.2534337761106422,1.2804218792449342,1.2391875218407902,1.277022329429053,1.1871964165708238,1.1753047985847371,1.2210588650428869,1.226699857044624,1.2480265756840736,1.312029521847907,1.2991952018466795,1.2745078818128943,1.270159322334866,1.2991236323389086,1.2184025327947878,1.217569292703953,1.2084899613755988,1.2698062393567275,1.2331925646013477,1.2836130655285802,1.2463785123529585,1.2865489706027171,1.2869966035187592,1.320760258557689,1.2797916655427575,1.2986608490280764,1.2414566561303546,1.3086506407429408,1.2323212544023059,1.2868919309525646,1.2976516507355365,1.3008362866172294,1.242203971128192,1.2778707864401422,1.2663534753050965,1.3058821705156038,1.2332701958744192,1.3161566971638041,1.2464364898303868,1.3058649841964527,1.3104417297114836,1.277794381831095,1.271493255830912,1.3180630836951626,1.2529377887509816,1.2427173065081027,1.24732744571244,1.293184265050211
Shadow Piloswine,Ice Shard,Stone Edge,45,2.167256246952478,2.08134597673425,2.6084738058202195,2.50350236316079,1.702219304129519,1.6347045815566872,2.631022376987896,2.5045307296045944,1.7061528578735552,1.7084054972019709,2.321557733289766,2.3643937107307513,2.4846991620348238,2.462716899802589,2.270854443652308,2.2998284251814223,2.2594314125307084,2.043907626484349,2.201309164167564,1.8444978800085192,2.251185208722312,1.999064670236786,1.6514047613472853,1.6485129082198817,3.4410988121470654,2.591631056541138,3.237418053367324,2.5070575577019647,3.7329041690351232,2.887606112549086,1.8174517283626968,1.6605536324774894,2.8102383436688867,2.5657714442708155,3.1284958570288204,2.6752058156563288,1.6751596306406904,1.6526604440717443,2.6531927492979506,2.456120746680655,2.497642656694592,2.098849221616905,1.5275257214271751,1.549342691346903,1.63677405905381,1.52020962071897,1.7231249337047925,1.667548145184958,1.8291771265263828,1.6710912484587983,1.4809787267011594,1.4906371496671225,2.9771606219171027,2.5578224651177908,2.361448732058985,2.3260705385169596,2.480916213813362,2.2188607550312596,1.7192721518110117,1.6537546650913335,2.070318102282924,2.103834378421068,2.3812515804946157,2.1705464698271384,2.8800471285777793,2.638975850954754,2.7439016411004675,2.5561297516245567,1.8088196504545735,1.7262844755334188,1.6469645136023314,1.6083829859388954,2.489545188144575,2.476849303298936,1.983633594116472,2.101202999755405,1.692155298304363,1.6748618688067347,2.128266031430716,2.1319052531564466,2.6281202905739534,2.5199779059288594,2.7048716546960017,2.6625760587880642,2.3935585712527088,2.272527669315367,2.3024950461015723,2.531386213119452,2.5910110422799297,2.6738497232575957,1.6203466594927451,1.6635468362893868,1.6041040233320465,1.654792007990804,1.6847354114920026,1.6645312490547184,2.79231415223548,2.6342136713534936,1.9921746479199787,2.0254982979627565,2.3960162621861905,2.2997989533929726,2.3749238476107757,2.3930567116644355,1.6024042092648678,1.6704507755531692,2.4532039624804765,2.3140993731497304,2.6150626109278416,2.480747365962102,2.735865500062902,2.7238764955275485,2.675262376317478,2.575024269871091,2.5295412696043207,2.5031654841628668,2.6459674244922713,2.5127128989113947,1.6342759936272242,1.692940158228685,2.1241708743465595,2.1437054594735336,2.031022384196131,2.0924051029123514,1.9490072354987555,2.0135881826323017,1.687106979063671,1.6673625733326731,1.6521430771347645,1.6222266285440725,1.6208387539438915,1.666266983726235,2.482746840164683,2.5045257892737687,1.657246753913961,1.6691776811387453,2.7912132242536303,2.5864691784135885,2.0889077125808844,2.1319943353009063,2.805256286257353,2.7939993583378775,1.652429491086661,1.6647675532631538
Shadow Rhyperior,Rollout,Meteor Beam,45,0.8258698410104859,0.8266798367937743,0.8245398616521155,0.8260933002349774,0.8264288907399683,0.8268868258900988,0.8280769599957192,0.8264350896084207,0.8442786504812029,0.8458951552788924,0.8149415359684515,0.8310410990506452,0.8839361254471366,0.8533559349871948,0.8656749358848984,0.8411267418020257,0.9195785566228977,0.8182815597690414,0.9353723070664299,0.7546441827779521,0.8653665597574807,0.8336838536068598,0.7969564169313161,0.8313165791833759,0.8233214384058868,0.826036276873922,0.8675088271610089,0.847014174373862,0.9730106703541158,0.8493140650637895,0.8428438668671187,0.8285738132052154,0.8231436482594434,0.821069288920209,0.9564519827196574,0.8668848946986691,0.8332806365443517,0.8363075658579424,0.9046078615182708,0.8696295658819903,0.839857617442166,0.8213049263551099,0.7701837060847468,0.8032094678934956,0.804435861059285,0.7903037571519934,0.8409544083994065,0.846003605983621,0.8651776602777499,0.8495152597309761,0.7369628778261147,0.776601231949175,0.8671805349647116,0.8190135853735978,0.8377676123345955,0.8271309678418391,0.8922062539842678,0.8887280314077712,0.839944208325877,0.8294409190072075,0.809264789447194,0.8336427776534896,0.8366330675912088,0.8250985929964028,0.8186593963285655,0.8040033185917715,0.831121767837577,0.832065109054123,0.8206943978185953,0.8402673202659157,0.8107236886029144,0.8394858815719797,0.8216315477779518,0.8561309233398693,0.8093951034789124,0.8674523063077243,0.811507881351114,0.8441779372947911,0.8261729533806651,0.8254475951008569,0.8050916941817051,0.8222644151034842,0.8422089046649913,0.8294654492149527,0.8723196150085586,0.8462636360433449,0.861776255449585,0.906042774145793,0.8281955287335621,0.8312428093863669,0.8054881437065536,0.8319161367832693,0.8248923363075065,0.9023199497691368,0.8418693109541227,0.8817291516744595,0.8563839995485026,0.8696033950979437,0.8315025647627573,0.842388125199532,0.8761241069487173,0.8416904140545712,0.7960669175925592,0.806952788534617,0.8390052147134064,0.8777833777621249,0.8491491607806309,0.839393985763213,0.9115739276149233,0.8954600504611236,0.8733562023847276,0.8648140783225393,0.8261632996095423,0.8700526250470337,0.8318779629896685,0.879863694821328,0.8726512821058392,0.8680478891443072,0.8504120802178664,0.9130275103974838,0.8394117662090675,0.8709692234349717,0.8058119807902223,0.8586730198188863,0.838451411316415,0.8744978704945351,0.8007321190945264,0.8435750365949307,0.8085149589245348,0.8464202648375788,0.8180113996815589,0.8785470014990254,0.8043472430125151,0.8640161613428906,0.8341362130246185,0.8598921079049389,0.9036459942036977,0.8754202938191382,0.8138354017306109,0.8519984146259493,0.8668790910357177,0.8540783318527883,0.8198097911080288,0.8549590284230933
Shadow Rhyperior,Rollout,Rock Wrecker,45,0.8590677495857357,0.8997605599211551,0.8622561764439336,0.9006965283297619,0.8607313596103057,0.8998605663508744,0.8623867465534142,0.901508487702752,0.88292820170473,0.9054872671697431,0.8724536405329183,0.8967558789244799,0.9240703873559757,0.9230543235450835,0.9022246569933347,0.9214937206396651,0.9540775122897011,0.8942532162040037,0.9474746684283298,0.8211857441377923,0.8605829158817667,0.8912300940268417,0.8519468579804912,0.8882505168822177,0.8538520758451013,0.875539938152479,0.8808712259050363,0.9085180773296029,0.981572703857825,0.9161222636978805,0.8771621252895764,0.901181417894078,0.8570598445343758,0.8839279951237962,0.9568452563272823,0.9237150851866179,0.8920338373997114,0.9093003893478997,0.9350735755903005,0.9397817030386794,0.8715524829060891,0.8858432146344841,0.8225354524228271,0.8577049122505196,0.8302068612810861,0.8342040516089029,0.8907584599819534,0.9440278779968406,0.8911102231913898,0.9133844366711608,0.7836092112918304,0.8197747649094381,0.8911599443984709,0.8937341401888551,0.9047197785005359,0.9057518170249497,0.9220348410198835,0.9493440649386895,0.8712722004754951,0.8910559299674963,0.8632038606813723,0.9020074827589787,0.8822628979312097,0.8935154222424526,0.8615612447752319,0.8758649521106423,0.8650679825394072,0.8991083245641633,0.8668205890614615,0.9077443441893535,0.861304355981816,0.8954356759292981,0.8598518532156261,0.9068497328877883,0.8799358497119673,0.9434197611701022,0.8633505170711092,0.9072619036616226,0.9000490126895624,0.94617845697424,0.8697078357276464,0.8890532586388386,0.921683140951508,0.9123488628605476,0.9542167444480231,0.9151146391314042,0.8466946531829971,0.8966600054793294,0.8823187845857708,0.9058733754643715,0.8714077395056073,0.9082135303460254,0.8608742373597639,0.93404653670851,0.8946065706045635,0.9351074837678337,0.8832708325444848,0.9208332139562747,0.8813348968962168,0.9031211566501173,0.8942036844925486,0.9173430758675035,0.8532176269407551,0.8938934831650442,0.8877529539679863,0.9438837380531252,0.8715530925936288,0.8925712178065198,0.9214696177315597,0.9060767122862579,0.9398433699945444,0.9593740017496738,0.8583509425005688,0.9112680674335366,0.8867125817236001,0.9381795050832918,0.9211048197664793,0.9390602482403286,0.8971666312678319,0.9282767042321401,0.9049455228137504,0.9215488341203538,0.8632776608131995,0.9086305029558445,0.888444448566355,0.9316272698670586,0.8695065361763163,0.9376616806428602,0.8554259866111875,0.9060388303806373,0.8747231219058217,0.9279525290998001,0.8672213808347478,0.9017531701868226,0.9001900187082994,0.9415217826575877,0.9585813080256615,0.9277714158663097,0.8746547149099152,0.9050094931670414,0.9119397132104401,0.9316381479624323,0.8800221314693628,0.9269038245413119
Rhydon,Mud-Slap,Stone Edge,45,1.9926138443473391,2.0270752026458148,1.30580024447918,1.3173859359690228,2.3055822379290785,2.375474125523404,1.6714946405368987,1.6951528748497453,2.3048216150135534,2.3861781107040003,2.5413357094331133,2.633457671301642,1.681539373477317,1.6968187657599907,1.6481225794344079,1.688483397732179,1.8896939119169054,1.6767801404579787,1.8931117472945143,1.5497352907314421,1.7217390665656718,1.680301666870114,2.2577746074249405,2.385436710486359,2.251301690637957,2.3598355625798475,1.337018240961575,1.3330992240689832,1.4234559962360185,1.2997504278235092,2.4181313566349765,2.4232851464065788,1.308567729343694,1.3213300403075905,2.8617545657638694,2.3933483982750894,2.3792529289346,2.40794741288961,1.9102240854746566,1.7825162650394626,1.3036531499279655,1.2956055190911633,1.875071499911791,1.9701812884460754,1.9125344405264117,1.9251605500276432,2.2822193518742693,2.39967543293446,2.380684240551803,2.4334982101016305,1.7618831484555493,1.8732298940961325,1.3424477923142886,1.2942284037811038,1.6913363880883396,1.7156803104402323,2.8167427144776065,3.052626943470626,1.923775710940361,1.9939421188331243,1.6734546022324601,1.731653691501055,1.3086150546318498,1.3174240894658515,2.364919914235734,2.3280403601224013,1.301167768689181,1.310695172571844,2.349431431074815,2.476945896506601,1.9697972068334557,2.0617704287958745,1.2818288057736742,1.3407199602323463,1.6724474533105502,1.7686064679485474,2.2763845152953515,2.4089922229941783,2.771278150556353,3.0241118812074133,2.340917079076706,2.435639185075237,1.7217221913265903,1.706425020232871,1.7595781301816522,1.6882309059744443,2.617690107562064,2.8200783368525375,1.6968939923411661,1.7081868145850496,2.3561154115868588,2.5119530963612986,2.3660911979363686,2.5436935779634893,2.3519820826630795,2.484831246383035,1.30323043678758,1.3423685089894164,1.7095492167669544,1.7617422037054182,1.7463216595432327,1.7051196675804008,1.6408778485517477,1.6798653082889994,2.084994705577331,2.185262116470799,1.6645165959035326,1.6637698332431958,1.3626557084253872,1.3625771376802538,1.7385185631804407,1.7118454593995107,1.2768482712510745,1.3442644097524556,1.315441494478165,1.3833439925126039,1.3310425755541027,1.3508550327438167,2.345001150667461,2.4875042113114962,2.0353873852796176,2.110481090923649,2.799876477934366,3.034288724568496,1.7278607382538547,1.7904646437734815,2.2740483764638726,2.4004356315063364,2.307188997090155,2.4173527749382417,2.340041813790719,2.531122605528801,1.2979891307067297,1.3773840090193976,2.27262581543484,2.4456400855302074,1.3617665546279902,1.3553530158614535,1.676874309897837,1.7693262926940678,1.8116372627540887,1.77467568457002,2.368184776647401,2.5251556060508427
