Attacker,Fast Move,Charged Move,Level,"Kyurem, Tier 5","Kyurem, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Diancie, Tier 5","Diancie, Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Regice, Tier 5","Regice, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Tapu Lele, Tier 5","Tapu Lele, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Zacian (Hero), Tier 5","Zacian (Hero), Tier 5","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Diancie, Mega Legendary Tier","Mega Diancie, Mega Legendary Tier","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Shuckle, Tier 3","Shuckle, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Togekiss, Tier 3","Togekiss, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3","Wigglytuff, Tier 3","Wigglytuff, Tier 3"
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Genesect (Douse),Metal Claw,Magnet Bomb,50,1.3433407525584273,1.3365493294864,1.3077628556223575,1.2829594036197247,1.2845231340305134,1.256980058149555,1.3421615769527782,1.3249511073244244,1.347202093939942,1.331439535628098,1.3445608520212255,1.3284890188122953,1.3062400978008781,1.3222718754979805,1.3388706060001057,1.343623943119236,1.250373317608779,1.259002301324237,1.3058903410635696,1.2851281397744572,1.323757719434042,1.3100544828541847,1.338084264197954,1.3240779769793622,1.2006466304838719,1.1822123422588129,1.330653132556238,1.331849946168838,1.3478695416447717,1.3412760715241334,1.323114581645371,1.365970729869518,1.3003513486007088,1.287715201631522,1.2742927381325366,1.2621127188350967,1.321699779414818,1.3101131152230412,1.3236609375461186,1.3269434842553507,1.3737668389397035,1.3384385345098788,1.3059304702722057,1.3487297435839736,1.323320115012734,1.3623223456684936,1.3149801103880325,1.363613460238849,1.300272734229383,1.3264512337115149,1.3267949746424585,1.3862376206005997,1.2885866196516713,1.3552157963342095,1.2728130958497383,1.317776426438794,1.3050115122409547,1.351176310389116,1.3826161442032676,1.4356378519341726,1.287884954981397,1.3387744501718457,1.3415565693522038,1.411219769901855,1.3041293594769274,1.3507946486614437,1.336520172423048,1.4013653547565201,1.285260030720929,1.328604155765238,1.3388775385167269,1.3640672332467874,1.3050073418139334,1.3773014154571912,1.3716179625934557,1.3542208587708429,1.3482838584897894,1.4053305667897005
Bisharp,Metal Claw or Snarl,Iron Head,35,1.7463982898369155,1.7133874409358547,1.657459986565504,1.6219019479020411,1.7363321272901433,1.6163426160284016,1.7073112175304952,1.682854321330837,1.7135917955573265,1.6850067193463978,1.7077384990161026,1.681106234800493,1.613645744595451,1.6281314113431926,1.7029089680406424,1.6847365231734042,1.6540204448193176,1.6223343745071126,1.8276080231145944,1.6427853416252898,1.8093376116397837,1.6503661142210253,1.7214760195367957,1.6408938291854374,1.8348524043046992,1.5780546188917595,1.8393192783767465,1.682784202034863,1.8297221049233272,1.6937716169650128,1.7595244376909258,1.7439771879660213,1.6204909063003858,1.5732388309825553,1.6537571924062582,1.631045110188427,1.7615073817100284,1.689779602561936,1.7480832071971946,1.6990577239498226,1.7660310006297217,1.7089859667296035,1.63381874518451,1.6566007053280696,1.716203101566181,1.691206083643945,1.6595695251063456,1.7195437743043782,1.6713509768470693,1.672689445738245,1.7654299068452612,1.7588871166274438,1.5987571639306863,1.6652283178544263,1.7536264906930794,1.7062652121424857,1.7191503683767642,1.6682546523904231,1.7363274482435436,1.8135070993175675,1.6245484647168251,1.6932604725189895,1.6861527902719533,1.7760896685063536,1.688203048616337,1.6922647756776514,1.6711676163670532,1.7412654903517972,1.6608053272116536,1.6771242172070961,1.7698372018682451,1.7567744894835424,1.665529815286628,1.707559315468264,1.7069944899203664,1.6954057098483966,1.7668426788930869,1.7732133567421566
Excadrill,Metal Claw,Iron Head,35,1.5441626430137674,1.5364214699513024,1.5260277286346673,1.4726235792939506,1.6251138109577834,1.4456409509101051,1.4954256777377508,1.498954717217073,1.4987039801806554,1.5044481385525972,1.4961813712511833,1.5011082831466185,1.560729860219988,1.5275701985292325,1.4652593744384148,1.5006652883834468,1.5284063702884285,1.461844130056956,1.584915154802026,1.5287865394323719,1.4974909708086703,1.5065976302850947,1.6430725476666308,1.5371801371317855,1.6019195712110064,1.3589902968191376,1.5282145468781585,1.5171470432182057,1.5159916306093424,1.5288730848347338,1.532142840102825,1.5553004333141367,1.411440697795043,1.4029142806279342,1.478260419208649,1.4424528977513014,1.4767075976062378,1.4800235428971174,1.4822526244320404,1.4923131670029526,1.447962719185013,1.4498784471685668,1.4520750438962413,1.5051198908307537,1.492253680889963,1.5212804764754613,1.5233108700138132,1.5410425711818874,1.4737633062182518,1.4823353723740205,1.6325510206113463,1.5819684342635303,1.5041714560686827,1.5172443229539931,1.4884374032939829,1.516793364549001,1.5577079348127663,1.5121311187959898,1.554612626706359,1.6331217549974328,1.4820623829646964,1.5184977793027512,1.5120036783274549,1.59932928660816,1.4967878247368565,1.492954144994019,1.4609303396349962,1.5255640606834708,1.448964535894536,1.4982929628816906,1.5041417616908794,1.5337245651273608,1.4517624935921634,1.5345686944836632,1.4751219787127283,1.5241353073284294,1.5149814939284638,1.5894481683436958
Excadrill,Mud-Slap,Iron Head,35,1.8439188445878913,1.8670327718786495,1.896027200017275,1.8444293993402328,2.058229290261837,1.8338155702408672,1.7782705610358045,1.8015770291912465,1.7785052366335468,1.8159856593280779,1.4748666073890837,1.4901599453031762,1.9029650384226293,1.9026992491202595,1.7459025463760716,1.8065948520633432,1.889656549895227,1.8467233093559021,1.9031284248455511,1.8573320476001989,1.4461618043603133,1.4559754258681987,2.0200593314934006,1.8831456841557541,1.6604800577052277,1.392381984351287,1.8206559849302013,1.816204296401803,1.788541847004176,1.8346534420686456,1.822605122546737,1.8741152720569902,1.7568699753288586,1.7620834270077494,1.8201651453662142,1.820627477545258,2.0579857597657103,2.115337722100774,1.785045791605241,1.8333330094921552,1.7781734551186064,1.810475527877837,2.08374641022912,2.1909897373456255,1.4730928303870132,1.496430848131659,1.8351731624757552,1.8721912271574872,1.7904122371156523,1.8235730597356086,1.9433323582476922,1.9198202632557562,1.815329032835431,1.862369640851698,1.7738204914748943,1.827470882388887,1.9069865485075228,1.85081515901241,1.8759038792902474,1.9997790136354594,1.7665491926313288,1.832405169198562,1.467053388462415,1.551823582038931,1.8419533832234296,1.8394470390264752,1.8213429700333437,1.9084548506401517,1.434267339601303,1.480545549685195,2.3013665522197573,2.422383548072285,2.317087203804532,2.5025694142387267,1.484426302782751,1.5331687380673,1.830369762040034,1.9294790721195156
Excadrill,Mud Shot,Iron Head,35,1.8705416633486027,1.8872658884039581,1.8908124237694088,1.8180894619093098,2.0453151556732387,1.8037955375220243,1.8024667754656374,1.82073928193402,1.8087819760932622,1.828159844184993,1.5972718938135717,1.6055196842865342,1.8566678268739143,1.8628908610415187,1.8010295653236028,1.8686607184674386,1.900706185383131,1.8402387640265512,1.9174052587512775,1.8690911110415473,1.552007644593634,1.572890304863435,2.0453385214088877,1.9125301901061265,1.7511385452090775,1.4799312090702745,1.8266595226883349,1.8321727549866755,1.8055716618897264,1.853076747471102,1.8580930219654093,1.9203780635358934,1.7589974072230583,1.7704323127485233,1.8187049731505405,1.8351369782989004,1.9324634410419026,1.9751071966667044,1.8381538943243318,1.8961266466976945,1.8039463283166728,1.8283430222499968,1.9366829806908188,2.032659651999048,1.6125027588068814,1.653247077204505,1.8939516385480537,1.9441273541417015,1.7730281793294764,1.8132228751558148,1.985130490427954,1.9621705397388718,1.8893395063132084,1.9419438284749786,1.8183001688210363,1.8953529834486371,1.9229011822653355,1.8695452749387766,1.903463830657574,2.0113334528819062,1.813533187899623,1.8955839979362872,1.6945110764811855,1.7958458332294998,1.8771658922432155,1.8835138607574302,1.7694891955535952,1.8563575247710598,1.5506790675691642,1.6133241058015293,2.1340247150613196,2.225472585267272,2.17760461957564,2.3520545911337063,1.6116726954771006,1.6841223755887582,1.8502464884853518,1.9474417245451348
