Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,25.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,3.75,0.0,3.75,0.0,3.75,0.0,3.75,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Lucario,Counter,Aura Sphere,40,0.9999999999999999,1.0,1.1246062366549292,1.074114688609126,1.0566163531188733,1.073388783257747,1.0864803597061765,1.0387738843277878,1.1418892061600354,1.036674445332217,1.0541080698071075,1.0453049717270664,1.09307325770354,1.0706188013707931,1.0736197852906795,1.0748613850480486,1.0494842890354217,1.054570608872884
Lucario,Bullet Punch,Aura Sphere,40,1.1658662441462024,1.1718152255696594,1.280756168565554,1.2072107409481962,1.196747821610888,1.2334123034672426,1.3982455826105358,1.3379148128922032,1.443009751208137,1.362220639429661,1.2527665646518842,1.2517500242152901,1.3518722706341346,1.3751933664927676,1.358166752436711,1.355772018407355,1.2455913397845069,1.2631959458122182
Lucario,Counter,Close Combat,40,1.2932540167093762,1.2507180855971674,1.4627763873449482,1.366534857202706,1.3703734682496553,1.3691706866047733,1.3954392312671777,1.3036786038763446,1.4582737158268548,1.316307141081863,1.3357116587617135,1.3084316311597313,1.3708234781823294,1.3606329768146068,1.3905879160625754,1.3626003450671484,1.3038426916779107,1.305474619575057
Lucario,Counter,Power-Up Punch,40,1.3178566826978544,1.28725587255157,1.4658287312913754,1.3892099698063571,1.398395075527954,1.3920743182986712,1.404253057327547,1.3444055748499546,1.4423721165736092,1.3450536194147487,1.3767326163547136,1.3559135412551226,1.4272464971225773,1.395042562073861,1.4202026710944349,1.3837115672435485,1.3598863590353936,1.3537274256795855
Lucario,Bullet Punch,Power-Up Punch,40,1.6106940597586312,1.5951252989957243,1.7283233677375056,1.6422237635931718,1.6636078549254198,1.6803528243073003,1.9304950458755339,1.835111810616509,2.015690661780155,1.8383619765038708,1.6998832168647326,1.6910319182947968,1.8804443207527632,1.87402959329415,1.8817684059313529,1.874387950701653,1.7003343364446732,1.7041041208618217
