Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Uxie, Tier 5","Uxie, Tier 5","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Absol, Tier 3","Absol, Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Cacturne, Tier 3","Cacturne, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Nuzleaf, Tier 3","Nuzleaf, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3"
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,1.1363636363636365,0.0,1.1363636363636365,0.0,1.1363636363636365,0.0,1.1363636363636365,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,2.272727272727273,0.0,2.272727272727273,0.0,4.545454545454546,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0,0.6521739130434783,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Scizor,Fury Cutter,X-Scissor,40,1.0,1.041035587779128,1.0,1.0723064624016474,1.001104180828995,1.0421035448394789,1.081530660976326,1.0754892709389814,1.0095486778981924,1.0473541619606,1.0458173487626545,1.0638171904229914,1.0904125047120172,1.054903897477429,1.0,1.0229360409446526,1.0191987608931552,1.0437155040962556,1.0149112081494254,1.0408040342537166,1.0191991423856248,1.0336432455350044,1.0265220407190512,1.0408004026121351,1.0,1.0018614856851669,1.0,1.0,1.1818180256397761,1.0482083473898423,1.0076751721331383,1.0126516423720753,1.0,1.0,1.0527599643889038,1.0685608791061687,1.1613516109235251,1.0208785492732915,1.0663690630045166,1.0761057211339717,1.0,1.0072269137684413,1.0,1.0416431049473196,1.0,1.018188125841818,1.0357304661427746,1.0489069155292037,1.0160289925806982,1.0412497679507067,1.0531943714840843,1.060372239194008,1.073580240736058,1.1022503210817889,1.0350301577445116,1.0276344182942787,1.1236096970850296,1.1364945817872298,1.0868681991020555,1.096805457118522,1.043970644307517,1.0851978359151397,1.0638105381206961,1.0957279646051412,1.0,1.0117143001208093,1.0,1.059931955985412,1.0318934843741931,1.0877666244926791,1.0148102526016192,1.05255494514695,1.014909799617649,1.0436016337428922,1.0,1.027655438372398,1.116371881948057,1.1591322183335528,1.1193626500252793,1.1317588324611756,1.0684649109853073,1.0835361787511062,1.0448483068506202,1.0694824039890556,1.025856718898813,1.0802773431163195,1.0576309838868851,1.062265913778988,1.0592714010713182,1.0898047785934728,1.082360486948679,1.1010881413975337,1.0769870389561835,1.0988123753934984,1.075636859633766,1.087696598242043
Shadow Scizor,Bullet Punch,X-Scissor,40,1.0983456142298595,1.1602382557835056,1.0931408674202125,1.199442687032515,1.1008595873591014,1.1582492876268775,1.267112523861548,1.265910225204643,1.163553910772118,1.1959080295630866,1.1952756627406687,1.2210529967199903,1.223014915903039,1.1991244410519726,1.1284886516575847,1.1742788896632015,1.1617096572581578,1.1857918784865682,1.1166571021657907,1.152044514108888,1.1865329339943103,1.2183200805554084,1.1693265884428492,1.1989827548658292,1.1631517173702037,1.1822350903042662,1.1634326132581483,1.1758529865424627,1.3100779837413843,1.1760675182698848,1.147382402240118,1.1722399690338061,1.1425029139779297,1.1510503049695378,1.1696179401751556,1.21563144903016,1.3143318059013411,1.1763693926761634,1.3311568764515047,1.3657086634200188,1.198733557424235,1.2054237500837572,1.138208560199978,1.1922488959917004,1.0859446162976474,1.1531995902819174,1.295386493148385,1.3416284862989114,1.2419243200024386,1.3073910168152763,1.3173691988617338,1.3238573175181516,1.1786781229700014,1.2137905900779018,1.1813856504240579,1.1981047001154197,1.2804092240564915,1.2904485139716424,1.3489857342394351,1.356771880564963,1.1530874265607047,1.1947310541960685,1.2884753491005696,1.321698265979988,1.1047737800113975,1.1080191287539165,1.1366494171654473,1.1912265157201471,1.1715322972469988,1.2384126207874309,1.1513968411100552,1.1953159412415115,1.0059714444134815,1.0183854367014251,1.1383154682028607,1.1727145876882292,1.3972161676777672,1.4484669571388675,1.2846442419566206,1.2888496315890263,1.3669457686459627,1.349312549827195,1.298919341406531,1.3299867261776126,1.2769157536108071,1.3472625165141547,1.3277010039702415,1.3311635557795147,1.3119150215231241,1.362291396632479,1.2580440126578267,1.2691855718138212,1.2316663677390647,1.249442970518203,1.2351138813073037,1.211047499672212
Genesect,Fury Cutter,X-Scissor,40,1.0582768036937424,1.1184244425112007,1.0569864386203707,1.1519147571046624,1.0451576780073257,1.1139377257145595,1.226748056686898,1.2415353824592537,1.0895499522282401,1.1188707268257865,1.11116475439515,1.156642191287407,1.1797596002498176,1.209545608493961,1.1161378222330673,1.1322751450440154,1.114175340192039,1.157187966986126,1.0963807245106612,1.1418916064368665,1.1611534213909114,1.186796926175208,1.0810932085346703,1.1133516451156766,1.1535758481670157,1.1554238714376353,1.1299403409799844,1.1509780811292558,1.0912289607240326,1.112416458149798,1.1521592826351417,1.1551507675454846,1.1665879276809394,1.1847244301796906,1.1630777839933983,1.1943785569755352,1.1230524468191314,1.1517797994515269,1.0649710441269886,1.1485277352043257,1.1499433124097846,1.1567718120490762,1.0605165717016012,1.1013730551961556,1.0591098468999574,1.0874827069728232,1.0747418984119481,1.177460545098754,1.084030483063106,1.1168881074821975,1.1817794471416345,1.224040074568656,1.1543119739874246,1.1991641786182756,1.1336965674041646,1.1663876624643503,1.2198086952975797,1.2401329891843857,1.2088708092365783,1.2319293275573537,1.114068434559969,1.1756462572177795,1.123898974084248,1.189346557945593,1.0562397919039381,1.1050255602647767,1.1411655623060297,1.2099642183584554,1.1087541139607875,1.1905492086152438,1.093332079136613,1.1427473064071085,1.0766859749520632,1.1268624371420182,1.1040364227899133,1.167625073660396,1.2029036112523812,1.2571108311293877,1.2844083570243212,1.309441681837932,1.2301892926546916,1.2678003511925078,1.1729205068578228,1.18241054608047,1.0921901955499151,1.1726150783305886,1.143674693588045,1.1531103740290194,1.1167759082285036,1.1830941414034102,1.2420150735562028,1.2661973828710364,1.1792106612895847,1.2064373099957764,1.22358797505075,1.2372934972392389
Genesect,Metal Claw,X-Scissor,40,1.2142685092628198,1.2931554791636493,1.2127542066276726,1.333019359396651,1.198345666294245,1.2950374429937421,1.352317943414538,1.3669244458336065,1.2758471665989763,1.296836598074125,1.2782712964033531,1.3313212323107795,1.2995921169498708,1.336572634193841,1.2612260399056912,1.298066321126719,1.2231188845162486,1.2971511623911243,1.2178399961540285,1.265807052931058,1.2759619894306358,1.30870346070274,1.2368204961603309,1.2841445785608303,1.2627330975415925,1.274074977391456,1.2419335297798324,1.2711564285542842,1.2142653635348726,1.2721952371983678,1.2892807011315108,1.2977780623063584,1.3140968041006849,1.3307556816796848,1.3047632784207632,1.3431125893958304,1.2260913425484872,1.2804716919719465,1.3528593003324338,1.4853048965463267,1.2785244581577797,1.2980917563965795,1.2115328279813649,1.2754790220782648,1.2034818068055795,1.2643260553933495,1.3678574306955078,1.512840603266005,1.3913789922916413,1.4467627771188094,1.4462776850381946,1.5091492327911413,1.3103624801300273,1.3611906651126657,1.2837256602868259,1.324617617294928,1.4540846965753007,1.4674367441608793,1.5352650952688083,1.5689780174442223,1.283768339634683,1.3587351603411284,1.4376449272267326,1.5293102597123431,1.1889610304676606,1.2483351094181507,1.2560601284822286,1.3230915674014443,1.3062488333191322,1.4098147256291496,1.2927476601465606,1.3518898907298549,1.055203566701705,1.0962281446736473,1.2567955761398955,1.3261496060815519,1.5641918445124694,1.6345522035973978,1.4253610952556646,1.4457855347091517,1.5420085527120784,1.5825592142014377,1.4895192412706733,1.51687793853781,1.410030811871777,1.5279686816512827,1.4822646824350156,1.4985680096458758,1.4274871039689347,1.5343081332606032,1.4060920281656941,1.4305256736661276,1.355124660995125,1.3816450953833312,1.3683720277640512,1.3629800325105133
Genesect (Burn),Fury Cutter,X-Scissor,40,1.0582768036937424,1.1184244425112007,1.0569864386203707,1.1519147571046624,1.0451576780073257,1.1139377257145595,1.226748056686898,1.2415353824592537,1.0895499522282401,1.1188707268257865,1.11116475439515,1.156642191287407,1.1797596002498176,1.209545608493961,1.1161378222330673,1.1322751450440154,1.114175340192039,1.157187966986126,1.0963807245106612,1.1418916064368665,1.1611534213909114,1.186796926175208,1.0810932085346703,1.1133516451156766,1.1535758481670157,1.1554238714376353,1.1299403409799844,1.1509780811292558,1.0912289607240326,1.112416458149798,1.1521592826351417,1.1551507675454846,1.1665879276809394,1.1847244301796906,1.1630777839933983,1.1943785569755352,1.1230524468191314,1.1517797994515269,1.0649710441269886,1.1485277352043257,1.1499433124097846,1.1567718120490762,1.0605165717016012,1.1013730551961556,1.0591098468999574,1.0874827069728232,1.0747418984119481,1.177460545098754,1.084030483063106,1.1168881074821975,1.1817794471416345,1.224040074568656,1.1543119739874246,1.1991641786182756,1.1336965674041646,1.1663876624643503,1.2198086952975797,1.2401329891843857,1.2088708092365783,1.2319293275573537,1.114068434559969,1.1756462572177795,1.123898974084248,1.189346557945593,1.0562397919039381,1.1050255602647767,1.1411655623060297,1.2099642183584554,1.1087541139607875,1.1905492086152438,1.093332079136613,1.1427473064071085,1.0766859749520632,1.1268624371420182,1.1040364227899133,1.167625073660396,1.2029036112523812,1.2571108311293877,1.2844083570243212,1.309441681837932,1.2301892926546916,1.2678003511925078,1.1729205068578228,1.18241054608047,1.0921901955499151,1.1726150783305886,1.143674693588045,1.1531103740290194,1.1167759082285036,1.1830941414034102,1.2420150735562028,1.2661973828710364,1.1792106612895847,1.2064373099957764,1.22358797505075,1.2372934972392389
