Attacker,Fast Move,Charged Move,Level,"Arceus (Ghost), Tier 5","Arceus (Ghost), Tier 5","Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Lugia, Tier 5","Lugia, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Uxie, Tier 5","Uxie, Tier 5","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Banette, Mega Tier","Mega Banette, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Banette, Tier 3","Banette, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Dusclops, Tier 3","Dusclops, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
(Boss weights),,,,2.272727272727273,0.0,2.272727272727273,0.0,4.545454545454546,0.0,4.545454545454546,0.0,1.1363636363636365,0.0,1.1363636363636365,0.0,1.1363636363636365,0.0,1.1363636363636365,0.0,2.272727272727273,0.0,2.272727272727273,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,2.272727272727273,0.0,2.272727272727273,0.0,4.545454545454546,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0,0.625,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Gengar,Lick,Shadow Ball,40,1.0057203532566328,1.0022300359981842,0.9999999999999999,0.9999999999999999,1.0,1.0009629080398579,1.0,1.0,1.0145792074961295,1.0128034259170908,1.1901549917325476,1.010405325073647,1.03349866621192,1.0290023048434076,1.0074529294954164,0.9999999999999999,0.9999999999999999,1.0,1.0257405458668734,1.0079222487733586,1.0170856024762758,1.0026887606240282,1.0030636940114317,1.0175514857839194,1.018213109493096,1.0085948727622887,1.00565534676775,1.0142702184085743,1.0350385044644541,1.0072021041286285,1.0,0.9999999999999999,1.032521528938279,1.03439727244535,1.030083243925888,1.0138000818304673,1.0108616089869678,1.0078693200391349,1.0181249573122226,1.0273156206444929,1.018586142168781,1.0152434215207113,1.044202312385792,1.0,1.0324548168337115,1.014928864657259,1.0391638093133322,1.0228772818133114,1.0,1.0,1.003791249958381,1.00455064004923,1.0004869565217391,1.0176234110199645,1.0113720492064258,1.0261553418052891,1.0,1.0066720109362026,1.0088495504117332,1.0,1.0,1.00630273062176,1.0502009363789833,1.0150131482939257,1.0,1.0011999251610089,1.0268819421280566,1.0121573611442671,1.0142756055721218,1.0202469476285332,1.0,1.0,1.025633548827177,1.0248875372059179,1.0021035518827774,1.0,1.010870715578326,1.0088066552323427,1.014965262606901,1.0,1.0,1.0,1.0,1.0046343391689472,1.0383539700815305,1.0290795890962052,1.010136307552468,1.0190128158017913,1.0173632963678012,1.0278291556537893,1.0162996947082767,1.0309336517191217,1.014212497731382,1.0329971884507125,1.036376806586776,1.0198731238562797,1.044194908459018,1.0251285019156955
Mega Gengar,Shadow Claw,Shadow Ball,40,1.0,1.0,1.0110696434199151,1.0028893174493112,1.0239186593515934,1.0,1.0065311625513194,1.0133294743902201,1.0,1.0,1.2583887909490918,1.0,1.0,1.0,1.0,1.010149269822942,1.0056305509915944,1.0083605598102376,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0045892810089507,1.0049643550930436,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0272828505457334,1.0016910288582799,1.0,1.0,1.0,1.0,1.0094264252117409,1.005594013053178,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0014347989354484,1.0,1.0,1.016584726604697,1.0070430987279957,1.0,1.0,1.0,1.0243175597315175,1.0,1.0,1.0,1.0,1.0,1.0202734549458048,1.0032437702079264,1.0,1.0,1.0,1.0085786097385923,1.0,1.0,1.0,1.0135537453795314,1.0097461445963947,1.0163888902165654,1.0160395264866162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0101029557194756,0.9999999999999999,1.0
Mega Gengar,Hex,Shadow Ball,40,1.0377387109751708,1.055220104092494,1.028329832617051,1.0626329459979729,1.0636684508666903,1.067167495012538,1.0464497193569458,1.0520010607587789,1.0507446561375997,1.0656908211739822,1.2802385416654578,1.1003095195738293,1.0579632629694142,1.059436604238451,1.0468571901041206,1.058258878111382,1.0400139424911148,1.0468950969506157,1.0781628889488477,1.065187348942133,1.064078960889869,1.0690091253355885,1.0534943366472864,1.086030668356055,1.042122705190657,1.0593364399670386,1.0392238148228812,1.0875389809139284,1.0851984330887061,1.0901204082781697,1.0474870461949324,1.0463184854115857,1.0531921280267966,1.0657355661786247,1.0792001666428424,1.0835278420868422,1.0397266210438567,1.0766637007818924,1.0783211090773321,1.076784998067447,1.066586830820208,1.1084590220163344,1.1515251137135323,1.0887934147145666,1.11384316703216,1.1280873856904545,1.0945747877660823,1.1066089364021077,1.0483704922215051,1.059619521729624,1.040572576541242,1.0483872239019867,1.0391003377367363,1.0737827900582364,1.054113801108951,1.081485161394346,1.0206513112093014,1.0351544237676382,1.0428437957576737,1.0701495475079625,1.0294452319718983,1.015322736349159,1.083797259606411,1.0708261358792164,1.0280165635779765,1.0191196213227092,1.0645467940632272,1.0588255399253845,1.0499776721175176,1.0512739308345225,1.0463423521295943,1.0320985306814996,1.0475492182716366,1.0391015445512766,1.0413370370664554,1.0514627034687043,1.0566860614726792,1.0589565283105478,1.045901298861969,1.0593291002327172,1.0269916777566375,1.0419748070753467,1.0426407100165709,1.0264443545925335,1.0764563722975915,1.074875437057269,1.0315437530222809,1.0275194545350037,1.0420925650225568,1.0493182531742282,1.0386289009497964,1.0566757825288753,1.0412048943895045,1.0579771334978767,1.0079759492540201,1.0,1.0584109080349287,1.0542709555097474
Mega Gengar,Sucker Punch,Shadow Ball,40,1.066320073376977,1.0810874246864162,1.0750452041360683,1.0803353557141733,1.1036842518277825,1.0684052598870617,1.0623376104348705,1.071462640068796,1.0562630730402438,1.0617692212003598,1.2803444857591408,1.0686003388049954,1.0927343670698484,1.0884522162072738,1.085536209605592,1.0741481267657391,1.0702605314212987,1.075420243025921,1.0772944758136942,1.07288711464224,1.0841091625946433,1.083311162086829,1.0776207106050217,1.0966157525180515,1.081925309580253,1.0746519169400799,1.0805133485347649,1.0969594598495143,1.0929810327457667,1.075973264053665,1.061003260979768,1.0692445494051668,1.0953019996899824,1.0966082809491184,1.0978717651209846,1.06234947780497,1.1172252304379402,1.0847573260125778,1.1345579171259172,1.0767753036913834,1.0987163730775342,1.091537078762826,1.1469997488380927,1.0794949600228358,1.1186514673548174,1.0956536256858316,1.0870130025740168,1.0810084389479149,1.0720778897462904,1.0676729524916093,1.0679449496856945,1.0579553128512844,1.0540710529690906,1.064167077016788,1.062115263959676,1.0664481020382588,1.0386630462999689,1.034527891194389,1.0950041325832214,1.1263747423133834,1.0651341991764602,1.0798925120360292,1.1077291238994373,1.0742850819496352,1.0490440839940487,1.0572000012006255,1.067440410983658,1.0553505330496233,1.0640517532233038,1.057736327811112,1.0979232632874378,1.0815189146698483,1.07171996306436,1.0759280796112751,1.0767599586677878,1.0880155079730407,1.0539757298983974,1.0544841869058132,1.0756097909511886,1.0874846774451596,1.1020162761484598,1.1126115447302136,1.0974321303961692,1.0772194165814264,1.0780615471802333,1.064831156960024,1.0603470362314136,1.0834792480621447,1.0586691988528147,1.0645912426143556,1.0575092265943014,1.0711767494918294,1.0609260687491262,1.0714084793001104,1.0953792016956934,1.0969663295203822,1.1092196703504438,1.1106973636580704
Mega Gengar,Shadow Claw,Shadow Punch,40,1.194289704316961,1.2171385073459446,1.1373117668082797,1.2129167623962331,1.1612045243726603,1.2145726548208018,1.2287073955060832,1.2370567077898433,1.1760987613562437,1.2145730367895418,1.2561787208883786,1.1773855279724197,1.2095353463991783,1.2173953043425834,1.2186708806471036,1.2410497229883177,1.2205389921721106,1.2299225593934915,1.1932129021695663,1.2034221152515947,1.2056057988305262,1.2186578218714192,1.1911226304045317,1.2186997164011484,1.2021992606007783,1.2068832631670414,1.1420835396698574,1.2219956842456492,1.1842557578679724,1.2085824639861011,1.2200638022209989,1.2268292714942997,1.2204475737464224,1.222411861766844,1.1150205348462152,1.208041560954181,1.1011472312402415,1.2165600314959184,1.1010552037701844,1.2110426530267797,1.150045153763731,1.2101595211756808,1.1105196784220683,1.1926629742163897,1.1492988244915132,1.222886452048164,1.1539333967384282,1.1920127076061853,1.2147003049562626,1.2259016294453602,1.2200152173266325,1.202300951882693,1.198177658073618,1.2223691457506705,1.2134865183650667,1.2174415239341823,1.2164311582108462,1.2261691923607214,1.218764633811059,1.2322844715090993,1.2344399617431063,1.2313773085466124,1.2554223569831438,1.218097734125936,1.199625267549432,1.2142983694504839,1.2052652097072434,1.206819779315875,1.222116014807203,1.2162120954305615,1.2260933313378246,1.2232735670384682,1.234055115234097,1.229311320578572,1.2222978370434012,1.2200039940112994,1.2044847566203878,1.2088624740323626,1.2315285764510404,1.2322710189108868,1.223936054114583,1.2383318755446793,1.2311349668626823,1.2200450055428513,1.1982877390655258,1.208089072930086,1.2203573642442946,1.2276588474242005,1.2242849878989637,1.2294676392596935,1.207824287652646,1.2299441207904773,1.2132566193574212,1.2193701121185725,1.2172042582885314,1.2141142722388945,1.2241364802973427,1.2211928573819844
