Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Palkia, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3","Druddigon, Tier 3"
(Boss weights),,,,6.25,0.0,2.083333333333333,0.0,2.083333333333333,0.0,2.083333333333333,0.0,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,15.0,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Dragonite,Dragon Tail,Draco Meteor,40,1.0178270141664427,1.0407565191113,1.2189059159255906,1.0381482646063385,1.0910892931910787,1.0541452926217139,1.145322543630929,1.0457266191833088,1.0580399058553096,1.0465321531968121,1.0132396846239196,1.0396936241967376,1.0238104751321297,1.0569662584555535,1.0262212346514814,1.0504101373408947,1.1551977494290215,1.0989385330161712,1.101177064118498,1.0552763566255166,1.0287708218842166,1.052190478329509,1.050490400718609,1.045393293441577,1.0523060996656621,1.0472976505912361,1.1849679901093149,1.0700434629733437,1.134369766539324,1.0568490300719506,1.0754181885716974,1.044368799920309
Shadow Dragonite,Dragon Breath,Draco Meteor,40,1.041144114361567,1.0640314387651313,,1.057680199416428,1.1408952556496954,1.0916213897166,,1.0843946625075622,1.1395064904059462,1.1325938815004786,1.063155077577123,1.0909805168411664,1.053498340239341,1.0774211099682578,1.0576339520000202,1.1141239814015325,1.1857564758222237,1.1134023269676003,1.1623234055129061,1.1012823476697282,1.0691110312963437,1.089091789089146,1.1229387485721751,1.1154528154451135,1.095381324549179,1.0864123069719682,1.2390066506499577,1.1084820387118903,1.1644246020437021,1.0583383807247746,1.1327888273035491,1.1131332699901422
Shadow Dragonite,Dragon Tail,Dragon Claw,40,1.016421522403,1.0644126917355543,1.0818298902607026,1.0096501733184717,1.0,1.0496718559490696,1.0,1.051896741717412,1.0685489442526526,1.071324250295504,1.0195092990797112,1.054147746128339,1.0106502052181234,1.069799402548951,1.0420476101159972,1.0733531168943824,1.0672472665253785,1.0866509037986183,1.0318201273253802,1.0743349063620335,1.0,1.0645880999804167,1.017805844650558,1.058470918994084,1.0460536520852275,1.0655317875741654,1.0933658029933664,1.054875158628432,1.0511774140673245,1.0574986804120579,1.0824932277648875,1.079793923635535
Shadow Dragonite,Dragon Breath,Dragon Claw,40,1.0368571423390225,1.0954904077781897,1.1232512113730404,1.035345496825222,1.0452157258559993,1.0916165582324406,1.0438231882686555,1.0833062713923942,1.140911635827379,1.1617518200806867,1.0587951853930357,1.1113342646693565,1.0349588315142262,1.1027475991577178,1.0770270443798462,1.1173989855478894,1.0878604948855122,1.1056720662029875,1.071140210846954,1.1141067878499873,1.033555842844182,1.1060028328007157,1.0683107010018125,1.1248914046012553,1.0861435568675692,1.1078816525088748,1.136958021818449,1.0938645574374408,1.06839843805307,1.0763577284531187,1.1294561245110013,1.1387065533050942
Shadow Dragonite,Dragon Tail,Outrage,40,1.0,1.0305063845696474,1.1558437054074315,1.022962442641691,1.0444414175855492,1.0551725006646167,1.07022168521187,1.046353447809545,1.0327312312756438,1.0295584369244772,1.0133920542625163,1.0334004451821717,1.0,1.0285403082934257,1.0181722945357812,1.032004879534215,1.0641284579464936,1.0484700520058237,1.0156670704227713,1.0381380284643917,1.0239099307687216,1.033867166023851,1.0,1.0201484821539015,1.0345949280763345,1.0300993656213326,1.128134553151133,1.0277756371442726,1.054882790448105,1.029925726638897,1.052106041775747,1.0324725209735934
