Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dragon), Tier 5","Arceus (Dragon), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Palkia, Tier 5","Palkia, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Yveltal, Tier 5","Yveltal, Tier 5","Zamazenta (Hero), Tier 5","Zamazenta (Hero), Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Tier","Mega Mewtwo X, Mega Tier","Mega Sableye, Mega Tier","Mega Sableye, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Druddigon, Tier 3","Druddigon, Tier 3","Gallade, Tier 3","Gallade, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Medicham, Tier 3","Medicham, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Sableye, Tier 3","Sableye, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Zacian (Hero),Quick Attack,Play Rough,40,1.1322847385590638,1.2134224087325154,1.140009833961806,1.212272409400961,1.147928264460852,1.2136075500968946,1.1878093400839997,1.20332060456842,1.0809050042899395,1.147332542241183,1.0845750376349403,1.1782257406147567,1.154205203533326,1.18701836498712,1.0820214036517863,1.11069732305292,1.343060158584437,1.3829427616598668,1.2334510277580042,1.2713613556404646,1.18705930731535,1.223254289018916,1.1027077379359986,1.2152655612497307,1.1671843117729002,1.1737730650413292,1.2404008940169617,1.27269147184212,1.1508173634655874,1.1946850957598438,1.1726507660063992,1.1991779217034053,1.116545297222127,1.170642277594077,1.0942012736893265,1.140844865720469,1.1374610237494474,1.183090826072318,1.1024360142094243,1.1813305039972464,1.1647410699067562,1.2147742405178161,1.1017337374307703,1.1702223433383154,1.204560955415935,1.2324565147215738,1.1211275469783482,1.212166663527166,1.07837067492354,1.1862130969641107,1.2111746594082808,1.2131709692859924,1.1444202081606991,1.1766417415431456,1.270561611422423,1.3136224129483272,1.0399194776529388,1.1466664348467699,1.1323916323329666,1.2014491822083342,1.1690342656512251,1.2318530591070855,1.2289416994824134,1.2509099776782762,1.170216111508131,1.2319020183028448,1.2130812595694318,1.2219638571761315,1.2427969013181908,1.2715866032983865,1.2942529522386934,1.3004446864069126,1.2249014219440333,1.275356808870131,1.199358109526558,1.2533526044062633,1.2965795339495085,1.326679066401701,1.2575126748389953,1.2913103661798284,1.2392781132886392,1.2941735864965158,1.265403535124041,1.2748961503432037,1.3412120648683787,1.4024845447384595,1.162193931953071,1.1965112529972817,1.258101281441194,1.2687350491919067
Zacian (Hero),Fire Fang,Play Rough,40,1.159019763098877,1.242321221872787,1.3029201355274755,1.3975875868739476,1.1782467818077604,1.239773091486999,1.365492434332593,1.3860753776116344,1.127160155930379,1.2002509250322244,1.1406405588065762,1.2429860597439544,1.220360706686697,1.2631736646776106,1.132212820411387,1.165683915046426,1.3929654740341908,1.4379775034977424,1.3047068429557573,1.3495973320494146,1.3553172514025025,1.4139541256032067,1.3037702246165646,1.4619254018176737,1.4378265063441802,1.462155534950761,1.3398870481087728,1.3781960030730707,1.2058834675415737,1.2499455725986806,1.2061123286408943,1.230408240803383,1.3208464864466658,1.4051636440943003,1.1491968595557198,1.1938591855232317,1.3538287736960957,1.420423539767772,1.2579605724657104,1.3670442041015143,1.1928451597073326,1.2502274826813387,1.2674008429878416,1.3535598769372776,1.3773436030610375,1.419983278775964,1.2713667116217373,1.3947708870972804,1.1467267798726068,1.2756848936374687,1.2740570787910432,1.2838673366441202,1.172107066944699,1.2088635518322983,1.2343882979994958,1.2707813705635858,1.2115817488410274,1.3545315956923654,1.2149842667044723,1.2747814037020078,1.3892630997006332,1.4530428712086614,1.4694644676084816,1.4974087934417468,1.229648500674317,1.2905002045518323,1.2967982766696897,1.3292726354179185,1.3028686914273522,1.3317328372891024,1.3583376690740316,1.375744103045657,1.3249995272896171,1.3751754049001785,1.2459183415162922,1.2861642114069431,1.3685072177406186,1.3999191509514202,1.321942583560747,1.3334354743012231,1.4310014140712686,1.5019367357660318,1.3282630496990488,1.3661048309854185,1.271360716542728,1.344137041557385,1.3740267040657748,1.4084831656381192,1.3392067844695752,1.350788852944018
Zacian (Hero),Snarl,Play Rough,40,1.1853974833129193,1.2744206142337922,1.1101574085508676,1.1788817779045202,1.2035175792505142,1.2700799547490542,1.2384539522465554,1.2640193694218262,1.0636345036044994,1.1327716535091765,1.0654661416118387,1.1693960541777475,1.14685020827805,1.1796785753740289,1.135284556025572,1.1764115308766172,1.0663062125825442,1.0861210940577117,1.0,1.0119407993620768,1.0762162562261908,1.1013942404970816,1.0,1.0985533235989127,1.1694206424364888,1.1846527335287371,1.23159122324865,1.2666507981662205,1.202714429306165,1.2547213840153324,1.2214475713458428,1.2601967916717645,1.125848083668125,1.1794141211113884,1.1667055096371188,1.2125744199013284,1.2208937809560871,1.2828612511165232,1.0896087350092716,1.1682459085734518,1.1409322247216411,1.1847546837368745,1.1602295746515447,1.2291762342898045,1.064205941055288,1.080567178989342,1.0,1.0701205489730692,1.156717976001299,1.2906002255088413,1.199217082999556,1.203294466391274,1.1212028889123349,1.149758655723101,1.1502698218240242,1.1817226051143803,1.1008852334412988,1.2303547076636976,1.1785015321605508,1.2577536553788953,1.226753575624409,1.2981602824062548,1.2111244770366574,1.2273570518308181,1.1609464264902578,1.2137366826548264,1.2992958052899157,1.3069034007113582,1.3216389592556268,1.3321176186208739,1.3499829097448246,1.364361309689209,1.3261462633944747,1.3753616723135276,1.249539854345651,1.3038211635045662,1.3687078488846796,1.4060960693337556,1.2418856017877868,1.2582517710317112,1.2788434196955702,1.3428142775592646,1.3178032369319692,1.3347651424247324,1.1870758594407278,1.2510055657984713,1.248316819120554,1.287594037729516,1.3169044188135544,1.326174367235158
Zacian (Hero),Metal Claw,Play Rough,40,1.1914230173336335,1.2680122432423908,1.2002410835854567,1.2674433705862793,1.209868122479146,1.2663028489970458,1.3375981103224441,1.363479732808006,1.0,1.0443940554824278,1.0,1.0812858185416538,1.0661384942726901,1.0964032320876733,1.1435070981770403,1.1666148485006913,1.2724889320539767,1.3071104674253615,1.2036614571490138,1.2216532645187594,1.2390046303891926,1.2779132997896225,1.1499794665124055,1.2723444238794501,1.3187319468959988,1.3363783216076428,1.082978804970569,1.092567058928257,1.2113678878226684,1.2544719396231978,1.2327967823229238,1.256262626604555,1.266640990497017,1.3297852808163582,1.1438901500594634,1.1848279853181722,1.0592456443538747,1.0966198914740568,1.24211758428547,1.3394366045585258,1.2144606772307855,1.2710447889030052,1.2720426026240301,1.360361005239958,1.2613679101945372,1.2946844326230253,1.1586514257337257,1.2633606155932713,1.120735396087701,1.2413224734880568,1.2612280173395183,1.2730663349005003,1.1913810374525664,1.2327551196173892,1.2028550593612566,1.240223473067259,1.182711628605046,1.3197860008608693,1.195053230022592,1.2692349528919749,1.3213509956529643,1.4050999927477572,1.2784818962502071,1.302357489330347,1.2360090874692047,1.3016739884519721,1.269308412799329,1.2855312254138398,1.3226673190244316,1.3423097386961658,1.341600049328527,1.3870135722870334,1.292447223835886,1.3417215799624156,1.2704601058860787,1.308177507231842,1.3644535460008491,1.3787660070214531,1.350590923639104,1.382285756267936,1.4066462790941408,1.4775683369512385,1.328840454279993,1.3656619670230215,1.2774623793422677,1.3537288079842809,1.3084532021036477,1.3538142715111385,1.323013873819172,1.3386645388487792
Shadow Gardevoir,Charm,Dazzling Gleam,40,1.0,0.9999999999999999,1.0,1.0,1.0110649947650552,1.0,1.017643203111308,1.0155214595087383,1.0367337550305662,1.0,1.0098351244517985,1.0,1.0,1.0,1.0790707008569196,1.0,1.0,1.0,1.0485322059610775,1.0,0.9999999999999999,1.0,1.011865520848196,1.0,1.0,1.0,1.0139457429731924,1.0031108066423222,1.0,1.0,1.0244034679250005,1.0110338772213272,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0377158856757112,1.0,1.0171860152201166,1.012395569689957,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.005752829890918,1.0156478200172094,1.018680546667723,1.0172447234645787,1.027826430011037,1.0141490568739304,1.0172641320279163,1.0141869976704847,1.0215628456063441,1.0089405190945206,1.0245432778666839,1.029012944294102,1.0,1.0,1.016184914921338,1.0201585542987968,1.0210907748957234,1.0171063092116446,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999
Shadow Gardevoir,Charge Beam,Dazzling Gleam,40,1.1537386490468187,1.1597228147787022,1.1980843794119265,1.2084823217597542,1.1684028037950456,1.1531457225931132,1.0751287349723095,1.084802712264783,1.239841431361105,1.2032566260406643,1.199935409675211,1.214152019296184,1.1843020949450793,1.2069991124005786,1.213104302910077,1.1420626332314996,1.1958023330414962,1.1962117978255296,1.238302115053167,1.2047392276216764,1.1862841221190723,1.1903148375682697,1.2548331880316994,1.2200834810229726,1.1582531083118064,1.176736508131814,1.1595134804237361,1.1490371497076908,1.0641127872269347,1.0831212283803648,1.1663867876746699,1.172538274539881,1.2190463758581969,1.2478178444801304,1.1252479615345243,1.1513891714914632,1.2011588177163317,1.2112553003966224,1.2282513471940673,1.2420138088150796,1.1447974521942357,1.1466755715617079,1.066967635172449,1.0779230243127063,1.212738486048196,1.1984368284402152,1.250519775458948,1.1871341696962845,1.2004616708856044,1.1702302237337758,1.1457175319632658,1.1487178828895799,1.157844316914173,1.1615347052634861,1.1468387600877252,1.1608801153093526,1.0456756745744722,1.1012588118106919,1.1566933761171583,1.1620902484181956,1.0914465706509484,1.0737889571209511,1.1991920188113077,1.209766725251292,1.1432549208110214,1.137051644917939,1.1582889876789983,1.1377338575506035,1.1704785089020606,1.1684974913337522,1.1810716506962673,1.173722349806086,1.176353610081393,1.1958837493840462,1.1705581423200855,1.1645250402255367,1.2010192813285867,1.1821924274141131,1.1434348575263271,1.1395290418182553,1.0837517699912842,1.0942987134776538,1.1974379072041974,1.198959089576229,1.158115040847009,1.1733064997792726,1.0910109797479564,1.0984577634365948,1.1533723348760048,1.1553624259122908
Shadow Gardevoir,Confusion,Dazzling Gleam,40,1.3589955688615145,1.3809188853814978,1.1537483323835125,1.170196383817666,1.0,1.0007566896861175,1.0,1.0,1.1945578235057692,1.148293405418017,1.1784852193086364,1.148712375533428,1.1322062079184954,1.155901020286756,1.4647792717851296,1.3785049788035753,1.129998520138522,1.152281183715632,1.1805310562241471,1.1556194662374506,1.257160827939154,1.269877657980068,1.3776350973600051,1.301891082164912,1.1299259160211497,1.1508557190755966,1.0,1.0,1.3278432549071661,1.3623354909999246,1.0,1.0,1.12712224204658,1.1644766779932605,1.3308898052814409,1.3900093677248184,1.1181476421417045,1.1398937493809296,1.1329665000844797,1.1517379874782183,1.1383594510080546,1.144424359714255,1.3768894732902577,1.408188012998557,1.2813366684830814,1.290787501078429,1.3223104892632014,1.276862547955871,1.0,1.0,1.1372719484245633,1.1429526687525944,1.1376615647972192,1.1615746028206175,1.335667683511966,1.386309793628832,1.4263587057685372,1.390404633095295,1.3477271641908128,1.3821997006019908,1.3316208199796438,1.359410536398092,1.1343093512969002,1.1452267947760137,1.1331211821533143,1.1409968061030398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1293580607927156,1.136265774832285,1.0,1.0,1.0,1.0,1.3323382415507208,1.359815973755053,1.3530955276292933,1.3489213091160592,1.3521030364616735,1.3629344063488043
Shadow Gardevoir,Splash,Dazzling Gleam,40,1.4015580884889327,1.4317579901809894,1.4013949057942414,1.4348911081009772,,,,,1.5299627442661896,1.4946051919026664,1.4784641400113046,1.464499078483518,1.3964113414785777,1.4494457111193775,1.6481563496892837,1.5003374084502141,1.3730621346868894,1.4204271448630295,1.433011665397263,1.516421550830099,1.3752814321985998,1.4141521092584681,1.5374336856917379,1.4470042466227817,1.3822671729636364,1.437701779287494,,,1.3817220367151113,1.4298424569600066,,,1.4226958814949993,1.4640371282692803,1.3810671940351953,1.468380955904309,1.3827010567785725,1.432031603288854,1.4266853669134547,1.445132643449836,1.3811045556898054,1.4336494910954447,1.4295786077469068,1.4465927369310378,1.383247228524005,1.427912617476662,1.5037671346058714,1.42711751464577,,,1.3866231081871718,1.4215379604716454,1.3866916326733028,1.4699484530750613,1.3763257559803501,1.4316309538679963,1.4695544898598314,1.4925842144821502,1.3918219723604794,1.4553132877643884,1.3683900365228512,1.4049252202297067,1.3834318219383117,1.4015018398455792,1.3730683991667703,1.4269544535403402,,,,,,,,,,,,,1.3796557436265255,1.4074183577381991,,,,,1.410135639818196,1.4741907952253586,1.4308463602300625,1.452474489731052,1.395297943737439,1.4263142759810896
