Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Dragon), Tier 5","Arceus (Dragon), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Palkia, Tier 5","Palkia, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Yveltal, Tier 5","Yveltal, Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Tier","Mega Mewtwo X, Mega Tier","Mega Sableye, Mega Tier","Mega Sableye, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Druddigon, Tier 3","Druddigon, Tier 3","Gallade, Tier 3","Gallade, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Medicham, Tier 3","Medicham, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Sableye, Tier 3","Sableye, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,2.272727272727273,0.0,2.272727272727273,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,2.9166666666666665,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0,0.9375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Zacian (Hero),Quick Attack,Play Rough,40,1.1333277956572398,1.213921464917159,1.1385684659890087,1.212685929982587,1.1483491478552714,1.2126396102784933,1.1891482199178132,1.2029079007334755,1.0819279092017517,1.1495361641056798,1.0857378198639611,1.1776164060940697,1.1535348310658096,1.1861875489867977,1.08293928402884,1.1113300857241422,1.3417825241287797,1.3823565010415757,1.2337120311325092,1.2721117109465359,1.186171359675943,1.2237340949394842,1.1029133967435125,1.2152666377115884,1.1671971629046527,1.1734729583386054,1.2423170282091518,1.2732275635200863,1.1525385350185984,1.19382181591948,1.1154780441827736,1.1721308902843386,1.0929599965046475,1.1383240703399122,1.1379351189611944,1.1824219305997756,1.1008273295477469,1.1802815820895989,1.161999466399807,1.2129903364368932,1.098407577044,1.170938231969899,1.2025913187619164,1.2326582687416878,1.1219141940469743,1.2134589622795702,1.0794385709897314,1.1880346677952662,1.2103830753150797,1.212049515541722,1.1431731825454046,1.1751677367061257,1.2706190653973393,1.3133646721471144,1.0428039703274319,1.1485914609094334,1.133623136785,1.2003300788583375,1.1693875095368305,1.2308545654406826,1.2299836914968394,1.2508016002552031,1.1698140881667831,1.2319354023409244,1.212189506216071,1.2214626100645576,1.2428329006930812,1.272830627806666,1.2929824437873143,1.300294714235615,1.2252497753145595,1.2756159793653337,1.1996795653745715,1.2544350820950485,1.298210543988754,1.3260493522441859,1.257665677795277,1.2905387781537168,1.2378858393233825,1.294733327634127,1.2650137420812737,1.2743935963863144,1.3400701305737122,1.405625915008772,1.161365110654349,1.1998704788051822,1.25739112493203,1.269353643710303
Zacian (Hero),Fire Fang,Play Rough,40,1.1606812723397044,1.2430716005478224,1.3024955147373922,1.3966498442077062,1.1792440535724074,1.2390079680215835,1.3661961114650745,1.3851323216073357,1.1289930757623612,1.2034982932735767,1.1423872066831384,1.2433425855941271,1.2192560239333614,1.262642272922006,1.133283589753493,1.1673994348460182,1.3917822407504425,1.4378052273874344,1.3054704941887032,1.3506653603749772,1.3540104890119098,1.4133298683674616,1.3031306924535424,1.4623536695468966,1.4390519434639857,1.4614517269269132,1.3408673012519736,1.3798475135592037,1.209191625532574,1.2509361650823756,1.3200630506169493,1.4061028868507681,1.1489163682917294,1.1919820853456582,1.3556130058049602,1.4205045226521713,1.255831609821474,1.367259644041467,1.1893423316670586,1.2478121080951483,1.2635665961979976,1.3541023845806615,1.3753712420554067,1.4204419170994071,1.2717471010637722,1.3969317104571661,1.1483258662493327,1.2773529986177037,1.2745643874899584,1.2830327262673158,1.1719653578950178,1.2069509573849642,1.2339919030139592,1.2709356144610002,1.2141030902967722,1.3553084239873765,1.2149765974116122,1.2741431620458457,1.3894060327940865,1.4516594670059908,1.4698133341950563,1.4981029801814967,1.2286959797702504,1.29100782258677,1.2968833142234393,1.3284537304239223,1.3027502080824975,1.3331181988554244,1.3565494067012664,1.3755271669039437,1.3245321549830238,1.3758076258722611,1.2470327502676155,1.2862698679162636,1.3692192833169645,1.3994928463810323,1.3226356493407496,1.3328618046390137,1.4296791861232958,1.5025958089293996,1.3261441615405347,1.3653068557128234,1.2707681598609522,1.3456971015852952,1.3714669286656467,1.4136175218719993,1.3376513680166124,1.3514203450025473
Zacian (Hero),Snarl,Play Rough,40,1.1862446088623049,1.2766903036122705,1.1092061194014222,1.1789141706889517,1.2035700245995424,1.2708279460287808,1.2400668670756279,1.2635781562228552,1.0641605454328966,1.1355072205040666,1.0665499730071426,1.168242656627911,1.1454733113171602,1.1794211300293564,1.1360382491315935,1.1781054197450391,1.0654760260155482,1.0858974256265532,1.0,1.011937422620671,1.075441845286101,1.101440373589104,1.0,1.0988198441227375,1.1688155320499651,1.1832417943542421,1.2329010104541658,1.267072255012967,1.2046076112423865,1.2546841619667306,1.1241860014718983,1.1811464746295919,1.164588010966669,1.211536018420712,1.22177402748072,1.2831515830128004,1.0881470186314701,1.1670800471393807,1.1386152465487258,1.1817883876670963,1.156714789953963,1.2301697948964356,1.0623820997216549,1.0806763298964392,1.0,1.0727163688208623,1.1582613500773218,1.2907606026329326,1.200142615116022,1.202363302771995,1.1203868790980291,1.147569593533984,1.1503972029885383,1.1814667392113627,1.1041146133690127,1.2302861202858737,1.1792250667853421,1.2583124290294632,1.2270500310538117,1.29619721551499,1.2114428118812233,1.2276623408591392,1.1598539044766303,1.2137901883372115,1.2976521294355745,1.3066688611078114,1.3211747253739388,1.3336522000989544,1.349764791144394,1.36363519143447,1.3259028609946077,1.37590570595586,1.2510151330976091,1.3036865454134117,1.3692111143271972,1.4048696408237846,1.2426560526576944,1.2573490993107803,1.2771356019481641,1.342008781713895,1.3173049157557106,1.3333592876304645,1.187604251685988,1.2543898649078835,1.2491649405668876,1.2911808304552261,1.3163056431079325,1.3264118069748863
Zacian (Hero),Metal Claw,Play Rough,40,1.1922481066270634,1.2685850781238979,1.199137933840597,1.2676295427097704,1.209965197523131,1.2654737951615997,1.3383534167181863,1.3632811434892864,1.0,1.047121857943008,1.0,1.0807867362458834,1.0656698665116617,1.0954354388072458,1.144921745301065,1.1677688171198857,1.271618579133932,1.3074498704444728,1.2041909718343022,1.2233811513421045,1.23818057229602,1.2783322532702628,1.1493349496585,1.2724385031970624,1.318868479020725,1.3358329069495134,1.084017173318831,1.0927567367698399,1.2139941685488398,1.2546765924691565,1.2650850645354268,1.3313332304153025,1.143593456794559,1.183240254859955,1.0606230384875275,1.0963201088161139,1.2401123045590177,1.3379593404990833,1.210795684356063,1.2687853593065679,1.2675539070625326,1.3590054970712755,1.2596261561908835,1.2951952039789156,1.1580933028180445,1.2643915848816536,1.1218731282153684,1.2420050045115685,1.2624763449550862,1.2724832798476362,1.1924723986924561,1.232164177817988,1.20363289607107,1.240902393091143,1.1840002877551514,1.3200835341411417,1.1944301388653444,1.2687250044170848,1.3219912481845868,1.4037256959459028,1.2782535700976583,1.3026192319463687,1.2373953568239322,1.3028060713134053,1.269393590623215,1.2849170425632959,1.3220844231715922,1.3431332054597134,1.3405678325636845,1.3865997987324252,1.292832035150789,1.3427782312712064,1.2705595024875926,1.3074944674291327,1.365551815360899,1.3777043071338653,1.34978444478026,1.3812775051334643,1.405878976909379,1.477330913638851,1.327604720434534,1.3658326156175657,1.2789157345695974,1.3560849221820765,1.3060108050951045,1.357422023396423,1.3224466780839266,1.3389310193594854
Shadow Gardevoir,Charm,Dazzling Gleam,40,1.0,0.9999999999999999,1.0,1.0,1.011495486530161,1.0,1.0185530690849869,1.0152837883633334,1.0364441578704207,1.0,1.011189690007359,1.0,1.0,1.0,1.0818439255951853,1.0,1.0,1.0,1.050097992844973,1.0,1.0,1.0,1.0155916385925619,1.0,1.0,1.0,1.0161699283236085,1.0048897102505958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0376344419957946,1.0,1.0196871460705856,1.013555844458815,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.004932575696376,1.015925146384835,1.0179835998700433,1.0175874133128133,1.0271474080536445,1.0148623554540326,1.0171305172758138,1.0145527374015453,1.0227547459863788,1.0084235572595512,1.0251100449717185,1.0290058175004912,1.0,1.0,1.0150819338871953,1.0205108956930828,1.020849869242912,1.0164314183299485,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999
