Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Bug), Tier 5","Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Virizion, Tier 5","Virizion, Tier 5","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Heracross, Mega Tier","Mega Heracross, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Tier","Mega Mewtwo X, Mega Tier","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Breloom, Tier 3","Breloom, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Gallade, Tier 3","Gallade, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Heracross, Tier 3","Heracross, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Medicham, Tier 3","Medicham, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Parasect, Tier 3","Parasect, Tier 3","Pinsir, Tier 3","Pinsir, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3"
(Boss weights),,,,4.166666666666666,0.0,4.166666666666666,0.0,4.166666666666666,0.0,12.5,0.0,12.5,0.0,12.5,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Moltres,Fire Spin,Sky Attack,40,1.0,1.0,1.1391755259625633,1.1555856803615776,1.0,1.0,1.4388348886242361,1.337745662390689,0.9999999999999999,0.9999999999999999,1.1402355096885113,1.1471182196645586,1.0,1.0,0.9999999999999999,1.0,1.2485963909506257,1.281307551101532,1.1331058699202614,1.1516393564588592,1.15444497197601,1.1601326549050377,1.154476389996028,1.158124969870118,1.122374650454988,1.1401707642687808,1.1672421325759974,1.1701574066858518,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.3179081397258345,1.341148884693702,1.1457452362386629,1.1517183024903825,1.310216532877739,1.334055563582475,1.1463587145042824,1.1553965627000669,1.0,1.0,1.153749462908254,1.1367554275236602,1.1459713776298641,1.1523284582132185,1.1502543733503232,1.1635242509668997,1.1835537624698074,1.1523072150518645,1.1242551573744326,1.1292095952970012,1.125804145145226,1.133003738970259,1.1626691376777425,1.154752498323561,1.1455752483100234,1.14926963156504,1.1426239191317318,1.1458244847620034,1.0,1.0,1.33068353556875,1.351322520020064,1.0,1.0,1.0,1.0,1.2985472854441484,1.3072999221922312,1.1743869930149746,1.1643874525051083,1.0,1.0,1.0,1.0,1.0,1.0
Shadow Moltres,Wing Attack,Sky Attack,40,1.0303453314148407,1.0227581348556565,1.0,1.0,1.0332370488119422,1.0207432516853094,1.0273601177850065,1.0,1.034891793745912,1.0389833787896396,1.0,0.9999999999999999,1.0297204986567892,1.0361350169106032,1.0284553653861903,1.0259120018667842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0250324783678675,1.029910138727024,1.0349603879767,1.0384446547548758,1.0296098503414248,1.0417144384279533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0352217422314323,1.036609175885408,1.0,1.0,1.0,1.0,1.0,1.0,1.0149634733337451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0251291110591358,1.0247977741134844,1.0,1.0,1.0378196254039334,1.0201704299862953,1.0266767593544046,1.038152258041291,1.0,1.0,1.0,1.0,1.040029493426099,1.0424650752854767,1.0132169541018534,1.0162461894834096,1.0357935971602241,1.0424815549046338
Shadow Ho-Oh,Incinerate,Brave Bird,40,1.0663977651616883,1.101451940090331,1.2868796610508362,1.334746092035864,1.0703085274725623,1.0988932767681923,,,1.034347852369681,1.0753542871261526,1.2195157665435647,1.26310727641512,1.065609763839207,1.1045948208162601,1.0386774352058228,1.0805038272362792,,,1.281835767124604,1.3353509393142868,1.2798975869161167,1.3121574381021464,1.2281172294800258,1.320997039025492,1.28195578352156,1.3097079854958407,1.261199853391962,1.320304349018708,1.0834936653658676,1.103791825759373,1.0767997824872768,1.086960770221846,1.0882905148116155,1.0905710261817732,,,1.2780028401270418,1.3291649993549843,,,1.2801099640880529,1.3073905285448257,1.0787699530937627,1.077649228255893,1.2827534907099511,1.3116423821877652,1.262274857652169,1.2872511150506571,1.2759172840629835,1.3313880483855403,1.2116379105203834,1.259474639652792,1.2670737410946518,1.296211103298499,1.268345120581548,1.282278615397716,1.3112804497343924,1.3193661965901349,1.2873802778046601,1.2798119347505568,1.293589714115034,1.3345850963577066,1.0517277611220968,1.065154769029373,,,1.0472573184384155,1.0641296929152946,1.0597613109762705,1.0739474308150747,,,1.299793073036569,1.322390826916044,1.0863505169800656,1.1057226372307918,1.0415571917349962,1.066737242635254,1.0514474064509556,1.0857889931595572
Shadow Ho-Oh,Hidden Power Flying,Brave Bird,40,1.1391175964678255,1.1081074076604647,1.1021834985052188,1.0802211554918353,1.1414280415511677,1.103241212403514,1.0681348775684092,1.096816415648336,1.1036145317999209,1.1273201251132023,1.0631180682067103,1.0782015857634586,1.1350140861597828,1.1581643505821344,1.1086836923533767,1.1384869042093575,1.1311952760175745,1.1013654328388727,1.1249176674032089,1.1392886837331346,1.097933880558705,1.0957187733680325,1.0524219172126943,1.0928236837364607,1.1053767979359463,1.1090647376070069,1.0792320312980987,1.1116356077064162,1.1594767965884605,1.1760548905126842,1.1160295243059613,1.1356863624397107,1.143307727964391,1.1655396161682599,1.1236922012214672,1.1329161375186476,1.0638993416289622,1.0986586239753613,1.1163960180171881,1.112466306836096,1.094212367034868,1.1013887521240933,1.1596342293572057,1.1468785835476931,1.133847013218753,1.1182302635191643,1.0593195106450395,1.0694837745631882,1.0966658050423228,1.1082170063159258,1.0495815536566424,1.089833244645765,1.0854648871442325,1.0855852285083363,1.090527573213449,1.102065707650101,1.1351974751256937,1.1110371827606498,1.0989298502631324,1.0801970655551585,1.0800837755294244,1.084757493798579,1.1464071274502161,1.170625266764237,1.091058982697902,1.0785859704240386,1.1006968217294302,1.1148172889227157,1.1399917266463084,1.1475787836412805,1.1046259464303345,1.1145655283272011,1.1221104188991642,1.1241217861902486,1.1294583845771302,1.1438589887607409,1.1193339385201948,1.1313197656064855,1.1147121417197012,1.1297149710974723
Shadow Ho-Oh,Hidden Power Fire,Brave Bird,40,1.1391175964678255,1.1081074076604647,1.3578143090015478,1.3164806773428264,1.1414280415511677,1.103241212403514,,,1.1036145317999209,1.1273201251132023,1.2775415653124569,1.305704987534089,1.1350140861597828,1.1581643505821344,1.1086836923533767,1.1384869042093575,,,1.3285040830050918,1.3517726315401437,1.305985716011398,1.3089376825915597,1.269055360041586,1.3096684571216892,1.3105278477296958,1.3205672145157474,1.2982414426896636,1.3432196390461928,1.1594767965884605,1.1760548905126842,1.1160295243059613,1.1356863624397107,1.143307727964391,1.1655396161682599,,,1.2669054560271449,1.3086779039440852,,,1.2911045822739133,1.2972886975914912,1.1596342293572057,1.1468785835476931,1.3300500576336494,1.3313212583358778,1.2895726848961095,1.2958637476140762,1.297364230454173,1.3056607602893786,1.2516114270984617,1.2832386768956512,1.2870893627526492,1.301976969617218,1.2891491597710414,1.2952531026916188,1.3465820490407736,1.3025638149857985,1.3248176538443144,1.3003227482478616,1.27333817999096,1.3313004247928393,1.1464071274502161,1.170625266764237,,,1.1006968217294302,1.1148172889227157,1.1399917266463084,1.1475787836412805,,,1.31867128863368,1.3056248549424232,1.1294583845771302,1.1438589887607409,1.1193339385201948,1.1313197656064855,1.1147121417197012,1.1297149710974723
