Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
(Boss weights),,,,6.25,0.0,6.25,0.0,12.5,0.0,12.5,0.0,12.5,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0,1.1538461538461537,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Blastoise,Water Gun,Hydro Cannon,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0120644232197151,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999
Mega Blastoise,Bite,Hydro Cannon,40,1.2115782469524672,1.2309825054414092,1.212526313358445,1.2303559636332977,1.2861316966270666,1.2905652657635929,1.2631681511813344,1.278417689256567,1.3872912934116852,1.4170287448552366,1.2506585903087806,1.2651312109916344,1.0756495364756649,1.0732270138539952,1.240864608886544,1.2747792366951776,1.3140786541268883,1.3691129256277057,1.067674674438139,1.0709227623308102,1.3381173083720208,1.35007704891406,1.2567247295999753,1.2570432444794926,1.2991222060121763,1.3226264990091252,1.417561184330098,1.424563942904537,1.28138244147116,1.2877568249200315,1.390111951392124,1.3812950827948667,1.255686917296812,1.27942582866619,1.2557211115639957,1.2413947033854178
Mega Blastoise,Water Gun,Hydro Pump,40,1.2716273313358515,1.236127727033302,1.2771717620079683,1.23307213727779,1.273702628244805,1.222230795473629,1.2297541170347217,1.2064714018105493,1.2723299689517844,1.2359800855780398,1.2282895095965591,1.2068148079345022,1.2294709084550888,1.2112616442642359,1.2155124868102563,1.2168479071009994,1.2309055336585217,1.2226844666324619,1.2333269205400867,1.2162010545946214,1.2296814531620126,1.2241735338289688,1.2113531946687626,1.200995163742295,1.195252764780374,1.209246867163582,1.2317144328349958,1.1952855039543064,1.2247652205677146,1.2126101560412785,1.2362409818949407,1.2192721197246092,1.223760589633383,1.2211712077706898,1.2349982903051173,1.1988748806007372
Mega Blastoise,Bite,Hydro Pump,40,1.6030426890591112,1.5657229756402449,1.6090661688204935,1.565623348759314,1.856465661833265,1.6592927710193364,1.6368500959658214,1.6123411269919299,1.9709644743744987,1.9210360172755647,1.5967207696697279,1.5961887588684123,1.3098053016953577,1.287230258425061,1.5896498235014291,1.6057516994793697,1.7637340044045429,1.739501387972917,1.3151924589605162,1.2905803137028822,1.7371880344943698,1.7780268967667012,1.600115525336396,1.5844779623386405,1.6377332669723053,1.6457907189956111,1.8441430548148834,1.8422777800471353,1.6389623684099341,1.6086766376163322,1.8589440989130357,1.8495401530594644,1.589224147323655,1.6202516654287622,1.6041030836329964,1.591052014323026
Mega Gyarados,Waterfall,Hydro Pump,40,1.0173869398345952,1.032779339926082,1.0145823398643556,1.0314352149818273,1.0427984542740343,1.088804462378917,1.0529881209300447,1.040139617092261,1.0872660523013402,1.071204774541514,1.0692862602864854,1.060407448631173,1.045114470183923,1.0290157758492144,1.0927026289165933,1.069574896393672,1.0344942068655247,1.038094582545278,1.060621671604067,1.0280152376341534,1.0233186165811314,1.0,1.0981583585453236,1.0745768495332588,1.046430077174062,1.0389521256450414,1.0684401581940008,1.0398354873485276,1.0551276714704079,1.039268135720723,1.0755756824734848,1.0596466860280258,1.0427073421509636,1.0339446580670835,1.0662178864612262,1.0390254203112612
Mega Gyarados,Waterfall,Aqua Tail,40,1.063892298263202,1.0697333988503541,1.0630750040945751,1.0686031099489983,1.0650503575966055,1.1265488177858043,1.0875987073224915,1.0753826729874454,1.1141696114628734,1.108058095277158,1.1197976526198574,1.1004560461857726,1.0912058960229651,1.0702185969617606,1.1351601050442908,1.1077583651801137,1.0818368958477471,1.0761469085392528,1.09933650392191,1.0697632974953775,1.0715074772887079,1.0602860007280956,1.1408040103605073,1.1159766912735234,1.1005370212563839,1.088961179171375,1.097707160683434,1.0740720744080972,1.098351868942234,1.0813004905364902,1.104906077587481,1.093649619051431,1.0936853276444198,1.0770718197940476,1.1105923306569847,1.0820573817579096
Mega Gyarados,Dragon Tail,Aqua Tail,40,1.2773191646356266,1.3113600133589607,1.277515401630244,1.307864972304979,1.301359773969714,1.3954243293870434,1.3570218388234805,1.36859746563335,1.3549872364668605,1.3665057532347642,1.3942940244626976,1.3765989012814712,,,1.390891209253767,1.3722307678436367,1.503733102914831,1.5093656157838953,1.3685867492999273,1.344792560823928,1.5028078479147087,1.5445934058643185,1.3787389195442097,1.3733645576738238,1.4022209919271247,1.3996681288778126,1.576465455794398,1.5474580726285259,1.3600223492096213,1.358896859957286,1.5143961489156412,1.5056227459555203,1.352830967528962,1.3495842852085695,1.3536381678145681,1.329399741946455
Mega Gyarados,Dragon Breath,Aqua Tail,40,1.294611351068601,1.3371688709083205,1.2941651431697079,1.3330331315579402,1.309119659933244,1.4029977753894332,1.3334540361449412,1.3438020767687902,1.4259387328412692,1.4511348593116633,1.428871669112514,,,,1.4710233141939175,,,,,,,,1.4831931019983209,,,,1.6092546126552079,1.609524080155295,1.4274153715044546,,,,1.3968976896567658,,1.3917337287900806,1.3854870037118374
Mega Gyarados,Bite,Aqua Tail,40,1.294611351068601,1.3371688709083205,1.2941651431697079,1.3330331315579402,1.2346242264106422,1.3166261927575011,1.3334540361449412,1.3438020767687902,,,1.3678801758923587,1.3652417655296125,1.1269080966978953,1.1136888831976184,1.3932793840340199,1.401042876027978,1.4825733959330059,1.522456502388661,1.122269615335438,1.1006540652536394,1.5095542188973092,1.5347398890894584,1.392667311729939,1.4026966937087069,1.3397627601761308,1.3453259633530918,1.6092546126552079,,1.3665777194901363,1.3732016715608717,1.4929416215184403,1.5103025735909754,1.3296262616880636,1.3405728965842167,1.3255453880654553,1.3122649316968933
Mega Gyarados,Dragon Tail,Hydro Pump,40,1.294650109806111,1.314704567116591,1.2950781594675962,1.3116974217472293,1.3565897178759563,1.3998368191554864,1.4135102940483475,1.3694442480418507,1.3817953303395947,1.3998802808822124,1.398283329927094,1.3743796517727307,1.3275895677726288,1.3073460258216012,1.3851904732272144,1.3802418904806806,,,1.36776916038745,1.3449484726533198,,,1.3725660248087315,1.3656696774428512,1.384117608153111,1.3879592993561314,,1.5856089703173921,1.3405290487622392,1.3310298707326402,,,1.3280743646992694,1.3512741897372897,1.3375130988400001,1.307983029069551
Mega Gyarados,Bite,Hydro Pump,40,1.3015390003056506,1.3380592494940393,1.3002811954190039,1.3370703413912568,1.2571973195442414,1.2955331712068583,1.3623390929360863,1.3340805326401082,,,1.3444366114396358,1.3268782983443286,1.0686707198184278,1.0558351581734684,1.391746884168569,1.395225339716591,1.5282220496729337,1.5133492305347367,1.0687320252473753,1.0533123380563416,1.4851159087487646,1.558491844132854,1.37288099914562,1.3857269178393348,1.301227823725157,1.3094642114760517,,,1.3334172028664435,1.361016450009111,1.533878143147211,1.5271578790281086,1.3159178975293933,1.3032045740541947,1.3080481144496907,1.2908149914475944
Shadow Swampert,Water Gun,Hydro Cannon,40,1.0404805181879686,1.0367137744197168,1.0384238290011794,1.035051339347668,1.0736310032691276,1.0985986352496357,1.0106893913920942,1.0135255324458792,1.0429063681286712,1.0731784593564295,1.040260444097838,1.0530117517019273,1.0135890731650492,1.0093430436586472,1.0631262312197798,1.0632084413178757,1.0080885739155654,1.0075186104727172,1.0178791941230214,1.0016415493081114,1.000134322928692,1.0081163196198808,1.073319209580617,1.0621452796105446,1.020228281595821,1.0265026615696367,1.0499537666882677,1.0270260382163794,1.0243879213473033,1.0166465521080446,1.0450137960652968,1.0289681494781546,1.0103304223706098,1.0389918338507458,1.0171193459070946,1.0071531561589648
Shadow Swampert,Mud Shot,Hydro Cannon,40,1.130979076645779,1.1383013456501132,1.0398252357157174,1.0381302949893754,1.172725807971107,1.199364514628231,1.0098305353783839,1.0139511244459933,1.0389199774314777,1.0691172825305792,1.0388790075864434,1.0362802142627001,1.1034999592524144,1.107185673330977,1.1406323317955853,1.1349168381805723,1.0902747332419653,1.117935059440413,1.1003383691495436,1.1045289280942288,1.126445227691217,1.1405361955776947,1.142508963145194,1.1527898815960071,1.026007206930216,1.0294915785494567,1.1538507398301285,1.1407852668557534,1.1392719151942605,1.1220195436243177,1.123415825079804,1.1046813213720905,1.0081725998389328,1.030464290215694,1.0145728899918343,1.0041225369495952
Shadow Swampert,Water Gun,Surf,40,1.2705673218499047,1.2356219086781477,1.2754743182813852,1.2355811503135032,1.3169288513502209,1.3122160893580064,1.2177279006674913,1.2025759581985724,1.2863556126000981,1.290252338005643,1.2774153667532293,1.2573717523950725,1.2308537429416844,1.2041924432480378,1.3057871752756258,1.2785244723845612,1.2294150139709645,1.2090072553010964,1.2530124954881017,1.206575274836404,1.2209601598394995,1.2122042064456944,1.3002485482818913,1.270542843394477,1.2124909313262953,1.2125698753788365,1.2411173966506535,1.2095393539197627,1.2387116692392761,1.2042939349212372,1.2907158193885322,1.2432111135506465,1.2157116259906156,1.217494962011601,1.2317296206134132,1.206522890331129
Shadow Swampert,Splash,Hydro Cannon,40,1.3865704112350665,1.4180206026786975,1.404105226143972,1.4203975214391809,1.4697485950146902,1.487658097527717,1.3691178195261482,1.38951264179064,1.377719633404492,1.418815669143351,1.3972595019637264,1.395692536072916,1.349156665893989,1.3561293433954613,1.406733558552569,1.3932959083620364,1.3247583305941373,1.3328108289991554,1.3481603362713386,1.3205739912313532,1.3187220648041007,1.3255888425796296,1.4209480287421754,1.4153396706985348,1.4227477960026589,1.4462395399543395,1.400415831239822,1.4037124127752605,1.3750809723080863,1.3612801836998185,1.3776108343390283,1.345879759641126,1.3709519538923534,1.3928565788993916,1.361800277263574,1.3503207012844078
