Attacker,Fast Move,Charged Move,Level,"Tapu Koko, Tier 5","Tapu Koko, Tier 5","Arceus (Electric), Tier 5","Arceus (Electric), Tier 5","Arceus (Fire), Tier 5","Arceus (Fire), Tier 5","Arceus (Poison), Tier 5","Arceus (Poison), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Zacian (Crowned Sword), Tier 5","Zacian (Crowned Sword), Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Dialga, Tier 5","Dialga, Tier 5","Entei, Tier 5","Entei, Tier 5","Heatran, Tier 5","Heatran, Tier 5","Raikou, Tier 5","Raikou, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Reshiram, Tier 5","Reshiram, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Mega Aggron, Mega Tier","Mega Aggron, Mega Tier","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Charizard X, Mega Tier","Mega Charizard X, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Houndoom, Mega Tier","Mega Houndoom, Mega Tier","Mega Lucario, Mega Tier","Mega Lucario, Mega Tier","Mega Manectric, Mega Tier","Mega Manectric, Mega Tier","Mega Mawile, Mega Tier","Mega Mawile, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Steelix, Mega Tier","Mega Steelix, Mega Tier","Graveler (Alola), Tier 3","Graveler (Alola), Tier 3","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Raichu, Tier 3","Raichu, Tier 3","Aggron, Tier 3","Aggron, Tier 3","Ampharos, Tier 3","Ampharos, Tier 3","Arcanine, Tier 3","Arcanine, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Drapion, Tier 3","Drapion, Tier 3","Electabuzz, Tier 3","Electabuzz, Tier 3","Excadrill, Tier 3","Excadrill, Tier 3","Flaaffy, Tier 3","Flaaffy, Tier 3","Flareon, Tier 3","Flareon, Tier 3","Garbodor, Tier 3","Garbodor, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Jolteon, Tier 3","Jolteon, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Magcargo, Tier 3","Magcargo, Tier 3","Magmar, Tier 3","Magmar, Tier 3","Magneton, Tier 3","Magneton, Tier 3","Manectric, Tier 3","Manectric, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Mawile, Tier 3","Mawile, Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Nidorino, Tier 3","Nidorino, Tier 3","Ninetales, Tier 3","Ninetales, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Seviper, Tier 3","Seviper, Tier 3","Skuntank, Tier 3","Skuntank, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Stunfisk (Galarian), Tier 3","Stunfisk (Galarian), Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Typhlosion, Tier 3","Typhlosion, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
(Boss weights),,,,3.5714285714285716,0.0,0.7142857142857144,0.0,0.7142857142857144,0.0,0.7142857142857144,0.0,0.7142857142857144,0.0,0.7142857142857144,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0,0.375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Excadrill,Mud-Slap,Drill Run,40,1.0,1.0207566320042207,1.0,1.0210193463854593,1.0,1.0190045915476742,1.0,1.0168067535716951,1.0167605483421724,1.033456407834276,1.0,1.0173533197082631,1.0855780605650005,1.0610069296874056,1.0361214563845096,1.084929249497228,1.0238348806887358,1.0240694884469654,1.0,1.0173110057116148,1.170868703399498,1.0812425693346195,1.1020640665851429,1.0487792338573674,1.0224580978312439,1.048702602561211,1.0310044487980583,1.0555499558151384,1.0437705481399202,1.054606412262759,1.1041514008376982,1.100237592619088,1.1529354706048625,1.0459553023784403,1.071599430189652,1.0790280764089542,1.0123221777127718,1.0170792446541042,1.1554653353293842,1.1025144443505974,1.116596538209903,1.097182253289064,1.2278239652292782,1.1246276865334814,1.0847572610365912,1.051567205436907,1.1251153982127875,1.0616486687157467,1.2257610934104783,1.1370362508760232,1.1373431784586514,1.0480708207062066,1.0,1.0103523931808325,1.0783663967745964,1.0660471728570833,1.0841807871734597,1.0233235525972633,1.0533054552095085,1.0415441380528543,1.0934960548359018,1.079987326021715,1.0213468335140095,1.0477049320103071,1.0342167950580587,1.063812910332596,1.008152185283746,1.0363265323825943,1.0358368082130456,1.0548285960443975,1.0871795615102167,1.053120610293086,1.104831497219106,1.1107363002627502,1.0172235573689221,1.0517430322900572,1.076154895618432,1.0606540563867048,1.0420743607914553,1.057273083407808,1.0455923254900863,1.0503291025389576,1.088036120992157,1.040071240991915,1.0435875890916406,1.054668413488052,1.1260254475343998,1.1090961481144654,1.0371837883245847,1.0450752189556265,1.0596558394046565,1.0410311396319987,1.002803130270577,1.056386958044907,1.046603658172801,1.0624932635054751,1.0840894426443912,1.0616195659225567,1.0662118995445498,1.044222537989564,1.1379686923271977,1.0785056435668345,1.0120174583261405,1.055170693944405,1.0680282769529632,1.0430868021213653,1.06111069107423,1.0563645289162285,1.0323311855453885,1.048708387642557,1.0594030025721108,1.0429111067162644,1.024127127116826,1.0552875406397935,1.095082565949967,1.0479869307542713,1.1140183930212422,1.0569103906229012,1.0457518117751987,1.0392987959299813,1.099319833827434,1.047232452886717,1.0693637898445318,1.0744628942781804,1.030679479005684,1.0565320414498647,1.045395324421937,1.0565068037548424,1.0623995601019884,1.0610378110508991,1.0471548170725933,1.0543033923598124,1.051524340095115,1.0522112249646929,1.1273396364785555,1.0986984982786794,1.0462863570346757,1.0644847003995697
Excadrill,Mud-Slap,Earthquake,40,1.0078656784887412,1.0095637538740028,1.013542084532126,1.006915118383936,1.0113691906941003,1.0034636948097788,1.0139430507603122,1.0019650811367442,1.0301700601258068,1.0168507934597106,1.02391950037833,1.0,1.1662233499830044,1.0791705112296044,1.0607529959006086,1.073131458544322,1.0272707387917717,1.0133219696797857,1.0099611472646417,1.011696923898727,1.2540890593687222,1.0990396851682902,1.169042577294951,1.0599557766417833,1.0261457901941549,1.0416693339989118,1.0491978032585378,1.0428088873730283,1.0458818197373954,1.0369139599089177,1.1944869900185122,1.1111874712025793,1.2209783140076793,1.0547573034827344,1.0829623825050692,1.0691465529461484,1.005312303411667,1.0047747230012158,1.195209573403816,1.0910052406831838,1.3051369295726754,1.1229680955536532,1.4032030256459227,1.1459049398264771,1.136512931020597,1.07140617675496,1.218918515282931,1.1047646137621079,1.3392197835327526,1.2095019627580437,1.1987662380286639,1.0422971456113168,1.0005553953296298,1.0031684771628775,1.1722916452676764,1.071656781287296,1.137475004916948,1.0135118887425498,1.0186451360779905,0.9999999999999999,1.0792858242105217,1.0562332029046513,1.01205259021266,1.0353161372825888,1.03061099252698,1.0446704211450817,1.0007151892807318,1.0267282349853073,1.0198874206873867,1.0373041797357236,1.0850469474599371,1.0548947679029097,1.0950151688504235,1.1206573973167235,1.0445390455414054,1.050602440090146,1.0841607319550923,1.0599917179870701,1.0387614393264457,1.0399585268736218,1.0263773856545115,1.0340260762441498,1.096282012189732,1.0485983888004187,1.05898237769255,1.0664019924304406,1.090380166493161,1.1067068776347087,1.0145775704459998,1.031159163781715,1.0452050516792974,1.0372003691652478,1.0329659917224145,1.0628500917844355,1.0283707751274416,1.0457102632445778,1.0882142022749657,1.0611601862132443,1.0685498209442272,1.0387693968404914,1.1470290455744954,1.0883082836776807,1.0,1.0185303439398117,1.103546082045889,1.0380301054694852,1.0821549862208748,1.0567195204106616,1.0281962115457268,1.0423595671818235,1.0427293062002196,1.0320715264616702,1.0150765354385558,1.0388901088454325,1.119232959979221,1.0636760464728892,1.1166468571508985,1.0574704329813762,1.0484330106166229,1.0513540849791432,1.094222891770202,1.0415920164248755,1.035274278122391,1.030027738724678,1.0,1.0296567800030823,1.0445572631303026,1.0431253310083504,1.0471770616091582,1.039800497536384,1.0289136197520237,1.0319433500452668,1.04426007449148,1.041406566856182,1.1034663051034068,1.1143258266826879,1.0182617718360503,1.0362532723786197
Excadrill,Mud Shot,Drill Run,40,1.067920180211727,1.092468614804919,1.0754609725453337,1.0940697651130573,1.0768286862935899,1.0912116020274918,1.0748164920802323,1.0874805308564377,1.094718276613299,1.1063471863291183,1.0693434371953123,1.08530149104412,1.152457527013688,1.12396552764648,1.1001271093834268,1.1342022460813699,1.1186066754675774,1.1326047956400755,1.0549743110890293,1.0654586832654425,1.2279380112247638,1.1253224188818924,1.1633066764210303,1.087938885262771,1.1084136747903404,1.1423018821681181,1.0846485962994805,1.108306156726229,1.1443321658805115,1.1562721939943914,1.1427441566313115,1.1590990249027695,1.2112076095611897,1.1234152015857022,1.1314818438971814,1.1349834996615145,1.0442435575044855,1.0442410115456322,1.2259534366218032,1.186489631841474,1.2017592507121952,1.1225478825513204,1.313947309236569,1.1678767811401944,1.1449921296679617,1.08821761327899,1.1783485795128237,1.104478787939721,1.308018821190004,1.1704906429448976,1.1896061183149316,1.1095465270015301,1.0603979692198469,1.0707115098340576,1.1394434562934708,1.1176901703744824,1.1420141228843446,1.0751137074200274,1.1488439882067198,1.1618063518366648,1.1819241449858435,1.1534815814577108,1.0882894948265547,1.1217329671806038,1.1153796959170412,1.1548267653523365,1.0765095686831188,1.1151705075578575,1.1197247265643406,1.156228803065267,1.1570471419666715,1.122449903804163,1.2034522217707952,1.1825756838086543,1.1042028823705687,1.145660917962893,1.1577133480388957,1.1456283624805519,1.1280269952566238,1.1531516743924113,1.1272005890480943,1.1394965267669959,1.174617852288357,1.1118501338897808,1.137504892231716,1.1483881429498042,1.2256072877144848,1.1470637779676751,1.1517213289175887,1.1611388379654333,1.1382904982362718,1.1125919772038784,1.0827112585691407,1.1384023891313642,1.1222979772392245,1.143612682540114,1.167862933918626,1.1422756391485884,1.1603041421002849,1.1434765707162724,1.1832576857275603,1.1250212728683335,1.0878964635544943,1.1210534388959792,1.1660282830317874,1.146405388196603,1.1630813399368056,1.1698453983828874,1.1377847707283617,1.157796579281547,1.1464239986722802,1.1286481506694799,1.0986396954150508,1.1421363872758155,1.1681704677118696,1.1280539226803192,1.1875813311051464,1.1299838151571355,1.1491336605693279,1.140150269189927,1.1818870814854936,1.13034598322026,1.1381543173451258,1.1503540368616445,1.1176970958899055,1.1455384335943521,1.1238336051430817,1.1461671856112514,1.153128511154442,1.1590564347093937,1.1443667009694292,1.1511272044512804,1.1335758709667445,1.132249589036778,1.2136599678492443,1.1314514573941152,1.1296420418428148,1.1606624037506577
Excadrill,Mud Shot,Earthquake,40,1.0793737583789553,1.0903267013085383,1.1051804302428128,1.100718164682134,1.1099675044487278,1.0987587218197739,1.1073573212976935,1.093804995239508,1.1269204131519421,1.116273849107417,1.0965128500495027,1.0953536797607257,1.263357002802672,1.1423582039453002,1.1424894731001827,1.1343603856059479,1.1493177529246872,1.1312113990545358,1.0773997920253064,1.067697883502198,1.3866413200704444,1.164946421885237,1.2704552313382151,1.115383577575632,1.1257389211821918,1.1431753602000636,1.1030737749732848,1.1004188228091956,1.1627209913198107,1.155960240836109,1.2459877495063534,1.1835298945134216,1.42514889663722,1.1355430255024244,1.148124771429885,1.1361240609953902,1.0298489361332646,1.0300818449639013,1.315203461094915,1.191306726059972,1.3914704408420644,1.2204131711993187,1.4500503353060092,1.20269181872466,1.2405584151511349,1.1251849716553401,1.2460501805525197,1.1481470102657814,1.399711527003556,1.2250839255626533,1.3056008952955973,1.1158931387785813,1.0740820534218014,1.0700864472094815,1.3062314968011741,1.1485338109281489,1.2657764140372236,1.0739406547096044,1.1365310734229088,1.1575806461875462,1.181084170541696,1.1382115758721707,1.0829669860672144,1.1112680490223217,1.105050156326856,1.1449279600593374,1.0682196727409514,1.0919455394678446,1.1137424716845628,1.1394518932492386,1.1906899405017792,1.1425267711358886,1.2752280647362642,1.2149789402591982,1.1157008819184298,1.166216728334129,1.1656389574193105,1.154335143972331,1.1195462915518557,1.143268167584218,1.1177092387834702,1.1207926304536056,1.1817932567704972,1.1307289159934493,1.16139395795713,1.1682010882868674,1.2370407934061254,1.1743751336389683,1.1296087594216753,1.1562706500477369,1.1480522241006856,1.130994155369157,1.1244732125870822,1.1610834747799,1.1120768962163212,1.128230747224564,1.169453396399932,1.1383429196765817,1.143504883809381,1.14220680299929,1.2353424665885104,1.1282925451678738,1.071404459910542,1.1154499910302125,1.1699092996022278,1.1479550355996213,1.196058850040266,1.1831307158659854,1.1493979554836355,1.175283070940035,1.1668410501440554,1.1306164898845095,1.107006071275812,1.121872051756925,1.2083991915681473,1.1600923196104915,1.2214648472601377,1.123141725553247,1.1521191901538042,1.1613109637449177,1.2247541990491986,1.1418292863172324,1.1088760172573675,1.1201775746799723,1.096973687449466,1.1300051738942178,1.1225551478784652,1.1427295852917536,1.149042821796482,1.1512290915708265,1.134694762820343,1.1342243024613716,1.1396171934504442,1.123436144629464,1.2253058686279095,1.1567473689377,1.1412123231131095,1.14857093999651
Excadrill,Metal Claw,Drill Run,40,1.1521873071238604,1.1872774940333009,1.2594360928469577,1.3114772399563899,1.2573810916819514,1.3036010170785577,1.154218130719814,1.1817396008915553,1.0045981215018256,1.0077665763057426,1.2514152559281135,1.3068272634142684,1.2476136912886286,1.2257275565724404,1.3174273546945845,1.3843608683176674,1.3197247794239546,1.3502831482143394,1.2756929681001443,1.3186243207618475,1.435604254730287,1.3407274763291823,1.5599572032582636,1.4639750959698745,1.29685433447141,1.3533064578798573,1.0026666532524755,1.0199035396985199,1.37980078149757,1.4254283144319704,1.3777762015081199,1.4113945726294341,1.1182521284873455,1.0222525255308619,1.3728972772003218,1.4141359302874499,1.280082951523663,1.2914658500872764,1.4670940507655905,1.4057550276939266,1.4114321453358691,1.310134336310066,1.6434338786364842,1.433233144140159,1.2367077825603583,1.1829289234894769,1.344229808570368,1.2744833614117792,1.590324841857931,1.4052200904467467,1.458003710249159,1.3440829883722225,1.147472461034593,1.1616606715704498,1.4121086817458424,1.3627665844607084,1.4689081590860302,1.33343614782641,1.4279490050945625,1.4579070880200087,1.2798015224331059,1.258471109635078,1.2970984499657916,1.3580651938935895,1.3308918809377974,1.3868106659191948,1.2852109228331168,1.349641687851121,1.359822651677582,1.4174771750194097,1.399757694838705,1.3570417139412756,1.3798335014224896,1.3736014376866146,1.0165878103700643,1.0515404770831802,1.3703837695208996,1.3815507030249012,1.2252119986083665,1.2600736103808898,1.3583790040698387,1.3866956042726204,1.3810499824809854,1.3131252362048305,1.3867306271766493,1.427740246675817,1.3926150042398422,1.3839632736928573,1.2519250714338208,1.2654122359604354,1.2402189085755837,1.2062980680881321,1.1708933490886604,1.235478360287395,1.3753379282169935,1.4200928351903392,1.3689959529238254,1.3651216494011014,1.3960638367834086,1.3803400498042244,1.4297430294061169,1.3364948285315805,1.472666298055476,1.5939235055261185,1.3880765601844836,1.3456292395443503,1.3389952936714533,1.3715611578954081,1.2327121060538464,1.2567193829547216,1.3681620877700624,1.3528290279846833,1.351079063795496,1.4086501513997387,1.3689251068589954,1.3577950865897739,1.2909789194266568,1.2355394942807103,1.2536400605446378,1.2454967155504362,1.3706956420809293,1.3356107903654242,1.0905533773347684,1.0998406503409166,1.2172605618552659,1.251152567499138,1.221244971970042,1.2435083089204124,1.3943280992251588,1.4250647304989277,1.3794527321059449,1.4105057399684187,1.0766566703092189,1.0715069895106684,1.4101139166386851,1.3896598402718434,1.060434876178287,1.0743311324497646
