Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Arceus (Dragon), Tier 5","Arceus (Flying), Tier 5","Arceus (Flying), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Landorus (Therian), Tier 5","Landorus (Therian), Tier 5","Landorus, Tier 5","Landorus, Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Shaymin (Sky), Tier 5","Shaymin (Sky), Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Lugia, Tier 5","Lugia, Tier 5","Rayquaza, Tier 5","Rayquaza, Tier 5","Thundurus, Tier 5","Thundurus, Tier 5","Thundurus (Therian), Tier 5","Thundurus (Therian), Tier 5","Tornadus, Tier 5","Tornadus, Tier 5","Tornadus (Therian), Tier 5","Tornadus (Therian), Tier 5","Yveltal, Tier 5","Yveltal, Tier 5","Zapdos, Tier 5","Zapdos, Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Garchomp, Mega Tier","Mega Garchomp, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Mega Pidgeot, Mega Tier","Mega Pidgeot, Mega Tier","Mega Rayquaza, Mega Tier","Mega Rayquaza, Mega Tier","Mega Salamence, Mega Tier","Mega Salamence, Mega Tier","Mega Sceptile, Mega Tier","Mega Sceptile, Mega Tier","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Dragonite, Tier 3","Dragonite, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Druddigon, Tier 3","Druddigon, Tier 3","Exeggutor (Alola), Tier 3","Exeggutor (Alola), Tier 3","Farfetch'd, Tier 3","Farfetch'd, Tier 3","Flygon, Tier 3","Flygon, Tier 3","Gligar, Tier 3","Gligar, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Noctowl, Tier 3","Noctowl, Tier 3","Salamence, Tier 3","Salamence, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Swellow, Tier 3","Swellow, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Torterra, Tier 3","Torterra, Tier 3","Tranquill, Tier 3","Tranquill, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Vibrava, Tier 3","Vibrava, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
(Boss weights),,,,0.8928571428571429,0.0,0.8928571428571429,0.0,0.8928571428571429,0.0,0.8928571428571429,0.0,1.7857142857142858,0.0,1.7857142857142858,0.0,1.7857142857142858,0.0,1.7857142857142858,0.0,1.7857142857142858,0.0,1.7857142857142858,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,1.7857142857142858,0.0,1.7857142857142858,0.0,1.7857142857142858,0.0,1.7857142857142858,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,3.1818181818181817,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Mamoswine,Powder Snow,Avalanche,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0484233648658852,1.0,1.1061047047597483,1.0102437969666769,1.0,1.040116487176332,1.0556451771959785,1.069136085771708,1.0874706807782322,1.0,1.0246088404982876,1.0418934575855832,1.0888988020432138,1.0685285493286367,1.0463372590709301,1.080241831256622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0177004467115098,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.060823946289558,1.068369852973242,1.17444853711175,1.0820896733756031,1.0,1.0,1.0,0.9999999999999999,1.057954685858706,1.04975214478147,1.0,1.0,1.0,1.0107935614076067,1.0362266933605704,1.0817992785262887,0.9999999999999999,1.0,1.0,1.0,1.005617315339472,1.0,1.0,1.0,1.0644194746853792,1.0578280619003815,1.0,1.0,1.0560345530269803,1.0618103718154428,1.0,1.0,1.0211822582574264,1.0517051521591017,1.0,1.0,1.0,1.0,1.0578218549028462,1.0713022404171695,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0914773950201981,1.0976113085127692,1.0,1.0107964764886372,1.0,1.0,1.0,0.9999999999999999,1.0564487174565158,1.060586880154727,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0505842886743832,1.0524592715949919,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.142006256569369,1.0816926223583785,1.0,1.0322740764290903,1.1369676705801461,1.0930757795103836,1.035492546804873,1.0708743271644172
Shadow Mamoswine,Mud-Slap,Avalanche,40,1.0893854006981751,1.098914215933946,1.2910201493977689,1.3256760619426635,1.1978065187997704,1.2151026774546414,1.0988235122716503,1.100745934467924,1.4035800195010113,1.4041413762970094,1.413104495089064,1.3925383852139352,1.2602042795706412,1.2301145661345276,1.6935789490708544,1.4625524251506385,1.1107449369424776,1.1645792034472195,1.137493770997019,1.169610771058303,1.2035059444048044,1.0965229683811895,1.1245038056387993,1.1472338633039065,1.1751578496946242,1.1693039851870586,1.3733326288779735,1.4457160402412674,1.3403013458094317,1.4004479479550505,1.2171114819863895,1.241028111848088,1.2722275728054646,1.2406677983318466,1.2800531330005702,1.3268700485560205,1.3427766451808465,1.3054368447498261,1.3118632893209186,1.3070015690500238,1.2257287284758278,1.251685322255541,0.9999999999999999,1.0,1.286511605585028,1.1912444089231686,1.1876136936927926,1.221326430300361,1.0943867069924698,1.095244297233878,1.0,1.0,1.2313974508160024,1.2385535292998666,1.1066335146525703,1.1324533342279426,1.1349503611297904,1.1908641343355357,1.2985062130998126,1.3494300664073926,1.3605484171872528,1.3722295021469697,1.5566095183135595,1.4368722830216205,1.2642749315984552,1.33139285624623,1.0,1.0,1.2180119062163983,1.2295446071599505,1.1830223612658317,1.2052488504461616,1.208034824392554,1.2439294954721865,1.1271142745216913,1.1661730644708033,1.0980659374619555,1.1048945333584141,1.3590477038297755,1.3784244853681804,1.4102255280469878,1.5091230420751245,1.1132287114542105,1.1131482158591675,1.3325033911895012,1.3589444611141361,1.3304610491066868,1.375210035750093,1.2371492464219542,1.2582374765759219,1.418130127775617,1.4431984361060535,1.2055535835044717,1.1979738862051728,1.0942511386676381,1.1132612016791463,1.1045500942860067,1.1182030674594103,1.2714995055433522,1.2439619138944131,1.0030622775801938,1.0,1.3277774663410509,1.3312215691679783,1.4404932408032112,1.4086899045537107,1.0,1.0,1.2915112133710969,1.3220472576476519,1.230916574762001,1.2489508503158815,1.3459283931447161,1.381293667623465,1.3310188623822414,1.3427283643736267,1.301038537683929,1.3235550566402712,1.2485834887748601,1.1778692015854864,1.1761940312945136,1.2062166644400993,1.2368898118727547,1.1944585462123227,1.3932419484488405,1.4366823158241366
Shadow Mewtwo,Psycho Cut,Ice Beam,40,1.0749522524256274,1.1146452856481055,1.0593429334546862,1.1148428724210526,1.0626549732905093,1.117177386851177,1.0636297879765877,1.1134216612482764,1.0528928361388123,1.1507588633903751,1.068457963264736,1.1701427728525393,1.0091096986449035,1.04941124142613,1.191991395901732,1.119733876631613,1.1285812158832371,1.1536630751468677,1.158284340402604,1.1771196384424059,1.0,1.0760300863606744,1.1999411187690994,1.2649551820384082,1.1211863109331957,1.236259892881041,1.204973027898567,1.2376054503553917,1.1609681155817753,1.1902432016989903,1.153857683438477,1.1481439411246996,1.0478900856077316,1.1361961291261187,1.0927557788398814,1.1115984818105062,1.0,1.0622825335554147,1.1303052800213784,1.2237992185995767,1.1199272342822657,1.1351062590705843,1.2137886917055551,1.1891974301023773,1.0726850556740977,1.053692492162561,1.0439679615650235,1.0751286990142965,1.1022872791261147,1.1015566672232364,1.1642559629973372,1.2147996796990421,1.0798421297832634,1.1652778785567064,1.1607133015949476,1.1980477440388468,1.1862049170912081,1.1998426577804602,1.0663239226621537,1.0890469510015277,1.1366268327930045,1.163527003655947,1.0207636071554564,1.121257852688879,1.0817602801947914,1.1313170245925013,1.0744760394831774,1.0670431823219353,1.0957256943163132,1.0953388783125857,1.085922882549984,1.0785440692446802,1.048683367843659,1.0818696905993963,1.205315569251688,1.2655121771268745,1.073725714216462,1.0959298613342232,1.1531653597640987,1.186857580576745,1.1976370003253305,1.2205571989619504,1.1126320820574114,1.1289063302076396,1.1014859245225712,1.1781589319491907,1.0876654631262483,1.1181522125311931,1.2140007742477852,1.238121630512207,1.215977340561613,1.201501006580643,1.0668977484956887,1.0795060805493393,1.0700611157492321,1.0908794869692067,1.0954729455715864,1.1479723077273383,1.03826112811723,1.1121328137342201,1.0709821034401021,1.067177510165406,1.1126993817924349,1.1047913721546503,1.0366862540268442,1.1574991209161507,1.1833992255127783,1.2046647272412276,1.1377521725214532,1.1044857725329635,1.0285253651953057,1.1114488787867611,1.1293890397596882,1.1222504147027534,1.1192281739787249,1.1917838250610682,1.0968283527478364,1.1019241816406933,1.0792206974513723,1.0652386853730267,1.1440106303672137,1.1949815011218667,1.0801941476124692,1.092421724368504,1.2301437970626539,1.287033285267072
Shadow Mewtwo,Confusion,Ice Beam,40,1.0754198652393967,1.1156555347681758,1.0583170391312064,1.1151882716939479,1.064241013349205,1.1161899340124455,1.0618695347259406,1.1151144236558914,1.1057911774832685,1.2372025991291111,1.1481974326286328,1.245130960319059,1.0,1.0690731109027172,1.2941717746761332,1.218880446161034,1.1525631719653866,1.1822276825784406,1.1833819023922814,1.217247827364265,1.011115981556659,1.1101948559613828,1.2662471271830302,1.3354736415252242,1.1955176393305535,1.3230760541475803,1.2921624004423127,1.3274265101578946,1.2189284267491014,1.2768203184490083,1.1528939141146188,1.1481434530919044,1.0595393056597904,1.1716882015214325,1.0850744084806345,1.126418323471453,1.0114044895366285,1.0836018345232725,1.2536742791352635,1.3638624260654848,1.139740007017005,1.1595789228361244,1.2188638029941057,1.1988427979133236,1.0,1.0,1.0532341677695367,1.0906475405628346,1.1107040288542391,1.1261712464141789,1.158176336915353,1.2313251130116372,1.1389676790782923,1.2541976719460508,1.2356688278290904,1.2954813195538974,1.2757341422666204,1.3024749035552041,1.0552108614802627,1.10986133529775,1.2221908372524404,1.2869496853110767,1.0576753975055995,1.197387721656799,1.1708121285938622,1.2294930254834266,1.0123188653305204,1.0095081791301217,1.0952319176234526,1.1212254851765442,1.0,1.0,1.0625181911658417,1.0896003126347564,1.2907953984740024,1.3599220308138773,1.081632568744419,1.104692265171387,1.2081770808971937,1.2359232515982905,1.2018552128335056,1.2216121804041367,1.1197282361007208,1.1232142407813412,1.184236824500892,1.2362511517744137,1.100104869463316,1.1247857471938125,1.2567079995360462,1.278062408061902,1.245150664648746,1.2688608779448103,0.9999999999999999,1.0,1.079804887325896,1.0918868552682475,1.0970365804256004,1.1211855236352173,1.0313794306157666,1.1129010833420607,1.0,1.0054257673167535,1.127498345421608,1.1094268395166873,1.1208022328909313,1.202079893215277,1.1729100967668658,1.1879213487554168,1.1048666896147736,1.112852085840497,1.0239620400317448,1.1049622851107306,1.1111988376616093,1.1246041641935378,1.1922809844526971,1.240385302959353,1.08676180400389,1.1075286241385174,1.0,1.0,1.206204358891206,1.2340584594574409,1.0,0.9999999999999999,1.2803021693374916,1.3330384210695054
Shadow Weavile,Ice Shard,Avalanche,40,1.041607044857518,1.0169510152306616,1.0456871951269566,1.0232509965702423,1.051962628085558,1.023439971519693,1.048575191939581,1.0236825801001632,1.440255778145875,1.1194041355381052,1.0787576976558602,1.0881574214131087,1.0721998374915276,1.0136816081396622,1.0,1.0,1.080072130860029,1.086615566716737,1.073343768136909,1.078987162608863,1.124659594075377,1.0278965746970483,1.0716122615235153,1.082250203593016,1.0657690593729818,1.0770332065640218,1.0706977879390127,1.0858164061063893,1.1077924996694233,1.0629419704784298,1.1063605376057628,1.0999025093487256,1.095161456210126,1.1153883433620526,1.1049409681335443,1.0509192379515226,1.0833776435988778,1.0577402978208386,1.0395712093403717,1.0471584297170307,1.1740271382225014,1.0770535353312445,1.2147265296589778,1.134851060841928,1.1571144316935371,1.0976276021387377,1.2755426508584524,1.0878051224173437,1.3208883741424087,1.0821520842703083,1.2002171767818801,1.1681854521734414,1.1310981026653748,1.0682798096833126,1.0778421044229447,1.0728256543157957,1.0648064492267026,1.0799469951540972,1.1515031777438312,1.086418171575903,1.1944593625790263,1.0898563607193394,1.0,1.0410967039540386,1.0670855862930575,1.0251578592299289,1.136957453941446,1.0993135527960083,1.0930520664020826,1.0678662307378983,1.1066509336925008,1.098562776724633,1.0376405119613306,1.008748046032773,1.082077930756302,1.0912691933643883,1.0891429347368027,1.0890793779944141,1.0843745552080206,1.0687216340623478,1.0854661580975018,1.1140424048774011,1.0559883998598536,1.045273009958282,1.0536359432419662,1.0330943139605206,1.0315760186830867,1.0305846210289826,1.1110686205600955,1.086761345462467,1.0521987058443172,1.0223003848378671,1.1643488998057898,1.129745131065764,1.2226569233893454,1.0941910827610688,1.0953606733322114,1.062333751747575,1.0053480026384312,1.0186802499651484,1.177019370748603,1.1293389126375206,1.05262340708608,1.0161606826278857,1.0019212377085132,1.0461760923927839,1.1085417103229014,1.1023927810438061,1.0829645129666867,1.055233998351717,1.028178891992005,1.038851822907295,1.1210199118147803,1.0635686442301588,1.0672773126875224,1.0381943925384898,1.0653920047652303,1.043235200399933,1.1941191065428043,1.1171822638640394,1.0303380500215982,1.0,1.1987517247766115,1.1251843688935916,1.081605770941213,1.1061205962631484
