Attacker,Fast Move,Charged Move,Level,"Tapu Lele, Tier 5","Tapu Lele, Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Tapu Bulu, Tier 5","Tapu Bulu, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Zacian (Hero), Tier 5","Zacian (Hero), Tier 5","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Wigglytuff, Tier 3","Wigglytuff, Tier 3"
(Boss weights),,,,8.333333333333334,0.0,4.166666666666667,0.0,4.166666666666667,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0,1.3636363636363635,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Gengar,Lick,Sludge Bomb,40,1.0035490671526996,1.021046733977707,1.0,1.0,1.0,1.0,1.0,1.0,1.0141297626703487,1.04127980434369,1.0,1.0,1.0,1.0084347476859046,1.0,1.0,1.1498042862109654,1.1748396695863972,1.0142715200539498,1.0439496739351979,1.0,1.0100642345822304,1.0275286457769195,1.0327891917956844,1.0190486698591814,1.0099186739659556,1.0,1.0,1.0269854847876927,1.0347959414220889,1.0,1.002218505845033,1.0130659311934906,1.0252468435447584,1.0340964129884496,1.010207700978165,1.0066080631227179,1.0124207330071258,1.0019731857405458,1.0,1.1366657314590483,1.1560975177522497
Mega Gengar,Hex,Sludge Bomb,40,1.0447567177490995,1.0726729329320712,1.0190541025997566,1.0296881572822625,1.0181926747075443,1.0343799319053508,1.0166667075173348,1.022874251540182,0.9999999999999999,1.0193539835684617,1.026208685622901,1.0215291069740793,1.005845791683566,1.0156536223462904,1.0277371221477176,1.0347456325692512,1.1009372332348526,1.1284914684952394,1.0793237265928808,1.1412143186994628,1.0080877715277636,1.0,1.0203166378499007,1.0218279458786115,1.0696696702950979,1.0770370902591622,1.0133317013566872,1.0091171097853613,1.0442467647235212,1.0356143927647647,1.0184796888649434,1.0327957793622353,1.0221919591691746,1.01900884349794,1.07541220254009,1.0756348882952198,1.0,1.0,1.0,1.0078019352328142,1.1143088147694622,1.1666824252387982
Mega Gengar,Shadow Claw,Sludge Bomb,40,1.0,1.0,1.0171202402608508,1.0311456401244399,1.0154583430895934,1.035878372661839,1.0574798103395613,1.0509083236091519,1.115453751794852,1.1435183502615665,1.070877058308241,1.0738392718247545,1.0312294046600883,1.0400393140172275,1.0440090707651444,1.0537557145981953,1.2616995251507563,1.298982159880532,1.0,1.0,1.0732803624722105,1.0719861688439876,1.0548511247824985,1.061885695260073,1.0,1.0,1.058813612303184,1.063838318280247,1.0,1.0,1.0409867148852432,1.0583415636198086,1.0580085756797877,1.0687163132619584,1.0,1.0,1.0452141815382103,1.0361849652665338,1.071215649900776,1.0625130097410154,1.3239467788547254,1.4035192326829513
Mega Gengar,Sucker Punch,Sludge Bomb,40,1.1897416313218114,1.2106409693392566,1.1407598846628644,1.133939066396799,1.0543590884850684,1.0564919485484026,1.0581765836704513,1.056719965155181,1.1330819242970585,1.1704730885532324,1.1571655191346435,1.162557560683253,1.1194518972691159,1.137092174712522,1.160245526487859,1.180355974962848,1.1138520739361444,1.135854974258805,1.2356910194844988,1.2609636813674872,1.161979585194393,1.1672536285958695,1.0680971890903408,1.0721176973725755,,,1.1518507618299971,1.1543464733147182,1.1987438110624815,,1.0514133259100036,1.0726894924024357,1.0670176752613365,1.064378285328912,1.220044275169616,1.2043321086836016,1.064943233726787,1.0489471864881321,1.153532037420203,1.1662391382400659,1.1160532764284836,1.1621296428829462
Mega Gengar,Shadow Claw,Sludge Wave,40,1.1978980068559217,1.1439760644628,1.266761271373154,1.2402664929627412,1.2689351819856285,1.2403815298576577,1.2876120314361015,1.2544764668457904,1.379862766912527,1.4268096849629222,1.3294604288518952,1.2915299883609357,1.2975722132462668,1.259306828603146,1.312037377912463,1.275991456887433,1.6600149592353615,1.6891448083517808,1.138092431312166,1.1627677738664357,1.2871083316017586,1.2830042267699162,1.2577133334258943,1.242784872073065,1.1833220902491073,1.1424388189115022,1.2889404202863004,1.2786826508100786,1.1341069697658392,1.124584130291182,1.2443002127180731,1.2473952214161232,1.2671664399032179,1.2428429628249453,1.1744204991724696,1.1346501551572759,1.2610063029770453,1.2340476535296374,1.2850599119370467,1.2647291069128308,1.7312928116625457,1.7504214054846918
