Attacker,Fast Move,Charged Move,Level,"Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Poison), Tier 5","Arceus (Poison), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Vileplume, Tier 3","Vileplume, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Garbodor, Tier 3","Garbodor, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Nidorino, Tier 3","Nidorino, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Seviper, Tier 3","Seviper, Tier 3","Toxicroak, Tier 3","Toxicroak, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,16.666666666666668,0.0,16.666666666666668,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Mewtwo,Confusion,Psystrike,40,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0024271418159354,1.0,1.0,1.0,1.0086903596730599,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0084292404217305,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shadow Mewtwo,Psycho Cut,Psystrike,40,1.0355467982288644,1.0173240972071562,1.0397900839945917,1.0192386022607791,1.0137063529387875,1.0161322804423176,1.0162086572392681,1.016111862040628,1.0002401079277476,1.0,1.0331477366070072,1.0189026718537602,1.0358567048364293,1.0,1.0256740526798704,1.0100730093665484,1.0125879735393644,1.021530783525387,1.0292307035571695,1.0380808579480871,1.02865495702182,1.035089816181189,1.018845407552005,1.010375888397654,1.0085507355240064,1.0195474770169928,1.016785974535566,1.0055231190984693,1.0300409123136116,1.0294555499853848,1.0309894456644824,1.0050404344783586,1.0088113673562638,1.0218612641918288,1.0297548531572573,1.0204180027665815,1.0,1.0100200263600931,1.025106457900225,1.0373693000780568,1.0222800896123254,1.0180113397272526,1.0421169818312326,1.0362965013050385,1.0247568753199747,1.0414745390064275,1.0029321974968957,1.0138864572908832,1.0317568178879448,1.0300823069721046,1.0185822379868246,1.0258665521933035,1.0170583783653289,1.0368275714350146,1.0180456153805437,1.0344882632187151,1.0284302228441755,1.0435078270518692,1.02839990669929,1.0104016952098238,1.022371681338758,1.048200720130683,1.02514021704315,1.0559980030729335,1.0238618941801183,1.0141839358176128,1.018579976277671,1.026738882517687
Shadow Mewtwo,Confusion,Psychic,40,1.0749238356824315,1.084401807983154,1.0797780250351972,1.0824284927882961,1.0769308699516187,1.0815735933297146,1.0766688021707453,1.080509532470923,1.074741462810328,1.1083503330119833,1.074089109938853,1.0896031249249238,1.0920006622123517,1.102771991003312,1.0756004796910306,1.0753805209555145,1.0750397545349748,1.0787774814365292,1.0679928013525477,1.080246771711391,1.069873549612724,1.0816088514152797,1.0799214896131628,1.0732992004322186,1.0699583217660953,1.0781317516683913,1.0769768890445788,1.0761987986127832,1.0723224396487108,1.0772319911036994,1.0786660773440704,1.076208164032579,1.077562030364076,1.0715755436823966,1.0761900145663972,1.0730109862623505,1.0925708440290571,1.0925729940554352,1.0715486525561029,1.076402149261094,1.0732223095349316,1.068468459047682,1.072557769807515,1.0701874741866397,1.079003612222885,1.0711140054642703,1.0613979605259705,1.0669164176986854,1.064611783670204,1.0708222124835933,1.0737610857748647,1.0804312744346285,1.0734383685490938,1.0743329101918773,1.0777555245110728,1.0691072175872263,1.0791944381909215,1.0751017570326524,1.073036094825711,1.0716001322968476,1.0831537461190748,1.0711342496629859,1.0661319375998368,1.0777433586203191,1.0801855608901576,1.0677494255763822,1.0625290488955537,1.0757333088042267
Shadow Mewtwo,Psycho Cut,Psychic,40,1.1195170835890962,1.1108225773056244,1.1210922275088289,1.1095652066007735,1.109778457363585,1.1037199491877616,1.109308948704757,1.1043706679467595,1.093653748372337,1.0888157671987335,1.1349407546339585,1.1021359488496398,1.1231459876282908,1.097783820221806,1.1157572215342573,1.0925304948485464,1.1119595221057452,1.1059858968211966,1.1180482339753337,1.1255040411824582,1.1260570838466966,1.1215567897696292,1.1060985771033354,1.0931415872590433,1.1033026225546478,1.1053912637267425,1.1082857147981011,1.0918654088494066,1.1173490318634172,1.1140478106621696,1.1159365935044494,1.10162984557249,1.0963041809984162,1.1034151936313537,1.1237823566243141,1.11193200778196,1.1073761494953835,1.0965863923505603,1.107709443604864,1.1203090953179131,1.112260986507056,1.1079812833888043,1.132576993378289,1.1250673808540443,1.1078165557450521,1.1233188829729075,1.0926521982846993,1.100414129571247,1.1228585032053608,1.1184176127227676,1.1020689863062292,1.11707555126607,1.1006225473477855,1.1127719596050516,1.106637337311838,1.1176698706657038,1.1151706061245477,1.1352708892631174,1.1219248497622696,1.0962422495856095,1.1234488452043747,1.1302109692994837,1.1115030397781986,1.1466243780024927,1.1232821141657854,1.1025213415911852,1.0962362762661564,1.1143060517395915
Mewtwo,Confusion,Psystrike,40,1.161323451976344,1.183066094030067,1.1634047382015131,1.1793873645152066,1.185078659801029,1.1725975784675315,1.187367387553383,1.1816095851494226,1.1209398617277833,1.1827846249360452,1.167760258284754,1.1752542852346817,1.0972173776830505,1.1948661191737047,1.1509297496499005,1.1735599295014159,1.1380320849403636,1.1813268774986305,1.158151058309537,1.2077949794821718,1.176358711043823,1.2122001015233272,1.2121454434063272,1.1851501830941364,1.175998357357011,1.1851279901786604,1.1753316659124617,1.205360896087703,1.1866680224037351,1.2062270501409817,1.1462876480063893,1.1805239643518546,1.1854194944219374,1.1719054483826996,1.1812883204910254,1.2222955847486203,1.2035165833889767,1.1992286764569744,1.204435840954264,1.206819502908643,1.1887453648361899,1.2019171106565512,1.2076280161931412,1.206210705146492,1.1925219077813338,1.2056838547160833,1.2060539869934561,1.2102105732077666,1.175153602211142,1.159678009923254,1.1681474904040403,1.182792500897507,1.1944413267179792,1.2105012244030584,1.2191473687059182,1.2290624143505142,1.1878598989517875,1.1988770393004284,1.2029686131704567,1.193355116416893,1.188451943580969,1.1777453084291112,1.1781217538536644,1.2017733944582023,1.1540910207785948,1.1803648250490604,1.1589300126623276,1.2055031117157453
