Attacker,Fast Move,Charged Move,Level,"Arceus (Fire), Tier 5","Arceus (Fire), Tier 5","Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Entei, Tier 5","Entei, Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Camerupt, Mega Tier","Mega Camerupt, Mega Tier","Mega Houndoom, Mega Tier","Mega Houndoom, Mega Tier","Mega Steelix, Mega Tier","Mega Steelix, Mega Tier","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Arcanine, Tier 3","Arcanine, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Camerupt, Tier 3","Camerupt, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Excadrill, Tier 3","Excadrill, Tier 3","Flareon, Tier 3","Flareon, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Magcargo, Tier 3","Magcargo, Tier 3","Magmar, Tier 3","Magmar, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Ninetales, Tier 3","Ninetales, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Shuckle, Tier 3","Shuckle, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Stunfisk (Galarian), Tier 3","Stunfisk (Galarian), Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Typhlosion, Tier 3","Typhlosion, Tier 3"
(Boss weights),,,,3.333333333333333,0.0,3.333333333333333,0.0,3.333333333333333,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Blastoise,Water Gun,Hydro Cannon,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0002200004354211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0063924801826716,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0120644232197151,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0103657701792434,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0026698486686674,1.0,1.0,0.9999999999999999,1.0,1.0
Mega Blastoise,Bite,Hydro Cannon,40,1.2135480174107036,1.2333125990047435,1.2115782469524672,1.2309825054414092,1.212526313358445,1.2303559636332977,1.240592167839194,1.2655248319205568,1.2861316966270666,1.2905652657635929,1.2631681511813344,1.278417689256567,1.3872912934116852,1.4170287448552366,1.1925125752006753,1.208315288638682,1.3472897758549915,1.3629831058990418,1.3505809818811927,1.3794528432100213,1.388211727194246,1.435691172311907,1.2568465950327206,1.2815060916883918,1.2361109893508757,1.2598650641171176,1.2243752444542608,1.2245815212274114,1.2266623469036457,1.2360388019672364,1.3791164059981116,1.4017031978626426,1.2506585903087806,1.2651312109916344,1.3951595060267783,1.4207833646400652,1.0756495364756649,1.0732270138539952,1.4166469930893995,1.399366475109627,1.240864608886544,1.2747792366951776,1.2331014059629601,1.2538606765260596,1.2648049618366641,1.2526848975966436,1.3140786541268883,1.3691129256277057,1.067674674438139,1.0709227623308102,1.3381173083720208,1.35007704891406,1.2567247295999753,1.2570432444794926,1.0726919514363473,1.0691484199770633,1.3930096164482506,1.387941652404392,1.2385868813666052,1.242153903918875,1.0750337515101385,1.0809851503377284,1.450638091082264,1.4719095387921668,1.2235084936792509,1.2395802067800454,1.2531454815784158,1.2813004140477646,1.2991222060121763,1.3226264990091252,1.417561184330098,1.424563942904537,1.28138244147116,1.2877568249200315,1.390111951392124,1.3812950827948667,1.1986004721587018,1.204768662574672,1.255686917296812,1.27942582866619,1.272761096894294,1.2698793642817776,1.2557211115639957,1.2413947033854178,1.2328435390448327,1.2662866490477604
Mega Blastoise,Water Gun,Hydro Pump,40,1.2769196170040913,1.2351107640188488,1.2716273313358515,1.236127727033302,1.2771717620079683,1.23307213727779,1.2421434323497664,1.2309811451104504,1.273702628244805,1.222230795473629,1.2297541170347217,1.2064714018105493,1.2723299689517844,1.2359800855780398,1.2663007381317823,1.2313925178457916,1.2751272772596847,1.2274995543879335,1.2828085866635717,1.225347778342036,1.2433213668085927,1.2298803607090398,1.2167631445646205,1.2090046563257708,1.2295917053748866,1.2008159260007467,1.222158942945423,1.2034875434790357,1.2141114953145848,1.2166758881341817,1.2245415008924416,1.2143716004096745,1.2282895095965591,1.2068148079345022,1.2502220283109744,1.1970477188560142,1.2294709084550888,1.2112616442642359,1.2053527957626797,1.2108324980280567,1.2155124868102563,1.2168479071009994,1.219448052106041,1.2403495060846181,1.2346678072630481,1.201987204787649,1.2309055336585217,1.2226844666324619,1.2333269205400867,1.2162010545946214,1.2296814531620126,1.2241735338289688,1.2113531946687626,1.200995163742295,1.2045168925808531,1.2029561724233915,1.2016339241868907,1.1876569953541591,1.2257396805778606,1.2065686904877577,1.2177228990935978,1.2051965502392339,1.2370937401426212,1.2345560977725298,1.2342923814399689,1.2008664048752653,1.2016281683299828,1.2120592352274908,1.195252764780374,1.209246867163582,1.2317144328349958,1.1952855039543064,1.2247652205677146,1.2126101560412785,1.2362409818949407,1.2192721197246092,1.1653254038244398,1.1892026645317286,1.223760589633383,1.2211712077706898,1.2119105273756956,1.196203526390619,1.2349982903051173,1.1988748806007372,1.2228789942246097,1.2035949082262614
Mega Blastoise,Bite,Hydro Pump,40,1.6114659479692872,1.5696830139167108,1.6030426890591112,1.5657229756402449,1.6090661688204935,1.565623348759314,1.600759895666416,1.6056622911614342,1.856465661833265,1.6592927710193364,1.6368500959658214,1.6123411269919299,1.9709644743744987,1.9210360172755647,1.556042565711405,1.5322424021853693,1.840878614830906,1.8319535076180953,2.0411711212211188,1.85590218367905,1.9019430513032218,1.9333166530594996,1.6224726223863928,1.620479954553248,1.595437390194697,1.5762871437255759,1.553212015871638,1.527574342335337,1.5758454598312561,1.5585402513020954,1.8187540638208288,1.8065789913224934,1.5967207696697279,1.5961887588684123,1.843431274397792,1.854816223561559,1.3098053016953577,1.287230258425061,1.7853435186789666,1.8137007600262913,1.5896498235014291,1.6057516994793697,1.5629253560656298,1.6071726650464102,1.6043089369455479,1.571555823544405,1.7637340044045429,1.739501387972917,1.3151924589605162,1.2905803137028822,1.7371880344943698,1.7780268967667012,1.600115525336396,1.5844779623386405,1.3030867527591705,1.293954414391737,1.7831131467286008,1.782614258419923,1.540658162858874,1.52876185140291,1.29730430044794,1.275541222557456,1.9182338231038374,1.9216205680107958,1.551311854720218,1.5184401995240444,1.5837798479009502,1.5940409252764,1.6377332669723053,1.6457907189956111,1.8441430548148834,1.8422777800471353,1.6389623684099341,1.6086766376163322,1.8589440989130357,1.8495401530594644,1.4203907984882718,1.4478138459553271,1.589224147323655,1.6202516654287622,1.6023773533471188,1.58984955703032,1.6041030836329964,1.591052014323026,1.5820140847945947,1.5699454436197184
Mega Gyarados,Waterfall,Hydro Pump,40,1.015201417702484,1.0349731490371914,1.0173869398345952,1.032779339926082,1.0145823398643556,1.0314352149818273,1.046349580453462,1.0410523528317968,1.0427984542740343,1.088804462378917,1.0529881209300447,1.040139617092261,1.0872660523013402,1.071204774541514,1.0766919428129218,1.0446346461461862,1.2072352310244414,1.0810285894044498,1.0356972312029606,1.0568297372727233,1.1001319584842995,1.0739759390007442,1.0484207731677258,1.058636330761959,1.044346861946502,1.034900286715367,1.0683954114489893,1.0442329494194955,1.0821642691739397,1.062704764435133,1.0973748482237662,1.0702316181356974,1.0692862602864854,1.060407448631173,1.0773352636316622,1.0634907742658954,1.045114470183923,1.0290157758492144,1.0668749884700937,1.049390466323111,1.0927026289165933,1.069574896393672,1.0589477944843022,1.0640906061343416,1.0584304251256673,1.0337057327098356,1.0344942068655247,1.038094582545278,1.060621671604067,1.0280152376341534,1.0233186165811314,1.0,1.0981583585453236,1.0745768495332588,1.0707913517615926,1.0534175941147352,1.0785487253584929,1.0534141640473502,1.0438394178355122,1.022300106277997,1.058230914220316,1.0401328070203653,1.0880315958986744,1.0675208706213677,1.0742954671774219,1.0488485493591861,1.0923901301774843,1.0769410139647553,1.046430077174062,1.0389521256450414,1.0684401581940008,1.0398354873485276,1.0551276714704079,1.039268135720723,1.0755756824734848,1.0596466860280258,1.0423158991239314,1.0311821057405932,1.0427073421509636,1.0339446580670835,1.0426396659020694,1.0244218730462327,1.0662178864612262,1.0390254203112612,1.0395322702483933,1.0316129819264452
