Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.0,89573,0.85,0.50322247
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.0327902090699568,92510,0.825,0.51972324
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.0852958533429558,97213,1.065,0.54614526
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1031647692520565,98814,0.75,0.5551373
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1038063542750784,98763,1.39,0.55546016
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1095178241941381,99377,1.355,0.5583343
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1187490097570565,100210,0.635,0.56297964
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1394529938219968,102064,0.67,0.57339835
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1469336812404263,102734,0.91,0.5771628
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.147916944169842,102686,1.515,0.5776576
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1538342077610326,103080,1.555,0.5806353
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1800913818494632,105705,0.735,0.5938485
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1800913818494632,105705,0.735,0.5938485
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1827942420774653,105947,1.045,0.59520864
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.191363732227617,106714,0.955,0.599521
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.203996196751707,107717,1.565,0.60587794
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.2368856660951566,110792,0.815,0.62242866
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.2386103506069592,110946,0.84,0.62329656
