Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.0,85088,1.605,0.4808491
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.0253231211205347,87300,1.64,0.4930257
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.0811316897546446,92532,1.395,0.5198612
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.0850690996406152,92478,1.79,0.5217545
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1134805077102152,93279,2.525,0.5354161
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1271520316872798,96474,1.3,0.54199004
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.132043628656059,95071,2.52,0.54434216
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.142654317123605,95022,2.67,0.5494443
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1448025378439932,95866,2.575,0.55047727
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.146975839197786,98170,1.375,0.5515223
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.155016615399717,98859,1.38,0.5553887
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.155016615399717,98859,1.38,0.5553887
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1568001271084838,98752,1.895,0.5562463
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.179404931817487,100583,1.95,0.5671158
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.1839869722122804,101330,1.725,0.56931907
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.214965360234635,102320,2.7,0.584215
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.2273212115817624,105029,1.79,0.5901563
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.2384409162874592,105467,2.25,0.5955032
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,1.2391674435909315,106061,1.41,0.59585255
