Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.47639027,84797,0.605,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.4929564,87746,0.565,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.50201035,89357,0.695,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.50322247,89573,0.85,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.50698256,90242,0.65,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.51173353,91088,0.715,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.51972324,92510,0.825,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5261684,93657,0.68,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.53394353,95041,0.685,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.53538156,95297,1.02,
CHARIZARD_MEGA_Y,EMBER_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5391314,95965,0.75,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.54598916,97186,0.83,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.54614526,97213,1.065,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5551373,98814,0.75,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.55546016,98763,1.39,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5583185,99380,0.83,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5583343,99377,1.355,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.55874085,99455,0.96,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.56297964,100210,0.635,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5632008,100153,1.43,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5662145,100786,0.795,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5721524,101843,1.105,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.57339835,102064,0.67,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5771628,102734,0.91,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5776576,102686,1.515,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.579455,103142,1.37,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5806353,103080,1.555,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,SACRED_FIRE_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5855581,104229,0.685,
CHARIZARD_SHADOW_FORM,EMBER_FAST,BLAST_BURN,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5866294,104365,1.43,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.59092665,105184,1.53,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5938485,105705,0.735,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.5938485,105705,0.735,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.59520864,105947,1.045,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.599521,106714,0.955,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6040795,107526,0.86,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6044442,107591,1.585,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.60496724,107684,1.135,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.60587794,107717,1.565,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.60838145,108291,0.83,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.60838145,108291,0.83,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,FIRE_BLAST,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6126692,109055,1.29,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,HEAT_WAVE,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6159971,109647,1.19,
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.62242866,110792,0.815,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.62329656,110946,0.84,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6256724,111368,1.52,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6282494,111828,0.92,
MOLTRES,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.63054353,112236,1.08,
HO_OH,INCINERATE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6307779,112278,0.725,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6317302,112447,0.555,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6326145,112605,1.26,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6327379,112627,1.505,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6349471,113004,1.59,
CHARIZARD_SHADOW_FORM,EMBER_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6394526,113807,1.635,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6422917,114327,1.76,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.64384633,114604,0.84,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.64410025,114649,1.125,
HO_OH,EXTRASENSORY_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6461309,115011,0.64,
HONCHKROW_SHADOW_FORM,PECK_FAST,PSYCHIC,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.650082,115644,1.82,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.65047437,115784,1.16,
MOLTRES,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6518718,116033,1.015,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.65434724,116473,1.3,
HO_OH,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6548269,116559,0.71,
HO_OH,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.6548269,116559,0.71,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,DRACO_METEOR,40,15/15/15,AMOONGUSS,RANDOM,RANDOM,0.65578,116728,1.39,
