Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.0,81571,0.31,0.45826948
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.0383541579072644,84700,0.275,0.47584602
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.071737746969316,87423,0.545,0.4911447
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.083207788570166,88359,0.19,0.49640107
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.0901804981645298,88789,1.33,0.49959645
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1089003788775111,90416,1.315,0.5081752
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1237636859430393,91606,1.415,0.5149866
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1320716797461616,92345,0.705,0.5187939
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1348623085264156,92572,0.19,0.52007276
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1348623085264156,92572,0.19,0.52007276
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1362905947827902,92689,0.09,0.5207273
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1501334542287216,93818,0.53,0.52707106
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1523529779901556,93999,0.55,0.5280882
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1647075864620091,95007,0.2,0.53374994
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1806332815355716,96306,0.13,0.5410482
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.198737563758337,97783,0.32,0.54934484
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.2018034454312778,98033,0.665,0.55074984
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.2066596710738842,98429,0.04,0.5529753
