Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.0,76980,0.85,0.4324745
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.034184535735633,79611,0.88,0.44725844
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.066735356651086,82117,0.835,0.46133584
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.0732877892222548,82622,0.595,0.4641696
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1122305708197826,85620,0.64,0.48101136
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1122305708197826,85620,0.64,0.48101136
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.124089165950825,83733,2.29,0.4861399
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1414115745552629,87866,0.88,0.4936314
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1490233528219584,88397,1.67,0.4969233
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1515262055913125,86163,2.35,0.49800572
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1617457214240379,89431,0.92,0.5024254
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,1.1643493431404628,87043,2.35,0.5035514
