Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.0,115056,0.86,0.6463845
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.041431995971438,119823,0.83,0.6731655
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.0894604372474896,125349,1.405,0.70421034
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.0909927450302412,125525,0.71,0.7052008
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1007142033882311,126114,2.53,0.7114846
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1291179321286324,129912,1.14,0.72984433
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1323787931177185,129720,2.58,0.7319521
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1335250149098564,130419,1.835,0.732693
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1543385709279848,132014,2.715963342800315,0.74614656
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1582041339171962,133258,0.695,0.7486452
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1582041339171962,133258,0.695,0.7486452
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1733995168510383,135007,1.375,0.75846726
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1985389501140575,137899,0.86,0.774717
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2004674307629593,137266,2.8557749483976638,0.77596354
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2253440483179903,140983,0.785,0.7920434
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2552862112256715,144428,1.75,0.81139755
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2698716321322678,146106,0.79,0.82082534
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2698716321322678,146106,0.79,0.82082534
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2727700463114446,146440,1.69,0.82269883
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2756967408717257,146777,2.09,0.8245906
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2813569941729728,147428,1.315,0.8282493
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2956323983635127,149070,0.62,0.8374767
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3107998412709463,150815,1.475,0.8472807
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3122328892478083,150980,1.495,0.848207
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3224863838783263,152074,2.68,0.8548347
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3250919537829264,152460,1.73,0.8565189
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3252281884853365,152476,1.825,0.85660696
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3293951664991968,152955,0.84,0.85930043
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3354914296366944,153656,1.87,0.86324096
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.350131229941312,155341,2.585,0.8727039
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3527410388089443,155641,1.51,0.87439084
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3718583289048545,157841,1.475,0.88674796
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.375128735296097,157914,2.7513308414492554,0.8888619
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3763182749586353,158354,1.79,0.8896308
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3781627962922998,158566,1.5109530759134395,0.89082307
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3790532879423933,158668,1.66,0.89139867
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3910881990518027,160053,1.95,0.89917785
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.391889502300875,160145,0.695,0.8996958
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.391889502300875,160145,0.695,0.8996958
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.406364091341918,161811,1.705,0.90905195
HONCHKROW,SNARL_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4098348583544313,161952,2.8481670692584657,0.9112954
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.421489840799091,163551,2.18,0.918829
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4247102150500206,163922,0.94,0.9209106
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4263434534708057,164109,0.79,0.9219663
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4558081142106594,167500,2.2106443002782625,0.9410118
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4614075677866656,168144,1.345604373423332,0.9446312
