Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.0,109722,1.5,0.6164206
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.0323469072902496,113272,1.56,0.6363599
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.0808417986030967,118593,1.185,0.66625315
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.086927497231598,119242,2.23,0.6700045
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1232673924265348,123224,2.295,0.69240516
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1425858577730854,125367,1.3,0.70431346
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1425858577730854,125367,1.3,0.70431346
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1441458964869118,120542,4.306363057534324,0.7052751
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1493947476771542,124263,3.345,0.7085106
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1736530219788244,128776,2.39,0.7234639
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1745962091468067,124102,4.495699668937741,0.7240453
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.1873784393318458,125299,4.417797175488002,0.73192453
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2026617864490576,131959,1.555,0.7413455
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2247285376251216,134380,1.56,0.7549479
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2433554297179557,136334,2.675,0.7664299
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2440250374500788,131592,4.687213894967706,0.76684266
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.24709605746466,136834,1.415,0.7687357
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.24709605746466,136834,1.415,0.7687357
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2640380610252158,138333,2.845,0.7791791
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.274878548835,139700,2.885,0.7858614
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.2909832182766119,141650,1.23,0.79578865
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.295492071484957,139972,3.7495631021148155,0.798568
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.314260749884089,144204,2.815,0.8101374
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3249537734462478,145377,1.305,0.8167288
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3274702370426947,145597,2.935,0.81828
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3308896555371448,144200,2.507496076256309,0.8203878
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3341932926965776,146347,2.92,0.82242423
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3492434548748047,144874,4.584227930507591,0.83170146
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3559217521283358,147424,3.507660211136367,0.8358181
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3674908009239148,150044,1.3,0.8429495
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3674908009239148,150044,1.3,0.8429495
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3759098414296993,148517,2.6385776688120637,0.84813917
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3787126354959587,149087,2.66133003567626,0.84986687
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.383649670371172,148473,4.757742448943351,0.85291016
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3857938881341736,150254,2.8066504375112356,0.8542319
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3918129926222453,152713,3.05,0.8579422
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.3927161584152121,152681,3.095,0.85849893
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.405983933697219,150841,4.815036878180469,0.86667746
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4063282440593323,154093,3.285,0.8668897
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4133777002261119,155079,2.935,0.87123513
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4365835599913437,157626,1.515,0.8855397
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4427367450081974,158301,1.255,0.88933265
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4473058655080637,156946,3.788523128998398,0.89214915
TORNADUS_THERIAN_FORM,GUST_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4501120501164304,159056,3.03,0.89387894
HONCHKROW,SNARL_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.45918711996322,156527,4.972418556017361,0.899473
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4664097857858742,160898,1.545,0.9039252
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4681884414635074,158757,2.8737757740033256,0.9050216
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.498194187540131,161949,3.7353447189866156,0.92351776
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.4992639279089635,164503,1.775,0.92417717
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.5203801268160084,166799,2.975,0.93719363
SCYTHER_SHADOW_FORM,FURY_CUTTER_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.5205251738828975,164062,3.832871674437399,0.93728304
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.5269335580283983,167512,3.020542986425339,0.9412333
STARAPTOR,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.5332268259691517,166424,4.060759348040143,0.9451126
RAYQUAZA,DRAGON_TAIL_FAST,AERIAL_ACE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.5379233594724124,166421,2.9862505706126456,0.94800764
RAYQUAZA,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.54045396925411,166757,2.961858944009698,0.94956756
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST,40,15/15/15,BELLOSSOM,RANDOM,RANDOM,1.5549370024298346,170612,1.7766764737085896,0.9584952
