Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.0,89585,2.545,0.5122594
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.1003207554610026,100153,2.115,0.56364965
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.1083316382286006,101045,1.665,0.5677533
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.1098280090126211,96359,3.37,0.56851983
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.123586604755325,102251,2.095,0.5755678
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.1650296705145868,106229,1.72,0.5967974
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.166314371195531,100729,3.59,0.5974555
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.1796941939962446,107567,1.425,0.60430944
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.1890909176093205,104345,3.5285953377129147,0.609123
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.1913890501570104,107634,2.725,0.61030024
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.204381217797077,104860,3.4636348651485487,0.6169556
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.205527394909688,104048,3.765,0.61754274
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.206176792461007,109911,2.22,0.6178754
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.206176792461007,109911,2.22,0.6178754
HO_OH_SHADOW_FORM,HIDDEN_POWER_GROUND_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.206176792461007,109911,2.22,0.6178754
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.209604743221891,101474,6.006574668564788,0.6196314
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.223898087570477,111597,1.865,0.6269533
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.223923074910875,103279,5.9248335018951686,0.6269661
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.2578537358221245,108645,3.8665881836794385,0.6443474
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.2587120900075233,106982,5.516615797680691,0.6447871
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.2808141734441572,115640,2.9473741007194247,0.6561091
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.2998801974156062,118058,3.105,0.66587585
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.3095999800101277,117803,3.345,0.6708549
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.3128504816114648,119708,2.105,0.67252
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.3131138247536305,119732,2.145,0.6726549
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,1.3136112289984332,118736,3.07,0.6729097
