Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.5122594,89585,2.545,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.56364965,100153,2.115,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.5677533,101045,1.665,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.56851983,96359,3.37,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.5755678,102251,2.095,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.5967974,106229,1.72,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.5974555,100729,3.59,
GYARADOS_SHADOW_FORM,WATERFALL_FAST,HYDRO_PUMP,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.60290104,105184,2.9,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.60430944,107567,1.425,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.609123,104345,3.5285953377129147,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.61030024,107634,2.725,
GYARADOS_SHADOW_FORM,WATERFALL_FAST,AQUA_TAIL,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6130683,107474,2.89,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6169556,104860,3.4636348651485487,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.61754274,104048,3.765,
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6178754,109911,2.22,
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6178754,109911,2.22,
HO_OH_SHADOW_FORM,HIDDEN_POWER_GROUND_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6178754,109911,2.22,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6196314,101474,6.006574668564788,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6269533,111597,1.865,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6269661,103279,5.9248335018951686,
LANDORUS_THERIAN_FORM,MUD_SHOT_FAST,EARTHQUAKE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6442329,111659,3.305,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6443474,108645,3.8665881836794385,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6447871,106982,5.516615797680691,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6561091,115640,2.9473741007194247,
LANDORUS_THERIAN_FORM,EXTRASENSORY_FAST,EARTHQUAKE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6596568,114521,3.345,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.66587585,118058,3.105,
YVELTAL,GUST_FAST,PSYCHIC,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.66768587,117781,3.13,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6708549,117803,3.345,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.67252,119708,2.105,
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6726549,119732,2.145,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6729097,118736,3.07,
SALAMENCE_SHADOW_FORM,DRAGON_TAIL_FAST,HYDRO_PUMP,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.675923,118872,3.27,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,EARTHQUAKE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6844087,121740,2.55,
LANDORUS,MUD_SHOT_FAST,EARTH_POWER,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6883341,118853,3.595,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6887716,116419,4.103739448909815,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,RETURN,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6897536,121669,2.955,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.68977,121778,3.12,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,EARTHQUAKE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.69106966,122966,2.56,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6922296,116557,4.253511472963676,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6985214,117427,4.319334762671165,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,FUTURESIGHT,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.6994993,124510,2.34,
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.703567,123781,3.305,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.706665,116310,6.285954266444117,
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7097168,125186,3.24,
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7118806,126714,1.815,
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7154796,120486,4.407015171548637,
GYARADOS,WATERFALL_FAST,HYDRO_PUMP,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.71605104,126382,3.086238836670398,
LANDORUS_THERIAN_FORM,MUD_SHOT_FAST,BULLDOZE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7165153,124440,3.69,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.717967,118732,6.058461913127394,
HONCHKROW_SHADOW_FORM,PECK_FAST,PSYCHIC,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7180739,117519,7.171462256336993,
HO_OH,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7193249,128039,2.25,
HO_OH,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7193249,128039,2.25,
HO_OH,HIDDEN_POWER_GROUND_FAST,BRAVE_BIRD,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7193249,128039,2.25,
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7198509,126753,3.365,
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7217021,120707,4.3980546396655305,
LANDORUS_THERIAN_FORM,EXTRASENSORY_FAST,BULLDOZE,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7238909,125284,3.765716723549488,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,BLAZIKEN,RANDOM,RANDOM,0.7239017,117734,7.437458475282831,
