Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.0,59661,0.585,0.3353821
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.0864351436764215,64858,0.525,0.3643709
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.1068530491042903,65726,1.18,0.3712187
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.1181475695930103,64886,1.895,0.37500668
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.1482118455337955,68466,1.04,0.3850897
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.1491197651872298,66167,2.02,0.3853942
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.1563009176697265,68969,0.85,0.38780263
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.166901662312926,68353,1.655,0.39135793
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.1824712767914565,70291,1.13,0.3965797
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.2122775783203694,72370,0.625,0.4065762
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.2432337921433492,73670,1.345,0.41695836
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.2795199863081541,76384,0.775,0.4291281
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.2870578066032743,76784,1.135,0.43165615
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.2951415713599503,76571,1.425,0.4343673
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.2996380248081219,77585,0.655,0.43587533
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.3079374242095807,78043,0.85,0.4386588
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.3102204321578284,78217,1.01,0.43942448
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.3132451910820524,78398,0.205,0.44043893
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.3167258479209236,78441,1.235,0.44160628
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.3174788696236321,76913,1.955,0.44185883
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.3213855480062888,78538,1.365,0.44316906
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,BRELOOM,RANDOM,RANDOM,1.3223080182275677,78939,0.78,0.44347844
