Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.9999999999999999,80002,0.815,0.4508231
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.0376511318963026,83228,1.045,0.4677971
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.0481982844268627,83340,1.7,0.472552
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.050519815865691,84300,0.27,0.4735986
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.0603967054926866,84944,1.375,0.47805133
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.0683234732204272,85724,0.525,0.4816249
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.078262316194534,86526,0.92,0.48610556
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.0955288670877779,87166,1.865,0.49388972
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.108908083902533,88864,0.695,0.49992138
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.1205294715377274,89918,1.105,0.50516057
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.124946348135222,90273,0.89,0.5071518
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.161128611200269,93175,0.81,0.5234636
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.1634506749986857,93362,1.135,0.52451044
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.1717479650000189,93960,0.745,0.52825105
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.1717479650000189,93960,0.745,0.52825105
HO_OH_SHADOW_FORM,HIDDEN_POWER_GROUND_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.1717479650000189,93960,0.745,0.52825105
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.1773399144808683,94477,0.4,0.53077203
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.1977369837526073,96114,1.285,0.5399675
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2031858172307497,95916,2.075,0.54242396
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2069180572157905,96850,0.24,0.54410654
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2297839218975246,98585,1.6,0.554415
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2321530107929253,98875,0.89,0.55548304
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.237359177025312,99293,0.405,0.5578301
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.241240965691421,99605,1.25,0.5595801
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2419470075956622,99377,1.735,0.5598984
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2592151999309706,101047,1.355,0.5676833
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2693664100175879,101862,1.185,0.5722597
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2718831399721975,102064,0.91,0.5733943
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2883764385631526,103387,1.335,0.58082986
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2913903480101174,103397,1.78,0.5821886
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2917466740280166,103658,0.73,0.58234924
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2935385520395914,102989,2.17,0.58315706
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.295037454824298,103922,0.975,0.5838328
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.2957860854956191,103982,1.455,0.5841703
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.3118882550605768,105274,0.99,0.59142953
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,1.314425103771302,105478,1.315,0.5925732
