Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.4508231,80002,0.815,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.4677971,83228,1.045,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.472552,83340,1.7,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.4735986,84300,0.27,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.47805133,84944,1.375,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.4816249,85724,0.525,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.48610556,86526,0.92,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.49388972,87166,1.865,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.49992138,88864,0.695,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.50516057,89918,1.105,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.5071518,90273,0.89,
GYARADOS_SHADOW_FORM,WATERFALL_FAST,HYDRO_PUMP,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.51634645,91902,0.88,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.5234636,93175,0.81,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.52451044,93362,1.135,
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,COMBUSKEN,RANDOM,RANDOM,0.52825105,93960,0.745,
