Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.0,125887,2.33,0.7089034
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.0712225812430862,134384,3.115,0.75939333
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.0771637715378428,131701,4.161593116274808,0.76360506
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.0992186382516997,134418,4.19850681897806,0.77923983
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.0996946269407089,138764,2.02,0.77957726
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.1018150004640972,138963,2.85,0.7810804
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.131053455238048,142155,3.1710970342643248,0.80180764
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.1331119303419903,138159,4.58962746553409,0.8032669
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.1383487510428079,139385,4.205077446626041,0.8069793
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.1530173222472908,144995,2.815568921596377,0.8173779
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.1629858172495717,146530,2.9,0.8244446
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.1861959330424994,149679,2.28,0.84089833
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.1867924882290029,148890,3.329167639765407,0.84132123
HO_OH_SHADOW_FORM,HIDDEN_POWER_GHOST_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.191031810540054,150290,2.17,0.8443265
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.198373995667111,146551,4.7268214333357585,0.8495314
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.2148507116766545,152567,3.5968960425280567,0.8612118
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,GALLADE,RANDOM,RANDOM,1.2284454130139593,155011,1.26,0.87084913
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.242742311575879,152286,4.6736616114537135,0.88098425
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.2664257217556019,159021,3.3788105200465988,0.8977735
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.2780616512771699,161009,3.5889836375078663,0.90602225
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.278756879992394,161359,2.2565493657066913,0.9065151
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.2838529198759663,160515,3.8548722542828266,0.9101277
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.2846301766926214,158760,4.348918100671471,0.9106787
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.2906149695431002,162495,3.435728586043512,0.91492134
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.294212257974782,163309,2.34,0.91747147
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.30683493688985,164902,2.400153943436806,0.92641973
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3082430271881895,163825,3.5853435540122702,0.92741793
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3093347274113794,165198,2.4756531332744927,0.92819184
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3222610302052438,166493,3.6451937804992554,0.93735534
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.324161571238056,167089,2.12,0.93870264
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.325874865320155,166531,3.5372531894739825,0.9399172
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3260219939698414,165208,4.286203433455746,0.9400215
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3270932259599828,164130,4.507867351429692,0.9407809
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3273533460271174,166521,3.9005649021539934,0.9409653
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.328334720922484,167414,3.635936212806846,0.941661
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3289369186267128,163989,4.518758458658678,0.9420879
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3399265682743235,169078,1.1568518587169871,0.9498785
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3445212281391232,169658,1.5307722302252242,0.95313567
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3555101583657239,169803,3.8815094640207946,0.96092576
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3555356061206647,171048,2.7434833286141997,0.9609438
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3613457066223693,171626,2.860541496116363,0.9650626
HO_OH_SHADOW_FORM,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3638210791484426,172093,2.586621087263028,0.9668174
PIDGEOT_MEGA,GUST_FAST,AIR_CUTTER,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3645285803397191,171329,4.056610103821119,0.96731895
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3691090069535568,172713,3.2974720362163685,0.97056603
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3795654668887185,174080,1.5451709110753107,0.97797865
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3889524299079397,175264,2.584477040039411,0.9846331
HO_OH_SHADOW_FORM,HIDDEN_POWER_STEEL_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,1.3889524299079397,175264,2.584477040039411,0.9846331
