Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,0.69787,120349,3.554085569411688,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.74406624,127890,4.142595371835009,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.76127225,133292,2.9016987646759316,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,0.7662697,126781,6.040575670322563,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.77546155,133080,4.303793035172862,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.7872604,130939,6.163937978244657,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.79645705,137277,4.474539997228548,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,0.7966631,131937,6.256984872374402,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,0.79931456,137765,4.0850916947904325,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,GALLADE,RANDOM,RANDOM,0.80451417,139126,4.599765700607445,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8148926,134957,6.401078174302264,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,GALLADE,RANDOM,RANDOM,0.818577,140985,4.65466371221851,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8213353,143390,3.6636934293428873,
HO_OH_SHADOW_FORM,HIDDEN_POWER_GHOST_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8216315,144294,3.132164323857036,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8362579,148853,1.955,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8470199,145597,4.876381591185225,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.84715253,141118,6.632740276377823,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,GALLADE,RANDOM,RANDOM,0.878392,153416,3.855408817184631,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8804302,151815,4.567698344643449,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8811893,154543,3.3920154519314627,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8847771,154381,3.875628230864932,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,GALLADE,RANDOM,RANDOM,0.88569784,157156,3.1465512708150745,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8894661,147029,7.047547024045434,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8929199,150811,5.949229001098078,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,GALLADE,RANDOM,RANDOM,0.8933672,153289,5.128767847865143,
