Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.0,88110,0.78,0.49500072
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.037083057172119,91377,0.745,0.51335686
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,GLOOM,RANDOM,RANDOM,1.0724765006402417,94496,0.25,0.53087664
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.073081328043321,94549,1.105,0.53117603
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.0781382297787365,94994,0.56,0.5336792
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.093350005632315,95886,2.0,0.54120904
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.0976394943425538,96713,0.955,0.54333234
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1000581170871833,96869,1.43,0.54452956
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1181234241437064,98517,0.51,0.5534719
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1220554386264328,98400,2.075,0.55541825
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1445656079045703,100847,0.58,0.5665608
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1445656079045703,100847,0.58,0.5665608
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.155411955764428,101324,2.155,0.57192975
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.169865894336477,103077,1.165,0.57908446
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1880319083172244,104677,0.82,0.58807665
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.2045838034336598,106136,0.62,0.59626985
