Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.0,83804,1.35,0.47383946
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.036387302990764,86744,1.435,0.4910812
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.0724524715607264,90453,1.18,0.5081703
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.0751143435795742,90206,1.64,0.5094316
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1062981120230047,93308,0.97,0.5242077
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1110942512048279,93196,1.765,0.5264803
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1346933832821775,93755,2.57,0.5376625
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1362306127902475,95833,1.23,0.5383909
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1580195326070988,97671,1.23,0.54871535
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1580195326070988,97671,1.23,0.54871535
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1723014794926534,94371,3.6382113900742006,0.5554827
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1772662411864137,98690,1.885,0.5578352
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1848234420999888,95951,3.6109772642904905,0.5614161
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.1882956307606798,100132,1.405,0.56306136
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.2105705590665665,102103,1.255,0.5736161
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,GLOOM,RANDOM,RANDOM,1.2272417117814545,102819,2.0,0.58151555
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,GLOOM,RANDOM,RANDOM,1.230334278196248,103770,1.09,0.58298093
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.2331782160987605,99119,3.9530790658375703,0.5843285
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.2381602832317933,104348,1.49,0.5866892
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.252236464223558,104927,2.23,0.59335905
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,GLOOM,RANDOM,RANDOM,1.2534869932529469,105723,0.865,0.5939516
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.2730846645823883,107376,1.175,0.60323775
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,GLOOM,RANDOM,RANDOM,1.276104906923539,107048,2.325,0.60466886
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.2843009317966045,108322,1.125,0.60855246
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,GLOOM,RANDOM,RANDOM,1.288621255815208,108308,2.14,0.6105996
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,1.298733414899637,107769,2.94,0.61539114
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,GLOOM,RANDOM,RANDOM,1.3089973553490035,109781,2.185,0.6202546
