Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,GLOOM,RANDOM,RANDOM,0.45519826,81025,0.41,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,GLOOM,RANDOM,RANDOM,0.48041302,85513,0.485,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,GLOOM,RANDOM,RANDOM,0.4824283,85872,0.515,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,GLOOM,RANDOM,RANDOM,0.4824992,85884,0.435,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,GLOOM,RANDOM,RANDOM,0.48604095,86515,0.505,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,0.49500072,88110,0.78,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,GLOOM,RANDOM,RANDOM,0.50727665,90295,0.51,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,0.51335686,91377,0.745,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,GLOOM,RANDOM,RANDOM,0.51687765,92004,0.56,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5175447,92122,0.63,
CHARIZARD_MEGA_Y,EMBER_FAST,OVERHEAT,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5226443,93030,0.605,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5228966,93075,0.89,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,GLOOM,RANDOM,RANDOM,0.53087664,94496,0.25,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,0.53117603,94549,1.105,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5336792,94994,0.56,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,GLOOM,RANDOM,RANDOM,0.535336,95289,0.655,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,0.54120904,95886,2.0,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE_PLUS,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5419021,96458,0.625,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,0.54333234,96713,0.955,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,0.54452956,96869,1.43,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,GLOOM,RANDOM,RANDOM,0.54686606,97342,0.905,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,GLOOM,RANDOM,RANDOM,0.55005175,97906,1.225,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5534719,98517,0.51,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,0.55541825,98400,2.075,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5589622,99495,1.165,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,GLOOM,RANDOM,RANDOM,0.56101567,99860,0.99,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,SACRED_FIRE_PLUS,40,15/15/15,GLOOM,RANDOM,RANDOM,0.56415266,100419,0.515,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5665608,100847,0.58,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5665608,100847,0.58,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,GLOOM,RANDOM,RANDOM,0.57192975,101324,2.155,
CHARIZARD_SHADOW_FORM,EMBER_FAST,BLAST_BURN,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5752374,102392,1.26,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5754327,102427,0.6,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5754327,102427,0.6,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,GLOOM,RANDOM,RANDOM,0.5756585,102467,1.25,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,GLOOM,RANDOM,RANDOM,0.57635975,102592,1.305,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,GLOOM,RANDOM,RANDOM,0.57908446,103077,1.165,
