Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,0.9999999999999999,78951,0.885,0.44354695
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.0309124659745716,81391,0.08,0.45725808
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.0604401630988558,83563,1.555,0.470355
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.073884512113092,84763,1.295,0.4763182
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.0738855492073611,84784,0.585,0.47631866
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.0898067047919053,83103,2.45,0.48338044
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1105064751318885,86749,2.12,0.49256176
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1208388875179955,88491,0.77,0.49714467
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1325449538092867,89348,1.505,0.50233686
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1339900995824679,89530,0.9,0.50297785
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1364913455046866,86958,2.62,0.50408727
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1389941921593645,89925,1.07,0.5051974
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.157154163724945,91358,0.2,0.5132522
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1669693591625416,92133,1.08,0.5176057
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1734865271872572,92648,0.815,0.52049637
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1756841975804366,92821,0.775,0.52147114
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2011314698477804,94830,0.05,0.5327582
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2021857663546103,94695,1.78,0.53322583
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2043234656443924,95082,0.245,0.534174
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2259484593457355,95644,2.355,0.5437657
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2404738664080543,95526,2.915,0.5502084
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2459325895488629,98368,1.235,0.5526296
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2621065255887791,99626,1.61,0.5598035
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2624875450051003,99512,1.915,0.5599725
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.270854415750125,99558,2.38,0.5636836
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2760795672250704,100396,2.02,0.5660012
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2807467168920899,101023,1.89,0.5680713
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2833816127018796,101324,1.235,0.56924
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2892785081714573,101790,0.65,0.57185555
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3078378737583471,103239,1.73,0.5800875
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.311187575520472,103520,1.275,0.58157325
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3122340261836993,103602,1.905,0.5820374
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.315847172435748,102704,2.5601928990774394,0.58364
