Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.0,73829,1.555,0.4167561
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.0535448431348693,78154,0.505,0.43907124
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.0824909341458948,80301,1.125,0.4511347
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1243116537466398,80749,2.455,0.46856374
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.132436141906501,84007,1.225,0.47194967
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1417611403888268,81892,2.485,0.47583592
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1575605012140193,85779,1.86,0.4824204
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1617149694989468,86044,1.9,0.4841518
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1618781824669153,80209,3.919892852708847,0.48421982
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1697905081653275,86524,1.86,0.48751733
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1793090011160003,87484,1.24,0.49148422
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1818383222225182,87671,1.5,0.49253833
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1911010540697544,82502,4.116201141262209,0.49639863
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1938526154746145,83119,3.77132684121294,0.49754536
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.1951076420957005,88656,0.805,0.4980684
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.197547438417818,85509,2.62,0.4990852
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2195108841838187,90466,0.38,0.5082386
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2370153670216224,91764,0.895,0.5155337
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2709419250252125,91081,2.875,0.5296728
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2831954949189706,89609,4.24491745845557,0.53477955
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2834656529322543,95131,2.1,0.53489214
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.2917435401665385,95824,1.375,0.538342
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3138046449710032,97461,1.125,0.5475361
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3148703762224474,97399,2.17,0.54798025
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3271798541161126,98453,1.15,0.5531103
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3308022845976337,93101,4.119714734702964,0.55461997
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3353450615359919,96046,2.98,0.5565132
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3400788614731733,99410,1.405,0.55848604
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3419592418683253,98710,2.325,0.5592697
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.348422014698765,99805,2.315,0.5619631
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3489223073159575,95630,3.03,0.5621716
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3606445112621026,97279,3.115,0.5670569
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3638324669992832,101172,1.425,0.5683855
HO_OH_SHADOW_FORM,HIDDEN_POWER_STEEL_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3638324669992832,101172,1.425,0.5683855
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3638324669992832,101172,1.425,0.5683855
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3638324669992832,101172,1.425,0.5683855
HO_OH_SHADOW_FORM,HIDDEN_POWER_GROUND_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3638324669992832,101172,1.425,0.5683855
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3656250502392164,95922,3.4714188309510514,0.56913257
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3723628760322883,95315,4.163130074656015,0.5719406
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3749372834614777,101996,1.83,0.5730135
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.378188345653489,101002,2.595,0.5743684
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3889205220991365,102783,2.38,0.5788411
TORNADUS_THERIAN_FORM,GUST_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3889685117986275,102930,2.32,0.5788611
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.3890831112010116,103045,1.89,0.57890886
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.404944522707646,104222,0.62,0.5855192
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4050933867554667,100043,3.195,0.58558124
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4061290044704804,100819,3.03,0.58601284
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.406255841246235,100064,3.115,0.5860657
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4105293239858998,97946,4.3125090481044115,0.5878467
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.417191494017724,105130,1.885,0.5906232
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.428280881791532,99240,4.674481306598995,0.59524477
HO_OH,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4323977501469083,106259,1.27,0.5969605
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4415112340287282,106934,1.02,0.6007586
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.459106489383119,105856,2.725,0.60809153
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4628612034712867,102441,3.77125,0.60965633
RAYQUAZA,DRAGON_TAIL_FAST,AERIAL_ACE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4664201435803819,108574,2.425,0.61113954
DRAGONITE_SHADOW_FORM,STEEL_WING_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4695914468918392,108902,2.48,0.6124612
LUGIA,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4732724967912887,109291,0.845,0.6139953
LUGIA,DRAGON_TAIL_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4859295400835164,110230,0.655,0.6192702
RAYQUAZA,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.4967498976019786,110961,2.465,0.62377965
STARAPTOR,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HARIYAMA,RANDOM,RANDOM,1.5060823344877254,106742,3.8461989203641282,0.627669
