Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.41180933,71691,2.104350703637214,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.4296506,74932,1.92,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.4373823,76844,1.43,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.44185603,77145,2.0,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.46279895,78843,3.005707122586168,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.4656561,81044,2.055,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.46762356,77234,4.008841435245199,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.47088584,81828,2.4462439209298115,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.47494948,78678,4.108233810200832,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.47519305,83396,1.88,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.4806822,84613,2.255,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.48665282,84834,2.27,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.48857972,85798,2.28,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.49314365,86979,1.795,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.511876,89305,2.42,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.5127063,89927,1.9263406848520024,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.51311857,89552,2.395,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.51414025,91516,1.155,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.5147741,89835,2.38,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.51601565,90657,1.955,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.51820683,91217,1.7608135871798385,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.52010036,91788,1.7416484488877877,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.52098995,91808,1.94,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.52165747,92855,1.155,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.5235104,87797,3.834077196937999,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.523559,91710,2.19,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.52547723,92348,2.0004084466709937,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.5259593,92628,1.49,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.52704626,93814,0.925,
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.52756613,91023,2.865597933760465,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.5348038,93765,1.8154494569914663,
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.5360359,93290,2.52,
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,HERACROSS,RANDOM,RANDOM,0.5375925,93605,2.585,
